"var","categoria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P73","Negativa",0.044,0.11,0.02,0.003,0.001,0.003
"P73","No sabe",0.109,0.055,0.059,0.016,0.014,0.097
"P74","Muy positivo",0.226,0.22,0.433,0.428,0.457,0.379
"P74","Positivo",0.322,0.252,0.323,0.401,0.414,0.356
"P74","Neutral",0.189,0.27,0.142,0.127,0.109,0.157
"P74","Algo negativo",0.113,0.134,0.03,0.011,0.006,0.005
"P74","Negativo",0.053,0.093,0.015,0,0,0.003
"P74","No sabe",0.097,0.031,0.057,0.033,0.014,0.1
"P75","Muy positivo",0.23,0.22,0.345,0.352,0.389,0.301
"P75","Positivo",0.229,0.242,0.326,0.329,0.344,0.407
"P75","Neutral",0.273,0.246,0.208,0.29,0.231,0.21
"P75","Algo negativo",0.115,0.086,0.042,0.003,0.003,0.003
"P75","Negativo",0.08,0.13,0.006,0,0,0.003
"P75","No sabe",0.073,0.076,0.073,0.026,0.033,0.076
"P76","Muy positiva",0.362,0.401,0.592,0.612,0.661,0.673
"P76","Positiva",0.135,0.16,0.229,0.275,0.189,0.201
"P76","Neutral",0.311,0.218,0.079,0.091,0.12,0.065
"P76","Algo negativa",0.061,0.052,0.03,0.012,0.008,0.003
"P76","Negativa",0.046,0.123,0.025,0.002,0.003,0.005
"P76","No sabe",0.085,0.046,0.045,0.008,0.019,0.053
"P77","Muy positivo",0.464,0.485,0.55,0.58,0.656,0.66
"P77","Positivo",0.1,0.134,0.297,0.312,0.213,0.208
"P77","Neutral",0.252,0.177,0.06,0.091,0.089,0.041
"P77","Algo negativo",0.072,0.03,0.033,0.01,0.031,0.024
"P77","Negativo",0.055,0.114,0.023,0.006,0.003,0.009
"P77","No sabe",0.057,0.06,0.037,0.001,0.008,0.058
"P78","Muy positivo",0.379,0.434,0.515,0.506,0.531,0.534
"P78","Positivo",0.176,0.131,0.256,0.237,0.186,0.188
"P78","Neutral",0.273,0.215,0.156,0.233,0.245,0.192
"P78","Algo negativo",0.046,0.011,0.042,0.004,0.03,0
"P78","Negativo",0.008,0.124,0.004,0.012,0,0.002
"P78","No sabe",0.118,0.085,0.027,0.008,0.008,0.084
"P79","Si",0.509,0.464,0.594,0.609,0.606,0.682
"P79","No",0.491,0.536,0.406,0.391,0.394,0.318
