"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P17","Algo seguro",0.094,0.108,0.09,0.09,0.191,0.193
"P17","Para nada seguro",0.065,0.046,0.069,0.063,0.089,0.118
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.113,0.09,0.083,0.252,0.18,0.02
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.076,0.113,0.062,0.272,0.157,0.297
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.259,0.281,0.214,0.247,0.306,0.211
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.243,0.275,0.243,0.089,0.168,0.167
"P22","En blanco",0.214,0.157,0.267,0.034,0.107,0.17
"P22","No sabe",0.095,0.084,0.131,0.106,0.082,0.135
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.137,0.163,0.247,0.062,0.341,0.33
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.322,0.433,0.286,0.406,0.238,0.051
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.197,0.181,0.152,0.155,0.134,0.199
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.02,0.011,0.028,0.019,0,0
"P25","En blanco",0.215,0.14,0.183,0.244,0.206,0
"P25","No sabe",0.109,0.072,0.104,0.114,0.081,0.42
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.187,0.161,0.193,0.071,0.255,0.245
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.402,0.393,0.322,0.509,0.441,0.517
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.212,0.113,0.185,0.101,0.223,0.087
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.034,0.003,0.086,0.019,0.011,0.075
"P28","En blanco",0.144,0.244,0.138,0.248,0.07,0.076
"P28","No sabe",0.021,0.086,0.076,0.052,0,0
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.415,0.011,0.051,0.279,0,0
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.021,0.654,0.931,0.459,0,0
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.064,0.324,0,0.063,0.02,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.006,0,0.009,0.179,0,1
"P31","En blanco",0.232,0,0,0.01,0.96,0
"P31","No sabe",0.262,0.011,0.009,0.01,0.02,0
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.364,0.314,0.201,0.553,0.285,0.413
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.161,0.252,0.146,0.243,0.213,0.053
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.287,0.245,0.375,0.094,0.267,0.258
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.087,0.097,0.126,0.04,0.121,0.083
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.053,0.068,0.094,0.026,0.049,0.06
"P36","No sabe",0.048,0.024,0.058,0.044,0.065,0.133
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.464,0.444,0.67,0.102,0.431,0.542
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.36,0.376,0.169,0.664,0.355,0.247
"P37","En blanco",0.102,0.129,0.083,0.158,0.149,0.052
"P37","No sabe",0.074,0.051,0.078,0.076,0.065,0.159
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.363,0.378,0.221,0.472,0.432,0.128
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.21,0.239,0.139,0.417,0.224,0.254
"P38","En blanco",0.294,0.291,0.436,0.048,0.234,0.291
"P38","No sabe",0.133,0.092,0.204,0.063,0.11,0.327
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.46,0.509,0.68,0.119,0.433,0.428
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.294,0.334,0.147,0.577,0.264,0.245
"P39","En blanco",0.152,0.093,0.099,0.184,0.186,0.069
"P39","No sabe",0.094,0.064,0.074,0.12,0.117,0.258
"P40","Lo votaría",0.451,0.471,0.65,0.083,0.363,0.523
"P40","Puede que lo vote",0.094,0.107,0.08,0.107,0.093,0.115
"P40","Nunca lo votaría",0.401,0.389,0.219,0.773,0.511,0.189
"P40","No sabe",0.054,0.033,0.051,0.037,0.033,0.173
"P41","Lo votaría",0.315,0.318,0.148,0.464,0.302,0.124
"P41","Puede que lo vote",0.144,0.135,0.073,0.177,0.204,0.213
"P41","Nunca lo votaría",0.501,0.509,0.736,0.311,0.408,0.513
"P41","No sabe",0.04,0.038,0.043,0.048,0.086,0.15
"P42","Lo votaría",0.207,0.264,0.121,0.426,0.139,0.052
"P42","Puede que lo vote",0.16,0.165,0.07,0.208,0.215,0.168
"P42","Nunca lo votaría",0.593,0.541,0.761,0.298,0.575,0.603
"P42","No sabe",0.04,0.03,0.048,0.068,0.071,0.177
"P43","Lo votaría",0.115,0.159,0.099,0.057,0.045,0.256
"P43","Puede que lo vote",0.267,0.32,0.302,0.131,0.264,0.275
"P43","Nunca lo votaría",0.55,0.484,0.509,0.767,0.576,0.375
"P43","No sabe",0.068,0.037,0.09,0.045,0.115,0.094
"P44","Lo votaría",0.123,0.087,0.078,0.051,0.033,0.095
"P44","Puede que lo vote",0.256,0.319,0.271,0.241,0.26,0.162
"P44","Nunca lo votaría",0.546,0.528,0.544,0.65,0.535,0.466
"P44","No sabe",0.075,0.066,0.107,0.058,0.172,0.277
"P53","Sergio Massa y Javier Milei",0.489,0.416,0.591,0.248,0.382,0.666
"P53","Patricia Bullrich y Javier Milei",0.374,0.419,0.212,0.623,0.438,0.189
"P53","Sergio Massa y Patricia Bullrich",0.137,0.165,0.197,0.129,0.18,0.145
"P54","Muy buena",0.074,0.075,0.086,0.041,0.039,0.181
"P54","Buena",0.103,0.172,0.158,0.084,0.034,0.081
"P54","Regular",0.229,0.218,0.366,0.037,0.266,0.294
"P54","Mala",0.254,0.225,0.2,0.213,0.268,0.413
"P54","Muy mala",0.34,0.31,0.19,0.625,0.393,0.031
"P55","Muy buena",0.053,0.062,0.077,0.009,0.021,0.082
"P55","Buena",0.119,0.187,0.273,0.019,0.081,0.154
"P55","Regular",0.225,0.174,0.29,0.055,0.245,0.306
"P55","Mala",0.236,0.22,0.149,0.211,0.215,0.18
"P55","Muy mala",0.367,0.357,0.211,0.706,0.438,0.278
"P56","Muy buena",0.123,0.11,0.209,0.032,0.048,0.155
"P56","Buena",0.243,0.264,0.325,0.161,0.155,0.26
"P56","Regular",0.338,0.321,0.262,0.423,0.398,0.332
"P56","Mala",0.183,0.189,0.122,0.211,0.188,0.115
"P56","Muy mala",0.113,0.116,0.082,0.173,0.211,0.138
"P57","Muy buena",0.059,0.047,0.072,0.013,0.019,0.073
"P57","Buena",0.214,0.266,0.278,0.127,0.178,0.215
"P57","Regular",0.417,0.441,0.434,0.477,0.459,0.148
"P57","Mala",0.198,0.166,0.119,0.257,0.225,0.375
"P57","Muy mala",0.112,0.08,0.097,0.126,0.119,0.189
"P58","Muy buena",0.081,0.077,0.1,0.018,0.073,0.159
"P58","Buena",0.204,0.248,0.339,0.078,0.13,0.136
"P58","Regular",0.308,0.35,0.349,0.302,0.37,0.222
"P58","Mala",0.255,0.204,0.124,0.299,0.282,0.301
"P58","Muy mala",0.152,0.121,0.088,0.303,0.145,0.182
"P59","Muy buena",0.112,0.111,0.172,0.066,0.127,0.141
"P59","Buena",0.322,0.337,0.364,0.225,0.201,0.166
"P59","Regular",0.358,0.348,0.34,0.439,0.473,0.436
"P59","Mala",0.14,0.145,0.071,0.181,0.148,0.044
"P59","Muy mala",0.068,0.059,0.053,0.089,0.051,0.213
"P60","Ha aumentado significativamente",0.096,0.071,0.129,0.027,0.034,0.075
"P60","Ha aumentado ligeramente",0.198,0.265,0.275,0.163,0.304,0.171
"P60","Se mantiene igual",0.302,0.312,0.33,0.252,0.208,0.235
"P60","Ha disminuido ligeramente",0.219,0.185,0.137,0.241,0.216,0.23
"P60","Ha disminuido significativamente",0.185,0.167,0.129,0.317,0.238,0.289
"P61","Muy baja",0.052,0.04,0.038,0.032,0.046,0.347
"P61","Baja",0.078,0.104,0.099,0.024,0.093,0.04
"P61","Moderada",0.094,0.136,0.18,0.035,0.127,0.094
"P61","Alta",0.294,0.239,0.385,0.144,0.32,0.196
"P61","Muy alta",0.482,0.481,0.298,0.765,0.414,0.323
"P62","Muy bajas",0.054,0.05,0.03,0.058,0.012,0.069
"P62","Bajas",0.09,0.154,0.079,0.125,0.091,0.061
"P62","Adecuadas",0.254,0.295,0.31,0.206,0.244,0.072
"P62","Altas",0.335,0.301,0.384,0.276,0.383,0.321
"P62","Muy altas",0.267,0.2,0.197,0.335,0.27,0.477
"P63","No, ninguna dificultad",0.337,0.299,0.359,0.226,0.295,0.22
"P63","Alguna dificultad ocasional",0.3,0.364,0.343,0.338,0.313,0.122
"P63","Sí, dificultades frecuentes",0.363,0.337,0.298,0.436,0.392,0.658
"P64","Sí, absolutamente",0.562,0.325,0.601,0.207,0.339,0.618
"P64","Sí, en cierta medida",0.279,0.546,0.177,0.378,0.391,0.172
"P64","No, en absoluto",0.159,0.129,0.222,0.415,0.27,0.21
"P66","Fomentar la competencia entre proveedores",0.465,0.243,0.197,0.354,0.269,0.222
"P66","Incrementar la inversión en infraestructura",0.179,0.483,0.159,0.184,0.218,0.109
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.136,0.104,0.354,0.041,0.185,0.353
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.22,0.17,0.29,0.421,0.328,0.316
"P67","Muy positiva",0.258,0.256,0.392,0.098,0.194,0.084
"P67","Positiva",0.221,0.328,0.239,0.103,0.19,0.217
"P67","Neutral",0.267,0.2,0.159,0.32,0.322,0.328
"P67","Algo negativa",0.091,0.112,0.077,0.143,0.146,0.156
"P67","Negativa",0.09,0.069,0.027,0.199,0.089,0.063
"P67","No sabe",0.073,0.035,0.106,0.137,0.059,0.152
"P68","Muy positivo",0.179,0.214,0.268,0.04,0.14,0.103
"P68","Positivo",0.234,0.307,0.31,0.102,0.174,0.169
"P68","Neutral",0.309,0.226,0.19,0.368,0.362,0.306
"P68","Algo negativo",0.081,0.109,0.062,0.147,0.144,0.02
"P68","Negativo",0.095,0.09,0.058,0.198,0.097,0.207
"P68","No sabe",0.102,0.054,0.112,0.145,0.083,0.195
"P69","Muy positivo",0.142,0.13,0.171,0.022,0.078,0.103
"P69","Positivo",0.172,0.249,0.255,0.07,0.173,0.127
"P69","Neutral",0.422,0.415,0.321,0.495,0.465,0.317
"P69","Algo negativo",0.076,0.072,0.06,0.114,0.091,0.028
"P69","Negativo",0.065,0.063,0.038,0.146,0.08,0.234
"P69","No sabe",0.123,0.071,0.155,0.153,0.113,0.191
"P70","Muy positiva",0.392,0.319,0.498,0.117,0.32,0.476
"P70","Positiva",0.206,0.283,0.19,0.21,0.194,0.092
"P70","Neutral",0.231,0.206,0.157,0.317,0.247,0.057
"P70","Algo negativa",0.071,0.063,0.044,0.128,0.08,0.107
"P70","Negativa",0.068,0.106,0.055,0.179,0.112,0.156
"P70","No sabe",0.032,0.023,0.056,0.049,0.047,0.112
"P71","Muy positivo",0.4,0.306,0.507,0.1,0.328,0.391
"P71","Positivo",0.215,0.286,0.226,0.209,0.185,0.056
"P71","Neutral",0.207,0.224,0.114,0.294,0.246,0.138
"P71","Algo negativo",0.073,0.063,0.049,0.149,0.099,0.114
"P71","Negativo",0.079,0.092,0.053,0.205,0.116,0.104
"P71","No sabe",0.026,0.029,0.051,0.043,0.026,0.197
"P72","Muy positivo",0.362,0.268,0.491,0.106,0.346,0.289
"P72","Positivo",0.233,0.281,0.22,0.241,0.233,0.148
"P72","Neutral",0.256,0.292,0.162,0.371,0.248,0.21
"P72","Algo negativo",0.04,0.034,0.037,0.097,0.047,0.107
"P72","Negativo",0.075,0.085,0.055,0.152,0.093,0.16
"P72","No sabe",0.034,0.04,0.035,0.033,0.033,0.086
"P73","Muy positiva",0.295,0.196,0.34,0.026,0.186,0.245
"P73","Positiva",0.258,0.315,0.276,0.152,0.272,0.076
"P73","Neutral",0.222,0.248,0.161,0.317,0.24,0.111
"P73","Algo negativa",0.061,0.067,0.094,0.148,0.088,0.279
"P73","Negativa",0.094,0.127,0.067,0.266,0.139,0.145
"P73","No sabe",0.07,0.047,0.062,0.091,0.075,0.144
"P74","Muy positivo",0.255,0.184,0.328,0.014,0.155,0.243
"P74","Positivo",0.244,0.297,0.293,0.125,0.281,0.17
"P74","Neutral",0.255,0.249,0.145,0.325,0.272,0.267
"P74","Algo negativo",0.092,0.091,0.068,0.163,0.118,0.048
"P74","Negativo",0.09,0.139,0.082,0.285,0.108,0.107
"P74","No sabe",0.064,0.04,0.084,0.088,0.066,0.165
"P75","Muy positivo",0.199,0.158,0.279,0.03,0.143,0.221
"P75","Positivo",0.216,0.292,0.295,0.082,0.225,0.218
"P75","Neutral",0.342,0.324,0.188,0.453,0.385,0.173
"P75","Algo negativo",0.077,0.072,0.056,0.127,0.119,0.064
"P75","Negativo",0.09,0.113,0.074,0.225,0.074,0.151
"P75","No sabe",0.076,0.041,0.108,0.083,0.054,0.173
"P76","Muy positiva",0.409,0.319,0.51,0.188,0.411,0.338
"P76","Positiva",0.214,0.314,0.187,0.203,0.168,0.164
"P76","Neutral",0.195,0.165,0.118,0.263,0.16,0.215
"P76","Algo negativa",0.053,0.077,0.033,0.109,0.135,0.07
"P76","Negativa",0.077,0.094,0.076,0.189,0.097,0.122
"P76","No sabe",0.052,0.031,0.076,0.048,0.029,0.091
"P77","Muy positivo",0.405,0.318,0.531,0.17,0.405,0.272
"P77","Positivo",0.221,0.312,0.229,0.221,0.161,0.177
"P77","Neutral",0.183,0.147,0.103,0.246,0.161,0.072
"P77","Algo negativo",0.072,0.083,0.051,0.116,0.16,0.129
"P77","Negativo",0.074,0.084,0.054,0.208,0.088,0.136
"P77","No sabe",0.045,0.056,0.032,0.039,0.025,0.214
"P78","Muy positivo",0.346,0.299,0.462,0.153,0.3,0.196
"P78","Positivo",0.205,0.248,0.208,0.208,0.157,0.102
"P78","Neutral",0.276,0.256,0.22,0.359,0.292,0.431
"P78","Algo negativo",0.052,0.063,0.029,0.08,0.128,0.03
"P78","Negativo",0.069,0.075,0.04,0.143,0.079,0.125
"P78","No sabe",0.052,0.059,0.041,0.057,0.044,0.116
"P79","Si",0.56,0.581,0.543,0.496,0.595,0.42
"P79","No",0.44,0.419,0.457,0.504,0.405,0.58
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.43,0.388,0.61,0.103,0.388,0.528
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.252,0.295,0.122,0.464,0.295,0.21
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.218,0.263,0.151,0.372,0.184,0.137
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.037,0.028,0.035,0.016,0.02,0.017
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.016,0.011,0.03,0.006,0.007,0.1
"PRESIDENTE","En blanco",0.028,0.003,0.02,0.012,0.09,0
"PRESIDENTE","No sabe",0.019,0.012,0.032,0.027,0.016,0.008
