"var","categoria","Que continúe el intendente Fernando Moreira","Que continúe Fernando Moreira pero con mejoras","Que cambie Fernando Moreira pero que se mantengan los avances","Que cambie el intendente Fernando Moreira"
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.04,0.006,0.046,0.133
"P27","Solo como gobernador a José Luis Espert",0.024,0.021,0.004,0.039
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.054,0.012,0.041
"P27","No sabe",0.023,0.036,0.066,0.051
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.169,0.089,0.271,0.279
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.494,0.699,0.423,0.117
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.017,0.019,0.117,0.236
"P28","Solo como gobernador a José Luis Espert",0.036,0.021,0.024,0.145
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.128,0.065,0.041,0.042
"P28","No sabe",0.156,0.107,0.124,0.181
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.181,0.084,0.281,0.477
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.622,0.765,0.434,0.113
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.014,0.006,0.112,0.201
"P29","Solo como gobernador a José Luis Espert",0.003,0.021,0.008,0.062
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.03,0.013,0.003,0.03
"P29","No sabe",0.15,0.111,0.162,0.117
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.233,0.028,0.222,0.437
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.584,0.773,0.468,0.114
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.05,0.006,0.14,0.189
"P30","Solo como gobernador a José Luis Espert",0,0.027,0.041,0.114
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.044,0.012,0.034
"P30","No sabe",0.133,0.122,0.117,0.112
"P31","Muy buena",0.158,0.087,0.13,0.088
"P31","Buena",0.126,0.073,0.084,0.128
"P31","Ni buena ni mala",0.192,0.24,0.412,0.368
"P31","Mala",0.106,0.132,0.036,0.092
"P31","Muy mala",0.149,0.159,0.056,0.059
"P31","No sabe",0.269,0.309,0.282,0.265
"P32","Muy buena",0.418,0.248,0.092,0.014
"P32","Buena",0.187,0.31,0.142,0.028
"P32","Ni buena ni mala",0.125,0.279,0.478,0.263
"P32","Mala",0.036,0.024,0.069,0.243
"P32","Muy mala",0.13,0.006,0.007,0.222
"P32","No sabe",0.104,0.133,0.212,0.23
"P33","Muy buena",0.217,0.022,0.045,0.046
"P33","Buena",0.122,0.097,0.065,0.137
"P33","Ni buena ni mala",0.207,0.328,0.448,0.262
"P33","Mala",0.048,0.167,0.124,0.118
"P33","Muy mala",0.237,0.125,0.084,0.164
"P33","No sabe",0.169,0.261,0.234,0.273
"P34","Muy buena",0.607,0.542,0.278,0.069
"P34","Buena",0.109,0.203,0.222,0.07
"P34","Ni buena ni mala",0.071,0.161,0.302,0.208
"P34","Mala",0.021,0.043,0.122,0.216
"P34","Muy mala",0.124,0.012,0.018,0.36
"P34","No sabe",0.068,0.039,0.058,0.077
"P35","Muy buena",0.312,0.068,0.092,0.115
"P35","Buena",0.064,0.133,0.129,0.146
"P35","Ni buena ni mala",0.212,0.279,0.396,0.279
"P35","Mala",0.114,0.152,0.143,0.13
"P35","Muy mala",0.186,0.227,0.062,0.189
"P35","No sabe",0.112,0.141,0.178,0.141
"P36","Muy buena",0.304,0.068,0.055,0.045
"P36","Buena",0.081,0.14,0.096,0.053
"P36","Ni buena ni mala",0.314,0.35,0.486,0.345
"P36","Mala",0.049,0.076,0.109,0.168
"P36","Muy mala",0.042,0.116,0.028,0.141
"P36","No sabe",0.21,0.25,0.226,0.248
"P37","Muy buena",0.309,0.186,0.097,0.025
"P37","Buena",0.228,0.172,0.079,0.022
"P37","Ni buena ni mala",0.273,0.338,0.469,0.324
"P37","Mala",0.041,0.059,0.12,0.165
"P37","Muy mala",0.01,0.047,0.011,0.175
"P37","No sabe",0.139,0.198,0.224,0.289
"P38","Muy buena",0.622,0.238,0.071,0.009
"P38","Buena",0.147,0.455,0.141,0.015
"P38","Ni buena ni mala",0.071,0.215,0.559,0.174
"P38","Mala",0.054,0.018,0.095,0.331
"P38","Muy mala",0.062,0,0.009,0.342
"P38","No sabe",0.044,0.074,0.125,0.129
"P40","La seguridad",0.376,0.021,0.048,0.049
"P40","El tránsito",0.026,0.198,0.068,0.005
"P40","El arreglo de las calles",0.146,0.14,0.304,0.066
"P40","Los parques y espacios públicos",0.118,0.19,0.173,0.293
"P40","El sistema de salud",0.05,0.101,0.059,0.015
"P40","La limpieza de las calles",0.017,0.039,0.015,0.031
"P40","El deporte y la cultura",0.144,0.134,0.07,0.071
"P40","La luminaria",0.032,0.044,0.025,0.096
"P40","No sabe",0.091,0.133,0.238,0.374
"P41","La seguridad",0.413,0.422,0.591,0.635
"P41","El tránsito",0.068,0.102,0.077,0.029
"P41","El arreglo de las calles",0.072,0.122,0.105,0.065
"P41","Los parques y espacios públicos",0.026,0.038,0.01,0.049
"P41","El sistema de salud",0.155,0.056,0.049,0.053
"P41","La limpieza de las calles",0.067,0.05,0.024,0.032
"P41","El deporte y la cultura",0.047,0.032,0.024,0.035
"P41","La luminaria",0,0.007,0.019,0.006
"P41","No sabe",0.152,0.171,0.101,0.096
"P42","Agua corriente y cloacas",0.395,0.349,0.423,0.364
"P42","Energía eléctrica",0.155,0.2,0.146,0.167
"P42","Red de gas natural",0.013,0.053,0.075,0.036
"P42","Recolección de residuos",0.133,0.11,0.135,0.196
"P42","Ninguno",0.304,0.288,0.221,0.237
"P43","Los robos",0.389,0.292,0.336,0.322
"P43","El narcotráfico",0.178,0.316,0.346,0.354
"P43","La ausencia de patrulleros y personal policial",0.187,0.189,0.187,0.209
"P43","Otro",0.091,0.106,0.087,0.069
"P43","Ninguno",0.155,0.097,0.044,0.046
