"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Juan Esleiman por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P17","Al candidato del Frente de Izquierda",0.001,0.012,0,0.671,0.007
"P17","No sabe",0.042,0.061,0.062,0,0.693
"P19","Lo votaría",0.329,0.12,0.052,0.159,0.064
"P19","Puede que lo vote",0.251,0.158,0.081,0.017,0.048
"P19","Nunca lo votaría",0.236,0.457,0.501,0.502,0.386
"P19","No sabe",0.184,0.265,0.366,0.322,0.502
"P20","Lo votaría",0.076,0.44,0.034,0.152,0.205
"P20","Puede que lo vote",0.16,0.223,0.065,0.266,0.105
"P20","Nunca lo votaría",0.577,0.154,0.637,0.407,0.302
"P20","No sabe",0.187,0.183,0.264,0.175,0.388
"P21","Lo votaría",0.342,0.14,0.052,0.044,0.063
"P21","Puede que lo vote",0.255,0.117,0.155,0.012,0.076
"P21","Nunca lo votaría",0.187,0.506,0.508,0.563,0.438
"P21","No sabe",0.216,0.237,0.285,0.381,0.423
"P22","Lo votaría",0.079,0.682,0.049,0.332,0.376
"P22","Puede que lo vote",0.176,0.14,0.096,0.384,0.107
"P22","Nunca lo votaría",0.635,0.101,0.733,0.241,0.269
"P22","No sabe",0.11,0.077,0.122,0.043,0.248
"P23","Lo votaría",0.258,0.148,0.133,0.105,0.076
"P23","Puede que lo vote",0.339,0.136,0.148,0.227,0.083
"P23","Nunca lo votaría",0.22,0.548,0.487,0.571,0.406
"P23","No sabe",0.183,0.168,0.232,0.097,0.435
"P24","Lo votaría",0.041,0.213,0.049,0.177,0.035
"P24","Puede que lo vote",0.214,0.3,0.122,0.094,0.099
"P24","Nunca lo votaría",0.506,0.235,0.557,0.421,0.442
"P24","No sabe",0.239,0.252,0.272,0.308,0.424
"P25","Lo votaría",0.037,0.256,0.023,0.15,0.051
"P25","Puede que lo vote",0.155,0.208,0.045,0.137,0.101
"P25","Nunca lo votaría",0.6,0.297,0.566,0.42,0.389
"P25","No sabe",0.208,0.239,0.366,0.293,0.459
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.361,0.125,0.105,0.074,0.105
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.386,0.125,0.161,0.102,0.121
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.118,0.187,0.09,0.154,0.221
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.069,0.499,0.077,0.362,0.259
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.045,0.01,0.394,0,0.059
"P26","Solo como gobernador a José Luis Espert",0.008,0.004,0.082,0,0.004
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.019,0,0.202,0.004
"P26","No sabe",0.013,0.031,0.091,0.106,0.227
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.316,0.045,0.103,0.061,0.071
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.283,0.087,0.05,0.121,0.097
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.224,0.05,0.168,0.08,0.086
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.071,0.204,0.087,0.052,0.179
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.069,0.545,0.078,0.371,0.256
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.015,0.019,0.381,0.109,0.057
"P27","Solo como gobernador a José Luis Espert",0.021,0,0.107,0.013,0.016
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.025,0.022,0.193,0.059
"P27","No sabe",0.001,0.025,0.004,0,0.179
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.547,0.064,0.01,0.094,0.15
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.089,0.691,0.032,0.436,0.308
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.13,0.037,0.572,0,0.064
"P28","Solo como gobernador a José Luis Espert",0.117,0.023,0.207,0,0.063
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.035,0.099,0.037,0.288,0.05
"P28","No sabe",0.082,0.086,0.142,0.182,0.365
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.765,0.069,0.116,0.192,0.157
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.067,0.802,0.019,0.481,0.37
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.077,0.038,0.543,0.02,0.055
"P29","Solo como gobernador a José Luis Espert",0.026,0,0.128,0,0.033
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.015,0.018,0.036,0.307,0.008
"P29","No sabe",0.05,0.073,0.158,0,0.377
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.694,0.049,0.118,0.156,0.16
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.054,0.799,0,0.445,0.389
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.098,0.036,0.558,0,0.056
"P30","Solo como gobernador a José Luis Espert",0.084,0.008,0.212,0.031,0.071
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.012,0.033,0,0.349,0.008
"P30","No sabe",0.058,0.075,0.112,0.019,0.316
"P31","Muy buena",0.207,0.096,0.022,0.013,0.076
"P31","Buena",0.183,0.105,0.102,0.049,0.039
"P31","Ni buena ni mala",0.4,0.273,0.311,0.466,0.283
"P31","Mala",0.055,0.098,0.106,0.105,0.104
"P31","Muy mala",0.017,0.139,0.111,0.18,0.077
"P31","No sabe",0.138,0.289,0.348,0.187,0.421
"P32","Muy buena",0.093,0.246,0,0.039,0.135
"P32","Buena",0.07,0.218,0.033,0.293,0.072
"P32","Ni buena ni mala",0.329,0.282,0.274,0.29,0.271
"P32","Mala",0.222,0.055,0.155,0.244,0.1
"P32","Muy mala",0.156,0.052,0.249,0.022,0.114
"P32","No sabe",0.13,0.147,0.289,0.112,0.308
"P33","Muy buena",0.129,0.104,0.026,0,0.01
"P33","Buena",0.265,0.061,0.004,0.087,0.036
"P33","Ni buena ni mala",0.267,0.295,0.398,0.239,0.262
"P33","Mala",0.104,0.147,0.087,0.074,0.112
"P33","Muy mala",0.071,0.195,0.198,0.102,0.142
"P33","No sabe",0.164,0.198,0.287,0.498,0.438
"P34","Muy buena",0.066,0.531,0.025,0.359,0.32
"P34","Buena",0.126,0.161,0.031,0.232,0.118
"P34","Ni buena ni mala",0.269,0.13,0.304,0.107,0.162
"P34","Mala",0.227,0.071,0.24,0.062,0.035
"P34","Muy mala",0.263,0.061,0.328,0.178,0.197
"P34","No sabe",0.049,0.046,0.072,0.062,0.168
"P35","Muy buena",0.202,0.153,0.091,0.017,0.052
"P35","Buena",0.195,0.082,0.134,0.162,0.093
"P35","Ni buena ni mala",0.323,0.269,0.302,0.245,0.253
"P35","Mala",0.096,0.148,0.125,0.15,0.137
"P35","Muy mala",0.122,0.25,0.169,0.201,0.156
"P35","No sabe",0.062,0.098,0.179,0.225,0.309
"P36","Muy buena",0.12,0.14,0.062,0,0.011
"P36","Buena",0.065,0.152,0.091,0.017,0.028
"P36","Ni buena ni mala",0.411,0.378,0.273,0.355,0.296
"P36","Mala",0.169,0.084,0.151,0.119,0.083
"P36","Muy mala",0.064,0.095,0.183,0.034,0.121
"P36","No sabe",0.171,0.151,0.24,0.475,0.461
"P37","Muy buena",0.067,0.215,0.027,0.122,0.058
"P37","Buena",0.032,0.198,0,0.118,0.063
"P37","Ni buena ni mala",0.433,0.335,0.303,0.379,0.233
"P37","Mala",0.189,0.067,0.162,0.055,0.069
"P37","Muy mala",0.083,0.051,0.238,0.022,0.136
"P37","No sabe",0.196,0.134,0.27,0.304,0.441
"P38","Muy buena",0.065,0.264,0.028,0.04,0.199
"P38","Buena",0.042,0.288,0.033,0.3,0.086
"P38","Ni buena ni mala",0.282,0.243,0.183,0.223,0.206
"P38","Mala",0.324,0.093,0.252,0.16,0.089
"P38","Muy mala",0.216,0.041,0.398,0.106,0.183
"P38","No sabe",0.071,0.071,0.106,0.171,0.237
"P39","Que continúe el intendente Fernando Moreira",0.096,0.24,0.056,0.126,0.164
"P39","Que continúe Fernando Moreira pero con mejoras",0.008,0.408,0.056,0.363,0.196
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.188,0.196,0.086,0.061,0.242
"P39","Que cambie el intendente Fernando Moreira",0.708,0.156,0.802,0.45,0.398
"P40","La seguridad",0.122,0.126,0.046,0,0.055
"P40","El tránsito",0.029,0.09,0.028,0.086,0.064
"P40","El arreglo de las calles",0.093,0.204,0.052,0.034,0.158
"P40","Los parques y espacios públicos",0.248,0.208,0.28,0.392,0.157
"P40","El sistema de salud",0.004,0.116,0.001,0.032,0.025
"P40","La limpieza de las calles",0.025,0.018,0.034,0.035,0.039
"P40","El deporte y la cultura",0.061,0.111,0.073,0.162,0.12
"P40","La luminaria",0.122,0.018,0.105,0.061,0.027
"P40","No sabe",0.296,0.109,0.381,0.198,0.355
"P41","La seguridad",0.668,0.471,0.565,0.457,0.514
"P41","El tránsito",0.035,0.113,0.049,0.013,0.023
"P41","El arreglo de las calles",0.082,0.105,0.098,0.018,0.061
"P41","Los parques y espacios públicos",0.034,0.038,0.046,0.015,0.033
"P41","El sistema de salud",0.037,0.065,0.081,0.198,0.089
"P41","La limpieza de las calles",0.039,0.04,0.015,0.066,0.052
"P41","El deporte y la cultura",0.025,0.032,0.029,0,0.057
"P41","La luminaria",0.006,0.004,0,0,0.021
"P41","No sabe",0.074,0.132,0.117,0.233,0.15
"P42","Agua corriente y cloacas",0.384,0.442,0.329,0.089,0.343
"P42","Energía eléctrica",0.221,0.167,0.165,0.068,0.118
"P42","Red de gas natural",0.059,0.035,0.018,0.075,0.045
"P42","Recolección de residuos",0.174,0.095,0.215,0.186,0.188
"P42","Ninguno",0.162,0.261,0.273,0.582,0.306
"P43","Los robos",0.375,0.365,0.242,0.105,0.303
"P43","El narcotráfico",0.327,0.297,0.354,0.366,0.305
"P43","La ausencia de patrulleros y personal policial",0.2,0.159,0.216,0.28,0.226
"P43","Otro",0.039,0.082,0.127,0.052,0.119
"P43","Ninguno",0.059,0.097,0.061,0.197,0.047
