"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P19","No sabe",0.058,0.173,0.252,0.303,0.366
"P20","La seguridad",0.107,0.226,0.216,0.303,0.217
"P20","El tránsito",0.128,0.085,0.109,0,0.085
"P20","El arreglo de las calles",0.18,0.165,0.111,0.14,0.078
"P20","El estado de las escuelas y la educación",0.189,0.183,0.176,0.121,0.141
"P20","El sistema de salud",0.175,0.17,0.185,0.13,0.198
"P20","El deporte y la cultura",0.042,0.029,0.012,0.1,0.037
"P20","La obra pública",0.036,0.061,0.023,0.035,0.104
"P20","La luminaria",0.024,0.014,0.082,0.038,0.03
"P20","No sabe",0.119,0.067,0.086,0.133,0.11
"P21","Agua corriente y cloacas",0.418,0.509,0.481,0.494,0.525
"P21","Energía eléctrica",0.119,0.115,0.089,0.038,0.072
"P21","Red de gas natural",0.111,0.078,0.096,0.108,0.021
"P21","Recolección de residuos",0.143,0.14,0.205,0.177,0.08
"P21","Ninguno",0.209,0.158,0.129,0.183,0.302
"P22","Los robos",0.246,0.329,0.356,0.19,0.188
"P22","El narcotráfico",0.3,0.302,0.197,0.4,0.298
"P22","La ausencia de patrulleros y personal policial",0.142,0.156,0.224,0.187,0.113
"P22","Otro",0.146,0.134,0.123,0.223,0.28
"P22","Ninguno",0.166,0.079,0.1,0,0.121
"P23","Frente de Todos y el peronismo",0.555,0.123,0.085,0.124,0.136
"P23","Cambiemos",0.152,0.639,0.196,0.261,0.196
"P23","Liberales Libertarios",0.097,0.138,0.654,0.035,0.224
"P23","Izquierda",0.038,0.015,0.02,0.384,0.03
"P23","No sabe",0.158,0.085,0.045,0.196,0.414
"P25","A Alberto Fernández",0.236,0.46,0.198,0.034,0.097
"P25","A Sergio Massa",0.268,0.291,0.221,0,0.548
"P25","A algún candidato del peronismo",0.122,0.144,0.048,0.129,0.027
"P25","A algún candidato del kirchnerismo",0.374,0.105,0.533,0.837,0.328
"P26","A Alberto Fernández",0.12,0.395,0,0,0
"P26","A Sergio Massa",0.156,0.092,0.111,0.034,0.344
"P26","A algún candidato del peronismo",0.108,0.432,0,0.13,0.315
"P26","A Cristina Fernández de Kirchner",0.616,0.081,0.889,0.836,0.341
"P27","A Horacio Rodriguez Larreta",0.352,0.312,0.281,0,0.221
"P27","A Mauricio Macri",0.352,0.336,0.314,0.438,0.152
"P27","A Patricia Bullrich",0.065,0.25,0.192,0.109,0.368
"P27","A Facundo Manes",0.138,0.1,0.034,0.453,0.123
"P27","A Gerardo Morales",0.093,0.002,0.179,0,0.136
"P28","Seguro lo votaria",0.119,0.209,0.209,0,0.153
"P28","Quizás lo votaría",0.37,0.407,0.168,0.136,0.191
"P28","Nunca lo votaría",0.511,0.384,0.623,0.864,0.656
"P29","Muy buena",0.12,0.046,0.019,0,0.047
"P29","Buena",0.238,0.036,0.031,0.141,0.057
"P29","Ni buena ni mala",0.28,0.061,0.177,0.235,0.174
"P29","Mala",0.144,0.143,0.108,0.163,0.173
"P29","Muy mala",0.208,0.689,0.665,0.421,0.532
"P29","No sabe",0.01,0.025,0,0.04,0.017
"P30","Muy buena",0.064,0.302,0.131,0.008,0.027
"P30","Buena",0.059,0.267,0.288,0.075,0.116
"P30","Ni buena ni mala",0.155,0.183,0.213,0.121,0.293
"P30","Mala",0.221,0.107,0.16,0.208,0.218
"P30","Muy mala",0.486,0.141,0.208,0.575,0.308
"P30","No sabe",0.015,0,0,0.013,0.038
"P31","Muy buena",0.403,0.075,0.053,0.205,0.078
"P31","Buena",0.08,0.036,0.081,0.118,0.032
"P31","Ni buena ni mala",0.148,0.014,0.06,0.146,0.126
"P31","Mala",0.087,0.082,0.049,0.176,0.127
"P31","Muy mala",0.281,0.783,0.748,0.342,0.626
"P31","No sabe",0.001,0.01,0.009,0.013,0.011
"P32","Muy buena",0.125,0.351,0.104,0.175,0.174
"P32","Buena",0.146,0.263,0.276,0.113,0.14
"P32","Ni buena ni mala",0.204,0.209,0.253,0.014,0.312
"P32","Mala",0.188,0.043,0.126,0.073,0.138
"P32","Muy mala",0.321,0.119,0.232,0.612,0.204
"P32","No sabe",0.016,0.015,0.009,0.013,0.032
"P33","Muy buena",0.138,0.128,0.048,0.096,0.147
"P33","Buena",0.256,0.062,0.104,0.228,0.121
"P33","Ni buena ni mala",0.266,0.097,0.103,0.129,0.191
"P33","Mala",0.119,0.169,0.132,0.057,0.073
"P33","Muy mala",0.201,0.516,0.604,0.49,0.451
"P33","No sabe",0.02,0.028,0.009,0,0.017
"P34","Muy buena",0.072,0.514,0.348,0.296,0.135
"P34","Buena",0.088,0.185,0.237,0.011,0.203
"P34","Ni buena ni mala",0.13,0.099,0.224,0,0.223
"P34","Mala",0.137,0.084,0.018,0.054,0.118
"P34","Muy mala",0.537,0.099,0.164,0.618,0.275
"P34","No sabe",0.036,0.019,0.009,0.021,0.046
"P35","Muy buena",0.076,0.185,0.522,0.147,0.106
"P35","Buena",0.064,0.172,0.154,0.011,0.15
"P35","Ni buena ni mala",0.204,0.329,0.187,0.037,0.239
"P35","Mala",0.179,0.138,0.029,0.107,0.208
"P35","Muy mala",0.436,0.121,0.108,0.685,0.168
"P35","No sabe",0.041,0.055,0,0.013,0.129
