"var","categoria","Peor","Igual","Mejor","No sabe"
"P54","Muy mala",0.259,0.135,0.138,0.188
"P54","No sabe",0.001,0.013,0,0.154
"P55","Muy buena",0.316,0.165,0.156,0.158
"P55","Buena",0.078,0.242,0.227,0.194
"P55","Ni buena ni mala",0.16,0.287,0.328,0.183
"P55","Mala",0.121,0.118,0.158,0.111
"P55","Muy mala",0.287,0.143,0.105,0.172
"P55","No sabe",0.038,0.045,0.026,0.182
"P56","Muy buena",0.448,0.332,0.504,0.294
"P56","Buena",0.093,0.239,0.15,0.123
"P56","Ni buena ni mala",0.108,0.143,0.124,0.078
"P56","Mala",0.107,0.095,0.116,0.106
"P56","Muy mala",0.237,0.14,0.091,0.167
"P56","No sabe",0.007,0.051,0.015,0.232
"P57","Muy buena",0.187,0.105,0.085,0.059
"P57","Buena",0.159,0.257,0.239,0.087
"P57","Ni buena ni mala",0.287,0.402,0.525,0.271
"P57","Mala",0.16,0.13,0.11,0.183
"P57","Muy mala",0.188,0.076,0.019,0.155
"P57","No sabe",0.019,0.03,0.022,0.245
"P58","Muy buena",0.386,0.143,0.148,0.15
"P58","Buena",0.138,0.267,0.254,0.113
"P58","Ni buena ni mala",0.127,0.249,0.354,0.198
"P58","Mala",0.087,0.134,0.107,0.104
"P58","Muy mala",0.252,0.155,0.12,0.192
"P58","No sabe",0.01,0.052,0.017,0.243
"P59","Muy buena",0.284,0.172,0.174,0.046
"P59","Buena",0.113,0.206,0.219,0.199
"P59","Ni buena ni mala",0.255,0.27,0.365,0.254
"P59","Mala",0.108,0.135,0.12,0.084
"P59","Muy mala",0.216,0.113,0.083,0.165
"P59","No sabe",0.024,0.104,0.039,0.252
