"var","categoria","Espionaje por medio del Monitoreo de telecomunicaciones satelitales","Investigaciones científicas no declaradas con fines secretos","Prestar servicios de comunicación y posicionamiento global al ejército Chino","Otro","No sabe"
"P38","7",0.064,0.059,0.08,0.115,0.056
"P38","8",0.039,0.019,0.038,0.017,0.027
"P38","9-Pésimo",0.24,0.135,0.317,0.054,0.17
"P38","No sabe",0.053,0.083,0.084,0.076,0.205
"P39","1-Excelente",0.174,0.188,0.085,0.153,0.083
"P39","2",0.084,0.163,0.076,0.059,0.157
"P39","3",0.067,0.073,0.093,0.06,0.058
"P39","4",0.094,0.06,0.057,0.145,0.095
"P39","5",0.143,0.199,0.127,0.229,0.105
"P39","6",0.04,0.025,0.019,0.031,0.063
"P39","7",0.046,0.058,0.056,0.038,0.028
"P39","8",0.033,0.015,0.107,0.051,0.062
"P39","9-Pésimo",0.27,0.15,0.289,0.076,0.168
"P39","No sabe",0.049,0.069,0.091,0.158,0.181
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.279,0.175,0.178,0.347,0.376
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.192,0.36,0.194,0.188,0.179
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.272,0.254,0.356,0.219,0.128
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.218,0.135,0.261,0.17,0.12
"P40","No sabe",0.039,0.076,0.011,0.076,0.197
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.216,0.211,0.121,0.244,0.27
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.164,0.244,0.077,0.211,0.195
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.329,0.38,0.5,0.312,0.227
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.285,0.095,0.294,0.125,0.111
"P41","No sabe",0.006,0.07,0.008,0.108,0.197
"P42","Oponerse totalmente",0.142,0.245,0.151,0.371,0.222
"P42","Oponerse parcialmente",0.175,0.213,0.038,0.185,0.14
"P42","Apoyar parcialmente",0.317,0.322,0.341,0.164,0.282
"P42","Apoyar totalmente",0.326,0.204,0.427,0.228,0.172
"P42","No sabe",0.04,0.016,0.043,0.052,0.184
"P43","Inseguridad y narcotráfico",0.616,0.24,0.263,0.161,0.138
"P43","Altos impuestos y tarifas",0.21,0.59,0.11,0.105,0.152
"P43","Educación y estado de las escuelas",0.066,0.079,0.46,0.138,0.089
"P43","Inflación",0.043,0.053,0.05,0.499,0.221
"P43","Estado de la salud",0.017,0.009,0.023,0.007,0.374
"P43","Corrupción",0.046,0.011,0.018,0.03,0.008
"P43","Pobreza",0,0.018,0,0.004,0.003
"P43","Medio ambiente, incendios y contaminación",0,0,0.018,0,0
"P43","Falta de trabajo",0,0,0.053,0,0
"P43","No sabe",0.002,0,0.005,0.056,0.015
"P47","Muy buena",0.028,0.028,0,0.026,0.035
"P47","Buena",0.223,0.445,0.316,0.344,0.218
"P47","Ni buena ni mala",0.374,0.357,0.344,0.327,0.333
"P47","Mala",0.191,0.123,0.202,0.242,0.24
"P47","Muy mala",0.149,0.008,0.138,0.015,0.099
"P47","No sabe",0.035,0.039,0,0.046,0.075
"P48","Peor",0.333,0.271,0.287,0.368,0.366
"P48","Igual",0.466,0.51,0.516,0.413,0.372
"P48","Mejor",0.141,0.181,0.156,0.112,0.134
"P48","No sabe",0.06,0.038,0.041,0.107,0.128
"P49","Peor",0.312,0.235,0.17,0.214,0.289
"P49","Igual",0.368,0.371,0.472,0.447,0.308
"P49","Mejor",0.244,0.332,0.227,0.181,0.253
"P49","No sabe",0.076,0.062,0.131,0.158,0.15
"P50","El gobierno de Javier Milei",0.129,0.242,0.046,0.508,0.421
"P50","El gobierno de Alberto Fernández",0.769,0.643,0.866,0.335,0.397
"P50","Ambos",0.088,0.109,0.084,0.113,0.122
"P50","No sabe",0.014,0.006,0.004,0.044,0.06
"P51","Javier Milei",0.664,0.432,0.691,0.311,0.297
"P51","Los gobernadores",0.224,0.465,0.201,0.487,0.513
"P51","No sabe",0.112,0.103,0.108,0.202,0.19
"P52","Muy buena",0.077,0.084,0.073,0.223,0.248
"P52","Buena",0.04,0.219,0.046,0.15,0.067
"P52","Ni buena ni mala",0.019,0.083,0.011,0.241,0.144
"P52","Mala",0.205,0.175,0.142,0.134,0.097
"P52","Muy mala",0.659,0.439,0.722,0.252,0.386
"P52","No sabe",0,0,0.006,0,0.058
"P53","Muy buena",0.137,0.12,0.128,0.019,0.043
"P53","Buena",0.129,0.2,0.365,0.116,0.102
"P53","Ni buena ni mala",0.308,0.267,0.315,0.077,0.158
"P53","Mala",0.232,0.256,0.089,0.487,0.301
"P53","Muy mala",0.194,0.157,0.103,0.301,0.288
"P53","No sabe",0,0,0,0,0.108
"P54","Muy buena",0.311,0.326,0.389,0.088,0.135
"P54","Buena",0.313,0.261,0.496,0.205,0.212
"P54","Ni buena ni mala",0.192,0.2,0.036,0.164,0.141
"P54","Mala",0.101,0.121,0.037,0.293,0.164
"P54","Muy mala",0.08,0.092,0.042,0.25,0.271
"P54","No sabe",0.003,0,0,0,0.077
"P55","Muy buena",0.29,0.167,0.198,0.035,0.062
"P55","Buena",0.122,0.393,0.33,0.138,0.103
"P55","Ni buena ni mala",0.306,0.224,0.335,0.232,0.296
"P55","Mala",0.146,0.091,0.049,0.238,0.099
"P55","Muy mala",0.127,0.076,0.061,0.3,0.286
"P55","No sabe",0.009,0.049,0.027,0.057,0.154
"P56","Muy buena",0.616,0.322,0.581,0.185,0.239
"P56","Buena",0.101,0.344,0.175,0.171,0.143
"P56","Ni buena ni mala",0.1,0.115,0.149,0.094,0.188
"P56","Mala",0.096,0.065,0.039,0.249,0.091
"P56","Muy mala",0.069,0.08,0.043,0.255,0.205
"P56","No sabe",0.018,0.074,0.013,0.046,0.134
"P57","Muy buena",0.074,0.119,0.059,0.012,0.054
"P57","Buena",0.204,0.305,0.288,0.14,0.154
"P57","Ni buena ni mala",0.424,0.38,0.458,0.345,0.438
"P57","Mala",0.123,0.108,0.099,0.318,0.14
"P57","Muy mala",0.155,0.057,0.065,0.114,0.076
"P57","No sabe",0.02,0.031,0.031,0.071,0.138
"P58","Muy buena",0.285,0.252,0.26,0.03,0.07
"P58","Buena",0.261,0.272,0.383,0.139,0.151
"P58","Ni buena ni mala",0.267,0.222,0.237,0.211,0.236
"P58","Mala",0.069,0.07,0.036,0.335,0.148
"P58","Muy mala",0.108,0.096,0.06,0.239,0.257
"P58","No sabe",0.01,0.088,0.024,0.046,0.138
"P59","Muy buena",0.198,0.201,0.252,0.037,0.103
"P59","Buena",0.263,0.33,0.244,0.029,0.082
"P59","Ni buena ni mala",0.364,0.24,0.388,0.318,0.317
"P59","Mala",0.07,0.067,0.026,0.254,0.115
"P59","Muy mala",0.046,0.08,0.058,0.283,0.173
"P59","No sabe",0.059,0.082,0.032,0.079,0.21
