"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P16","Ni buena ni mala",0.232,0.286,0.27,0.228,0.114
"P16","Mala",0.104,0.119,0.332,0.222,0.139
"P16","Muy mala",0.092,0.108,0.124,0.295,0.158
"P16","No sabe",0.053,0.06,0.008,0.04,0.285
"P17","Muy buena",0.345,0.096,0.065,0.098,0.103
"P17","Buena",0.262,0.39,0.078,0.064,0.089
"P17","Ni buena ni mala",0.223,0.214,0.155,0.076,0.186
"P17","Mala",0.075,0.111,0.367,0.179,0.145
"P17","Muy mala",0.083,0.177,0.329,0.56,0.282
"P17","No sabe",0.012,0.012,0.006,0.023,0.195
"P18","Muy buena",0.195,0.175,0.33,0.61,0.155
"P18","Buena",0.086,0.322,0.291,0.131,0.127
"P18","Ni buena ni mala",0.097,0.147,0.209,0.085,0.12
"P18","Mala",0.261,0.117,0.091,0.053,0.268
"P18","Muy mala",0.347,0.231,0.077,0.098,0.087
"P18","No sabe",0.014,0.008,0.002,0.023,0.243
"P20","Muy buena",0.218,0.091,0.093,0.058,0.006
"P20","Buena",0.184,0.332,0.171,0.085,0.096
"P20","Ni buena ni mala",0.324,0.21,0.407,0.253,0.216
"P20","Mala",0.095,0.196,0.178,0.193,0.177
"P20","Muy mala",0.113,0.088,0.11,0.374,0.248
"P20","No sabe",0.066,0.083,0.041,0.037,0.257
"P21","Si",0.606,0.449,0.549,0.259,0.304
"P21","No",0.219,0.434,0.33,0.501,0.285
"P21","No sabe",0.175,0.117,0.121,0.24,0.411
"P23","Gobierno nacional",0.542,0.321,0.207,0.031,0.218
"P23","Gobierno provincial",0.323,0.551,0.661,0.891,0.383
"P23","No sabe",0.135,0.128,0.132,0.078,0.399
"P24","El gobierno anterior de Omar Gutierrez",0.281,0.333,0.443,0.558,0.044
"P24","El actual gobierno de Rolo Figueroa",0.228,0.397,0.225,0.201,0.457
"P24","No sabe",0.491,0.27,0.332,0.241,0.499
"P25","El gobierno anterior de Alberto Fernández",0.305,0.457,0.758,0.752,0.04
"P25","El actual gobierno de Javier Milei",0.642,0.518,0.16,0,0.393
"P25","No sabe",0.053,0.025,0.082,0.248,0.567
"P26","Si",0.854,0.752,0.915,0.861,0.631
"P26","No",0.146,0.248,0.085,0.139,0.369
"P27","Si",0.653,0.317,0.148,0.137,0.108
"P27","No estoy seguro",0.229,0.494,0.548,0.436,0.391
"P27","No",0.046,0.062,0.196,0.393,0.136
"P27","No sabe",0.072,0.127,0.108,0.034,0.365
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.177,0.291,0.273,0.315,0.161
"P28","Investigaciones científicas no declaradas con fines secretos",0.328,0.382,0.298,0.212,0.069
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.123,0.042,0.191,0.269,0.113
"P28","Otro",0.155,0.103,0.048,0.074,0.071
"P28","No sabe",0.217,0.182,0.19,0.13,0.586
"P29","Es imposible",0.389,0.207,0.236,0.381,0.135
"P29","Es muy difícil",0.134,0.387,0.426,0.318,0.138
"P29","Es bastante factible",0.167,0.124,0.134,0.083,0.027
"P29","Es posible",0.23,0.246,0.126,0.151,0.133
"P29","No sabe",0.08,0.036,0.078,0.067,0.567
"P30","Si",0.293,0.259,0.503,0.739,0.194
"P30","Es probable",0.16,0.383,0.264,0.134,0.127
"P30","No",0.461,0.305,0.133,0.05,0.134
"P30","No sabe",0.086,0.053,0.1,0.077,0.545
"P31","De acuerdo",0.323,0.417,0.728,0.824,0.281
"P31","Ni de acuerdo ni en desacuerdo",0.281,0.334,0.127,0.09,0.219
"P31","En desacuerdo",0.381,0.219,0.104,0.042,0.111
"P31","No sabe",0.015,0.03,0.041,0.044,0.389
"P32","Si",0.68,0.571,0.727,0.802,0.326
"P32","No",0.192,0.361,0.117,0.139,0.088
"P32","No sabe",0.128,0.068,0.156,0.059,0.586
"P33","Muy de acuerdo",0.189,0.075,0.178,0.47,0.07
"P33","De acuerdo",0.116,0.254,0.289,0.277,0.139
"P33","Ni de acuerdo ni en desacuerdo",0.06,0.21,0.215,0.166,0.102
"P33","En desacuerdo",0.508,0.425,0.269,0.063,0.274
"P33","Muy en desacuerdo",0.123,0.032,0.025,0.023,0.185
"P33","No sabe",0.004,0.004,0.024,0.001,0.23
"P34","Si",0.72,0.534,0.733,0.859,0.282
"P34","No",0.28,0.466,0.267,0.141,0.718
"P35","Muy de acuerdo",0.219,0.089,0.255,0.448,0.035
"P35","De acuerdo",0.148,0.262,0.203,0.238,0.389
"P35","Ni de acuerdo ni en desacuerdo",0.083,0.27,0.184,0.176,0.038
"P35","En desacuerdo",0.394,0.341,0.222,0.097,0.168
"P35","Muy en desacuerdo",0.153,0.038,0.131,0.041,0.192
"P35","No sabe",0.003,0,0.005,0,0.178
"P36","1-Excelente",0.34,0.14,0.163,0.134,0.05
"P36","2",0.1,0.282,0.099,0.097,0.038
"P36","3",0.034,0.056,0.081,0.06,0.131
"P36","4",0.051,0.03,0.054,0.059,0.095
"P36","5",0.156,0.141,0.205,0.149,0.066
"P36","6",0.046,0.043,0.024,0.03,0.002
"P36","7",0.061,0.041,0.028,0.014,0.033
"P36","8",0.012,0.05,0.054,0.025,0.023
"P36","9-Pésimo",0.157,0.128,0.223,0.305,0.14
"P36","No sabe",0.043,0.089,0.069,0.127,0.422
"P37","1-Excelente",0.256,0.141,0.093,0.125,0.03
"P37","2",0.142,0.305,0.104,0.061,0.006
"P37","3",0.051,0.058,0.095,0.032,0.086
"P37","4",0.035,0.074,0.074,0.11,0.208
"P37","5",0.145,0.12,0.256,0.168,0.037
"P37","6",0.092,0.123,0.068,0.036,0.001
"P37","7",0.055,0.047,0.033,0.059,0.023
"P37","8",0.039,0.012,0.038,0.055,0.033
"P37","9-Pésimo",0.148,0.111,0.199,0.297,0.154
"P37","No sabe",0.037,0.009,0.04,0.057,0.422
"P38","1-Excelente",0.288,0.145,0.126,0.141,0.046
"P38","2",0.107,0.275,0.11,0.051,0.061
"P38","3",0.084,0.083,0.096,0.047,0.002
"P38","4",0.065,0.142,0.083,0.098,0.046
"P38","5",0.12,0.14,0.174,0.114,0.046
"P38","6",0.049,0.06,0.063,0.059,0.216
"P38","7",0.039,0.054,0.062,0.066,0
"P38","8",0.03,0.036,0.042,0.052,0
"P38","9-Pésimo",0.164,0.05,0.185,0.283,0.162
"P38","No sabe",0.054,0.015,0.059,0.089,0.421
"P39","1-Excelente",0.291,0.141,0.101,0.127,0.138
"P39","2",0.133,0.214,0.12,0.062,0.007
"P39","3",0.058,0.147,0.134,0.049,0
"P39","4",0.041,0.174,0.048,0.068,0.174
"P39","5",0.139,0.118,0.201,0.193,0.037
"P39","6",0.049,0.067,0.076,0.06,0.041
"P39","7",0.058,0.038,0.071,0.028,0
"P39","8",0.019,0.031,0.03,0.041,0.05
"P39","9-Pésimo",0.168,0.054,0.167,0.29,0.166
"P39","No sabe",0.044,0.016,0.052,0.082,0.387
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.889,0.463,0.127,0.044,0.155
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.071,0.356,0.403,0.052,0.025
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.006,0.057,0.319,0.404,0.192
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.008,0.012,0.149,0.462,0.07
"P40","No sabe",0.026,0.112,0.002,0.038,0.558
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.832,0.262,0.045,0.054,0.069
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.124,0.509,0.208,0.028,0.029
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.027,0.138,0.682,0.311,0.259
"P41","Apoyar totalmente la iniciativa del gobierno nacional",0.002,0.012,0.065,0.592,0.026
"P41","No sabe",0.015,0.079,0,0.015,0.617
"P43","Inseguridad y narcotráfico",0.313,0.321,0.344,0.351,0.266
"P43","Altos impuestos y tarifas",0.208,0.321,0.3,0.24,0.033
"P43","Educación y estado de las escuelas",0.211,0.134,0.144,0.191,0.144
"P43","Inflación",0.191,0.186,0.078,0.089,0.324
"P43","Estado de la salud",0.047,0.038,0.057,0.07,0.233
"P43","Corrupción",0.009,0,0.037,0.034,0
"P43","Pobreza",0.012,0,0.002,0.015,0
"P43","Medio ambiente, incendios y contaminación",0,0,0.01,0,0
"P43","Falta de trabajo",0.003,0,0.024,0,0
"P43","No sabe",0.006,0,0.004,0.01,0
"P47","Muy buena",0.261,0.055,0.041,0.019,0.066
"P47","Buena",0.236,0.358,0.322,0.27,0.097
"P47","Ni buena ni mala",0.255,0.351,0.415,0.277,0.394
"P47","Mala",0.196,0.159,0.173,0.223,0.219
"P47","Muy mala",0.05,0.005,0.047,0.169,0.069
"P47","No sabe",0.002,0.072,0.002,0.042,0.155
"P48","Peor",0.584,0.235,0.288,0.363,0.076
"P48","Igual",0.317,0.53,0.466,0.476,0.404
"P48","Mejor",0.059,0.184,0.219,0.1,0.023
"P48","No sabe",0.04,0.051,0.027,0.061,0.497
"P49","Peor",0.609,0.219,0.192,0.274,0.073
"P49","Igual",0.211,0.581,0.394,0.281,0.238
"P49","Mejor",0.128,0.146,0.385,0.295,0.248
"P49","No sabe",0.052,0.054,0.029,0.15,0.441
"P50","El gobierno de Javier Milei",0.75,0.4,0.048,0.031,0.343
"P50","El gobierno de Alberto Fernández",0.115,0.465,0.864,0.877,0.344
"P50","Ambos",0.123,0.131,0.088,0.066,0.062
"P50","No sabe",0.012,0.004,0,0.026,0.251
"P51","Javier Milei",0.312,0.238,0.644,0.876,0.34
"P51","Los gobernadores",0.641,0.574,0.216,0.1,0.355
"P51","No sabe",0.047,0.188,0.14,0.024,0.305
"P52","Muy buena",0.474,0.213,0.024,0.042,0.14
"P52","Buena",0.225,0.299,0.01,0.026,0.013
"P52","Ni buena ni mala",0.163,0.095,0.077,0.025,0.206
"P52","Mala",0.085,0.152,0.223,0.107,0.15
"P52","Muy mala",0.053,0.241,0.666,0.8,0.302
"P52","No sabe",0,0,0,0,0.189
"P53","Muy buena",0.178,0.191,0.067,0.167,0.025
"P53","Buena",0.079,0.206,0.166,0.236,0.102
"P53","Ni buena ni mala",0.083,0.141,0.409,0.299,0.053
"P53","Mala",0.299,0.239,0.192,0.179,0.317
"P53","Muy mala",0.361,0.22,0.166,0.119,0.105
"P53","No sabe",0,0.003,0,0,0.398
"P54","Muy buena",0.178,0.212,0.365,0.449,0.016
"P54","Buena",0.081,0.277,0.342,0.32,0.296
"P54","Ni buena ni mala",0.066,0.123,0.206,0.158,0.164
"P54","Mala",0.259,0.198,0.044,0.052,0.058
"P54","Muy mala",0.415,0.19,0.043,0.021,0.134
"P54","No sabe",0.001,0,0,0,0.332
"P55","Muy buena",0.199,0.195,0.157,0.358,0.159
"P55","Buena",0.041,0.213,0.235,0.29,0.102
"P55","Ni buena ni mala",0.092,0.215,0.422,0.249,0.257
"P55","Mala",0.232,0.149,0.068,0.03,0.024
"P55","Muy mala",0.392,0.228,0.071,0.042,0.118
"P55","No sabe",0.044,0,0.047,0.031,0.34
"P56","Muy buena",0.208,0.278,0.463,0.714,0.195
"P56","Buena",0.063,0.207,0.237,0.209,0.131
"P56","Ni buena ni mala",0.113,0.16,0.186,0.031,0.179
"P56","Mala",0.21,0.133,0.032,0.027,0
"P56","Muy mala",0.383,0.203,0.042,0.003,0.116
"P56","No sabe",0.023,0.019,0.04,0.016,0.379
"P57","Muy buena",0.187,0.163,0.101,0.084,0.016
"P57","Buena",0.13,0.215,0.221,0.299,0.188
"P57","Ni buena ni mala",0.227,0.356,0.534,0.388,0.331
"P57","Mala",0.205,0.155,0.103,0.107,0.044
"P57","Muy mala",0.221,0.09,0.017,0.106,0.058
"P57","No sabe",0.03,0.021,0.024,0.016,0.363
"P58","Muy buena",0.225,0.106,0.156,0.455,0.143
"P58","Buena",0.047,0.227,0.332,0.309,0.071
"P58","Ni buena ni mala",0.113,0.22,0.376,0.167,0.206
"P58","Mala",0.181,0.175,0.039,0.048,0.092
"P58","Muy mala",0.403,0.243,0.061,0.005,0.116
"P58","No sabe",0.031,0.029,0.036,0.016,0.372
"P59","Muy buena",0.183,0.076,0.149,0.435,0
"P59","Buena",0.04,0.255,0.235,0.244,0.151
"P59","Ni buena ni mala",0.142,0.296,0.469,0.241,0.255
"P59","Mala",0.239,0.179,0.032,0.023,0.017
"P59","Muy mala",0.338,0.128,0.046,0.029,0.085
"P59","No sabe",0.058,0.066,0.069,0.028,0.492
