"var","categoria","Si","No estoy seguro","No","No sabe"
"P47","Ni buena ni mala",0.26,0.368,0.337,0.312
"P47","Mala",0.191,0.155,0.264,0.225
"P47","Muy mala",0.034,0.067,0.161,0.048
"P47","No sabe",0.002,0.021,0.026,0.15
"P48","Peor",0.529,0.301,0.372,0.259
"P48","Igual",0.343,0.505,0.452,0.334
"P48","Mejor",0.082,0.134,0.122,0.25
"P48","No sabe",0.046,0.06,0.054,0.157
"P49","Peor",0.546,0.24,0.271,0.229
"P49","Igual",0.233,0.417,0.28,0.385
"P49","Mejor",0.173,0.286,0.255,0.24
"P49","No sabe",0.048,0.057,0.194,0.146
"P50","El gobierno de Javier Milei",0.636,0.226,0.094,0.232
"P50","El gobierno de Alberto Fernández",0.239,0.666,0.853,0.483
"P50","Ambos",0.106,0.09,0.053,0.2
"P50","No sabe",0.019,0.018,0,0.085
"P51","Javier Milei",0.438,0.527,0.761,0.273
"P51","Los gobernadores",0.529,0.366,0.193,0.343
"P51","No sabe",0.033,0.107,0.046,0.384
"P52","Muy buena",0.433,0.128,0.024,0.105
"P52","Buena",0.187,0.119,0.029,0.128
"P52","Ni buena ni mala",0.17,0.082,0.032,0.079
"P52","Mala",0.098,0.191,0.117,0.094
"P52","Muy mala",0.112,0.478,0.794,0.523
"P52","No sabe",0,0.002,0.004,0.071
"P53","Muy buena",0.223,0.097,0.147,0.042
"P53","Buena",0.077,0.178,0.279,0.117
"P53","Ni buena ni mala",0.128,0.277,0.246,0.265
"P53","Mala",0.237,0.265,0.161,0.256
"P53","Muy mala",0.326,0.18,0.135,0.225
"P53","No sabe",0.009,0.003,0.032,0.095
"P54","Muy buena",0.246,0.278,0.477,0.092
"P54","Buena",0.086,0.323,0.334,0.258
"P54","Ni buena ni mala",0.092,0.155,0.104,0.253
"P54","Mala",0.21,0.137,0.026,0.112
"P54","Muy mala",0.356,0.106,0.041,0.193
"P54","No sabe",0.01,0.001,0.018,0.092
"P55","Muy buena",0.281,0.163,0.336,0.052
"P55","Buena",0.034,0.255,0.271,0.15
"P55","Ni buena ni mala",0.137,0.279,0.271,0.347
"P55","Mala",0.182,0.109,0.032,0.145
"P55","Muy mala",0.343,0.144,0.047,0.163
"P55","No sabe",0.023,0.05,0.043,0.143
"P56","Muy buena",0.273,0.408,0.663,0.288
"P56","Buena",0.104,0.22,0.158,0.152
"P56","Ni buena ni mala",0.112,0.13,0.079,0.21
"P56","Mala",0.167,0.092,0.024,0.067
"P56","Muy mala",0.34,0.09,0.044,0.173
"P56","No sabe",0.004,0.06,0.032,0.11
"P57","Muy buena",0.237,0.097,0.031,0.084
"P57","Buena",0.126,0.249,0.294,0.149
"P57","Ni buena ni mala",0.257,0.391,0.484,0.413
"P57","Mala",0.191,0.12,0.1,0.147
"P57","Muy mala",0.183,0.103,0.055,0.061
"P57","No sabe",0.006,0.04,0.036,0.146
"P58","Muy buena",0.264,0.216,0.346,0.05
"P58","Buena",0.079,0.27,0.336,0.145
"P58","Ni buena ni mala",0.14,0.226,0.217,0.382
"P58","Mala",0.163,0.118,0.014,0.066
"P58","Muy mala",0.351,0.104,0.052,0.247
"P58","No sabe",0.003,0.066,0.035,0.11
"P59","Muy buena",0.252,0.167,0.306,0.047
"P59","Buena",0.049,0.292,0.181,0.066
"P59","Ni buena ni mala",0.157,0.283,0.398,0.432
"P59","Mala",0.226,0.082,0.011,0.097
"P59","Muy mala",0.28,0.095,0.049,0.139
"P59","No sabe",0.036,0.081,0.055,0.219
