"var","categoria","Es imposible","Es muy difícil","Es bastante factible","Es posible","No sabe"
"P43","No sabe",0.001,0.001,0,0.012,0.023
"P47","Muy buena",0.234,0.09,0.037,0.044,0.002
"P47","Buena",0.233,0.31,0.319,0.259,0.303
"P47","Ni buena ni mala",0.274,0.366,0.332,0.321,0.327
"P47","Mala",0.151,0.167,0.254,0.272,0.164
"P47","Muy mala",0.09,0.049,0.058,0.066,0.094
"P47","No sabe",0.018,0.018,0,0.038,0.11
"P48","Peor",0.485,0.282,0.419,0.43,0.236
"P48","Igual",0.353,0.51,0.493,0.37,0.429
"P48","Mejor",0.1,0.165,0.064,0.152,0.116
"P48","No sabe",0.062,0.043,0.024,0.048,0.219
"P49","Peor",0.45,0.181,0.367,0.451,0.278
"P49","Igual",0.261,0.494,0.277,0.271,0.229
"P49","Mejor",0.241,0.261,0.231,0.206,0.239
"P49","No sabe",0.048,0.064,0.125,0.072,0.254
"P50","El gobierno de Javier Milei",0.361,0.164,0.404,0.482,0.461
"P50","El gobierno de Alberto Fernández",0.579,0.725,0.443,0.347,0.322
"P50","Ambos",0.057,0.095,0.136,0.142,0.121
"P50","No sabe",0.003,0.016,0.017,0.029,0.096
"P51","Javier Milei",0.674,0.582,0.433,0.308,0.27
"P51","Los gobernadores",0.283,0.319,0.516,0.572,0.431
"P51","No sabe",0.043,0.099,0.051,0.12,0.299
"P52","Muy buena",0.29,0.126,0.163,0.247,0.194
"P52","Buena",0.06,0.151,0.225,0.18,0.042
"P52","Ni buena ni mala",0.11,0.032,0.127,0.098,0.274
"P52","Mala",0.112,0.111,0.264,0.182,0.052
"P52","Muy mala",0.428,0.577,0.221,0.293,0.353
"P52","No sabe",0,0.003,0,0,0.085
"P53","Muy buena",0.267,0.139,0.04,0.056,0.044
"P53","Buena",0.144,0.234,0.132,0.115,0.072
"P53","Ni buena ni mala",0.252,0.295,0.215,0.094,0.155
"P53","Mala",0.202,0.18,0.306,0.292,0.324
"P53","Muy mala",0.135,0.141,0.307,0.443,0.239
"P53","No sabe",0,0.011,0,0,0.166
"P54","Muy buena",0.451,0.313,0.157,0.151,0.071
"P54","Buena",0.219,0.383,0.209,0.117,0.157
"P54","Ni buena ni mala",0.091,0.141,0.097,0.182,0.22
"P54","Mala",0.131,0.064,0.248,0.178,0.18
"P54","Muy mala",0.108,0.088,0.286,0.372,0.243
"P54","No sabe",0,0.011,0.003,0,0.129
"P55","Muy buena",0.399,0.19,0.108,0.147,0.024
"P55","Buena",0.122,0.311,0.162,0.087,0.121
"P55","Ni buena ni mala",0.212,0.313,0.185,0.187,0.259
"P55","Mala",0.11,0.063,0.254,0.168,0.088
"P55","Muy mala",0.141,0.093,0.287,0.379,0.2
"P55","No sabe",0.016,0.03,0.004,0.032,0.308
"P56","Muy buena",0.588,0.403,0.294,0.25,0.158
"P56","Buena",0.103,0.312,0.077,0.108,0.154
"P56","Ni buena ni mala",0.109,0.162,0.087,0.096,0.156
"P56","Mala",0.085,0.052,0.218,0.161,0.045
"P56","Muy mala",0.106,0.053,0.27,0.378,0.217
"P56","No sabe",0.009,0.018,0.054,0.007,0.27
"P57","Muy buena",0.237,0.137,0.029,0.075,0.006
"P57","Buena",0.19,0.294,0.151,0.156,0.166
"P57","Ni buena ni mala",0.339,0.387,0.422,0.321,0.388
"P57","Mala",0.11,0.082,0.255,0.225,0.121
"P57","Muy mala",0.108,0.066,0.125,0.211,0.104
"P57","No sabe",0.016,0.034,0.018,0.012,0.215
"P58","Muy buena",0.463,0.2,0.074,0.127,0.039
"P58","Buena",0.133,0.401,0.182,0.125,0.052
"P58","Ni buena ni mala",0.218,0.243,0.177,0.142,0.279
"P58","Mala",0.075,0.064,0.182,0.178,0.138
"P58","Muy mala",0.105,0.07,0.319,0.414,0.223
"P58","No sabe",0.006,0.022,0.066,0.014,0.269
"P59","Muy buena",0.376,0.182,0.096,0.133,0.014
"P59","Buena",0.169,0.32,0.124,0.044,0.046
"P59","Ni buena ni mala",0.229,0.305,0.26,0.299,0.309
"P59","Mala",0.088,0.058,0.262,0.189,0.077
"P59","Muy mala",0.102,0.066,0.196,0.31,0.214
"P59","No sabe",0.036,0.069,0.062,0.025,0.34
