"var","categoria","Oponerse totalmente y no concurrir a la convocatoria","Oponerse parcialmente y concurrir a la convocatoria","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión","Apoyar totalmente la iniciativa del gobierno nacional","No sabe"
"P49","Mejor",0.106,0.301,0.386,0.24,0.076
"P49","No sabe",0.041,0.044,0.044,0.175,0.514
"P50","El gobierno de Javier Milei",0.755,0.23,0.031,0.024,0.671
"P50","El gobierno de Alberto Fernández",0.13,0.627,0.842,0.906,0.12
"P50","Ambos",0.103,0.143,0.112,0.039,0.031
"P50","No sabe",0.012,0,0.015,0.031,0.178
"P51","Javier Milei",0.301,0.334,0.705,0.889,0.33
"P51","Los gobernadores",0.653,0.486,0.176,0.094,0.371
"P51","No sabe",0.046,0.18,0.119,0.017,0.299
"P52","Muy buena",0.473,0.122,0.045,0.006,0.293
"P52","Buena",0.24,0.181,0.035,0.024,0.007
"P52","Ni buena ni mala",0.126,0.192,0.02,0.055,0.248
"P52","Mala",0.102,0.193,0.165,0.106,0.131
"P52","Muy mala",0.059,0.312,0.735,0.809,0.143
"P52","No sabe",0,0,0,0,0.178
"P53","Muy buena",0.207,0.124,0.067,0.164,0.129
"P53","Buena",0.065,0.236,0.192,0.217,0.09
"P53","Ni buena ni mala",0.061,0.166,0.407,0.336,0.096
"P53","Mala",0.299,0.278,0.163,0.168,0.306
"P53","Muy mala",0.368,0.194,0.16,0.115,0.07
"P53","No sabe",0,0.002,0.011,0,0.309
"P54","Muy buena",0.206,0.182,0.386,0.431,0.129
"P54","Buena",0.066,0.375,0.349,0.298,0.133
"P54","Ni buena ni mala",0.046,0.106,0.188,0.234,0.236
"P54","Mala",0.261,0.172,0.04,0.025,0.132
"P54","Muy mala",0.419,0.165,0.026,0.012,0.13
"P54","No sabe",0.002,0,0.011,0,0.24
"P55","Muy buena",0.237,0.16,0.184,0.356,0.128
"P55","Buena",0.041,0.134,0.356,0.206,0.09
"P55","Ni buena ni mala",0.069,0.329,0.327,0.35,0.183
"P55","Mala",0.226,0.111,0.058,0.033,0.126
"P55","Muy mala",0.403,0.18,0.05,0.051,0.113
"P55","No sabe",0.024,0.086,0.025,0.004,0.36
"P56","Muy buena",0.224,0.264,0.568,0.686,0.151
"P56","Buena",0.076,0.264,0.167,0.239,0.158
"P56","Ni buena ni mala",0.09,0.193,0.161,0.04,0.142
"P56","Mala",0.204,0.094,0.03,0.026,0.1
"P56","Muy mala",0.383,0.169,0.022,0.005,0.126
"P56","No sabe",0.023,0.016,0.052,0.004,0.323
"P57","Muy buena",0.207,0.087,0.097,0.078,0.134
"P57","Buena",0.095,0.331,0.242,0.229,0.236
"P57","Ni buena ni mala",0.219,0.373,0.516,0.47,0.135
"P57","Mala",0.224,0.11,0.097,0.085,0.144
"P57","Muy mala",0.232,0.063,0.013,0.138,0.045
"P57","No sabe",0.023,0.036,0.035,0,0.306
"P58","Muy buena",0.206,0.135,0.23,0.469,0.134
"P58","Buena",0.067,0.252,0.348,0.257,0.018
"P58","Ni buena ni mala",0.092,0.28,0.303,0.239,0.175
"P58","Mala",0.195,0.105,0.042,0.024,0.22
"P58","Muy mala",0.414,0.197,0.029,0.006,0.127
"P58","No sabe",0.026,0.031,0.048,0.005,0.326
"P59","Muy buena",0.191,0.063,0.217,0.41,0.132
"P59","Buena",0.049,0.244,0.249,0.249,0.072
"P59","Ni buena ni mala",0.14,0.353,0.375,0.303,0.267
"P59","Mala",0.226,0.153,0.036,0.02,0.053
"P59","Muy mala",0.33,0.143,0.027,0.006,0.132
"P59","No sabe",0.064,0.044,0.096,0.012,0.344
