"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P16","Muy mala",0.176,0.2,0.059,0.127,0.058,0.333,0.158
"P16","No sabe",0.109,0.055,0.032,0.072,0.139,0.065,0.309
"P17","Muy buena",0.071,0.077,0.057,0.092,0.007,0.095,0
"P17","Buena",0.08,0.033,0.037,0.031,0.046,0.015,0
"P17","Ni buena ni mala",0.329,0.432,0.346,0.323,0.397,0.142,0.258
"P17","Mala",0.109,0.056,0.082,0.065,0.144,0.059,0.021
"P17","Muy mala",0.042,0.11,0.073,0.101,0.154,0.349,0.074
"P17","No sabe",0.369,0.292,0.405,0.388,0.252,0.34,0.647
"P18","Muy buena",0.067,0.054,0.15,0.412,0.08,0,0.006
"P18","Buena",0.09,0.083,0.089,0.166,0.053,0.038,0.013
"P18","Ni buena ni mala",0.314,0.411,0.395,0.279,0.403,0.093,0.236
"P18","Mala",0.171,0.112,0.074,0.022,0.126,0.078,0.057
"P18","Muy mala",0.116,0.157,0.058,0.007,0.093,0.35,0.119
"P18","No sabe",0.242,0.183,0.234,0.114,0.245,0.441,0.569
"P19","Muy buena",0.423,0.165,0.074,0.041,0.002,0.042,0.05
"P19","Buena",0.371,0.339,0.095,0.108,0.024,0.014,0.153
"P19","Ni buena ni mala",0.122,0.22,0.341,0.363,0.365,0.262,0.386
"P19","Mala",0.042,0.12,0.213,0.299,0.223,0.204,0.123
"P19","Muy mala",0.028,0.148,0.23,0.185,0.362,0.478,0.07
"P19","No sabe",0.014,0.008,0.047,0.004,0.024,0,0.218
"P20","Que continúe el intendente Julio Zamora",0.454,0.086,0.06,0.007,0.017,0.045,0.022
"P20","Que continúe Julio Zamora pero con mejoras",0.431,0.415,0.076,0.146,0.04,0.399,0.303
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.054,0.203,0.194,0.205,0.223,0.027,0.273
"P20","Que cambie el intendente Julio Zamora",0.061,0.296,0.67,0.642,0.72,0.529,0.402
"P21","La seguridad",0.351,0.254,0.259,0.299,0.203,0.076,0.236
"P21","El tránsito",0.059,0.048,0.022,0.025,0.045,0.064,0.019
"P21","El arreglo de las calles",0.148,0.158,0.106,0.107,0.078,0.249,0.115
"P21","El estado de las escuelas y la educación",0.022,0.058,0.08,0.076,0.036,0.062,0.108
"P21","El sistema de salud",0.082,0.035,0.083,0.107,0.081,0.072,0.112
"P21","El deporte y la cultura",0.12,0.066,0.109,0.124,0.162,0.185,0.068
"P21","La obra pública",0.078,0.066,0.031,0.016,0.027,0.064,0.061
"P21","La luminaria",0.05,0.095,0.076,0.095,0.19,0.099,0.022
"P21","No sabe",0.09,0.22,0.234,0.151,0.178,0.129,0.259
"P22","La seguridad",0.175,0.088,0.186,0.127,0.097,0.29,0.098
"P22","El tránsito",0.14,0.159,0.125,0.112,0.089,0.188,0.058
"P22","El arreglo de las calles",0.127,0.167,0.17,0.219,0.196,0.143,0.042
"P22","El estado de las escuelas y la educación",0.153,0.206,0.159,0.137,0.141,0.135,0.238
"P22","El sistema de salud",0.195,0.142,0.162,0.099,0.249,0.132,0.197
"P22","El deporte y la cultura",0.022,0.058,0.035,0.003,0.003,0,0.009
"P22","La obra pública",0.016,0.04,0.034,0.076,0.104,0.085,0.068
"P22","La luminaria",0.025,0.033,0.015,0.01,0.015,0,0.004
"P22","No sabe",0.147,0.107,0.114,0.217,0.106,0.027,0.286
"P23","Agua corriente y cloacas",0.403,0.472,0.479,0.47,0.427,0.225,0.474
"P23","Energía eléctrica",0.14,0.16,0.08,0.098,0.325,0.153,0.134
"P23","Red de gas natural",0.091,0.114,0.097,0.032,0.04,0,0.014
"P23","Recolección de residuos",0.107,0.087,0.174,0.165,0.109,0.226,0.091
"P23","Ninguno",0.259,0.167,0.17,0.235,0.099,0.396,0.287
"P24","Los robos",0.314,0.183,0.268,0.15,0.382,0.065,0.18
"P24","El narcotráfico",0.239,0.328,0.287,0.425,0.234,0.044,0.165
"P24","La ausencia de patrulleros y personal policial",0.165,0.161,0.206,0.18,0.157,0.117,0.193
"P24","Otro",0.112,0.224,0.163,0.144,0.216,0.579,0.394
"P24","Ninguno",0.17,0.104,0.076,0.101,0.011,0.195,0.068
"P25","Frente de Todos y el peronismo",0.63,0.666,0.092,0.043,0.065,0.415,0.209
"P25","Cambiemos",0.124,0.077,0.563,0.699,0.089,0.022,0.134
"P25","Liberales Libertarios",0.104,0.048,0.172,0.129,0.831,0.036,0.165
"P25","Izquierda",0.018,0.05,0.044,0,0,0.42,0.054
"P25","No sabe",0.124,0.159,0.129,0.129,0.015,0.107,0.438
"P27","A Alberto Fernández",0.146,0.146,0.408,0,0,0.876,0.749
"P27","A Sergio Massa",0.196,0.419,0.34,0,0,0,0.011
"P27","A algún candidato del peronismo",0.197,0.218,0.168,1,0,0,0.205
"P27","A algún candidato del kirchnerismo",0.461,0.217,0.084,0,1,0.124,0.035
"P28","A Alberto Fernández",0.067,0.041,0.287,0,0,0.873,0.376
"P28","A Sergio Massa",0.157,0.315,0.018,0,0,0,0.011
"P28","A algún candidato del peronismo",0.164,0.23,0.227,1,0,0,0.563
"P28","A Cristina Fernández de Kirchner",0.612,0.414,0.468,0,1,0.127,0.05
"P29","A Horacio Rodriguez Larreta",0.394,0.358,0.399,0.272,0,0,0.075
"P29","A Mauricio Macri",0.226,0.304,0.377,0.231,0.54,0.537,0.291
"P29","A Patricia Bullrich",0.156,0.28,0.156,0.477,0.299,0.463,0.634
"P29","A Facundo Manes",0.14,0.029,0.053,0.02,0.02,0,0
"P29","A Gerardo Morales",0.084,0.029,0.015,0,0.141,0,0
"P30","Seguro lo votaria",0.224,0.573,0.231,0.178,0.643,0,0
"P30","Quizás lo votaría",0.277,0.05,0.417,0.35,0.268,0.383,0.608
"P30","Nunca lo votaría",0.499,0.377,0.352,0.472,0.089,0.617,0.392
"P31","Muy buena",0.117,0.119,0.056,0.007,0.005,0.053,0.119
"P31","Buena",0.222,0.26,0.053,0.025,0,0,0.005
"P31","Ni buena ni mala",0.301,0.269,0.076,0.038,0.014,0.5,0.237
"P31","Mala",0.173,0.162,0.113,0.198,0.048,0.191,0.306
"P31","Muy mala",0.186,0.185,0.686,0.732,0.868,0.256,0.269
"P31","No sabe",0.001,0.005,0.016,0,0.065,0,0.064
"P32","Muy buena",0.057,0.079,0.31,0.236,0.047,0.089,0.009
"P32","Buena",0.115,0.098,0.219,0.423,0.242,0.041,0.049
"P32","Ni buena ni mala",0.115,0.164,0.201,0.158,0.334,0,0.292
"P32","Mala",0.177,0.21,0.094,0.096,0.201,0.093,0.221
"P32","Muy mala",0.534,0.449,0.161,0.087,0.176,0.777,0.299
"P32","No sabe",0.002,0,0.015,0,0,0,0.13
"P33","Muy buena",0.481,0.408,0.138,0.077,0.005,0.238,0.205
"P33","Buena",0.091,0.058,0.031,0.03,0,0.046,0.039
"P33","Ni buena ni mala",0.082,0.078,0.081,0.043,0.008,0.402,0.222
"P33","Mala",0.077,0.167,0.029,0,0,0.118,0.104
"P33","Muy mala",0.266,0.235,0.704,0.85,0.987,0.196,0.411
"P33","No sabe",0.003,0.054,0.017,0,0,0,0.019
"P34","Muy buena",0.08,0.138,0.26,0.199,0,0.041,0.068
"P34","Buena",0.14,0.19,0.354,0.315,0.184,0,0.16
"P34","Ni buena ni mala",0.173,0.155,0.175,0.277,0.29,0.19,0.233
"P34","Mala",0.18,0.157,0.059,0.053,0.201,0.105,0.118
"P34","Muy mala",0.42,0.356,0.148,0.156,0.325,0.664,0.174
"P34","No sabe",0.007,0.004,0.004,0,0,0,0.247
"P35","Muy buena",0.154,0.159,0.048,0.029,0,0,0.119
"P35","Buena",0.336,0.54,0.087,0.014,0.004,0.019,0.053
"P35","Ni buena ni mala",0.2,0.142,0.127,0.127,0.118,0.185,0.321
"P35","Mala",0.139,0.055,0.169,0.156,0.061,0.169,0.211
"P35","Muy mala",0.161,0.104,0.564,0.674,0.817,0.627,0.286
"P35","No sabe",0.01,0,0.005,0,0,0,0.01
"P36","Muy buena",0.075,0.046,0.418,0.568,0.208,0.002,0.102
"P36","Buena",0.126,0.22,0.238,0.179,0.244,0.082,0.05
"P36","Ni buena ni mala",0.105,0.138,0.18,0.103,0.222,0.098,0.091
"P36","Mala",0.177,0.143,0.059,0.067,0.053,0.16,0.125
"P36","Muy mala",0.491,0.453,0.105,0.083,0.269,0.607,0.364
"P36","No sabe",0.026,0,0,0,0.004,0.051,0.268
"P37","Muy buena",0.074,0.039,0.217,0.11,0.609,0,0.135
"P37","Buena",0.055,0.074,0.21,0.3,0.159,0.044,0.041
"P37","Ni buena ni mala",0.18,0.108,0.379,0.405,0.084,0.118,0.23
"P37","Mala",0.118,0.197,0.061,0.15,0,0,0.246
"P37","Muy mala",0.506,0.582,0.095,0.008,0.148,0.787,0.143
"P37","No sabe",0.067,0,0.038,0.027,0,0.051,0.205
