"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P48","Mala",0.245,0.139,0.204
"P48","Muy mala",0.64,0.115,0.324
"P48","No sabe",0.003,0.003,0.036
"P49","Muy buena",0.17,0.049,0.082
"P49","Buena",0.256,0.066,0.163
"P49","Ni buena ni mala",0.342,0.186,0.374
"P49","Mala",0.127,0.28,0.184
"P49","Muy mala",0.094,0.408,0.132
"P49","No sabe",0.011,0.011,0.065
"P50","Muy buena",0.019,0.442,0.077
"P50","Buena",0.025,0.194,0.075
"P50","Ni buena ni mala",0.102,0.159,0.317
"P50","Mala",0.194,0.088,0.175
"P50","Muy mala",0.655,0.106,0.288
"P50","No sabe",0.005,0.011,0.068
"P51","Muy buena",0.294,0.044,0.08
"P51","Buena",0.245,0.053,0.102
"P51","Ni buena ni mala",0.337,0.169,0.435
"P51","Mala",0.04,0.209,0.141
"P51","Muy mala",0.057,0.497,0.14
"P51","No sabe",0.027,0.028,0.102
"P52","Muy buena",0.654,0.034,0.136
"P52","Buena",0.2,0.038,0.237
"P52","Ni buena ni mala",0.114,0.095,0.298
"P52","Mala",0.02,0.229,0.143
"P52","Muy mala",0.01,0.597,0.161
"P52","No sabe",0.002,0.007,0.025
"P53","Muy buena",0.47,0.053,0.123
"P53","Buena",0.31,0.048,0.226
"P53","Ni buena ni mala",0.154,0.102,0.259
"P53","Mala",0.046,0.198,0.178
"P53","Muy mala",0.017,0.597,0.194
"P53","No sabe",0.003,0.002,0.02
"P54","Muy buena",0.038,0.207,0.03
"P54","Buena",0.074,0.195,0.104
"P54","Ni buena ni mala",0.296,0.296,0.392
"P54","Mala",0.192,0.124,0.155
"P54","Muy mala",0.338,0.135,0.186
"P54","No sabe",0.062,0.043,0.133
"P55","Muy buena",0.015,0.068,0.004
"P55","Buena",0.022,0.197,0.078
"P55","Ni buena ni mala",0.217,0.433,0.314
"P55","Mala",0.16,0.113,0.192
"P55","Muy mala",0.518,0.136,0.277
"P55","No sabe",0.068,0.053,0.135
"P56","Muy buena",0.033,0.044,0.027
"P56","Buena",0.083,0.141,0.11
"P56","Ni buena ni mala",0.312,0.437,0.453
"P56","Mala",0.21,0.22,0.139
"P56","Muy mala",0.314,0.123,0.132
"P56","No sabe",0.048,0.035,0.139
"P58","Muy buena",0.604,0.041,0.176
"P58","Buena",0.175,0.066,0.186
"P58","Ni buena ni mala",0.142,0.174,0.306
"P58","Mala",0.035,0.188,0.088
"P58","Muy mala",0.032,0.502,0.136
"P58","No sabe",0.012,0.029,0.108
"P59","Muy buena",0.138,0.089,0.093
"P59","Buena",0.252,0.1,0.169
"P59","Ni buena ni mala",0.437,0.354,0.406
"P59","Mala",0.089,0.211,0.137
"P59","Muy mala",0.049,0.209,0.062
"P59","No sabe",0.035,0.037,0.133
"P60","Muy buena",0.263,0.03,0.055
"P60","Buena",0.298,0.039,0.148
"P60","Ni buena ni mala",0.33,0.134,0.353
"P60","Mala",0.047,0.166,0.128
"P60","Muy mala",0.031,0.609,0.214
"P60","No sabe",0.031,0.022,0.102
"P61","Muy buena",0.239,0.023,0.057
"P61","Buena",0.202,0.036,0.1
"P61","Ni buena ni mala",0.39,0.306,0.442
"P61","Mala",0.033,0.194,0.114
"P61","Muy mala",0.038,0.365,0.118
"P61","No sabe",0.098,0.076,0.169
"P64","Muy buena",0.043,0.058,0.007
"P64","Buena",0.09,0.108,0.081
"P64","Ni buena ni mala",0.469,0.447,0.466
"P64","Mala",0.153,0.149,0.118
"P64","Muy mala",0.126,0.152,0.109
"P64","No sabe",0.119,0.086,0.219
"P65","Radio",0.109,0.164,0.148
"P65","Televisión",0.39,0.362,0.329
"P65","Diario",0.068,0.075,0.049
"P65","Medio digital",0.203,0.182,0.176
"P65","Redes Sociales",0.182,0.158,0.22
"P65","Ninguno en particular",0.047,0.059,0.077
"P65","No sabe",0.001,0,0.001
"P66","Muy buena",0.047,0.098,0.055
"P66","Buena",0.115,0.252,0.105
"P66","Ni buena ni mala",0.306,0.333,0.368
"P66","Mala",0.304,0.193,0.302
"P66","Muy mala",0.205,0.11,0.113
"P66","No sabe",0.023,0.014,0.057
"P67","Muy buena",0.034,0.036,0.01
"P67","Buena",0.091,0.093,0.058
"P67","Ni buena ni mala",0.335,0.228,0.429
"P67","Mala",0.291,0.278,0.279
"P67","Muy mala",0.232,0.349,0.177
"P67","No sabe",0.017,0.016,0.047
