"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P18","Representa un retroceso en la lucha de los derechos de las mujeres",0.338,0.118,0.255,0.144
"P18","No sabe",0.035,0.082,0.049,0.131
"P20","Si",0.116,0.775,0.209,0.465
"P20","No",0.794,0.112,0.726,0.387
"P20","No sabe",0.09,0.113,0.065,0.148
"P21","Logra disminuir los cargos militantes presentes en el estado",0.07,0.314,0.146,0.407
"P21","Evita la manipulación de la información por parte del estado",0.119,0.186,0.172,0.185
"P21","Representa una reasignación del gasto público en algo más necesario",0.067,0.264,0.1,0.047
"P21","Constituye una grave violación al derecho de libertad de expresión en Argentina",0.402,0.14,0.306,0.225
"P21","Es parte de la persecución ideológica",0.303,0.064,0.193,0.102
"P21","No sabe",0.039,0.032,0.083,0.034
"P23","Si",0.136,0.816,0.309,0.665
"P23","No",0.766,0.097,0.569,0.264
"P23","No sabe",0.098,0.087,0.122,0.071
"P24","Es parte de una persecución ideológica",0.259,0.072,0.16,0.148
"P24","Deja a los argentinos sin una importante oficina de defensa de los derechos de los discapacitados",0.422,0.075,0.354,0.2
"P24","Representa una reasignación del gasto público en algo mas necesario",0.128,0.283,0.129,0.207
"P24","Logra disminuir los cargos militantes presentes en el estado",0.101,0.399,0.181,0.238
"P24","Contribuye a la libertad de pensamiento",0.078,0.154,0.146,0.132
"P24","No sabe",0.012,0.017,0.03,0.075
"P27","Inflación",0.32,0.221,0.285,0.239
"P27","Desempleo",0.159,0.062,0.131,0.126
"P27","Corrupción",0.12,0.502,0.184,0.308
"P27","Inseguridad",0.087,0.118,0.101,0.09
"P27","Precio del dólar",0.026,0.012,0.024,0.032
"P27","Pobreza",0.157,0.035,0.166,0.09
"P27","Narcotráfico",0.013,0.011,0.009,0.012
"P27","Tarifas",0.043,0.007,0.019,0.014
"P27","Otro",0.065,0.023,0.069,0.074
"P27","No sabe",0.01,0.009,0.012,0.015
"P31","Sin deuda",0.255,0.37,0.262,0.239
"P31","Menos de 10%",0.122,0.17,0.154,0.164
"P31","Entre 10 y 20%",0.111,0.128,0.152,0.054
"P31","Entre 20 y 30%",0.111,0.086,0.103,0.119
"P31","Entre 30 y 40%",0.108,0.071,0.088,0.056
"P31","Mas del 40%",0.238,0.139,0.183,0.231
"P31","No sabe",0.055,0.036,0.058,0.137
"P32","Gran excedente habitual",0.005,0.013,0.004,0.004
"P32","Gran excedente excepcional",0.003,0.006,0.008,0.002
"P32","Pequeño excedente habitual",0.033,0.07,0.055,0.047
"P32","Pequeño excedente excepcional",0.039,0.076,0.042,0.027
"P32","Alcanza gastos familia",0.087,0.175,0.113,0.065
"P32","No alcanza gastos familia",0.135,0.109,0.176,0.094
"P32","Solo NBFamiliares",0.233,0.309,0.273,0.252
"P32","No alcanza NBFamiliares",0.461,0.227,0.324,0.441
"P32","No sabe",0.004,0.015,0.005,0.068
"P33","Muy buena",0.04,0.055,0.027,0.093
"P33","Buena",0.079,0.209,0.112,0.09
"P33","Ni buena ni mala",0.309,0.459,0.391,0.407
"P33","Mala",0.422,0.221,0.354,0.248
"P33","Muy mala",0.142,0.046,0.102,0.14
"P33","No sabe",0.008,0.01,0.014,0.022
"P34","Mejor",0.03,0.155,0.067,0.147
"P34","Igual",0.06,0.482,0.192,0.22
"P34","Peor",0.882,0.332,0.697,0.483
"P34","No sabe",0.028,0.031,0.044,0.15
"P35","Mejor",0.023,0.564,0.143,0.223
"P35","Igual",0.098,0.241,0.161,0.153
"P35","Peor",0.842,0.106,0.544,0.415
"P35","No sabe",0.037,0.089,0.152,0.209
"P36","Muy buena",0.058,0.056,0.026,0.11
"P36","Buena",0.03,0.131,0.054,0.037
"P36","Ni buena ni mala",0.091,0.301,0.188,0.333
"P36","Mala",0.352,0.368,0.371,0.304
"P36","Muy mala",0.463,0.13,0.337,0.17
"P36","No sabe",0.006,0.014,0.024,0.046
"P37","Mejor",0.035,0.376,0.062,0.135
"P37","Igual",0.027,0.318,0.119,0.253
"P37","Peor",0.902,0.238,0.751,0.439
"P37","No sabe",0.036,0.068,0.068,0.173
"P38","Mejor",0.027,0.679,0.141,0.268
"P38","Igual",0.069,0.155,0.155,0.145
"P38","Peor",0.873,0.097,0.607,0.345
"P38","No sabe",0.031,0.069,0.097,0.242
"P39","Muy buena",0.054,0.466,0.075,0.15
"P39","Buena",0.043,0.294,0.065,0.165
"P39","Ni buena ni mala",0.07,0.164,0.264,0.358
"P39","Mala",0.274,0.047,0.312,0.195
"P39","Muy mala",0.551,0.019,0.237,0.059
"P39","No sabe",0.008,0.01,0.047,0.073
"P41","Muy buena",0.042,0.396,0.056,0.14
"P41","Buena",0.035,0.33,0.081,0.148
"P41","Ni buena ni mala",0.09,0.159,0.255,0.325
"P41","Mala",0.309,0.058,0.318,0.216
"P41","Muy mala",0.511,0.037,0.264,0.083
"P41","No sabe",0.013,0.02,0.026,0.088
"P42","Muy buena",0.034,0.312,0.052,0.1
"P42","Buena",0.028,0.328,0.063,0.136
"P42","Ni buena ni mala",0.104,0.241,0.262,0.365
"P42","Mala",0.261,0.069,0.26,0.236
"P42","Muy mala",0.56,0.034,0.33,0.069
"P42","No sabe",0.013,0.016,0.033,0.094
"P43","Muy buena",0.031,0.416,0.078,0.123
"P43","Buena",0.035,0.281,0.134,0.212
"P43","Ni buena ni mala",0.144,0.178,0.247,0.301
"P43","Mala",0.301,0.077,0.275,0.208
"P43","Muy mala",0.48,0.037,0.251,0.114
"P43","No sabe",0.009,0.011,0.015,0.042
"P44","Muy buena",0.111,0.01,0.033,0.146
"P44","Buena",0.171,0.027,0.079,0.125
"P44","Ni buena ni mala",0.334,0.068,0.292,0.203
"P44","Mala",0.235,0.268,0.317,0.296
"P44","Muy mala",0.148,0.625,0.264,0.181
"P44","No sabe",0.001,0.002,0.015,0.049
"P45","Muy buena",0.513,0.03,0.166,0.088
"P45","Buena",0.185,0.036,0.144,0.159
"P45","Ni buena ni mala",0.139,0.05,0.244,0.239
"P45","Mala",0.081,0.211,0.213,0.284
"P45","Muy mala",0.071,0.666,0.222,0.202
"P45","No sabe",0.011,0.007,0.011,0.028
"P46","Muy buena",0.042,0.185,0.025,0.059
"P46","Buena",0.03,0.282,0.07,0.109
"P46","Ni buena ni mala",0.076,0.309,0.174,0.227
"P46","Mala",0.254,0.135,0.368,0.35
"P46","Muy mala",0.592,0.083,0.359,0.23
"P46","No sabe",0.006,0.006,0.004,0.025
"P47","Muy buena",0.048,0.058,0.05,0.053
"P47","Buena",0.089,0.124,0.129,0.111
"P47","Ni buena ni mala",0.352,0.27,0.366,0.425
"P47","Mala",0.276,0.296,0.244,0.279
"P47","Muy mala",0.214,0.232,0.167,0.093
"P47","No sabe",0.021,0.02,0.044,0.039
"P48","Muy buena",0.293,0.022,0.091,0.128
"P48","Buena",0.26,0.033,0.127,0.127
"P48","Ni buena ni mala",0.27,0.074,0.343,0.243
"P48","Mala",0.096,0.249,0.216,0.175
"P48","Muy mala",0.076,0.619,0.219,0.263
"P48","No sabe",0.005,0.003,0.004,0.064
"P49","Muy buena",0.043,0.17,0.041,0.079
"P49","Buena",0.037,0.255,0.115,0.158
"P49","Ni buena ni mala",0.144,0.343,0.325,0.301
"P49","Mala",0.276,0.124,0.269,0.287
"P49","Muy mala",0.485,0.096,0.219,0.139
"P49","No sabe",0.015,0.012,0.031,0.036
"P50","Muy buena",0.542,0.023,0.17,0.18
"P50","Buena",0.187,0.035,0.168,0.093
"P50","Ni buena ni mala",0.145,0.092,0.286,0.366
"P50","Mala",0.042,0.203,0.176,0.095
"P50","Muy mala",0.076,0.632,0.173,0.253
"P50","No sabe",0.008,0.015,0.027,0.013
"P51","Muy buena",0.057,0.267,0.041,0.114
"P51","Buena",0.022,0.242,0.073,0.167
"P51","Ni buena ni mala",0.13,0.344,0.318,0.331
"P51","Mala",0.197,0.05,0.222,0.134
"P51","Muy mala",0.569,0.061,0.304,0.172
"P51","No sabe",0.025,0.036,0.042,0.082
"P52","Muy buena",0.032,0.598,0.071,0.2
"P52","Buena",0.01,0.222,0.089,0.139
"P52","Ni buena ni mala",0.061,0.119,0.218,0.324
"P52","Mala",0.208,0.026,0.253,0.204
"P52","Muy mala",0.686,0.03,0.353,0.12
"P52","No sabe",0.003,0.005,0.016,0.013
"P53","Muy buena",0.034,0.45,0.076,0.106
"P53","Buena",0.02,0.314,0.103,0.187
"P53","Ni buena ni mala",0.075,0.158,0.186,0.286
"P53","Mala",0.202,0.034,0.234,0.269
"P53","Muy mala",0.667,0.041,0.398,0.119
"P53","No sabe",0.002,0.003,0.003,0.033
"P54","Muy buena",0.256,0.036,0.085,0.05
"P54","Buena",0.202,0.09,0.137,0.065
"P54","Ni buena ni mala",0.272,0.295,0.382,0.404
"P54","Mala",0.101,0.182,0.188,0.17
"P54","Muy mala",0.138,0.329,0.14,0.135
"P54","No sabe",0.031,0.068,0.068,0.176
"P55","Muy buena",0.089,0.011,0.024,0.024
"P55","Buena",0.223,0.043,0.091,0.033
"P55","Ni buena ni mala",0.417,0.219,0.431,0.433
"P55","Mala",0.096,0.159,0.183,0.135
"P55","Muy mala",0.124,0.504,0.171,0.24
"P55","No sabe",0.051,0.064,0.1,0.135
"P56","Muy buena",0.043,0.034,0.04,0.022
"P56","Buena",0.116,0.099,0.133,0.133
"P56","Ni buena ni mala",0.436,0.322,0.455,0.42
"P56","Mala",0.233,0.208,0.154,0.193
"P56","Muy mala",0.139,0.29,0.134,0.096
"P56","No sabe",0.033,0.047,0.084,0.136
"P58","Muy buena",0.036,0.567,0.078,0.179
"P58","Buena",0.036,0.184,0.126,0.152
"P58","Ni buena ni mala",0.15,0.146,0.267,0.314
"P58","Mala",0.181,0.035,0.192,0.122
"P58","Muy mala",0.569,0.053,0.281,0.109
"P58","No sabe",0.028,0.015,0.056,0.124
"P59","Muy buena",0.062,0.14,0.108,0.143
"P59","Buena",0.081,0.254,0.122,0.157
"P59","Ni buena ni mala",0.334,0.424,0.44,0.387
"P59","Mala",0.246,0.087,0.163,0.092
"P59","Muy mala",0.234,0.058,0.109,0.092
"P59","No sabe",0.043,0.037,0.058,0.129
"P60","Muy buena",0.024,0.241,0.042,0.104
"P60","Buena",0.03,0.29,0.056,0.153
"P60","Ni buena ni mala",0.081,0.338,0.271,0.279
"P60","Mala",0.151,0.054,0.167,0.203
"P60","Muy mala",0.694,0.047,0.413,0.128
"P60","No sabe",0.02,0.03,0.051,0.133
"P61","Muy buena",0.023,0.22,0.035,0.066
"P61","Buena",0.028,0.205,0.038,0.043
"P61","Ni buena ni mala",0.252,0.391,0.454,0.41
"P61","Mala",0.188,0.041,0.175,0.175
"P61","Muy mala",0.431,0.047,0.192,0.127
"P61","No sabe",0.078,0.096,0.106,0.179
"P64","Muy buena",0.049,0.038,0.059,0.066
"P64","Buena",0.089,0.109,0.099,0.017
"P64","Ni buena ni mala",0.418,0.475,0.497,0.435
"P64","Mala",0.164,0.142,0.124,0.17
"P64","Muy mala",0.187,0.117,0.101,0.105
"P64","No sabe",0.093,0.119,0.12,0.207
"P65","Radio",0.173,0.109,0.153,0.145
"P65","Televisión",0.35,0.401,0.337,0.298
"P65","Diario",0.058,0.078,0.053,0.107
"P65","Medio digital",0.198,0.19,0.178,0.193
"P65","Redes Sociales",0.166,0.174,0.197,0.189
"P65","Ninguno en particular",0.054,0.047,0.082,0.068
"P65","No sabe",0.001,0.001,0,0
"P66","Muy buena",0.11,0.046,0.058,0.119
"P66","Buena",0.248,0.132,0.172,0.134
"P66","Ni buena ni mala",0.371,0.286,0.339,0.388
"P66","Mala",0.166,0.311,0.267,0.186
"P66","Muy mala",0.098,0.206,0.11,0.1
"P66","No sabe",0.007,0.019,0.054,0.073
"P67","Muy buena",0.045,0.027,0.013,0.063
"P67","Buena",0.057,0.105,0.087,0.11
"P67","Ni buena ni mala",0.247,0.323,0.284,0.426
"P67","Mala",0.243,0.295,0.333,0.284
"P67","Muy mala",0.39,0.235,0.25,0.07
"P67","No sabe",0.018,0.015,0.033,0.047
