"var","categoria","Muy positivo","Positivo","Ni positivo ni negativo","Negativo","Muy negativo","No sabe"
"P48","Muy mala",0.662,0.422,0.138,0.07,0.119,0.272
"P48","No sabe",0.003,0.002,0.023,0,0.002,0.015
"P49","Muy buena",0.203,0.13,0.082,0.009,0.054,0.099
"P49","Buena",0.277,0.27,0.073,0.021,0.005,0.116
"P49","Ni buena ni mala",0.295,0.367,0.429,0.183,0.09,0.204
"P49","Mala",0.138,0.101,0.238,0.347,0.193,0.376
"P49","Muy mala",0.073,0.128,0.151,0.427,0.646,0.191
"P49","No sabe",0.014,0.004,0.027,0.013,0.012,0.014
"P50","Muy buena",0.037,0.042,0.11,0.505,0.59,0.167
"P50","Buena",0.015,0.1,0.159,0.241,0.181,0.266
"P50","Ni buena ni mala",0.091,0.052,0.35,0.109,0.078,0.153
"P50","Mala",0.189,0.29,0.164,0.063,0.036,0.124
"P50","Muy mala",0.662,0.51,0.186,0.07,0.103,0.275
"P50","No sabe",0.006,0.006,0.031,0.012,0.012,0.015
"P51","Muy buena",0.356,0.102,0.011,0.021,0.029,0.091
"P51","Buena",0.249,0.279,0.108,0.026,0.041,0.043
"P51","Ni buena ni mala",0.282,0.421,0.431,0.152,0.057,0.196
"P51","Mala",0.032,0.044,0.194,0.272,0.069,0.241
"P51","Muy mala",0.065,0.114,0.208,0.502,0.803,0.295
"P51","No sabe",0.016,0.04,0.048,0.027,0.001,0.134
"P52","Muy buena",0.758,0.237,0.03,0.005,0.026,0.074
"P52","Buena",0.134,0.432,0.107,0,0.025,0.243
"P52","Ni buena ni mala",0.091,0.244,0.308,0.052,0.001,0.205
"P52","Mala",0.006,0.06,0.308,0.36,0.014,0.254
"P52","Muy mala",0.009,0.026,0.22,0.58,0.933,0.224
"P52","No sabe",0.002,0.001,0.027,0.003,0.001,0
"P53","Muy buena",0.546,0.287,0.067,0.01,0.048,0.129
"P53","Buena",0.292,0.377,0.087,0.019,0,0.104
"P53","Ni buena ni mala",0.124,0.214,0.3,0.081,0.003,0.205
"P53","Mala",0.021,0.072,0.291,0.289,0.039,0.241
"P53","Muy mala",0.016,0.042,0.25,0.6,0.909,0.306
"P53","No sabe",0.001,0.008,0.005,0.001,0.001,0.015
"P54","Muy buena",0.061,0.062,0.032,0.245,0.314,0
"P54","Buena",0.097,0.076,0.073,0.187,0.275,0.225
"P54","Ni buena ni mala",0.285,0.346,0.41,0.269,0.174,0.368
"P54","Mala",0.172,0.222,0.223,0.137,0.081,0.125
"P54","Muy mala",0.333,0.251,0.181,0.127,0.124,0.179
"P54","No sabe",0.052,0.043,0.081,0.035,0.032,0.103
"P55","Muy buena",0.019,0.021,0.003,0.09,0.086,0
"P55","Buena",0.045,0.111,0.074,0.251,0.247,0.061
"P55","Ni buena ni mala",0.176,0.228,0.432,0.411,0.455,0.476
"P55","Mala",0.157,0.2,0.219,0.096,0.055,0.158
"P55","Muy mala",0.534,0.399,0.184,0.113,0.099,0.18
"P55","No sabe",0.069,0.041,0.088,0.039,0.058,0.125
"P56","Muy buena",0.044,0.045,0.013,0.031,0.01,0
"P56","Buena",0.086,0.184,0.12,0.147,0.097,0.151
"P56","Ni buena ni mala",0.312,0.296,0.497,0.44,0.429,0.439
"P56","Mala",0.194,0.2,0.208,0.252,0.267,0.234
"P56","Muy mala",0.324,0.177,0.126,0.107,0.184,0.061
"P56","No sabe",0.04,0.098,0.036,0.023,0.013,0.115
"P58","Muy buena",0.657,0.278,0.117,0.015,0.017,0.062
"P58","Buena",0.173,0.352,0.151,0.04,0.002,0.209
"P58","Ni buena ni mala",0.09,0.182,0.365,0.12,0.05,0.346
"P58","Mala",0.031,0.047,0.192,0.301,0.06,0.147
"P58","Muy mala",0.037,0.1,0.133,0.5,0.851,0.162
"P58","No sabe",0.012,0.041,0.042,0.024,0.02,0.074
"P59","Muy buena",0.166,0.198,0.178,0.052,0.007,0.042
"P59","Buena",0.234,0.302,0.179,0.082,0.066,0.154
"P59","Ni buena ni mala",0.421,0.343,0.374,0.302,0.346,0.409
"P59","Mala",0.09,0.062,0.162,0.314,0.272,0.226
"P59","Muy mala",0.048,0.039,0.07,0.23,0.305,0.015
"P59","No sabe",0.041,0.056,0.037,0.02,0.004,0.154
"P60","Muy buena",0.315,0.098,0.08,0.012,0.013,0
"P60","Buena",0.318,0.282,0.075,0.04,0,0.08
"P60","Ni buena ni mala",0.272,0.45,0.312,0.057,0.065,0.385
"P60","Mala",0.055,0.084,0.217,0.263,0.02,0.216
"P60","Muy mala",0.028,0.045,0.272,0.605,0.886,0.233
"P60","No sabe",0.012,0.041,0.044,0.023,0.016,0.086
"P61","Muy buena",0.251,0.085,0.002,0.003,0.003,0.061
"P61","Buena",0.216,0.268,0.06,0.011,0.005,0
"P61","Ni buena ni mala",0.334,0.418,0.525,0.298,0.22,0.315
"P61","Mala",0.062,0.035,0.204,0.318,0.149,0.17
"P61","Muy mala",0.04,0.075,0.104,0.343,0.582,0.131
"P61","No sabe",0.097,0.119,0.105,0.027,0.041,0.323
"P64","Muy buena",0.058,0.034,0.087,0.073,0.009,0.043
"P64","Buena",0.104,0.197,0.073,0.105,0.058,0.029
"P64","Ni buena ni mala",0.468,0.384,0.468,0.446,0.455,0.253
"P64","Mala",0.147,0.184,0.211,0.145,0.175,0
"P64","Muy mala",0.117,0.072,0.065,0.197,0.2,0.216
"P64","No sabe",0.106,0.129,0.096,0.034,0.103,0.459
"P65","Radio",0.112,0.108,0.163,0.146,0.185,0.206
"P65","Televisión",0.417,0.34,0.455,0.345,0.196,0.369
"P65","Diario",0.04,0.15,0.049,0.053,0.071,0
"P65","Medio digital",0.237,0.18,0.196,0.234,0.233,0.115
"P65","Redes Sociales",0.162,0.195,0.125,0.171,0.222,0.235
"P65","Ninguno en particular",0.03,0.027,0.012,0.048,0.093,0.075
"P65","No sabe",0.002,0,0,0.003,0,0
"P66","Muy buena",0.066,0.035,0.012,0.111,0.081,0
"P66","Buena",0.101,0.158,0.14,0.166,0.303,0.16
"P66","Ni buena ni mala",0.278,0.229,0.449,0.367,0.354,0.448
"P66","Mala",0.292,0.41,0.25,0.214,0.178,0.235
"P66","Muy mala",0.244,0.152,0.136,0.113,0.081,0.067
"P66","No sabe",0.019,0.016,0.013,0.029,0.003,0.09
"P67","Muy buena",0.052,0.002,0.003,0.026,0.032,0.027
"P67","Buena",0.077,0.129,0.074,0.036,0.075,0.007
"P67","Ni buena ni mala",0.323,0.262,0.391,0.201,0.178,0.356
"P67","Mala",0.31,0.427,0.259,0.316,0.255,0.545
"P67","Muy mala",0.231,0.152,0.268,0.418,0.46,0.051
"P67","No sabe",0.007,0.028,0.005,0.003,0,0.014
