"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P22","Seguro lo votaria",0.319,0.24,0.359,0,0.3,0.147
"P22","Quizás lo votaría",0.397,0.255,0.368,0,0.384,0.527
"P22","Nunca lo votaría",0.284,0.505,0.273,0,0.316,0.326
"P23","Muy buena",0.279,0.061,0.062,0.09,0.029,0.043
"P23","Buena",0.292,0.042,0.004,0.266,0.043,0.084
"P23","Ni buena ni mala",0.266,0.132,0.1,0.298,0.299,0.187
"P23","Mala",0.067,0.132,0.182,0.262,0.226,0.26
"P23","Muy mala",0.087,0.617,0.652,0.084,0.391,0.359
"P23","No sabe",0.009,0.016,0,0,0.012,0.067
"P24","Muy buena",0.07,0.255,0.083,0.098,0.021,0.005
"P24","Buena",0.058,0.279,0.19,0.102,0.073,0.032
"P24","Ni buena ni mala",0.113,0.211,0.228,0,0.246,0.192
"P24","Mala",0.244,0.112,0.22,0.232,0.348,0.364
"P24","Muy mala",0.508,0.143,0.279,0.568,0.306,0.368
"P24","No sabe",0.007,0,0,0,0.006,0.039
"P25","Muy buena",0.492,0.046,0.064,0.195,0.026,0.102
"P25","Buena",0.15,0.066,0.007,0.159,0.091,0.057
"P25","Ni buena ni mala",0.145,0.052,0.053,0.226,0.16,0.126
"P25","Mala",0.064,0.065,0.215,0.073,0.137,0.292
"P25","Muy mala",0.141,0.77,0.661,0.347,0.575,0.327
"P25","No sabe",0.008,0.001,0,0,0.011,0.096
"P26","Muy buena",0.114,0.296,0.113,0.113,0.158,0.053
"P26","Buena",0.111,0.327,0.201,0.162,0.097,0.272
"P26","Ni buena ni mala",0.233,0.213,0.171,0.01,0.288,0.211
"P26","Mala",0.164,0.046,0.177,0.143,0.122,0.201
"P26","Muy mala",0.344,0.115,0.323,0.564,0.322,0.17
"P26","No sabe",0.034,0.003,0.015,0.008,0.013,0.093
"P27","Muy buena",0.282,0.052,0.036,0,0.031,0.067
"P27","Buena",0.257,0.115,0.109,0.179,0.075,0.16
"P27","Ni buena ni mala",0.234,0.118,0.093,0.217,0.354,0.231
"P27","Mala",0.089,0.106,0.251,0.275,0.125,0.297
"P27","Muy mala",0.128,0.609,0.511,0.329,0.41,0.2
"P27","No sabe",0.01,0,0,0,0.005,0.045
"P28","Muy buena",0.093,0.455,0.212,0.008,0.125,0.057
"P28","Buena",0.091,0.223,0.242,0.094,0.09,0.171
"P28","Ni buena ni mala",0.119,0.158,0.241,0.166,0.238,0.175
"P28","Mala",0.15,0.059,0.09,0.158,0.025,0.198
"P28","Muy mala",0.531,0.105,0.206,0.574,0.424,0.313
"P28","No sabe",0.016,0,0.009,0,0.098,0.086
"P29","Muy buena",0.074,0.161,0.498,0,0.048,0.124
"P29","Buena",0.044,0.158,0.316,0,0.144,0.095
"P29","Ni buena ni mala",0.168,0.392,0.139,0.023,0.422,0.208
"P29","Mala",0.154,0.134,0.012,0.07,0.086,0.167
"P29","Muy mala",0.506,0.137,0.03,0.907,0.28,0.318
"P29","No sabe",0.054,0.018,0.005,0,0.02,0.088
