"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P42","Muy mala",0.128,0.809,0.623,0.249,0.033,0.736,0.214,0.127
"P42","No sabe",0.003,0,0.006,0,0,0,0,0
"P43","Muy buena",0.7,0.015,0.103,0.096,0,0,0.277,0.114
"P43","Buena",0.064,0.017,0.087,0.247,0.177,0.015,0.265,0.013
"P43","Ni buena ni mala",0.043,0.003,0.119,0,0.021,0,0.156,0.335
"P43","Mala",0.03,0.047,0.033,0.367,0.026,0,0.012,0.124
"P43","Muy mala",0.145,0.918,0.653,0.29,0.776,0.985,0.29,0.414
"P43","No sabe",0.018,0,0.005,0,0,0,0,0
"P44","Muy buena",0.06,0.313,0.076,0,0,0.028,0.086,0
"P44","Buena",0.051,0.235,0.339,0,0,0.094,0.01,0.015
"P44","Ni buena ni mala",0.035,0.336,0.269,0.133,0.772,0.188,0.346,0.453
"P44","Mala",0.25,0.068,0.178,0.654,0.114,0.617,0.063,0.159
"P44","Muy mala",0.604,0.048,0.138,0.213,0.114,0.073,0.449,0.373
"P44","No sabe",0,0,0,0,0,0,0.046,0
"P45","Muy buena",0.198,0.443,0.324,0.274,0,0.172,0.023,0.105
"P45","Buena",0.08,0.321,0.312,0.1,0.13,0.113,0.058,0.139
"P45","Ni buena ni mala",0.183,0.188,0.184,0.028,0.077,0.534,0.578,0.45
"P45","Mala",0.22,0.002,0.018,0.47,0.684,0.053,0.094,0.132
"P45","Muy mala",0.299,0.03,0.162,0.128,0.026,0.128,0.037,0.02
"P45","No sabe",0.02,0.016,0,0,0.083,0,0.21,0.154
"P64","Totalmente de acuerdo",0.591,0.024,0.019,0.608,0.11,0,0.32,0.223
"P64","Bastante de acuerdo",0.264,0.078,0.203,0,0.03,0.023,0.137,0.387
"P64","Poco de acuerdo",0.021,0.224,0.266,0,0.809,0.225,0.214,0.293
"P64","Nada de acuerdo",0.095,0.586,0.381,0.262,0.051,0.694,0.197,0.065
"P64","No sabe",0.029,0.088,0.131,0.13,0,0.058,0.132,0.032
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.722,0.435,0.689,0.619,0.89,0.523,0.528,0.445
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.178,0.312,0.232,0.381,0.028,0.384,0.146,0.331
"P67","Mas o menos. Es difícil creerle a los que informan",0.063,0.178,0.048,0,0.082,0.073,0.229,0.213
"P67","No, la información es escasa y difícil de entender",0,0.005,0.005,0,0,0,0,0
"P67","No, la información no es confiable y es imposible de entender",0.004,0.056,0.019,0,0,0.002,0.087,0.011
"P67","No sabe",0.033,0.014,0.007,0,0,0.018,0.01,0
"P74","La Pfizer, fabricada en Estados Unidos",0.197,0.545,0.433,0,0,0.596,0.094,0.038
"P74","La Sputnik, fabricada en Rusia",0.419,0.119,0.183,0.742,0.059,0.014,0.449,0.229
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.104,0,0.09,0.129,0,0.192,0,0.09
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.024,0.051,0.095,0,0,0,0,0.08
"P74","La vacuna China fabricada en China",0.047,0.014,0,0.129,0,0,0.012,0.137
"P74","Me resultan todas confiables",0.204,0.14,0.145,0,0.899,0.13,0.362,0.025
"P74","No sabe",0.005,0.131,0.054,0,0.042,0.068,0.083,0.401
