"var","categoria","Liliana Alvarado por Nos Une Río Negro","Hernán Cáceres por Cambia Cinco Saltos","Quique Rossi por Avancemos Cinco Saltos","María Elena Vogel por Juntos Somos Río Negro","Silvina Gastiazoro por Nueva Generación","Miguel Vidal por el Partido Socialista","Martín Palumbo por Vamos Con Todos","Norberto Soto por la UCR","No sabe"
"P11","Nunca la votaría",0.086,0.657,0.718,0.594,0.521,0.687,0.795,0.714,0.357
"P11","No sabe",0.03,0.031,0.149,0.075,0.212,0.155,0,0.118,0.357
"P12","Lo votaría",0.076,0.771,0.086,0.136,0.164,0.174,0,0.175,0.063
"P12","Puede que lo vote",0.369,0.179,0.395,0.378,0.187,0.153,0.443,0.047,0.221
"P12","Nunca lo votaría",0.412,0.023,0.353,0.361,0.436,0.387,0.557,0.674,0.3
"P12","No sabe",0.143,0.027,0.166,0.125,0.213,0.286,0,0.104,0.416
"P13","La votaría",0.049,0.071,0.018,0.589,0.041,0.028,0,0.267,0.044
"P13","Puede que la vote",0.139,0.378,0.211,0.189,0.306,0.315,0.169,0,0.157
"P13","Nunca la votaría",0.566,0.402,0.575,0.163,0.464,0.334,0.662,0.624,0.318
"P13","No sabe",0.246,0.149,0.196,0.059,0.189,0.323,0.169,0.109,0.481
"P14","Lo votaría",0.049,0.114,0.031,0.12,0.041,0.526,0,0.262,0.047
"P14","Puede que lo vote",0.115,0.175,0.133,0.251,0.064,0.205,0.058,0,0.113
"P14","Nunca lo votaría",0.681,0.564,0.646,0.567,0.628,0.07,0.942,0.631,0.412
"P14","No sabe",0.155,0.147,0.19,0.062,0.267,0.199,0,0.107,0.428
"P15","Lo votaría",0.06,0.039,0.71,0.079,0.095,0.013,0,0.222,0.038
"P15","Puede que lo vote",0.21,0.285,0.154,0.324,0.221,0.063,0,0,0.227
"P15","Nunca lo votaría",0.552,0.521,0.075,0.516,0.434,0.667,0.831,0.67,0.339
"P15","No sabe",0.178,0.155,0.061,0.081,0.25,0.257,0.169,0.108,0.396
"P16","Lo votaría",0.07,0.056,0.033,0.046,0.026,0,0.535,0.344,0.03
"P16","Puede que lo vote",0.09,0.112,0.129,0.155,0.076,0.059,0.317,0.052,0.066
"P16","Nunca lo votaría",0.542,0.605,0.576,0.618,0.679,0.637,0.148,0.604,0.416
"P16","No sabe",0.298,0.227,0.262,0.181,0.219,0.304,0,0,0.488
"P17","Lo votaría",0.04,0.021,0.014,0.026,0.226,0,0,0.534,0.016
"P17","Puede que lo vote",0.088,0.1,0.043,0.171,0.026,0.015,0,0.198,0.073
"P17","Nunca lo votaría",0.551,0.59,0.642,0.598,0.554,0.564,0.548,0.268,0.37
"P17","No sabe",0.321,0.289,0.301,0.205,0.194,0.421,0.452,0,0.541
"P18","La votaría",0.026,0.034,0.017,0.083,0.667,0.042,0,0.253,0.025
"P18","Puede que la vote",0.087,0.071,0.083,0.146,0.087,0.153,0.087,0,0.069
"P18","Nunca la votaría",0.559,0.603,0.592,0.584,0.246,0.517,0.504,0.579,0.395
"P18","No sabe",0.328,0.292,0.308,0.187,0,0.288,0.409,0.168,0.511
