"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales","Izquierda","No sabe"
"P22","La seguridad",0.357,0.608,0.492,0.18,0.476
"P22","El tránsito",0.034,0.029,0.035,0.122,0.044
"P22","El arreglo de las calles",0.277,0.121,0.14,0.257,0.137
"P22","Los parques y espacios públicos",0.025,0.042,0.022,0,0
"P22","El sistema de salud",0.162,0.008,0.069,0.317,0.191
"P22","La limpieza de las calles",0.031,0.096,0.055,0.017,0.039
"P22","El deporte y la cultura",0.011,0.014,0.018,0.048,0.014
"P22","La luminaria",0.044,0.013,0,0,0.008
"P22","No sabe",0.059,0.069,0.169,0.059,0.091
"P23","Agua corriente y cloacas",0.512,0.512,0.554,0.608,0.685
"P23","Energía eléctrica",0.05,0.17,0.055,0.206,0.047
"P23","Red de gas natural",0.145,0.122,0.116,0.045,0.086
"P23","Recolección de residuos",0.084,0.08,0.194,0.086,0.064
"P23","Ninguno",0.209,0.116,0.081,0.055,0.118
"P24","Los robos",0.515,0.477,0.596,0.444,0.383
"P24","El narcotráfico",0.117,0.195,0.158,0.13,0.18
"P24","La ausencia de patrulleros y personal policial",0.24,0.208,0.179,0.36,0.325
"P24","Otro",0.065,0.08,0.059,0.066,0.096
"P24","Ninguno",0.063,0.04,0.008,0,0.016
"P25","Muy buena",0.243,0.149,0.094,0.012,0.024
"P25","Buena",0.23,0.166,0.063,0.119,0.137
"P25","Ni buena ni mala",0.265,0.187,0.343,0.389,0.26
"P25","Mala",0.104,0.246,0.279,0.205,0.202
"P25","Muy mala",0.083,0.206,0.152,0.133,0.208
"P25","No sabe",0.075,0.046,0.069,0.142,0.169
"P26","Muy buena",0.132,0.09,0.027,0,0.065
"P26","Buena",0.319,0.166,0.011,0.217,0.092
"P26","Ni buena ni mala",0.298,0.244,0.493,0.261,0.309
"P26","Mala",0.122,0.243,0.342,0.497,0.207
"P26","Muy mala",0.086,0.218,0.121,0.013,0.258
"P26","No sabe",0.043,0.039,0.006,0.012,0.069
"P33","Muy buena",0.191,0.077,0.013,0.164,0.031
"P33","Buena",0.243,0.088,0.021,0.073,0.057
"P33","Ni buena ni mala",0.302,0.107,0.247,0.225,0.297
"P33","Mala",0.223,0.205,0.287,0.191,0.075
"P33","Muy mala",0.024,0.523,0.429,0.337,0.494
"P33","No sabe",0.017,0,0.003,0.01,0.046
"P34","Muy buena",0.025,0.299,0.114,0,0.014
"P34","Buena",0.083,0.264,0.2,0.13,0.067
"P34","Ni buena ni mala",0.033,0.264,0.227,0.004,0.143
"P34","Mala",0.232,0.072,0.335,0.205,0.281
"P34","Muy mala",0.589,0.099,0.121,0.661,0.418
"P34","No sabe",0.038,0.002,0.003,0,0.077
"P35","Muy buena",0.702,0.13,0.036,0.254,0.141
"P35","Buena",0.115,0.046,0.121,0.202,0.045
"P35","Ni buena ni mala",0.081,0.049,0.1,0.175,0.217
"P35","Mala",0.031,0.11,0.179,0.078,0.091
"P35","Muy mala",0.071,0.665,0.564,0.281,0.46
"P35","No sabe",0,0,0,0.01,0.046
"P36","Muy buena",0.096,0.393,0.092,0.166,0.157
"P36","Buena",0.058,0.243,0.158,0.228,0.03
"P36","Ni buena ni mala",0.155,0.175,0.405,0.06,0.292
"P36","Mala",0.275,0.081,0.174,0.343,0.121
"P36","Muy mala",0.392,0.092,0.15,0.203,0.358
"P36","No sabe",0.024,0.016,0.021,0,0.042
"P37","Muy buena",0.194,0.175,0.027,0.11,0.05
"P37","Buena",0.351,0.078,0.016,0.065,0.178
"P37","Ni buena ni mala",0.24,0.15,0.228,0.437,0.288
"P37","Mala",0.095,0.166,0.232,0.288,0.112
"P37","Muy mala",0.107,0.429,0.483,0.1,0.345
"P37","No sabe",0.013,0.002,0.014,0,0.027
"P38","Muy buena",0.052,0.458,0.377,0.128,0.056
"P38","Buena",0.094,0.222,0.121,0.054,0.014
"P38","Ni buena ni mala",0.016,0.18,0.173,0.267,0.415
"P38","Mala",0.195,0.036,0.165,0.117,0.086
"P38","Muy mala",0.611,0.104,0.145,0.424,0.365
"P38","No sabe",0.032,0,0.019,0.01,0.064
"P39","Muy buena",0.069,0.225,0.526,0.167,0.042
"P39","Buena",0.058,0.144,0.222,0.107,0.051
"P39","Ni buena ni mala",0.124,0.343,0.186,0.102,0.349
"P39","Mala",0.153,0.159,0.021,0.025,0.267
"P39","Muy mala",0.572,0.067,0.041,0.569,0.253
"P39","No sabe",0.024,0.062,0.004,0.03,0.038
