"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de Consenso Federal","Al candidato de la Izquierda","A otro candidato","No sabe"
"P16","Puede que lo vote",0.199,0.318,0.229,0,0,0.076,0.034
"P16","Nunca lo votaría",0.409,0.225,0.432,0.041,1,0.763,0.251
"P16","No sabe",0.217,0.141,0.232,0.057,0,0.092,0.701
"P17","Lo votaria",0.495,0.041,0.047,0,0,0.037,0.026
"P17","Puede que lo vote",0.198,0.13,0.143,0,0.278,0.07,0.107
"P17","Nunca lo votaría",0.187,0.639,0.656,1,0.722,0.685,0.146
"P17","No sabe",0.12,0.19,0.154,0,0,0.208,0.721
"P18","Lo votaria",0.176,0.012,0.066,0,0.283,0.032,0
"P18","Puede que lo vote",0.119,0.151,0.09,0,0,0.022,0.154
"P18","Nunca lo votaría",0.457,0.619,0.638,0.421,0.657,0.755,0.246
"P18","No sabe",0.248,0.218,0.206,0.579,0.06,0.191,0.6
"P19","Lo votaria",0.132,0.13,0.27,0,0,0.046,0
"P19","Puede que lo vote",0.086,0.208,0.201,0,0,0.119,0.021
"P19","Nunca lo votaría",0.523,0.489,0.255,0,0.656,0.665,0.331
"P19","No sabe",0.259,0.173,0.274,1,0.344,0.17,0.648
"P20","Lo votaria",0.082,0.028,0.277,0,0.144,0.033,0.025
"P20","Puede que lo vote",0.166,0.129,0.232,0,0,0.139,0
"P20","Nunca lo votaría",0.506,0.606,0.226,0,0.772,0.657,0.232
"P20","No sabe",0.246,0.237,0.265,1,0.084,0.171,0.743
"P21","Muy buena",0.651,0.031,0.117,0,0.084,0.021,0.166
"P21","Buena",0.197,0.139,0.056,1,0,0.101,0.42
"P21","Ni buena ni mala",0.132,0.466,0.328,0,0.084,0.108,0.222
"P21","Mala",0.01,0.179,0.189,0,0,0.563,0.047
"P21","Muy mala",0.01,0.185,0.302,0,0.832,0.11,0.007
"P21","No sabe",0,0,0.008,0,0,0.097,0.138
"P22","Que continúe el intendente Ariel Sujarchuk",0.68,0.034,0.094,0,0,0.089,0.298
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.204,0.144,0.188,1,0.084,0.09,0.488
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.105,0.226,0.067,0,0,0.062,0.118
"P22","Que cambie el intendente Ariel Sujarchuk",0.011,0.596,0.651,0,0.916,0.759,0.096
"P23","La seguridad",0.149,0.023,0.029,0,0,0.015,0.025
"P23","El tránsito",0.031,0.082,0.082,0,0,0,0
"P23","El arreglo de las calles",0.313,0.235,0.146,1,0,0.194,0.483
"P23","Los parques y los espacios públicos",0.121,0.181,0.209,0,0.655,0.183,0.124
"P23","El sistema de salud",0.157,0.033,0.04,0,0,0.014,0.042
"P23","La limpieza de las calles",0.015,0.034,0.098,0,0,0,0
"P23","El deporte y la cultura",0.133,0.065,0.092,0,0,0.015,0.158
"P23","La luminaria",0.024,0.032,0.089,0,0,0.249,0
"P23","No sabe",0.057,0.315,0.215,0,0.345,0.33,0.168
"P24","La seguridad",0.281,0.379,0.597,0,0,0.338,0.231
"P24","El tránsito",0.204,0.147,0.164,0,0,0.035,0.115
"P24","El arreglo de las calles",0.193,0.152,0.037,0,0.261,0.09,0.149
"P24","Los parques y los espacios públicos",0.069,0.026,0.039,0,0.084,0,0.021
"P24","El sistema de salud",0.083,0.149,0.032,0,0.433,0.265,0.3
"P24","La limpieza de las calles",0.032,0.034,0.036,1,0.138,0,0.017
"P24","El deporte y la cultura",0.026,0.033,0.026,0,0,0,0.022
"P24","La luminaria",0.044,0,0.019,0,0,0.036,0
"P24","No sabe",0.068,0.08,0.05,0,0.084,0.236,0.145
"P25","Agua corriente y cloacas",0.509,0.591,0.557,0,0.141,0.648,0.535
"P25","Energía eléctrica",0.158,0.162,0.235,0,0.275,0.014,0.135
"P25","Red de gas natural",0.08,0.096,0.019,0,0.496,0.024,0.067
"P25","Recolección de residuos",0.133,0.063,0.134,1,0.088,0.24,0.066
"P25","Ninguno",0.12,0.088,0.055,0,0,0.074,0.197
"P26","Los robos",0.463,0.546,0.573,0,0,0.364,0.468
"P26","El narcotráfico",0.111,0.167,0.214,0,0.142,0.166,0.102
"P26","La ausencia de patrulleros y personal policial",0.25,0.173,0.114,0,0,0.459,0.255
"P26","Otro",0.149,0.061,0.095,1,0.365,0.011,0.117
"P26","Ninguno",0.027,0.053,0.004,0,0.493,0,0.058
"P27","Muy buena",0.55,0.121,0.093,0,0,0.011,0.173
"P27","Buena",0.232,0.079,0.133,1,0,0.277,0.329
"P27","Ni buena ni mala",0.162,0.38,0.268,0,0,0.389,0.357
"P27","Mala",0.047,0.18,0.198,0,0.09,0.021,0.037
"P27","Muy mala",0.002,0.217,0.308,0,0.91,0.126,0.033
"P27","No sabe",0.007,0.023,0,0,0,0.176,0.071
"P28","Muy buena",0.058,0.151,0.032,0,0,0,0.007
"P28","Buena",0.096,0.267,0.149,0,0,0.015,0.014
"P28","Ni buena ni mala",0.387,0.33,0.314,0,0,0.495,0.562
"P28","Mala",0.259,0.054,0.183,0,0.089,0.015,0.057
"P28","Muy mala",0.17,0.159,0.122,0,0.911,0.144,0.032
"P28","No sabe",0.03,0.039,0.2,1,0,0.331,0.328
"P29","Muy buena",0.087,0.057,0.05,0,0,0,0.016
"P29","Buena",0.051,0.162,0.053,0,0,0,0.036
"P29","Ni buena ni mala",0.503,0.388,0.36,1,0.084,0.511,0.372
"P29","Mala",0.047,0.118,0.099,0,0,0.049,0.023
"P29","Muy mala",0.175,0.058,0.197,0,0.916,0.096,0
"P29","No sabe",0.137,0.217,0.241,0,0,0.344,0.553
"P30","Muy buena",0.05,0,0,0,0,0,0.016
"P30","Buena",0.025,0.042,0.083,0,0,0,0
"P30","Ni buena ni mala",0.55,0.387,0.293,1,0.085,0.219,0.538
"P30","Mala",0.05,0.092,0.121,0,0,0.144,0.016
"P30","Muy mala",0.116,0.053,0.131,0,0.915,0.17,0
"P30","No sabe",0.209,0.426,0.372,0,0,0.467,0.43
"P31","Muy buena",0.062,0.082,0.115,0,0,0,0
"P31","Buena",0.049,0.072,0.125,0,0,0.014,0
"P31","Ni buena ni mala",0.482,0.267,0.333,0,0.078,0.252,0.448
"P31","Mala",0.054,0.159,0.139,0,0,0.21,0.188
"P31","Muy mala",0.133,0.053,0.036,0,0.825,0.031,0
"P31","No sabe",0.22,0.367,0.252,1,0.097,0.493,0.364
"P32","Muy buena",0.167,0.019,0.046,0,0,0,0
"P32","Buena",0.174,0.037,0.054,0,0,0,0
"P32","Ni buena ni mala",0.366,0.349,0.281,0,0.078,0.226,0.539
"P32","Mala",0.052,0.143,0.116,0,0,0.216,0
"P32","Muy mala",0.066,0.115,0.173,0,0.922,0.052,0.008
"P32","No sabe",0.175,0.337,0.33,1,0,0.506,0.453
"P33","Muy buena",0.064,0,0.232,0,0,0,0
"P33","Buena",0.082,0.033,0.133,0,0,0,0
"P33","Ni buena ni mala",0.452,0.365,0.273,0,0.076,0.245,0.538
"P33","Mala",0.048,0.101,0.016,0,0,0.22,0
"P33","Muy mala",0.133,0.066,0.003,0,0.924,0.338,0.008
"P33","No sabe",0.221,0.435,0.343,1,0,0.197,0.454
"P34","Muy buena",0.038,0.161,0.139,0,0,0,0
"P34","Buena",0.033,0.231,0.169,0,0,0,0.026
"P34","Ni buena ni mala",0.438,0.277,0.299,1,0.073,0.571,0.769
"P34","Mala",0.135,0.124,0.107,0,0,0.219,0.031
"P34","Muy mala",0.216,0.057,0.113,0,0.927,0.02,0.007
"P34","No sabe",0.14,0.15,0.173,0,0,0.19,0.167
"P35","Frente de Todos y el peronismo",0.648,0.044,0.011,0,0,0,0.197
"P35","Cambiemos",0.113,0.694,0.209,0,0,0.047,0.039
"P35","Liberales Libertarios",0.149,0.134,0.746,0,0.09,0.05,0.17
"P35","Izquierda",0.007,0.057,0.027,0,0.91,0.167,0.03
"P35","No sabe",0.083,0.071,0.007,1,0,0.736,0.564
"P41","Muy buena",0.152,0.053,0.113,0,0,0.177,0
"P41","Buena",0.265,0.087,0.007,0,0,0,0.247
"P41","Ni buena ni mala",0.248,0.055,0.22,0,0.081,0.069,0.227
"P41","Mala",0.234,0.183,0.077,0,0.073,0.171,0.253
"P41","Muy mala",0.099,0.615,0.583,1,0.846,0.583,0.234
"P41","No sabe",0.002,0.007,0,0,0,0,0.039
"P42","Muy buena",0.045,0.29,0.214,0,0.08,0.026,0
"P42","Buena",0.058,0.292,0.127,0,0,0.355,0.049
"P42","Ni buena ni mala",0.192,0.199,0.209,1,0.073,0.22,0.64
"P42","Mala",0.241,0.059,0.202,0,0,0.177,0.218
"P42","Muy mala",0.464,0.156,0.135,0,0.847,0.222,0.047
"P42","No sabe",0,0.004,0.113,0,0,0,0.046
"P43","Muy buena",0.598,0.097,0.131,0,0,0.006,0.06
"P43","Buena",0.109,0.066,0.02,0,0,0.012,0.209
"P43","Ni buena ni mala",0.083,0.049,0.095,1,0,0.221,0.322
"P43","Mala",0.064,0.1,0.167,0,0.071,0.016,0.029
"P43","Muy mala",0.139,0.668,0.587,0,0.929,0.745,0.184
"P43","No sabe",0.007,0.02,0,0,0,0,0.196
"P44","Muy buena",0.127,0.276,0.041,0,0,0.026,0
"P44","Buena",0.066,0.295,0.061,0,0,0.162,0.111
"P44","Ni buena ni mala",0.258,0.18,0.154,1,0.144,0.241,0.515
"P44","Mala",0.206,0.053,0.321,0,0,0.343,0.061
"P44","Muy mala",0.326,0.169,0.295,0,0.856,0.22,0.066
"P44","No sabe",0.017,0.027,0.128,0,0,0.008,0.247
"P45","Muy buena",0.161,0.051,0.014,0,0,0.05,0.102
"P45","Buena",0.419,0.168,0.18,0,0,0.007,0.224
"P45","Ni buena ni mala",0.27,0.05,0.037,0,0.074,0.075,0.179
"P45","Mala",0.106,0.183,0.267,0,0.069,0.144,0.372
"P45","Muy mala",0.042,0.514,0.374,1,0.857,0.69,0.082
"P45","No sabe",0.002,0.034,0.128,0,0,0.034,0.041
"P46","Muy buena",0.045,0.444,0.498,0,0.074,0.1,0
"P46","Buena",0.088,0.186,0.195,0,0,0.373,0.019
"P46","Ni buena ni mala",0.245,0.194,0.108,1,0.068,0.363,0.315
"P46","Mala",0.249,0.044,0.019,0,0,0,0.332
"P46","Muy mala",0.364,0.103,0.043,0,0.858,0.164,0.08
"P46","No sabe",0.009,0.029,0.137,0,0,0,0.254
"P47","Muy buena",0.143,0.2,0.637,0,0.073,0.05,0.019
"P47","Buena",0.062,0.16,0.151,0,0,0.036,0
"P47","Ni buena ni mala",0.119,0.291,0.056,1,0.067,0.708,0.32
"P47","Mala",0.175,0.023,0.004,0,0,0,0.315
"P47","Muy mala",0.444,0.293,0.018,0,0.86,0.198,0.12
"P47","No sabe",0.057,0.033,0.134,0,0,0.008,0.226
