"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P09","Si",0.254,0.244,0.179,0.201,0.175,0.25,0.242,0.11
"P09","No",0.746,0.756,0.821,0.799,0.825,0.75,0.758,0.89
"P10","Hurto",0.459,0.39,0.322,0.321,0.454,0.4,0.301,0.345
"P10","Robo con violencia",0.237,0.161,0.195,0.307,0.047,0.272,0.275,0.184
"P10","Agresión física",0.042,0.07,0.059,0,0.041,0.05,0.086,0.088
"P10","Acoso verbal o intimidación",0.073,0.129,0.103,0.169,0.232,0.049,0.101,0.162
"P10","Otros delitos en la vía pública",0.189,0.25,0.321,0.203,0.226,0.229,0.237,0.221
"P11","Muy seguro",0.112,0.093,0.134,0.091,0.123,0.119,0.067,0.123
"P11","Algo seguro",0.357,0.339,0.385,0.401,0.339,0.319,0.258,0.457
"P11","Seguro",0.104,0.087,0.175,0.15,0.161,0.113,0.092,0.152
"P11","Algo inseguro",0.203,0.231,0.162,0.176,0.19,0.136,0.211,0.128
"P11","Inseguro",0.149,0.178,0.085,0.132,0.129,0.211,0.239,0.078
"P11","Muy inseguro",0.075,0.072,0.059,0.05,0.058,0.102,0.133,0.062
"P12","Han aumentado en el último mes",0.48,0.378,0.283,0.227,0.316,0.393,0.427,0.22
"P12","Han disminuido en el último mes",0.105,0.111,0.121,0.076,0.11,0.051,0.033,0.075
"P12","Se mantienen igual que el mes anterior",0.245,0.34,0.427,0.43,0.406,0.408,0.339,0.418
"P12","No sabe",0.17,0.171,0.169,0.267,0.168,0.148,0.201,0.287
"P13","Mayor presencia de policía en las calles",0.551,0.178,0.156,0.149,0.156,0.161,0.129,0.165
"P13","Presencia de Gendarmería en las calles",0.119,0.474,0.135,0.07,0.094,0.088,0.058,0.035
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.072,0.115,0.445,0.197,0.133,0.181,0.084,0.158
"P13","Más iluminación en espacios públicos",0.074,0.033,0.093,0.394,0.135,0.048,0.047,0.183
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.059,0.043,0.038,0.068,0.346,0.07,0.025,0.037
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.04,0.016,0.035,0.035,0.035,0.358,0.035,0.043
"P13","Todas las anteriores",0.072,0.117,0.079,0.057,0.086,0.085,0.604,0.133
"P13","No sabe",0.013,0.024,0.019,0.03,0.015,0.009,0.018,0.246
"P15","El Gobierno Nacional",0.326,0.139,0.074,0.046,0.073,0.119,0.054,0.107
"P15","El Gobierno Provincial",0.264,0.366,0.146,0.174,0.186,0.285,0.183,0.258
"P15","El Municipio",0.17,0.164,0.439,0.16,0.153,0.111,0.106,0.199
"P15","Todos los niveles de gobierno son igualmente responsables",0.23,0.325,0.313,0.539,0.329,0.451,0.645,0.345
"P15","No sabe",0.01,0.006,0.028,0.081,0.259,0.034,0.012,0.091
