"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco"
"P37","Ni buena ni mala",0.444,0.195,0.231,0.539,0.181,0.21
"P37","Mala",0.201,0.282,0.241,0.188,0.493,0.113
"P37","Muy mala",0.171,0.384,0.365,0.081,0.19,0.496
"P37","No sabe",0.046,0.042,0.04,0.012,0.049,0.127
"P38","Muy buena",0.162,0.021,0.029,0.017,0.101,0.018
"P38","Buena",0.107,0.093,0.035,0,0.041,0.088
"P38","Ni buena ni mala",0.425,0.234,0.268,0.627,0.335,0.127
"P38","Mala",0.131,0.222,0.284,0.212,0.257,0.163
"P38","Muy mala",0.107,0.364,0.338,0.106,0.224,0.477
"P38","No sabe",0.068,0.066,0.046,0.038,0.042,0.127
"P39","Si",0.388,0.34,0.274,0.42,0.343,0.216
"P39","No",0.612,0.66,0.726,0.58,0.657,0.784
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.883,0.086,0.11,0.393,0.165,0.092
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.04,0.798,0.038,0.057,0.078,0.222
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.054,0.097,0.8,0.264,0.071,0.322
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.177,0,0
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.011,0.009,0.03,0.071,0.667,0.026
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.004,0.01,0.01,0.002,0.013,0.248
"P11_imputada","En blanco",0.008,0,0.012,0.036,0.006,0.09
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,1,0,0.003,0,0
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0,0,0.997,0,0
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0
"P19_imputada","En blanco",0,0,0,0,0,1
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.883,0.086,0.11,0.443,0.165,0.093
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.798,0.038,0.136,0.078,0.222
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.097,0.8,0.286,0.071,0.322
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.009,0.03,0.074,0.667,0.026
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.004,0.01,0.01,0.007,0.013,0.247
"PRESIDENTE_imputada","En blanco",0.008,0,0.012,0.054,0.006,0.09
