"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País","En blanco","No sabe"
"P31","Neutral",0.06,0.207,0.199,0.182,0,0,0.096
"P31","Algo negativa",0.016,0.132,0.074,0.323,0.221,0.475,0.075
"P31","Negativa",0.056,0.196,0.074,0.005,0.078,0.042,0
"P31","No sabe",0.02,0.007,0.011,0,0,0.119,0.142
"P32","Muy positiva",0.701,0.303,0.301,0.295,0.539,0.183,0.473
"P32","Positiva",0.167,0.247,0.217,0.226,0.123,0.18,0.205
"P32","Neutral",0.044,0.244,0.205,0.229,0.148,0,0.095
"P32","Algo negativa",0.011,0.104,0.12,0.118,0.06,0,0
"P32","Negativa",0.029,0.087,0.125,0.004,0.13,0.042,0.113
"P32","No sabe",0.048,0.015,0.032,0.128,0,0.595,0.114
"P33","Muy buena",0.197,0.118,0.213,0.052,0.063,0.025,0.534
"P33","Buena",0.315,0.13,0.173,0.247,0.773,0.692,0.054
"P33","Ni buena ni mala",0.36,0.518,0.337,0.408,0.164,0.241,0.24
"P33","Mala",0.069,0.121,0.141,0.178,0,0,0.077
"P33","Muy mala",0.037,0.081,0.129,0.115,0,0.042,0
"P33","No sabe",0.022,0.032,0.007,0,0,0,0.095
"P34","Muy buena",0.192,0.049,0.08,0.021,0,0.118,0.412
"P34","Buena",0.343,0.178,0.175,0.11,0.32,0.025,0.176
"P34","Ni buena ni mala",0.321,0.284,0.344,0.258,0.493,0.159,0.141
"P34","Mala",0.085,0.233,0.199,0.302,0.187,0.179,0.139
"P34","Muy mala",0.051,0.227,0.184,0.302,0,0.519,0.132
"P34","No sabe",0.008,0.029,0.018,0.007,0,0,0
"P35","Muy buena",0.088,0.048,0.056,0.045,0.014,0,0.357
"P35","Buena",0.168,0.13,0.121,0.057,0.084,0.029,0.071
"P35","Ni buena ni mala",0.354,0.249,0.282,0.13,0.259,0.18,0.222
"P35","Mala",0.202,0.319,0.253,0.552,0.27,0.136,0.131
"P35","Muy mala",0.178,0.249,0.272,0.216,0.373,0.655,0.18
"P35","No sabe",0.01,0.005,0.016,0,0,0,0.039
"P36","Muy buena",0.12,0.084,0.094,0.038,0,0.208,0.396
"P36","Buena",0.23,0.246,0.106,0.052,0.251,0,0.111
"P36","Ni buena ni mala",0.334,0.319,0.416,0.173,0.341,0.138,0.174
"P36","Mala",0.16,0.236,0.167,0.308,0.104,0,0.124
"P36","Muy mala",0.124,0.092,0.194,0.396,0.304,0.654,0.158
"P36","No sabe",0.032,0.023,0.023,0.033,0,0,0.037
"P37","Muy buena",0.033,0.036,0.052,0,0,0.029,0.379
"P37","Buena",0.118,0.066,0.039,0.005,0.086,0,0.021
"P37","Ni buena ni mala",0.466,0.165,0.282,0.26,0.232,0.11,0.167
"P37","Mala",0.187,0.29,0.246,0.533,0.128,0.744,0.087
"P37","Muy mala",0.162,0.413,0.35,0.161,0.269,0.117,0.156
"P37","No sabe",0.034,0.03,0.031,0.041,0.285,0,0.19
"P38","Muy buena",0.112,0.016,0.033,0.009,0.044,0,0.356
"P38","Buena",0.103,0.074,0.025,0.028,0.086,0,0.022
"P38","Ni buena ni mala",0.477,0.239,0.324,0.369,0.145,0.098,0.131
"P38","Mala",0.14,0.231,0.259,0.262,0.231,0.785,0.127
"P38","Muy mala",0.119,0.388,0.31,0.302,0.21,0.117,0.175
"P38","No sabe",0.049,0.052,0.049,0.03,0.284,0,0.189
"P39","Si",0.345,0.374,0.314,0.425,0.28,0.178,0.29
"P39","No",0.655,0.626,0.686,0.575,0.72,0.822,0.71
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.671,0.013,0.048,0.026,0.063,0.081,0.198
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.032,0.715,0.041,0.018,0.092,0,0.065
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.074,0.051,0.689,0.034,0.147,0.203,0.006
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.147,0.091,0.11,0.111,0.026,0.43,0.082
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.045,0.036,0.024,0.728,0.076,0,0
"DIPUTADOS","En blanco",0.011,0.052,0.041,0.013,0.596,0.248,0
"DIPUTADOS","No sabe",0.02,0.042,0.047,0.07,0,0.038,0.649
"CORTA_DIPUTADOS","Si",0.358,0.244,0.318,0.271,0.395,0.635,0.364
"CORTA_DIPUTADOS","No",0.642,0.756,0.682,0.729,0.605,0.365,0.636
