"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco"
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.449,0.112,0.245,0.428,0.368,0.22
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.022,0.214,0.106,0.064,0.099,0.155
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.058,0.299,0.328,0.151,0.189,0.367
"P23","No sabe",0.05,0.02,0,0.004,0.061,0.233
"P24","Ha aumentado significativamente",0.192,0.137,0.102,0.209,0.045,0.13
"P24","Ha aumentado ligeramente",0.159,0.142,0.176,0.233,0.356,0.303
"P24","Se mantiene igual",0.315,0.223,0.367,0.22,0.259,0.109
"P24","Ha disminuido ligeramente",0.23,0.167,0.134,0.168,0.13,0.102
"P24","Ha disminuido significativamente",0.104,0.331,0.221,0.17,0.21,0.356
"P25","No, ninguna dificultad",0.403,0.357,0.252,0.549,0.297,0.345
"P25","Alguna dificultad ocasional",0.401,0.315,0.474,0.222,0.37,0.263
"P25","Sí, dificultades frecuentes",0.196,0.328,0.274,0.229,0.333,0.392
"P26","Sí, absolutamente",0.845,0.402,0.334,0.5,0.591,0.389
"P26","Sí, en cierta medida",0.134,0.351,0.275,0.235,0.392,0.212
"P26","No, en absoluto",0.021,0.247,0.391,0.265,0.017,0.399
"P27","Reducir la inflación",0.52,0.411,0.574,0.495,0.512,0.32
"P27","Implementar reformas fiscales",0.125,0.055,0.13,0.069,0.124,0.081
"P27","Establecer políticas de control de precios",0.291,0.061,0.015,0.169,0.177,0.072
"P27","Reducir el gasto público",0.052,0.436,0.238,0.233,0.119,0.516
"P27","Estimular la inversión extranjera",0.006,0.037,0.043,0.034,0.068,0
"P27","Aumentar los subsidios a los servicios públicos",0.006,0,0,0,0,0.011
"P28","Muy positiva",0.372,0.186,0.299,0.234,0.17,0.124
"P28","Positiva",0.296,0.167,0.268,0.24,0.249,0.072
"P28","Neutral",0.144,0.331,0.147,0.429,0.234,0.389
"P28","Algo negativa",0.043,0.1,0.107,0.025,0.134,0.086
"P28","Negativa",0.056,0.093,0.048,0.021,0.033,0.22
"P28","No sabe",0.089,0.123,0.131,0.051,0.18,0.109
"P29","Muy positiva",0.698,0.288,0.312,0.393,0.29,0.202
"P29","Positiva",0.087,0.164,0.281,0.323,0.301,0.141
"P29","Neutral",0.044,0.3,0.191,0.165,0.328,0.194
"P29","Algo negativa",0.046,0.066,0.089,0.064,0.041,0.011
"P29","Negativa",0.12,0.113,0.103,0.036,0.013,0.43
"P29","No sabe",0.005,0.069,0.024,0.019,0.027,0.022
"P30","Muy positiva",0.521,0.249,0.259,0.24,0.151,0.087
"P30","Positiva",0.256,0.103,0.117,0.265,0.221,0.166
"P30","Neutral",0.043,0.251,0.334,0.245,0.402,0.238
"P30","Algo negativa",0.053,0.085,0.127,0.105,0.095,0.077
"P30","Negativa",0.104,0.141,0.071,0.091,0.058,0.362
"P30","No sabe",0.023,0.171,0.092,0.054,0.073,0.07
"P31","Muy positiva",0.691,0.31,0.464,0.679,0.463,0.344
"P31","Positiva",0.115,0.223,0.225,0.072,0.25,0.094
"P31","Neutral",0.031,0.167,0.183,0.104,0.142,0.106
"P31","Algo negativa",0.06,0.109,0.09,0.048,0.113,0.198
"P31","Negativa",0.062,0.168,0.014,0.076,0,0.258
"P31","No sabe",0.041,0.023,0.024,0.021,0.032,0
"P32","Muy positiva",0.496,0.326,0.282,0.64,0.451,0.53
"P32","Positiva",0.267,0.295,0.242,0.13,0.203,0.126
"P32","Neutral",0.04,0.167,0.154,0.112,0.181,0.072
"P32","Algo negativa",0.059,0.059,0.245,0.028,0.067,0.105
"P32","Negativa",0.09,0.129,0.069,0.025,0.084,0.167
"P32","No sabe",0.048,0.024,0.008,0.065,0.014,0
"P33","Muy buena",0.19,0.155,0.19,0.248,0.219,0.025
"P33","Buena",0.314,0.175,0.292,0.364,0.231,0.086
"P33","Ni buena ni mala",0.442,0.361,0.299,0.282,0.489,0.349
"P33","Mala",0.032,0.125,0.149,0.013,0.061,0.09
"P33","Muy mala",0,0.178,0.027,0.021,0,0.425
"P33","No sabe",0.022,0.006,0.043,0.072,0,0.025
"P34","Muy buena",0.296,0.037,0.035,0.092,0.036,0.048
"P34","Buena",0.411,0.136,0.231,0.267,0.157,0.079
"P34","Ni buena ni mala",0.123,0.285,0.527,0.464,0.416,0.257
"P34","Mala",0.057,0.243,0.096,0.1,0.189,0.208
"P34","Muy mala",0.093,0.248,0.105,0.077,0.15,0.408
"P34","No sabe",0.02,0.051,0.006,0,0.052,0
"P35","Muy buena",0.184,0.117,0.07,0.097,0.021,0
"P35","Buena",0.081,0.078,0.152,0.294,0.015,0.056
"P35","Ni buena ni mala",0.493,0.316,0.373,0.338,0.128,0.167
"P35","Mala",0.196,0.259,0.191,0.164,0.568,0.191
"P35","Muy mala",0.01,0.182,0.208,0.107,0.216,0.586
"P35","No sabe",0.036,0.048,0.006,0,0.052,0
"P36","Muy buena",0.294,0.076,0.16,0.139,0.028,0.05
"P36","Buena",0.2,0.23,0.193,0.406,0.057,0.321
"P36","Ni buena ni mala",0.41,0.402,0.35,0.226,0.321,0.178
"P36","Mala",0.055,0.116,0.165,0.102,0.359,0.156
"P36","Muy mala",0.024,0.142,0.12,0.108,0.162,0.28
"P36","No sabe",0.017,0.034,0.012,0.019,0.073,0.015
"P37","Muy buena",0.107,0.007,0.1,0.059,0,0.025
"P37","Buena",0.041,0.061,0.078,0.102,0.025,0
"P37","Ni buena ni mala",0.498,0.216,0.255,0.544,0.064,0.264
"P37","Mala",0.197,0.266,0.223,0.179,0.511,0.066
"P37","Muy mala",0.128,0.392,0.278,0.097,0.292,0.629
"P37","No sabe",0.029,0.058,0.066,0.019,0.108,0.016
"P38","Muy buena",0.161,0.007,0.006,0.021,0.039,0
"P38","Buena",0.095,0.035,0.011,0,0.073,0.068
"P38","Ni buena ni mala",0.482,0.281,0.272,0.634,0.311,0.128
"P38","Mala",0.102,0.263,0.4,0.199,0.308,0.149
"P38","Muy mala",0.124,0.353,0.278,0.095,0.218,0.638
"P38","No sabe",0.036,0.061,0.033,0.051,0.051,0.017
"P39","Si",0.348,0.379,0.292,0.452,0.306,0.241
"P39","No",0.652,0.621,0.708,0.548,0.694,0.759
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.682,0.209,0.321,0.455,0.409,0.118
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.525,0.112,0.087,0.18,0.341
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.157,0.233,0.427,0.33,0.193,0.421
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.017,0.074,0.079,0.186,0.039
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.016,0.034,0.004,0.022,0.036
"PRESIDENTE_imputada","En blanco",0.021,0,0.032,0.045,0.01,0.045
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.996,0,0,0,0
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0.004,0,1,0,0
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0
"DIPUTADOS_imputada","En blanco",0,0,0,0,0,1
