"var","categoria","Pablo Todero a Diputado Nacional por Unión por la Patria","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Nadia Márquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Patricia Jure a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.026,0.225,0.107,0.056,0.105,0.163,0.08
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.053,0.31,0.311,0.134,0.141,0.334,0.351
"P23","No sabe",0.053,0.023,0,0,0.064,0.245,0.017
"P24","Ha aumentado significativamente",0.221,0.152,0.124,0.225,0.047,0.137,0
"P24","Ha aumentado ligeramente",0.178,0.148,0.208,0.241,0.327,0.267,0.139
"P24","Se mantiene igual",0.237,0.178,0.331,0.223,0.275,0.115,0.51
"P24","Ha disminuido ligeramente",0.258,0.178,0.152,0.146,0.138,0.107,0.117
"P24","Ha disminuido significativamente",0.106,0.344,0.185,0.165,0.213,0.374,0.234
"P25","No, ninguna dificultad",0.433,0.334,0.228,0.586,0.314,0.35,0.285
"P25","Alguna dificultad ocasional",0.362,0.326,0.476,0.228,0.334,0.236,0.461
"P25","Sí, dificultades frecuentes",0.205,0.34,0.296,0.186,0.352,0.414,0.254
"P26","Sí, absolutamente",0.832,0.421,0.386,0.486,0.602,0.369,0.465
"P26","Sí, en cierta medida",0.149,0.31,0.245,0.234,0.38,0.223,0.348
"P26","No, en absoluto",0.019,0.269,0.369,0.28,0.018,0.408,0.187
"P27","Reducir la inflación",0.593,0.434,0.568,0.534,0.507,0.295,0.296
"P27","Implementar reformas fiscales",0.119,0.063,0.137,0.075,0.103,0.086,0.092
"P27","Establecer políticas de control de precios",0.234,0.059,0,0.164,0.189,0.077,0.25
"P27","Reducir el gasto público",0.04,0.403,0.244,0.197,0.128,0.53,0.348
"P27","Estimular la inversión extranjera",0.007,0.041,0.051,0.03,0.073,0,0.014
"P27","Aumentar los subsidios a los servicios públicos",0.007,0,0,0,0,0.012,0
"P28","Muy positiva",0.433,0.209,0.294,0.248,0.182,0.132,0.102
"P28","Positiva",0.251,0.151,0.283,0.232,0.266,0.076,0.305
"P28","Neutral",0.117,0.359,0.156,0.456,0.21,0.368,0.221
"P28","Algo negativa",0.05,0.045,0.111,0.028,0.114,0.091,0.151
"P28","Negativa",0.065,0.105,0.047,0.008,0.035,0.235,0.044
"P28","No sabe",0.084,0.131,0.109,0.028,0.193,0.098,0.177
"P29","Muy positiva",0.683,0.314,0.325,0.416,0.31,0.168,0.292
"P29","Positiva",0.082,0.164,0.286,0.337,0.322,0.15,0.167
"P29","Neutral",0.047,0.319,0.193,0.152,0.31,0.189,0.203
"P29","Algo negativa",0.051,0.054,0.104,0.063,0.044,0.012,0.05
"P29","Negativa",0.131,0.127,0.064,0.032,0.014,0.458,0.116
"P29","No sabe",0.006,0.022,0.028,0,0,0.023,0.172
"P30","Muy positiva",0.489,0.27,0.271,0.263,0.163,0.093,0.209
"P30","Positiva",0.28,0.096,0.103,0.276,0.237,0.13,0.157
"P30","Neutral",0.047,0.283,0.34,0.261,0.42,0.235,0.133
"P30","Algo negativa",0.051,0.077,0.136,0.108,0.102,0.083,0.081
"P30","Negativa",0.114,0.159,0.069,0.084,0.031,0.385,0.093
"P30","No sabe",0.019,0.115,0.081,0.008,0.047,0.074,0.327
"P31","Muy positiva",0.735,0.309,0.505,0.696,0.466,0.302,0.355
"P31","Positiva",0.053,0.237,0.191,0.063,0.258,0.1,0.322
"P31","Neutral",0.034,0.189,0.195,0.106,0.154,0.113,0.05
"P31","Algo negativa",0.066,0.069,0.093,0.052,0.122,0.21,0.11
"P31","Negativa",0.067,0.191,0.016,0.083,0,0.275,0
"P31","No sabe",0.045,0.005,0,0,0,0,0.163
"P32","Muy positiva",0.55,0.362,0.3,0.682,0.416,0.518,0.202
"P32","Positiva",0.197,0.293,0.224,0.106,0.209,0.119,0.428
"P32","Neutral",0.045,0.131,0.147,0.103,0.196,0.076,0.193
"P32","Algo negativa",0.066,0.067,0.277,0.031,0.073,0.111,0
"P32","Negativa",0.102,0.14,0.043,0.027,0.091,0.176,0.077
"P32","No sabe",0.04,0.007,0.009,0.051,0.015,0,0.1
"P33","Muy buena",0.213,0.166,0.208,0.258,0.165,0.027,0.133
"P33","Buena",0.249,0.167,0.316,0.396,0.239,0.091,0.253
"P33","Ni buena ni mala",0.478,0.322,0.286,0.258,0.529,0.328,0.421
"P33","Mala",0.036,0.135,0.147,0.007,0.067,0.08,0.08
"P33","Muy mala",0,0.203,0.031,0.023,0,0.448,0
"P33","No sabe",0.024,0.007,0.012,0.058,0,0.026,0.113
"P34","Muy buena",0.221,0.032,0.04,0.1,0.038,0.01,0.229
"P34","Buena",0.449,0.126,0.226,0.243,0.164,0.083,0.255
"P34","Ni buena ni mala",0.139,0.232,0.537,0.498,0.399,0.271,0.325
"P34","Mala",0.065,0.27,0.089,0.075,0.187,0.22,0.146
"P34","Muy mala",0.104,0.283,0.102,0.084,0.158,0.416,0.045
"P34","No sabe",0.022,0.057,0.006,0,0.054,0,0
"P35","Muy buena",0.207,0.133,0.08,0.105,0.023,0,0
"P35","Buena",0.091,0.079,0.166,0.294,0.015,0.059,0.093
"P35","Ni buena ni mala",0.457,0.238,0.356,0.368,0.123,0.176,0.498
"P35","Mala",0.193,0.288,0.182,0.123,0.559,0.161,0.331
"P35","Muy mala",0.011,0.207,0.21,0.11,0.226,0.604,0.078
"P35","No sabe",0.041,0.055,0.006,0,0.054,0,0
"P36","Muy buena",0.33,0.087,0.16,0.144,0.03,0.053,0.056
"P36","Buena",0.218,0.219,0.183,0.442,0.049,0.339,0.162
"P36","Ni buena ni mala",0.35,0.365,0.353,0.199,0.299,0.147,0.601
"P36","Mala",0.056,0.126,0.164,0.104,0.376,0.15,0.097
"P36","Muy mala",0.027,0.164,0.127,0.111,0.17,0.295,0.033
"P36","No sabe",0.019,0.039,0.013,0,0.076,0.016,0.051
"P37","Muy buena",0.12,0.008,0.114,0.057,0,0.026,0.016
"P37","Buena",0.046,0.07,0.088,0.111,0.026,0,0
"P37","Ni buena ni mala",0.45,0.142,0.276,0.546,0.03,0.237,0.559
"P37","Mala",0.221,0.298,0.212,0.195,0.536,0.07,0.089
"P37","Muy mala",0.144,0.425,0.272,0.091,0.295,0.65,0.179
"P37","No sabe",0.019,0.057,0.038,0,0.113,0.017,0.157
"P38","Muy buena",0.181,0.009,0.006,0.022,0.04,0,0
"P38","Buena",0.107,0.041,0.013,0,0.077,0.072,0
"P38","Ni buena ni mala",0.432,0.227,0.274,0.659,0.289,0.136,0.513
"P38","Mala",0.115,0.259,0.424,0.195,0.322,0.115,0.212
"P38","Muy mala",0.139,0.405,0.283,0.097,0.218,0.66,0.097
"P38","No sabe",0.026,0.059,0,0.027,0.054,0.017,0.178
"P39","Si",0.376,0.313,0.288,0.466,0.322,0.255,0.358
"P39","No",0.624,0.687,0.712,0.534,0.678,0.745,0.642
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.696,0.192,0.341,0.457,0.421,0.124,0.172
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.028,0.54,0.13,0.093,0.163,0.357,0.182
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.165,0.202,0.416,0.303,0.21,0.394,0.328
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.02,0.031,0.085,0.182,0.041,0.106
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.014,0.019,0.041,0.005,0.024,0.037,0
"PRESIDENTE","En blanco",0.015,0,0.038,0.048,0,0.047,0.011
"PRESIDENTE","No sabe",0.059,0.027,0.003,0.009,0,0,0.201
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",1,0,0,0,0,0,0
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0,0.995,0,0,0,0,0
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0,0,1,0,0,0,0
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0,0.005,0,1,0,0,0.037
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0,0,0,0,1,0,0
"DIPUTADOS","En blanco",0,0,0,0,0,1,0
"DIPUTADOS","No sabe",0,0,0,0,0,0,0.963
"CORTA_DIPUTADOS","Si",0.304,0.457,0.585,1,0.818,0.915,0.792
"CORTA_DIPUTADOS","No",0.696,0.543,0.415,0,0.182,0.085,0.208
