"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén","Sandro Badilla a diputado nacional por el movimiento popular neuquino","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.014,0.317,0.368,0.209,0.267,0.139,0.188,0.072
"P23","No sabe",0.035,0.017,0.033,0,0.037,0.063,0.119,0.037
"P24","Ha aumentado significativamente",0.232,0.063,0.12,0.139,0.015,0.064,0,0.21
"P24","Ha aumentado ligeramente",0.263,0.222,0.154,0.144,0.212,0.233,0.069,0.241
"P24","Se mantiene igual",0.339,0.244,0.275,0.138,0.33,0.165,0.361,0.224
"P24","Ha disminuido ligeramente",0.114,0.215,0.163,0.014,0.215,0.33,0.047,0.048
"P24","Ha disminuido significativamente",0.052,0.256,0.288,0.565,0.228,0.208,0.523,0.277
"P25","No, ninguna dificultad",0.572,0.328,0.279,0.584,0.198,0.213,0.116,0.51
"P25","Alguna dificultad ocasional",0.301,0.387,0.314,0.145,0.292,0.227,0.656,0.079
"P25","Sí, dificultades frecuentes",0.127,0.285,0.407,0.271,0.51,0.56,0.228,0.411
"P26","Sí, absolutamente",0.722,0.341,0.381,0.623,0.523,0.456,0.851,0.784
"P26","Sí, en cierta medida",0.212,0.392,0.285,0.356,0.419,0.082,0,0.12
"P26","No, en absoluto",0.066,0.267,0.334,0.021,0.058,0.462,0.149,0.096
"P27","Reducir la inflación",0.48,0.37,0.489,0.503,0.464,0.655,0.055,0.645
"P27","Implementar reformas fiscales",0.118,0.139,0.089,0,0.172,0.141,0,0
"P27","Establecer políticas de control de precios",0.284,0.076,0.025,0.297,0.094,0,0.709,0.101
"P27","Reducir el gasto público",0.052,0.37,0.348,0.131,0.17,0.204,0.236,0.233
"P27","Estimular la inversión extranjera",0.04,0.045,0.047,0.069,0.1,0,0,0.021
"P27","Aumentar los subsidios a los servicios públicos",0.026,0,0.002,0,0,0,0,0
"P28","Muy positiva",0.409,0.132,0.165,0.366,0.155,0.501,0,0.513
"P28","Positiva",0.245,0.182,0.194,0.217,0.342,0.319,0.605,0.098
"P28","Neutral",0.194,0.37,0.327,0.027,0.265,0.035,0.187,0.178
"P28","Algo negativa",0.033,0.099,0.082,0.057,0.058,0.042,0,0.075
"P28","Negativa",0.044,0.137,0.144,0,0.101,0.065,0.156,0.021
"P28","No sabe",0.075,0.08,0.088,0.333,0.079,0.038,0.052,0.115
"P29","Muy positiva",0.686,0.143,0.218,0.249,0.113,0.597,0.119,0.651
"P29","Positiva",0.188,0.212,0.237,0.389,0.278,0.039,0.673,0.14
"P29","Neutral",0.052,0.273,0.29,0.135,0.417,0.181,0,0.071
"P29","Algo negativa",0.009,0.139,0.094,0,0.031,0.043,0,0.057
"P29","Negativa",0.042,0.182,0.154,0,0.12,0.14,0.054,0.046
"P29","No sabe",0.023,0.051,0.007,0.227,0.041,0,0.154,0.035
"P30","Muy positiva",0.483,0.1,0.165,0.268,0.159,0.372,0,0.436
"P30","Positiva",0.289,0.201,0.169,0.235,0.225,0.083,0.721,0.138
"P30","Neutral",0.121,0.299,0.304,0.086,0.399,0.181,0,0.089
"P30","Algo negativa",0.023,0.103,0.127,0.169,0.153,0.164,0,0.107
"P30","Negativa",0.053,0.225,0.174,0,0.006,0.16,0.13,0.046
"P30","No sabe",0.031,0.072,0.061,0.242,0.058,0.04,0.149,0.184
"P31","Muy positiva",0.741,0.209,0.427,0.497,0.414,0.573,0.123,0.575
"P31","Positiva",0.106,0.245,0.223,0.188,0.076,0.124,0.076,0.113
"P31","Neutral",0.06,0.209,0.2,0.073,0.182,0,0,0.084
"P31","Algo negativa",0.016,0.133,0.075,0,0.323,0.224,0.598,0.079
"P31","Negativa",0.057,0.197,0.075,0,0.005,0.079,0.053,0
"P31","No sabe",0.02,0.007,0,0.242,0,0,0.15,0.149
"P32","Muy positiva",0.699,0.302,0.305,0.55,0.295,0.532,0.123,0.447
"P32","Positiva",0.168,0.245,0.22,0.19,0.226,0.125,0.076,0.215
"P32","Neutral",0.045,0.246,0.207,0,0.229,0.151,0,0.1
"P32","Algo negativa",0.011,0.105,0.121,0.024,0.118,0.06,0,0
"P32","Negativa",0.029,0.087,0.126,0,0.004,0.132,0.052,0.119
"P32","No sabe",0.048,0.015,0.021,0.236,0.128,0,0.749,0.119
"P33","Muy buena",0.198,0.111,0.214,0.219,0.052,0.064,0,0.544
"P33","Buena",0.316,0.131,0.176,0.313,0.247,0.769,0.72,0.023
"P33","Ni buena ni mala",0.358,0.523,0.33,0.431,0.408,0.167,0.227,0.253
"P33","Mala",0.069,0.122,0.143,0,0.178,0,0,0.081
"P33","Muy mala",0.036,0.081,0.13,0.037,0.115,0,0.053,0
"P33","No sabe",0.023,0.032,0.007,0,0,0,0,0.099
"P34","Muy buena",0.193,0.045,0.081,0.065,0.021,0,0.148,0.433
"P34","Buena",0.343,0.18,0.164,0.344,0.11,0.325,0,0.185
"P34","Ni buena ni mala",0.324,0.283,0.349,0.294,0.258,0.486,0.123,0.098
"P34","Mala",0.082,0.235,0.202,0.26,0.302,0.189,0.077,0.146
"P34","Muy mala",0.05,0.228,0.186,0.037,0.302,0,0.652,0.138
"P34","No sabe",0.008,0.029,0.018,0,0.007,0,0,0
"P35","Muy buena",0.086,0.045,0.056,0.193,0.045,0,0,0.375
"P35","Buena",0.167,0.127,0.111,0.637,0.057,0.085,0,0.024
"P35","Ni buena ni mala",0.355,0.251,0.284,0.17,0.13,0.262,0.123,0.234
"P35","Mala",0.203,0.321,0.257,0,0.552,0.274,0.151,0.137
"P35","Muy mala",0.179,0.251,0.276,0,0.216,0.379,0.726,0.189
"P35","No sabe",0.01,0.005,0.016,0,0,0,0,0.041
"P36","Muy buena",0.116,0.08,0.095,0.39,0.038,0,0.123,0.399
"P36","Buena",0.231,0.245,0.107,0.205,0.052,0.24,0,0.083
"P36","Ni buena ni mala",0.335,0.321,0.409,0.362,0.173,0.346,0.153,0.183
"P36","Mala",0.162,0.238,0.169,0,0.308,0.106,0,0.13
"P36","Muy mala",0.123,0.092,0.197,0.043,0.396,0.308,0.724,0.166
"P36","No sabe",0.033,0.024,0.023,0,0.033,0,0,0.039
"P37","Muy buena",0.029,0.037,0.052,0.177,0,0,0,0.398
"P37","Buena",0.119,0.066,0.038,0.028,0.005,0.087,0,0.023
"P37","Ni buena ni mala",0.468,0.163,0.274,0.427,0.26,0.221,0.122,0.175
"P37","Mala",0.189,0.292,0.25,0.25,0.533,0.13,0.748,0.041
"P37","Muy mala",0.161,0.412,0.355,0.118,0.161,0.273,0.13,0.164
"P37","No sabe",0.034,0.03,0.031,0,0.041,0.289,0,0.199
"P38","Muy buena",0.113,0.016,0.034,0,0.009,0.044,0,0.374
"P38","Buena",0.104,0.074,0.025,0,0.028,0.087,0,0.023
"P38","Ni buena ni mala",0.48,0.237,0.315,0.507,0.369,0.133,0,0.138
"P38","Mala",0.136,0.233,0.263,0.258,0.262,0.234,0.87,0.099
"P38","Muy mala",0.117,0.387,0.314,0.235,0.302,0.214,0.13,0.167
"P38","No sabe",0.05,0.053,0.049,0,0.03,0.288,0,0.199
"P39","Si",0.343,0.369,0.305,0.709,0.425,0.284,0.082,0.288
"P39","No",0.657,0.631,0.695,0.291,0.575,0.716,0.918,0.712
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0.22,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0.497,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0.101,0,0,0,0
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,0.016,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0,0,0,0.008,0,1,0,0
"PRESIDENTE","En blanco",0,0,0,0.096,0,0,1,0
"PRESIDENTE","No sabe",0,0,0,0.062,0,0,0,1
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.68,0.014,0.048,0,0.026,0.064,0.095,0.206
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.032,0.755,0.042,0,0.018,0.093,0,0.068
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.074,0.054,0.694,0,0.034,0.148,0.236,0.007
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.135,0.041,0.103,1,0.108,0.015,0.336,0.043
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.046,0.038,0.025,0,0.731,0.077,0,0
"DIPUTADOS","En blanco",0.012,0.054,0.041,0,0.013,0.603,0.289,0
"DIPUTADOS","No sabe",0.021,0.044,0.047,0,0.07,0,0.044,0.676
"CORTA_DIPUTADOS","Si",0.359,0.253,0.318,0,0.271,0.395,0.703,0.377
"CORTA_DIPUTADOS","No",0.641,0.747,0.682,1,0.729,0.605,0.297,0.623
