"var","categoria","Sí, he sido víctima","No, no he sido víctima","No sabe"
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.428,0.372,0.279
"P16","No sabe",0.278,0.357,0.58
"P17","Porque son mas seguras",0.19,0.216,0.091
"P17","Porque los costos del servicio son menores",0.293,0.221,0.165
"P17","Porque tienen mas clientes adheridos",0.108,0.136,0.165
"P17","Porque la calidad de la aplicación",0.098,0.094,0.057
"P17","Por la calidad de la atención al cliente",0.049,0.024,0.028
"P17","Por la eficiencia en la solución de reclamos",0.034,0.019,0.018
"P17","No sabe",0.228,0.29,0.476
"P18","Si, las conozco",0.376,0.349,0.23
"P18","No, no las conozco",0.624,0.651,0.77
"P19","Si",0.539,0.465,0.277
"P19","No",0.461,0.535,0.723
"P20","MODO",0.264,0.183,0.181
"P20","Cuenta DNI",0.175,0.155,0.019
"P20","Mercado de Pago",0.324,0.459,0.482
"P20","Ualá",0.017,0.032,0.021
"P20","Brubank",0.02,0.026,0.042
"P20","Naranja X",0.043,0.014,0.014
"P20","Otra",0.157,0.131,0.241
"P21","Para pagar en comercios con el celular",0.443,0.418,0.23
"P21","Para transferir / enviar o recibir dinero de terceros",0.257,0.313,0.326
"P21","Para usarla para trabajar / cobrar / vender",0.165,0.134,0.193
"P21","Para pagar servicios",0.08,0.096,0.125
"P21","Para extraer dinero sin tarjeta",0.018,0.012,0.046
"P21","Para recargar el celular / tarjeta de transporte",0.037,0.027,0.08
"P22","Usas más efectivo que antes",0.145,0.1,0.124
"P22","Usas la misma cantidad de efectivo que antes",0.272,0.284,0.143
"P22","Usas menos efectivo que antes",0.583,0.616,0.733
"P23","Tener mayor control de tus gastos",0.475,0.378,0.39
"P23","Tener igual control de tus gastos",0.382,0.495,0.481
"P23","Tener menor control de tus gastos",0.143,0.127,0.129
"P24","Muy de acuerdo",0.465,0.344,0.165
"P24","De acuerdo",0.191,0.264,0.344
"P24","Algo de acuerdo",0.21,0.235,0.238
"P24","Poco de acuerdo",0.048,0.081,0.157
"P24","Nada de acuerdo",0.086,0.076,0.096
"P25","Deberían mantenerse y ampliarse aún mas",0.4,0.329,0.153
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.397,0.485,0.406
"P25","Deberian limitarse a los estrictamente necesarios",0.108,0.084,0.148
"P25","Deberian eliminarse y volverse a la situación anterior",0.095,0.102,0.293
"P26","Sí, compraría",0.288,0.177,0.103
"P26","No, no tengo suficiente información",0.445,0.496,0.447
"P26","No, me resulta una inversión riesgosa",0.113,0.113,0.092
"P26","No, me parece una inversión poco confiable",0.075,0.091,0.064
"P26","No me interesa",0.079,0.123,0.294
"P27","Si",0.362,0.242,0.112
"P27","No",0.638,0.758,0.888
"P28","Muy seguro",0.366,0.222,0.025
"P28","Bastante seguro",0.197,0.323,0.146
"P28","Seguro",0.133,0.178,0.297
"P28","Poco seguro",0.119,0.086,0.078
"P28","Nada seguro",0.092,0.045,0.103
"P28","No hago operaciones online",0.093,0.146,0.351
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.235,0.202,0.104
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.195,0.34,0.093
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.37,0.246,0.313
"P31","No sabe",0.2,0.212,0.49
"P32","Si, he limitado las operaciones",0.33,0.178,0.172
"P32","He limitado parcialmente",0.269,0.221,0.233
"P32","No, continúo operando igual que siempre",0.401,0.601,0.595
"P33","1",0.352,0.25,0.31
"P33","2",0.124,0.116,0.083
"P33","3",0.091,0.155,0.115
"P33","4",0.037,0.055,0.059
"P33","5",0.169,0.171,0.173
"P33","6",0.048,0.046,0.078
"P33","7",0.03,0.036,0.039
"P33","8",0.026,0.04,0.013
"P33","9",0.123,0.131,0.13
"P34","1",0.346,0.285,0.375
"P34","2",0.107,0.113,0.093
"P34","3",0.074,0.082,0.062
"P34","4",0.061,0.078,0.07
"P34","5",0.216,0.202,0.174
"P34","6",0.047,0.054,0.048
"P34","7",0.031,0.042,0.061
"P34","8",0.028,0.034,0.024
"P34","9",0.09,0.11,0.093
"P35","1",0.268,0.257,0.352
"P35","2",0.079,0.078,0.071
"P35","3",0.023,0.048,0.041
"P35","4",0.036,0.036,0.059
"P35","5",0.157,0.147,0.156
"P35","6",0.051,0.047,0.062
"P35","7",0.041,0.055,0.029
"P35","8",0.07,0.067,0.073
"P35","9",0.275,0.265,0.157
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.344,0.282,0.184
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.24,0.231,0.144
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.248,0.189,0.206
"P36","No sabe",0.168,0.298,0.466
"P37","Muy buena",0.115,0.087,0.054
"P37","Buena",0.087,0.118,0.13
"P37","Ni buena ni mala",0.153,0.169,0.198
"P37","Mala",0.159,0.186,0.218
"P37","Muy mala",0.47,0.425,0.322
"P37","No sabe",0.016,0.015,0.078
"P38","Gran excedente habitual",0.003,0.009,0.005
"P38","Gran excedente excepcional",0.005,0.01,0.031
"P38","Pequeño excedente habitual",0.096,0.056,0.031
"P38","Pequeño excedente excepcional",0.068,0.061,0.036
"P38","Alcanza gastos familia",0.113,0.141,0.072
"P38","No alcanza gastos familia",0.166,0.175,0.216
"P38","Solo NBFamiliares",0.232,0.266,0.254
"P38","No alcanza NBFamiliares",0.306,0.269,0.324
"P38","No sabe",0.011,0.013,0.031
"P39","Mejor",0.119,0.108,0.1
"P39","Igual",0.212,0.253,0.259
"P39","Peor",0.554,0.544,0.49
"P39","No sabe",0.115,0.095,0.151
