"var","categoria","Porque son mas seguras","Porque los costos del servicio son menores","Porque tienen mas clientes adheridos","Porque la calidad de la aplicación","Por la calidad de la atención al cliente","Por la eficiencia en la solución de reclamos","No sabe"
"P29","Sí, he sido víctima",0.164,0.22,0.137,0.184,0.289,0.263,0.129
"P29","No, no he sido víctima",0.783,0.696,0.722,0.743,0.601,0.64,0.688
"P29","No sabe",0.053,0.084,0.141,0.073,0.11,0.097,0.183
"P30","Estafa por redes sociales",0.321,0.294,0.403,0.418,0.339,0.309,0.2
"P30","Estafa telefónica",0.234,0.181,0.173,0.212,0.171,0.133,0.147
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.103,0.202,0.117,0.101,0.067,0.22,0.129
"P30","Virus",0.019,0.011,0.043,0,0.044,0.014,0.027
"P30","Otros",0.323,0.312,0.264,0.269,0.379,0.324,0.497
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.268,0.208,0.197,0.222,0.128,0.1,0.151
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.302,0.367,0.311,0.263,0.397,0.38,0.202
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.242,0.297,0.345,0.318,0.189,0.396,0.231
"P31","No sabe",0.188,0.128,0.147,0.197,0.286,0.124,0.416
"P32","Si, he limitado las operaciones",0.25,0.208,0.17,0.121,0.229,0.133,0.214
"P32","He limitado parcialmente",0.231,0.282,0.219,0.241,0.167,0.398,0.189
"P32","No, continúo operando igual que siempre",0.519,0.51,0.611,0.638,0.604,0.469,0.597
"P33","1",0.264,0.268,0.272,0.253,0.259,0.349,0.289
"P33","2",0.123,0.138,0.083,0.161,0.108,0.123,0.09
"P33","3",0.115,0.156,0.176,0.121,0.125,0.096,0.136
"P33","4",0.038,0.055,0.047,0.08,0.075,0.022,0.055
"P33","5",0.155,0.164,0.188,0.178,0.128,0.142,0.181
"P33","6",0.052,0.047,0.048,0.053,0.05,0.104,0.045
"P33","7",0.05,0.03,0.048,0.018,0.006,0.029,0.033
"P33","8",0.046,0.032,0.031,0.023,0.027,0.023,0.036
"P33","9",0.157,0.11,0.107,0.113,0.222,0.112,0.135
"P34","1",0.269,0.307,0.275,0.293,0.262,0.311,0.349
"P34","2",0.113,0.104,0.09,0.173,0.076,0.101,0.107
"P34","3",0.07,0.088,0.059,0.059,0.097,0.032,0.093
"P34","4",0.065,0.077,0.061,0.16,0.05,0.028,0.063
"P34","5",0.208,0.194,0.287,0.179,0.089,0.179,0.182
"P34","6",0.043,0.059,0.064,0.024,0.05,0.144,0.051
"P34","7",0.031,0.042,0.035,0.026,0.11,0.086,0.047
"P34","8",0.042,0.028,0.028,0.01,0.036,0.035,0.035
"P34","9",0.159,0.101,0.101,0.076,0.23,0.084,0.073
"P35","1",0.263,0.221,0.228,0.269,0.282,0.294,0.324
"P35","2",0.068,0.094,0.063,0.075,0.065,0.086,0.078
"P35","3",0.022,0.044,0.028,0.035,0.023,0.03,0.068
"P35","4",0.042,0.036,0.039,0.072,0.037,0.036,0.027
"P35","5",0.132,0.151,0.221,0.13,0.137,0.093,0.137
"P35","6",0.044,0.042,0.055,0.064,0.017,0.018,0.057
"P35","7",0.053,0.053,0.045,0.047,0.104,0.038,0.045
"P35","8",0.065,0.068,0.081,0.059,0.079,0.082,0.066
"P35","9",0.311,0.291,0.24,0.249,0.256,0.323,0.198
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.333,0.326,0.264,0.29,0.221,0.397,0.221
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.27,0.281,0.174,0.234,0.232,0.139,0.173
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.169,0.193,0.239,0.241,0.333,0.187,0.189
"P36","No sabe",0.228,0.2,0.323,0.235,0.214,0.277,0.417
"P37","Muy buena",0.094,0.086,0.078,0.106,0.099,0.054,0.083
"P37","Buena",0.157,0.098,0.095,0.088,0.206,0.045,0.125
"P37","Ni buena ni mala",0.167,0.189,0.191,0.144,0.089,0.224,0.166
"P37","Mala",0.192,0.186,0.166,0.185,0.232,0.112,0.188
"P37","Muy mala",0.374,0.428,0.465,0.471,0.3,0.558,0.396
"P37","No sabe",0.016,0.013,0.005,0.006,0.074,0.007,0.042
"P38","Gran excedente habitual",0.004,0.012,0.006,0.003,0,0.002,0.006
"P38","Gran excedente excepcional",0.01,0.007,0.009,0.024,0.003,0.02,0.01
"P38","Pequeño excedente habitual",0.071,0.06,0.057,0.064,0.071,0.035,0.048
"P38","Pequeño excedente excepcional",0.055,0.054,0.074,0.057,0.049,0.09,0.044
"P38","Alcanza gastos familia",0.153,0.104,0.117,0.142,0.114,0.152,0.111
"P38","No alcanza gastos familia",0.15,0.176,0.221,0.185,0.273,0.288,0.173
"P38","Solo NBFamiliares",0.218,0.277,0.245,0.256,0.231,0.197,0.242
"P38","No alcanza NBFamiliares",0.322,0.297,0.263,0.252,0.236,0.209,0.348
"P38","No sabe",0.017,0.013,0.008,0.017,0.023,0.007,0.018
"P39","Mejor",0.124,0.093,0.113,0.073,0.094,0.171,0.094
"P39","Igual",0.297,0.257,0.248,0.261,0.255,0.159,0.217
"P39","Peor",0.497,0.565,0.541,0.539,0.49,0.597,0.537
"P39","No sabe",0.082,0.085,0.098,0.127,0.161,0.073,0.152
