"var","categoria","Tener mayor control de tus gastos","Tener igual control de tus gastos","Tener menor control de tus gastos"
"P20","Mercado de Pago",0.422,0.453,0.482
"P20","Ualá",0.027,0.023,0.036
"P20","Brubank",0.032,0.019,0.009
"P20","Naranja X",0.031,0.014,0.033
"P20","Otra",0.127,0.152,0.115
"P21","Para pagar en comercios con el celular",0.436,0.397,0.367
"P21","Para transferir / enviar o recibir dinero de terceros",0.33,0.297,0.231
"P21","Para usarla para trabajar / cobrar / vender",0.111,0.157,0.225
"P21","Para pagar servicios",0.084,0.099,0.11
"P21","Para extraer dinero sin tarjeta",0.016,0.021,0.015
"P21","Para recargar el celular / tarjeta de transporte",0.023,0.029,0.052
"P22","Usas más efectivo que antes",0.15,0.096,0.088
"P22","Usas la misma cantidad de efectivo que antes",0.204,0.396,0.191
"P22","Usas menos efectivo que antes",0.646,0.508,0.721
"P24","Muy de acuerdo",0.571,0.233,0.25
"P24","De acuerdo",0.187,0.344,0.163
"P24","Algo de acuerdo",0.174,0.239,0.307
"P24","Poco de acuerdo",0.033,0.101,0.12
"P24","Nada de acuerdo",0.035,0.083,0.16
"P25","Deberían mantenerse y ampliarse aún mas",0.551,0.389,0.332
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.347,0.482,0.409
"P25","Deberian limitarse a los estrictamente necesarios",0.055,0.076,0.177
"P25","Deberian eliminarse y volverse a la situación anterior",0.047,0.053,0.082
"P26","Sí, compraría",0.289,0.225,0.255
"P26","No, no tengo suficiente información",0.457,0.448,0.358
"P26","No, me resulta una inversión riesgosa",0.115,0.115,0.157
"P26","No, me parece una inversión poco confiable",0.043,0.105,0.106
"P26","No me interesa",0.096,0.107,0.124
"P27","Si",0.331,0.3,0.354
"P27","No",0.669,0.7,0.646
"P28","Muy seguro",0.408,0.271,0.292
"P28","Bastante seguro",0.303,0.339,0.31
"P28","Seguro",0.182,0.271,0.21
"P28","Poco seguro",0.049,0.069,0.075
"P28","Nada seguro",0.02,0.016,0.058
"P28","No hago operaciones online",0.038,0.034,0.055
"P29","Sí, he sido víctima",0.24,0.163,0.221
"P29","No, no he sido víctima",0.69,0.764,0.708
"P29","No sabe",0.07,0.073,0.071
"P30","Estafa por redes sociales",0.348,0.225,0.322
"P30","Estafa telefónica",0.219,0.162,0.081
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.103,0.123,0.096
"P30","Virus",0.014,0.049,0
"P30","Otros",0.316,0.441,0.501
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.294,0.163,0.2
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.309,0.335,0.389
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.257,0.316,0.288
"P31","No sabe",0.14,0.186,0.123
"P32","Si, he limitado las operaciones",0.24,0.124,0.197
"P32","He limitado parcialmente",0.271,0.219,0.188
"P32","No, continúo operando igual que siempre",0.489,0.657,0.615
"P33","1",0.28,0.228,0.234
"P33","2",0.096,0.131,0.098
"P33","3",0.103,0.137,0.342
"P33","4",0.068,0.059,0.029
"P33","5",0.199,0.183,0.132
"P33","6",0.036,0.052,0.046
"P33","7",0.048,0.053,0.007
"P33","8",0.036,0.04,0.018
"P33","9",0.134,0.117,0.094
"P34","1",0.285,0.241,0.331
"P34","2",0.082,0.128,0.096
"P34","3",0.076,0.085,0.101
"P34","4",0.091,0.09,0.075
"P34","5",0.202,0.246,0.185
"P34","6",0.046,0.04,0.042
"P34","7",0.044,0.037,0.035
"P34","8",0.044,0.041,0.019
"P34","9",0.13,0.092,0.116
"P35","1",0.248,0.201,0.244
"P35","2",0.06,0.083,0.112
"P35","3",0.025,0.036,0.029
"P35","4",0.035,0.054,0.063
"P35","5",0.16,0.186,0.123
"P35","6",0.046,0.045,0.019
"P35","7",0.055,0.042,0.027
"P35","8",0.097,0.082,0.029
"P35","9",0.274,0.271,0.354
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.338,0.298,0.358
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.201,0.249,0.215
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.242,0.193,0.186
"P36","No sabe",0.219,0.26,0.241
"P37","Muy buena",0.094,0.078,0.115
"P37","Buena",0.161,0.115,0.109
"P37","Ni buena ni mala",0.135,0.182,0.17
"P37","Mala",0.157,0.143,0.182
"P37","Muy mala",0.442,0.472,0.379
"P37","No sabe",0.011,0.01,0.045
"P38","Gran excedente habitual",0.005,0.012,0.004
"P38","Gran excedente excepcional",0.011,0.012,0.003
"P38","Pequeño excedente habitual",0.072,0.062,0.112
"P38","Pequeño excedente excepcional",0.08,0.072,0.079
"P38","Alcanza gastos familia",0.155,0.161,0.143
"P38","No alcanza gastos familia",0.185,0.161,0.267
"P38","Solo NBFamiliares",0.213,0.246,0.176
"P38","No alcanza NBFamiliares",0.264,0.266,0.2
"P38","No sabe",0.015,0.008,0.016
"P39","Mejor",0.119,0.114,0.111
"P39","Igual",0.277,0.252,0.216
"P39","Peor",0.519,0.524,0.58
"P39","No sabe",0.085,0.11,0.093
