"var","categoria","No intervenir y quien tomó el crédito debe hacerse cargo","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos","No sabe"
"P24","Muy de acuerdo",0.407,0.396,0.268
"P24","De acuerdo",0.214,0.246,0.32
"P24","Algo de acuerdo",0.172,0.228,0.246
"P24","Poco de acuerdo",0.093,0.075,0.072
"P24","Nada de acuerdo",0.114,0.055,0.094
"P25","Deberían mantenerse y ampliarse aún mas",0.376,0.343,0.245
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.424,0.478,0.43
"P25","Deberian limitarse a los estrictamente necesarios",0.108,0.076,0.123
"P25","Deberian eliminarse y volverse a la situación anterior",0.092,0.103,0.202
"P26","Sí, compraría",0.308,0.179,0.123
"P26","No, no tengo suficiente información",0.387,0.506,0.473
"P26","No, me resulta una inversión riesgosa",0.122,0.103,0.111
"P26","No, me parece una inversión poco confiable",0.081,0.09,0.075
"P26","No me interesa",0.102,0.122,0.218
"P27","Si",0.38,0.239,0.148
"P27","No",0.62,0.761,0.852
"P28","Muy seguro",0.328,0.212,0.15
"P28","Bastante seguro",0.24,0.313,0.231
"P28","Seguro",0.154,0.202,0.171
"P28","Poco seguro",0.084,0.095,0.077
"P28","Nada seguro",0.078,0.045,0.089
"P28","No hago operaciones online",0.116,0.133,0.282
"P29","Sí, he sido víctima",0.225,0.169,0.132
"P29","No, no he sido víctima",0.703,0.74,0.664
"P29","No sabe",0.072,0.091,0.204
"P30","Estafa por redes sociales",0.33,0.305,0.273
"P30","Estafa telefónica",0.11,0.186,0.274
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.151,0.126,0.164
"P30","Virus",0.011,0.031,0.005
"P30","Otros",0.398,0.352,0.284
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.221,0.218,0.13
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.329,0.293,0.247
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.257,0.308,0.209
"P31","No sabe",0.193,0.181,0.414
"P32","Si, he limitado las operaciones",0.236,0.213,0.156
"P32","He limitado parcialmente",0.199,0.256,0.197
"P32","No, continúo operando igual que siempre",0.565,0.531,0.647
"P33","1",0.351,0.241,0.293
"P33","2",0.125,0.118,0.095
"P33","3",0.113,0.141,0.156
"P33","4",0.038,0.053,0.063
"P33","5",0.142,0.19,0.147
"P33","6",0.035,0.056,0.046
"P33","7",0.034,0.04,0.028
"P33","8",0.027,0.04,0.028
"P33","9",0.135,0.121,0.144
"P34","1",0.335,0.294,0.309
"P34","2",0.142,0.118,0.066
"P34","3",0.063,0.094,0.054
"P34","4",0.05,0.081,0.075
"P34","5",0.198,0.202,0.206
"P34","6",0.043,0.052,0.061
"P34","7",0.041,0.035,0.058
"P34","8",0.037,0.031,0.029
"P34","9",0.091,0.093,0.142
"P35","1",0.307,0.237,0.314
"P35","2",0.109,0.068,0.076
"P35","3",0.031,0.043,0.05
"P35","4",0.028,0.045,0.03
"P35","5",0.136,0.161,0.134
"P35","6",0.037,0.051,0.055
"P35","7",0.049,0.046,0.06
"P35","8",0.06,0.069,0.074
"P35","9",0.243,0.28,0.207
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.408,0.271,0.21
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.216,0.253,0.156
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.171,0.236,0.14
"P36","No sabe",0.205,0.24,0.494
"P37","Muy buena",0.097,0.087,0.072
"P37","Buena",0.104,0.13,0.1
"P37","Ni buena ni mala",0.117,0.175,0.198
"P37","Mala",0.144,0.185,0.218
"P37","Muy mala",0.53,0.412,0.355
"P37","No sabe",0.008,0.011,0.057
"P38","Gran excedente habitual",0.008,0.006,0.006
"P38","Gran excedente excepcional",0.006,0.009,0.014
"P38","Pequeño excedente habitual",0.085,0.056,0.039
"P38","Pequeño excedente excepcional",0.086,0.051,0.04
"P38","Alcanza gastos familia",0.14,0.13,0.09
"P38","No alcanza gastos familia",0.152,0.183,0.203
"P38","Solo NBFamiliares",0.224,0.266,0.209
"P38","No alcanza NBFamiliares",0.287,0.285,0.373
"P38","No sabe",0.012,0.014,0.026
"P39","Mejor",0.124,0.107,0.072
"P39","Igual",0.214,0.253,0.251
"P39","Peor",0.605,0.533,0.496
"P39","No sabe",0.057,0.107,0.181
