"var","categoria","MODO","Cuenta DNI","Mercado de Pago","Ualá","Brubank","Naranja X","Otra"
"P26","No, me parece una inversión poco confiable",0.055,0.087,0.087,0.013,0.037,0.02,0.127
"P26","No me interesa",0.056,0.147,0.086,0.053,0.176,0.157,0.182
"P27","Si",0.311,0.27,0.342,0.372,0.449,0.144,0.302
"P27","No",0.689,0.73,0.658,0.628,0.551,0.856,0.698
"P28","Muy seguro",0.368,0.418,0.313,0.27,0.334,0.256,0.243
"P28","Bastante seguro",0.358,0.27,0.343,0.187,0.171,0.32,0.287
"P28","Seguro",0.151,0.224,0.235,0.329,0.342,0.139,0.318
"P28","Poco seguro",0.059,0.061,0.065,0.056,0.028,0.077,0.057
"P28","Nada seguro",0.026,0.009,0.018,0.048,0.03,0.136,0.023
"P28","No hago operaciones online",0.038,0.018,0.026,0.11,0.095,0.072,0.072
"P29","Sí, he sido víctima",0.27,0.241,0.153,0.122,0.161,0.446,0.222
"P29","No, no he sido víctima",0.664,0.75,0.766,0.824,0.72,0.502,0.656
"P29","No sabe",0.066,0.009,0.081,0.054,0.119,0.052,0.122
"P30","Estafa por redes sociales",0.449,0.309,0.229,0.326,0.075,0.404,0.15
"P30","Estafa telefónica",0.092,0.209,0.242,0.422,0,0.227,0.153
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.14,0.125,0.112,0.061,0,0.025,0.07
"P30","Virus",0.009,0,0.059,0,0,0,0.016
"P30","Otros",0.31,0.357,0.358,0.191,0.925,0.344,0.611
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.247,0.272,0.189,0.146,0.322,0.371,0.226
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.377,0.311,0.346,0.333,0.185,0.187,0.247
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.269,0.254,0.292,0.37,0.224,0.213,0.327
"P31","No sabe",0.107,0.163,0.173,0.151,0.269,0.229,0.2
"P32","Si, he limitado las operaciones",0.227,0.168,0.142,0.145,0.252,0.108,0.221
"P32","He limitado parcialmente",0.212,0.235,0.234,0.307,0.212,0.396,0.24
"P32","No, continúo operando igual que siempre",0.561,0.597,0.624,0.548,0.536,0.496,0.539
"P33","1",0.25,0.198,0.28,0.241,0.259,0.083,0.254
"P33","2",0.154,0.127,0.087,0.141,0.079,0.07,0.096
"P33","3",0.186,0.149,0.16,0.054,0.149,0.117,0.094
"P33","4",0.047,0.059,0.063,0,0.323,0.019,0.041
"P33","5",0.152,0.132,0.184,0.16,0.157,0.457,0.252
"P33","6",0.035,0.045,0.054,0.008,0.025,0.052,0.047
"P33","7",0.04,0.034,0.056,0,0,0.107,0.045
"P33","8",0.024,0.08,0.024,0.018,0,0.079,0.048
"P33","9",0.112,0.176,0.092,0.378,0.008,0.016,0.123
"P34","1",0.233,0.289,0.29,0.21,0.369,0.127,0.313
"P34","2",0.116,0.122,0.115,0.147,0.1,0.012,0.054
"P34","3",0.076,0.091,0.076,0,0.103,0.186,0.094
"P34","4",0.069,0.088,0.094,0.062,0.332,0.081,0.059
"P34","5",0.236,0.194,0.21,0.278,0.031,0.34,0.23
"P34","6",0.044,0.026,0.052,0.016,0.045,0.02,0.069
"P34","7",0.053,0.012,0.043,0,0.02,0.136,0.031
"P34","8",0.033,0.062,0.034,0.018,0,0.098,0.028
"P34","9",0.14,0.116,0.086,0.269,0,0,0.122
"P35","1",0.247,0.241,0.211,0.179,0.214,0.332,0.238
"P35","2",0.076,0.055,0.09,0.185,0,0.02,0.071
"P35","3",0.044,0.026,0.033,0,0,0,0.051
"P35","4",0.019,0.016,0.066,0.008,0.208,0.099,0.028
"P35","5",0.178,0.177,0.144,0.282,0.449,0.302,0.107
"P35","6",0.03,0.069,0.038,0,0,0,0.062
"P35","7",0.056,0.023,0.047,0.01,0,0.137,0.063
"P35","8",0.06,0.088,0.091,0.087,0,0.055,0.088
"P35","9",0.29,0.305,0.28,0.249,0.129,0.055,0.292
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.384,0.291,0.328,0.291,0.194,0.309,0.255
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.245,0.244,0.223,0.182,0.134,0.094,0.199
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.171,0.233,0.182,0.172,0.551,0.38,0.296
"P36","No sabe",0.2,0.232,0.267,0.355,0.121,0.217,0.25
"P37","Muy buena",0.138,0.114,0.07,0.069,0.127,0,0.058
"P37","Buena",0.143,0.146,0.132,0.149,0.035,0.086,0.111
"P37","Ni buena ni mala",0.111,0.242,0.146,0.127,0.129,0.153,0.222
"P37","Mala",0.158,0.143,0.157,0.214,0.305,0.138,0.108
"P37","Muy mala",0.421,0.351,0.489,0.441,0.404,0.324,0.493
"P37","No sabe",0.029,0.004,0.006,0,0,0.299,0.008
"P38","Gran excedente habitual",0.013,0.001,0.004,0,0.07,0,0.018
"P38","Gran excedente excepcional",0.012,0.019,0.006,0,0,0,0.012
"P38","Pequeño excedente habitual",0.091,0.065,0.079,0.154,0.02,0.237,0.021
"P38","Pequeño excedente excepcional",0.06,0.06,0.076,0,0.008,0.031,0.086
"P38","Alcanza gastos familia",0.168,0.17,0.165,0.073,0.039,0.109,0.14
"P38","No alcanza gastos familia",0.158,0.188,0.173,0.22,0.175,0.212,0.195
"P38","Solo NBFamiliares",0.236,0.199,0.216,0.302,0.24,0.208,0.258
"P38","No alcanza NBFamiliares",0.243,0.298,0.271,0.184,0.433,0.188,0.264
"P38","No sabe",0.019,0,0.01,0.067,0.015,0.015,0.006
"P39","Mejor",0.143,0.136,0.098,0.057,0.022,0.036,0.15
"P39","Igual",0.241,0.302,0.265,0.189,0.161,0.169,0.199
"P39","Peor",0.531,0.481,0.53,0.704,0.69,0.585,0.552
"P39","No sabe",0.085,0.081,0.107,0.05,0.127,0.21,0.099
