"var","categoria","Sí, compraría","No, no tengo suficiente información","No, me resulta una inversión riesgosa","No, me parece una inversión poco confiable","No me interesa"
"P08","No",0.457,0.556,0.481,0.427,0.598
"P09","1",0.317,0.353,0.376,0.334,0.311
"P09","2",0.158,0.15,0.109,0.142,0.143
"P09","3",0.044,0.049,0.047,0.041,0.047
"P09","4",0.022,0.027,0.016,0.068,0.02
"P09","5",0.161,0.129,0.11,0.111,0.136
"P09","6",0.02,0.028,0.022,0.018,0.023
"P09","7",0.028,0.019,0.03,0.023,0.015
"P09","8",0.027,0.035,0.048,0.029,0.029
"P09","9",0.223,0.21,0.242,0.234,0.276
"P10","Muy convenientes",0.108,0.066,0.036,0.046,0.028
"P10","Bastante convenientes",0.045,0.057,0.056,0.025,0.037
"P10","Algo convenientes",0.13,0.149,0.087,0.052,0.054
"P10","Poco convenientes",0.201,0.228,0.235,0.185,0.169
"P10","Nada convenientes",0.373,0.334,0.447,0.55,0.448
"P10","No sabe",0.143,0.166,0.139,0.142,0.264
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.29,0.143,0.198,0.168,0.124
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.535,0.592,0.529,0.596,0.471
"P11","No sabe",0.175,0.265,0.273,0.236,0.405
"P12","Si",0.691,0.6,0.655,0.613,0.529
"P12","No",0.309,0.4,0.345,0.387,0.471
"P13","Banco Publico o cooperativo",0.506,0.571,0.571,0.506,0.444
"P13","Banco privado",0.441,0.36,0.368,0.453,0.351
"P13","No sabe",0.053,0.069,0.061,0.041,0.205
"P14","Banco Nacion",0.434,0.402,0.394,0.343,0.403
"P14","Banco Provincia",0.229,0.287,0.243,0.228,0.23
"P14","Banco Ciudad",0.049,0.029,0.055,0.07,0.045
"P14","Bancor, Banco de Cordoba",0.017,0.041,0.064,0.036,0.014
"P14","Nuevo Banco de Santa Fe",0.019,0.008,0.005,0.013,0.017
"P14","Credicoop",0.046,0.036,0.017,0.071,0.073
"P14","Otro",0.206,0.197,0.222,0.239,0.218
"P15","Santander",0.22,0.19,0.229,0.15,0.143
"P15","Galicia",0.3,0.178,0.282,0.329,0.198
"P15","Macro",0.067,0.115,0.064,0.138,0.212
"P15","Frances",0.112,0.13,0.077,0.089,0.04
"P15","ICBC",0.092,0.094,0.06,0.025,0.019
"P15","Patagonia",0.029,0.047,0.044,0.028,0.041
"P15","No sabe",0.18,0.246,0.244,0.241,0.347
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.28,0.259,0.295,0.212,0.213
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.553,0.338,0.351,0.346,0.272
"P16","No sabe",0.167,0.403,0.354,0.442,0.515
"P17","Porque son mas seguras",0.237,0.202,0.212,0.147,0.146
"P17","Porque los costos del servicio son menores",0.302,0.22,0.222,0.183,0.146
"P17","Porque tienen mas clientes adheridos",0.116,0.144,0.141,0.152,0.115
"P17","Porque la calidad de la aplicación",0.129,0.081,0.099,0.079,0.063
"P17","Por la calidad de la atención al cliente",0.034,0.032,0.028,0.014,0.028
"P17","Por la eficiencia en la solución de reclamos",0.033,0.018,0.025,0.029,0.017
"P17","No sabe",0.149,0.303,0.273,0.396,0.485
"P18","Si, las conozco",0.442,0.306,0.445,0.31,0.273
"P18","No, no las conozco",0.558,0.694,0.555,0.69,0.727
"P19","Si",0.659,0.4,0.498,0.401,0.312
"P19","No",0.341,0.6,0.502,0.599,0.688
"P20","MODO",0.267,0.175,0.236,0.131,0.104
"P20","Cuenta DNI",0.118,0.149,0.165,0.161,0.21
"P20","Mercado de Pago",0.407,0.495,0.385,0.473,0.364
"P20","Ualá",0.041,0.028,0.035,0.004,0.014
"P20","Brubank",0.03,0.018,0.021,0.01,0.038
"P20","Naranja X",0.019,0.022,0.03,0.006,0.033
"P20","Otra",0.118,0.113,0.128,0.215,0.237
"P21","Para pagar en comercios con el celular",0.448,0.382,0.414,0.413,0.353
"P21","Para transferir / enviar o recibir dinero de terceros",0.29,0.327,0.336,0.2,0.32
"P21","Para usarla para trabajar / cobrar / vender",0.148,0.131,0.111,0.251,0.162
"P21","Para pagar servicios",0.056,0.115,0.09,0.109,0.086
"P21","Para extraer dinero sin tarjeta",0.012,0.023,0.005,0.018,0.02
"P21","Para recargar el celular / tarjeta de transporte",0.046,0.022,0.044,0.009,0.059
"P22","Usas más efectivo que antes",0.126,0.114,0.115,0.04,0.084
"P22","Usas la misma cantidad de efectivo que antes",0.285,0.27,0.234,0.412,0.308
"P22","Usas menos efectivo que antes",0.589,0.616,0.651,0.548,0.608
"P23","Tener mayor control de tus gastos",0.453,0.415,0.382,0.215,0.365
"P23","Tener igual control de tus gastos",0.416,0.479,0.448,0.614,0.48
"P23","Tener menor control de tus gastos",0.131,0.106,0.17,0.171,0.155
"P24","Muy de acuerdo",0.466,0.339,0.383,0.287,0.239
"P24","De acuerdo",0.213,0.312,0.188,0.187,0.265
"P24","Algo de acuerdo",0.169,0.23,0.297,0.277,0.253
"P24","Poco de acuerdo",0.081,0.062,0.099,0.081,0.088
"P24","Nada de acuerdo",0.071,0.057,0.033,0.168,0.155
"P25","Deberían mantenerse y ampliarse aún mas",0.605,0.294,0.253,0.211,0.169
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.317,0.527,0.421,0.394,0.457
"P25","Deberian limitarse a los estrictamente necesarios",0.049,0.075,0.212,0.115,0.121
"P25","Deberian eliminarse y volverse a la situación anterior",0.029,0.104,0.114,0.28,0.253
"P27","Si",0.592,0.146,0.244,0.241,0.089
"P27","No",0.408,0.854,0.756,0.759,0.911
"P28","Muy seguro",0.383,0.195,0.224,0.138,0.11
"P28","Bastante seguro",0.286,0.289,0.258,0.332,0.216
"P28","Seguro",0.183,0.191,0.168,0.193,0.176
"P28","Poco seguro",0.075,0.094,0.11,0.082,0.075
"P28","Nada seguro",0.044,0.069,0.072,0.069,0.056
"P28","No hago operaciones online",0.029,0.162,0.168,0.186,0.367
"P29","Sí, he sido víctima",0.261,0.157,0.173,0.15,0.099
"P29","No, no he sido víctima",0.675,0.736,0.731,0.763,0.65
"P29","No sabe",0.064,0.107,0.096,0.087,0.251
"P30","Estafa por redes sociales",0.344,0.333,0.243,0.215,0.176
"P30","Estafa telefónica",0.216,0.184,0.223,0.073,0.121
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.109,0.141,0.113,0.191,0.229
"P30","Virus",0.022,0.02,0.018,0,0.043
"P30","Otros",0.309,0.322,0.403,0.521,0.431
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.226,0.22,0.207,0.116,0.12
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.343,0.284,0.332,0.29,0.191
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.289,0.255,0.313,0.409,0.203
"P31","No sabe",0.142,0.241,0.148,0.185,0.486
"P32","Si, he limitado las operaciones",0.22,0.216,0.175,0.172,0.18
"P32","He limitado parcialmente",0.224,0.25,0.23,0.235,0.166
"P32","No, continúo operando igual que siempre",0.556,0.534,0.595,0.593,0.654
"P33","1",0.316,0.267,0.282,0.224,0.268
"P33","2",0.12,0.123,0.099,0.142,0.066
"P33","3",0.159,0.125,0.161,0.161,0.131
"P33","4",0.045,0.056,0.055,0.043,0.055
"P33","5",0.148,0.18,0.178,0.124,0.193
"P33","6",0.029,0.055,0.028,0.058,0.074
"P33","7",0.034,0.039,0.024,0.041,0.03
"P33","8",0.035,0.036,0.042,0.033,0.025
"P33","9",0.114,0.119,0.131,0.174,0.158
"P34","1",0.317,0.28,0.335,0.311,0.351
"P34","2",0.083,0.116,0.091,0.168,0.104
"P34","3",0.094,0.069,0.067,0.095,0.089
"P34","4",0.075,0.075,0.09,0.074,0.054
"P34","5",0.184,0.222,0.217,0.155,0.175
"P34","6",0.039,0.059,0.037,0.057,0.056
"P34","7",0.054,0.04,0.037,0.035,0.039
"P34","8",0.035,0.033,0.043,0.019,0.022
"P34","9",0.119,0.106,0.083,0.086,0.11
"P35","1",0.284,0.252,0.254,0.219,0.356
"P35","2",0.068,0.085,0.072,0.075,0.07
"P35","3",0.037,0.04,0.034,0.076,0.045
"P35","4",0.045,0.045,0.016,0.04,0.021
"P35","5",0.135,0.155,0.176,0.168,0.116
"P35","6",0.054,0.045,0.039,0.077,0.047
"P35","7",0.06,0.045,0.054,0.051,0.048
"P35","8",0.052,0.077,0.072,0.049,0.072
"P35","9",0.265,0.256,0.283,0.245,0.225
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.425,0.246,0.301,0.287,0.195
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.207,0.241,0.253,0.235,0.148
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.18,0.197,0.254,0.21,0.2
"P36","No sabe",0.188,0.316,0.192,0.268,0.457
"P37","Muy buena",0.077,0.096,0.117,0.101,0.076
"P37","Buena",0.076,0.135,0.112,0.147,0.123
"P37","Ni buena ni mala",0.104,0.163,0.157,0.179,0.223
"P37","Mala",0.189,0.196,0.178,0.15,0.164
"P37","Muy mala",0.535,0.385,0.425,0.41,0.38
"P37","No sabe",0.019,0.025,0.011,0.013,0.034
"P38","Gran excedente habitual",0.012,0.005,0.005,0.011,0.004
"P38","Gran excedente excepcional",0.008,0.009,0.015,0.003,0.027
"P38","Pequeño excedente habitual",0.097,0.043,0.067,0.084,0.023
"P38","Pequeño excedente excepcional",0.066,0.046,0.071,0.087,0.045
"P38","Alcanza gastos familia",0.112,0.131,0.172,0.137,0.073
"P38","No alcanza gastos familia",0.159,0.177,0.181,0.186,0.21
"P38","Solo NBFamiliares",0.24,0.272,0.176,0.265,0.279
"P38","No alcanza NBFamiliares",0.293,0.307,0.299,0.207,0.315
"P38","No sabe",0.013,0.01,0.014,0.02,0.024
"P39","Mejor",0.081,0.106,0.146,0.124,0.081
"P39","Igual",0.222,0.268,0.223,0.233,0.248
"P39","Peor",0.629,0.514,0.548,0.503,0.536
"P39","No sabe",0.068,0.112,0.083,0.14,0.135
