"var","categoria","Si, he limitado las operaciones","He limitado parcialmente","No, continúo operando igual que siempre"
"P10","Nada convenientes",0.391,0.395,0.394
"P10","No sabe",0.138,0.141,0.192
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.214,0.159,0.184
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.6,0.635,0.539
"P11","No sabe",0.186,0.206,0.277
"P12","Si",0.632,0.663,0.636
"P12","No",0.368,0.337,0.364
"P13","Banco Publico o cooperativo",0.535,0.589,0.535
"P13","Banco privado",0.394,0.373,0.395
"P13","No sabe",0.071,0.038,0.07
"P14","Banco Nacion",0.411,0.398,0.41
"P14","Banco Provincia",0.269,0.275,0.26
"P14","Banco Ciudad",0.05,0.025,0.044
"P14","Bancor, Banco de Cordoba",0.024,0.036,0.044
"P14","Nuevo Banco de Santa Fe",0.005,0.007,0.018
"P14","Credicoop",0.024,0.042,0.046
"P14","Otro",0.217,0.217,0.178
"P15","Santander",0.19,0.235,0.164
"P15","Galicia",0.242,0.216,0.241
"P15","Macro",0.055,0.074,0.126
"P15","Frances",0.131,0.134,0.113
"P15","ICBC",0.024,0.114,0.086
"P15","Patagonia",0.075,0.05,0.029
"P15","No sabe",0.283,0.177,0.241
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.296,0.276,0.244
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.311,0.403,0.385
"P16","No sabe",0.393,0.321,0.371
"P17","Porque son mas seguras",0.239,0.195,0.178
"P17","Porque los costos del servicio son menores",0.229,0.274,0.203
"P17","Porque tienen mas clientes adheridos",0.118,0.134,0.153
"P17","Porque la calidad de la aplicación",0.055,0.096,0.104
"P17","Por la calidad de la atención al cliente",0.031,0.02,0.029
"P17","Por la eficiencia en la solución de reclamos",0.014,0.036,0.017
"P17","No sabe",0.314,0.245,0.316
"P18","Si, las conozco",0.352,0.347,0.354
"P18","No, no las conozco",0.648,0.653,0.646
"P19","Si",0.409,0.481,0.485
"P19","No",0.591,0.519,0.515
"P20","MODO",0.264,0.185,0.195
"P20","Cuenta DNI",0.143,0.15,0.152
"P20","Mercado de Pago",0.354,0.436,0.464
"P20","Ualá",0.025,0.039,0.028
"P20","Brubank",0.029,0.018,0.019
"P20","Naranja X",0.01,0.029,0.014
"P20","Otra",0.175,0.143,0.128
"P21","Para pagar en comercios con el celular",0.426,0.407,0.42
"P21","Para transferir / enviar o recibir dinero de terceros",0.269,0.3,0.304
"P21","Para usarla para trabajar / cobrar / vender",0.14,0.143,0.161
"P21","Para pagar servicios",0.11,0.097,0.072
"P21","Para extraer dinero sin tarjeta",0.032,0.014,0.013
"P21","Para recargar el celular / tarjeta de transporte",0.023,0.039,0.03
"P22","Usas más efectivo que antes",0.195,0.112,0.085
"P22","Usas la misma cantidad de efectivo que antes",0.303,0.248,0.256
"P22","Usas menos efectivo que antes",0.502,0.64,0.659
"P23","Tener mayor control de tus gastos",0.533,0.46,0.335
"P23","Tener igual control de tus gastos",0.322,0.435,0.526
"P23","Tener menor control de tus gastos",0.145,0.105,0.139
"P24","Muy de acuerdo",0.467,0.319,0.353
"P24","De acuerdo",0.199,0.28,0.258
"P24","Algo de acuerdo",0.218,0.28,0.215
"P24","Poco de acuerdo",0.04,0.072,0.095
"P24","Nada de acuerdo",0.076,0.049,0.079
"P25","Deberían mantenerse y ampliarse aún mas",0.342,0.3,0.337
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.433,0.496,0.457
"P25","Deberian limitarse a los estrictamente necesarios",0.111,0.108,0.083
"P25","Deberian eliminarse y volverse a la situación anterior",0.114,0.096,0.123
"P26","Sí, compraría",0.198,0.178,0.18
"P26","No, no tengo suficiente información",0.514,0.525,0.457
"P26","No, me resulta una inversión riesgosa",0.098,0.114,0.12
"P26","No, me parece una inversión poco confiable",0.075,0.09,0.093
"P26","No me interesa",0.115,0.093,0.15
"P27","Si",0.235,0.29,0.249
"P27","No",0.765,0.71,0.751
"P28","Muy seguro",0.215,0.205,0.244
"P28","Bastante seguro",0.243,0.332,0.28
"P28","Seguro",0.131,0.224,0.201
"P28","Poco seguro",0.132,0.085,0.07
"P28","Nada seguro",0.079,0.047,0.042
"P28","No hago operaciones online",0.2,0.107,0.163
"P29","Sí, he sido víctima",0.283,0.203,0.124
"P29","No, no he sido víctima",0.629,0.692,0.767
"P29","No sabe",0.088,0.105,0.109
"P30","Estafa por redes sociales",0.318,0.28,0.293
"P30","Estafa telefónica",0.262,0.225,0.141
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.121,0.171,0.165
"P30","Virus",0.022,0,0.04
"P30","Otros",0.277,0.324,0.361
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.35,0.185,0.15
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.236,0.382,0.274
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.236,0.275,0.296
"P31","No sabe",0.178,0.158,0.28
"P33","1",0.441,0.207,0.241
"P33","2",0.074,0.245,0.074
"P33","3",0.058,0.065,0.2
"P33","4",0.045,0.051,0.056
"P33","5",0.168,0.2,0.16
"P33","6",0.035,0.051,0.054
"P33","7",0.027,0.03,0.041
"P33","8",0.032,0.038,0.034
"P33","9",0.12,0.113,0.14
"P34","1",0.362,0.266,0.301
"P34","2",0.091,0.143,0.104
"P34","3",0.071,0.075,0.082
"P34","4",0.056,0.088,0.075
"P34","5",0.21,0.226,0.189
"P34","6",0.037,0.047,0.06
"P34","7",0.03,0.045,0.045
"P34","8",0.035,0.027,0.032
"P34","9",0.108,0.083,0.112
"P35","1",0.336,0.21,0.268
"P35","2",0.057,0.106,0.073
"P35","3",0.035,0.048,0.044
"P35","4",0.036,0.048,0.034
"P35","5",0.161,0.177,0.134
"P35","6",0.047,0.043,0.053
"P35","7",0.033,0.05,0.056
"P35","8",0.058,0.066,0.073
"P35","9",0.237,0.252,0.265
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.344,0.293,0.258
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.247,0.262,0.2
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.208,0.218,0.193
"P36","No sabe",0.201,0.227,0.349
"P37","Muy buena",0.095,0.08,0.092
"P37","Buena",0.131,0.105,0.116
"P37","Ni buena ni mala",0.128,0.144,0.177
"P37","Mala",0.172,0.16,0.195
"P37","Muy mala",0.457,0.497,0.397
"P37","No sabe",0.017,0.014,0.023
"P38","Gran excedente habitual",0.011,0.003,0.005
"P38","Gran excedente excepcional",0.004,0.01,0.018
"P38","Pequeño excedente habitual",0.07,0.038,0.066
"P38","Pequeño excedente excepcional",0.043,0.065,0.072
"P38","Alcanza gastos familia",0.116,0.128,0.142
"P38","No alcanza gastos familia",0.203,0.198,0.164
"P38","Solo NBFamiliares",0.251,0.263,0.253
"P38","No alcanza NBFamiliares",0.292,0.28,0.265
"P38","No sabe",0.01,0.015,0.015
"P39","Mejor",0.114,0.084,0.119
"P39","Igual",0.227,0.258,0.246
"P39","Peor",0.571,0.569,0.507
"P39","No sabe",0.088,0.089,0.128
