"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P21","La BCG",0.065,0.034,0.053,0.23,0.047,0.052
"P21","Otra",0.011,0.029,0.246,0.094,0.398,0.086
"P21","No recuerda",0.218,0.153,0.141,0.2,0.071,0.667
"P24","Sí, una vez",0.187,0.198,0.198,0.142,0.093,0.125
"P24","Si varias veces",0.091,0.082,0.025,0.071,0.066,0.036
"P24","No",0.633,0.671,0.711,0.639,0.799,0.689
"P24","No recuerdo",0.089,0.049,0.066,0.148,0.042,0.15
"P25","Si",0.789,0.718,0.728,0.664,0.572,0.684
"P25","No",0.211,0.282,0.272,0.336,0.428,0.316
"P26","Si",0.617,0.473,0.589,0.519,0.532,0.395
"P26","No",0.383,0.527,0.411,0.481,0.468,0.605
"P27","Si, la Polio y la quíntuple",0.23,0.282,0.307,0.085,0.244,0.088
"P27","Si, la triple viral y la BCG",0.246,0.276,0.255,0.229,0.226,0.139
"P27","Otras",0.026,0.067,0.029,0.044,0.049,0.033
"P27","No recuerdo",0.498,0.375,0.409,0.642,0.481,0.74
"P28","Si",0.311,0.266,0.41,0.263,0.361,0.288
"P28","No",0.689,0.734,0.59,0.737,0.639,0.712
"P29","Si",0.214,0.15,0.255,0.137,0.24,0.135
"P29","No",0.786,0.85,0.745,0.863,0.76,0.865
"P30","Si, Infanrix",0.159,0.083,0,0.228,0.078,0.096
"P30","Si, Hexaxim",0.086,0.125,0.336,0.062,0.379,0.022
"P30","No recuerdo",0.755,0.792,0.664,0.71,0.543,0.882
"P31","Si",0.9,0.929,0.839,0.957,0.893,0.91
"P31","No",0.1,0.071,0.161,0.043,0.107,0.09
"P32","Si",0.53,0.47,0.542,0.538,0.747,0.519
"P32","No",0.47,0.53,0.458,0.462,0.253,0.481
"P33","Miedo al contagio",0.302,0.405,0.457,0.335,0.111,0.502
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.392,0.349,0.442,0.331,0.351,0.28
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.229,0.188,0.058,0.32,0.318,0.188
"P33","Porque era costoso el viaje",0.077,0.058,0.043,0.014,0.22,0.03
"P34","Si, una dosis",0.603,0.501,0.501,0.533,0.381,0.508
"P34","Si, dos dosis",0.299,0.373,0.369,0.379,0.396,0.372
"P34","Ninguna",0.098,0.126,0.13,0.088,0.223,0.12
"P35","Sputnik V",0.31,0.211,0.296,0.229,0.42,0.262
"P35","Sinopharm",0.34,0.338,0.236,0.36,0.254,0.321
"P35","AstraZeneca",0.299,0.396,0.468,0.374,0.311,0.354
"P35","Johnson",0.002,0,0,0.003,0,0.004
"P35","Phizer",0,0.011,0,0,0,0.011
"P35","Moderna",0.001,0.002,0,0,0,0.024
"P35","Otra",0.048,0.042,0,0.034,0.015,0.024
