"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P24","No recuerdo",0.018,0.126,0.17,0.066,0.087,0.174
"P25","Si",0.578,0.545,0.478,0.753,0.791,0.662
"P25","No",0.422,0.455,0.522,0.247,0.209,0.338
"P26","Si",0.496,0.366,0.282,0.4,0.529,0.352
"P26","No",0.504,0.634,0.718,0.6,0.471,0.648
"P27","Si, la Polio y la quíntuple",0.213,0.1,0.091,0.252,0.157,0.115
"P27","Si, la triple viral y la BCG",0.188,0.196,0.293,0.249,0.199,0.184
"P27","Otras",0.032,0.16,0.009,0.044,0.04,0.023
"P27","No recuerdo",0.567,0.544,0.607,0.455,0.604,0.678
"P28","Si",0.319,0.171,0.099,0.232,0.283,0.197
"P28","No",0.681,0.829,0.901,0.768,0.717,0.803
"P29","Si",0.202,0.289,0.092,0.285,0.138,0.164
"P29","No",0.798,0.711,0.908,0.715,0.862,0.836
"P30","Si, Infanrix",0.033,0.084,0,0.071,0.172,0.222
"P30","Si, Hexaxim",0.22,0.493,0.484,0,0.066,0
"P30","No recuerdo",0.747,0.423,0.516,0.929,0.762,0.778
"P31","Si",0.825,0.858,0.953,0.49,0.881,0.884
"P31","No",0.175,0.142,0.047,0.51,0.119,0.116
"P32","Si",0.317,0.357,0.762,0.151,0.402,0.517
"P32","No",0.683,0.643,0.238,0.849,0.598,0.483
"P33","Miedo al contagio",0.293,0.186,0.215,0.613,0.546,0.493
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.187,0.498,0.279,0.161,0.283,0.269
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.364,0.271,0.506,0.018,0.138,0.19
"P33","Porque era costoso el viaje",0.156,0.045,0,0.208,0.033,0.048
"P34","Si, una dosis",0.612,0.528,0.467,0.384,0.451,0.531
"P34","Si, dos dosis",0.144,0.279,0.327,0.365,0.319,0.377
"P34","Ninguna",0.244,0.193,0.206,0.251,0.23,0.092
"P35","Sputnik V",0.276,0.09,0.309,0.513,0.288,0.325
"P35","Sinopharm",0.189,0.491,0.381,0.313,0.367,0.226
"P35","AstraZeneca",0.523,0.419,0.186,0.174,0.331,0.335
"P35","Johnson",0,0,0.015,0,0,0.008
"P35","Phizer",0,0,0,0,0,0.029
"P35","Moderna",0,0,0.068,0,0,0.03
"P35","Otra",0.012,0,0.041,0,0.014,0.047
