"var","categoria","Peor","Igual","Mejor","No sabe"
"P28","2",0.097,0.136,0.078,0.097
"P28","3",0.066,0.044,0.062,0.08
"P28","4",0.063,0.07,0.039,0.061
"P28","5",0.203,0.21,0.18,0.26
"P28","6",0.068,0.05,0.064,0.083
"P28","7",0.064,0.034,0.104,0.06
"P28","8",0.062,0.071,0.055,0.043
"P28","9-Pésimo",0.205,0.166,0.177,0.09
"P28","No sabe",0.039,0.056,0.048,0.088
"P29","1-Excelente",0.142,0.144,0.165,0.152
"P29","2",0.087,0.179,0.108,0.144
"P29","3",0.09,0.068,0.075,0.093
"P29","4",0.068,0.055,0.046,0.089
"P29","5",0.128,0.153,0.155,0.154
"P29","6",0.065,0.039,0.077,0.083
"P29","7",0.053,0.06,0.059,0.045
"P29","8",0.053,0.082,0.047,0.052
"P29","9-Pésimo",0.272,0.173,0.22,0.127
"P29","No sabe",0.042,0.047,0.048,0.061
"P30","1-Excelente",0.124,0.159,0.155,0.235
"P30","2",0.089,0.144,0.084,0.047
"P30","3",0.095,0.1,0.08,0.058
"P30","4",0.081,0.069,0.068,0.069
"P30","5",0.132,0.135,0.14,0.139
"P30","6",0.073,0.066,0.058,0.096
"P30","7",0.063,0.047,0.065,0.112
"P30","8",0.057,0.089,0.116,0.065
"P30","9-Pésimo",0.23,0.15,0.194,0.113
"P30","No sabe",0.056,0.041,0.04,0.066
"P31","1-Excelente",0.151,0.154,0.121,0.161
"P31","2",0.094,0.12,0.078,0.092
"P31","3",0.089,0.089,0.121,0.061
"P31","4",0.071,0.083,0.068,0.052
"P31","5",0.134,0.185,0.156,0.163
"P31","6",0.065,0.054,0.062,0.113
"P31","7",0.054,0.046,0.059,0.108
"P31","8",0.07,0.073,0.083,0.002
"P31","9-Pésimo",0.217,0.128,0.194,0.116
"P31","No sabe",0.055,0.068,0.058,0.132
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.657,0.353,0.158,0.276
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.13,0.206,0.173,0.167
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.086,0.157,0.349,0.177
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.106,0.236,0.266,0.216
"P32","No sabe",0.021,0.048,0.054,0.164
"P28","1-Excelente",0.133,0.163,0.193,0.138
"P28","2",0.097,0.136,0.078,0.097
"P28","3",0.066,0.044,0.062,0.08
"P28","4",0.063,0.07,0.039,0.061
"P28","5",0.203,0.21,0.18,0.26
"P28","6",0.068,0.05,0.064,0.083
"P28","7",0.064,0.034,0.104,0.06
"P28","8",0.062,0.071,0.055,0.043
"P28","9-Pésimo",0.205,0.166,0.177,0.09
"P28","No sabe",0.039,0.056,0.048,0.088
"P29","1-Excelente",0.142,0.144,0.165,0.152
"P29","2",0.087,0.179,0.108,0.144
"P29","3",0.09,0.068,0.075,0.093
"P29","4",0.068,0.055,0.046,0.089
"P29","5",0.128,0.153,0.155,0.154
"P29","6",0.065,0.039,0.077,0.083
"P29","7",0.053,0.06,0.059,0.045
"P29","8",0.053,0.082,0.047,0.052
"P29","9-Pésimo",0.272,0.173,0.22,0.127
"P29","No sabe",0.042,0.047,0.048,0.061
"P30","1-Excelente",0.124,0.159,0.155,0.235
"P30","2",0.089,0.144,0.084,0.047
"P30","3",0.095,0.1,0.08,0.058
"P30","4",0.081,0.069,0.068,0.069
"P30","5",0.132,0.135,0.14,0.139
"P30","6",0.073,0.066,0.058,0.096
"P30","7",0.063,0.047,0.065,0.112
"P30","8",0.057,0.089,0.116,0.065
"P30","9-Pésimo",0.23,0.15,0.194,0.113
"P30","No sabe",0.056,0.041,0.04,0.066
"P31","1-Excelente",0.151,0.154,0.121,0.161
"P31","2",0.094,0.12,0.078,0.092
"P31","3",0.089,0.089,0.121,0.061
"P31","4",0.071,0.083,0.068,0.052
"P31","5",0.134,0.185,0.156,0.163
"P31","6",0.065,0.054,0.062,0.113
"P31","7",0.054,0.046,0.059,0.108
"P31","8",0.07,0.073,0.083,0.002
"P31","9-Pésimo",0.217,0.128,0.194,0.116
"P31","No sabe",0.055,0.068,0.058,0.132
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.657,0.353,0.158,0.276
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.13,0.206,0.173,0.167
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.086,0.157,0.349,0.177
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.106,0.236,0.266,0.216
"P32","No sabe",0.021,0.048,0.054,0.164
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.542,0.21,0.119,0.236
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.182,0.263,0.13,0.14
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.147,0.303,0.479,0.271
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.103,0.187,0.249,0.216
"P33","No sabe",0.026,0.037,0.023,0.137
"P34","Oponerse totalmente",0.582,0.261,0.142,0.214
"P34","Oponerse parcialmente",0.109,0.194,0.06,0.123
"P34","Apoyar parcialmente",0.163,0.274,0.42,0.319
"P34","Apoyar totalmente",0.118,0.227,0.344,0.236
"P34","No sabe",0.028,0.044,0.034,0.108
"P35","Inseguridad y narcotráfico",0.523,0.188,0.16,0.181
"P35","Altos impuestos y tarifas",0.077,0.437,0.206,0.059
"P35","Educación y estado de las escuelas",0.086,0.158,0.414,0.206
"P35","Inflación",0.164,0.115,0.075,0.337
"P35","Estado de la salud",0.09,0.047,0.055,0.076
"P35","Corrupción",0.035,0.041,0.041,0.08
"P35","Pobreza",0.011,0.002,0.007,0.002
"P35","Medio ambiente, incendios y contaminación",0.001,0,0.008,0.005
"P35","Falta de trabajo",0.012,0.009,0.028,0.047
"P35","No sabe",0.001,0.003,0.006,0.007
"P39","Muy buena",0.055,0.054,0.064,0.017
"P39","Buena",0.085,0.149,0.179,0.05
"P39","Ni buena ni mala",0.225,0.366,0.406,0.387
"P39","Mala",0.399,0.306,0.245,0.306
"P39","Muy mala",0.202,0.101,0.055,0.14
"P39","No sabe",0.034,0.024,0.051,0.1
"P40","Peor",0.791,0.447,0.238,0.332
"P40","Igual",0.13,0.45,0.423,0.275
"P40","Mejor",0.022,0.072,0.272,0.143
"P40","No sabe",0.057,0.031,0.067,0.25
"P42","Javier Milei",0.313,0.456,0.6,0.365
"P42","Los gobernadores",0.649,0.404,0.206,0.252
"P42","No sabe",0.038,0.14,0.194,0.383
"P43","Muy buena",0.109,0.126,0.231,0.067
"P43","Buena",0.2,0.218,0.164,0.168
"P43","Ni buena ni mala",0.291,0.291,0.322,0.435
"P43","Mala",0.237,0.255,0.148,0.167
"P43","Muy mala",0.158,0.091,0.107,0.135
"P43","No sabe",0.005,0.019,0.028,0.028
"P45","Muy buena",0.18,0.118,0.057,0.076
"P45","Buena",0.199,0.164,0.11,0.069
"P45","Ni buena ni mala",0.262,0.253,0.34,0.34
"P45","Mala",0.15,0.265,0.277,0.249
"P45","Muy mala",0.169,0.167,0.165,0.198
"P45","No sabe",0.04,0.033,0.051,0.068
"P46","Muy buena",0.112,0.167,0.117,0.126
"P46","Buena",0.105,0.199,0.27,0.138
"P46","Ni buena ni mala",0.333,0.36,0.364,0.441
"P46","Mala",0.21,0.156,0.127,0.11
"P46","Muy mala",0.176,0.08,0.075,0.064
"P46","No sabe",0.064,0.038,0.047,0.121
"P49","Muy buena",0.374,0.154,0.105,0.098
"P49","Buena",0.152,0.111,0.054,0.087
"P49","Ni buena ni mala",0.111,0.136,0.1,0.149
"P49","Mala",0.143,0.238,0.251,0.245
"P49","Muy mala",0.208,0.36,0.487,0.386
"P49","No sabe",0.012,0.001,0.003,0.035
"P50","Muy buena",0.077,0.107,0.128,0.056
"P50","Buena",0.089,0.212,0.222,0.15
"P50","Ni buena ni mala",0.119,0.246,0.289,0.312
"P50","Mala",0.278,0.232,0.202,0.267
"P50","Muy mala",0.435,0.201,0.152,0.193
"P50","No sabe",0.002,0.002,0.007,0.022
"P51","Muy buena",0.177,0.067,0.063,0.027
"P51","Buena",0.176,0.15,0.071,0.054
"P51","Ni buena ni mala",0.222,0.181,0.136,0.192
"P51","Mala",0.189,0.225,0.28,0.274
"P51","Muy mala",0.233,0.374,0.45,0.436
"P51","No sabe",0.003,0.003,0,0.017
"P52","Muy buena",0.389,0.124,0.073,0.141
"P52","Buena",0.152,0.088,0.041,0.075
"P52","Ni buena ni mala",0.104,0.133,0.1,0.11
"P52","Mala",0.112,0.236,0.28,0.218
"P52","Muy mala",0.224,0.414,0.506,0.406
"P52","No sabe",0.019,0.005,0,0.05
"P53","Muy buena",0.186,0.273,0.497,0.313
"P53","Buena",0.089,0.239,0.224,0.157
"P53","Ni buena ni mala",0.067,0.123,0.085,0.226
"P53","Mala",0.173,0.162,0.066,0.059
"P53","Muy mala",0.474,0.195,0.126,0.181
"P53","No sabe",0.011,0.008,0.002,0.064
"P54","Muy buena",0.138,0.215,0.337,0.216
"P54","Buena",0.114,0.274,0.322,0.276
"P54","Ni buena ni mala",0.084,0.189,0.153,0.161
"P54","Mala",0.173,0.114,0.083,0.129
"P54","Muy mala",0.485,0.196,0.105,0.188
"P54","No sabe",0.006,0.012,0,0.03
"P55","Muy buena",0.183,0.3,0.422,0.274
"P55","Buena",0.072,0.221,0.252,0.15
"P55","Ni buena ni mala",0.124,0.221,0.184,0.277
"P55","Mala",0.148,0.118,0.056,0.063
"P55","Muy mala",0.451,0.133,0.07,0.164
"P55","No sabe",0.022,0.007,0.016,0.072
"P56","Muy buena",0.061,0.109,0.079,0.091
"P56","Buena",0.102,0.226,0.287,0.123
"P56","Ni buena ni mala",0.341,0.42,0.421,0.493
"P56","Mala",0.21,0.148,0.094,0.074
"P56","Muy mala",0.252,0.065,0.052,0.121
"P56","No sabe",0.034,0.032,0.067,0.098
