"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P31","3",0.103,0.075,0.098
"P31","4",0.077,0.084,0.055
"P31","5",0.138,0.138,0.142
"P31","6",0.16,0.076,0.122
"P31","7",0.027,0.092,0.042
"P31","8",0.061,0.072,0.024
"P31","9-Pésimo",0.157,0.123,0.07
"P31","No sabe",0.02,0.071,0.257
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.497,0.872,0.554
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.306,0.102,0.363
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.047,0.007,0.005
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.087,0.015,0
"P32","No sabe",0.063,0.004,0.078
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.354,0.669,0.502
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.394,0.27,0.264
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.171,0.035,0.173
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.063,0.012,0
"P33","No sabe",0.018,0.014,0.061
"P34","Oponerse totalmente",0.472,0.755,0.391
"P34","Oponerse parcialmente",0.203,0.142,0.503
"P34","Apoyar parcialmente",0.222,0.069,0.036
"P34","Apoyar totalmente",0.068,0.003,0.006
"P34","No sabe",0.035,0.031,0.064
"P35","Inseguridad y narcotráfico",0.318,0.422,0.274
"P35","Altos impuestos y tarifas",0.289,0.131,0.453
"P35","Educación y estado de las escuelas",0.155,0.131,0.202
"P35","Inflación",0.115,0.154,0.056
"P35","Estado de la salud",0.106,0.094,0.007
"P35","Corrupción",0.002,0.01,0
"P35","Pobreza",0.008,0.009,0
"P35","Medio ambiente, incendios y contaminación",0,0.014,0
"P35","Falta de trabajo",0.003,0.033,0.008
"P35","No sabe",0.004,0.002,0
"P39","Muy buena",0.147,0.052,0.12
"P39","Buena",0.251,0.137,0.057
"P39","Ni buena ni mala",0.325,0.305,0.624
"P39","Mala",0.227,0.337,0.192
"P39","Muy mala",0.035,0.14,0.007
"P39","No sabe",0.015,0.029,0
"P40","Peor",0.499,0.786,0.519
"P40","Igual",0.278,0.139,0.426
"P40","Mejor",0.164,0.035,0.055
"P40","No sabe",0.059,0.04,0
"P41","Peor",0.477,0.715,0.43
"P41","Igual",0.279,0.183,0.287
"P41","Mejor",0.178,0.057,0.136
"P41","No sabe",0.066,0.045,0.147
"P42","Javier Milei",0.314,0.088,0.099
"P42","Los gobernadores",0.578,0.877,0.701
"P42","No sabe",0.108,0.035,0.2
"P43","Muy buena",0.325,0.151,0.27
"P43","Buena",0.322,0.326,0.393
"P43","Ni buena ni mala",0.234,0.35,0.247
"P43","Mala",0.076,0.132,0.09
"P43","Muy mala",0.043,0.038,0
"P43","No sabe",0,0.003,0
"P45","Muy buena",0.194,0.216,0.13
"P45","Buena",0.197,0.275,0.076
"P45","Ni buena ni mala",0.369,0.274,0.632
"P45","Mala",0.077,0.125,0.151
"P45","Muy mala",0.153,0.074,0
"P45","No sabe",0.01,0.036,0.011
"P46","Muy buena",0.27,0.058,0.088
"P46","Buena",0.155,0.08,0.012
"P46","Ni buena ni mala",0.324,0.28,0.646
"P46","Mala",0.154,0.275,0.214
"P46","Muy mala",0.082,0.214,0
"P46","No sabe",0.015,0.093,0.04
"P49","Muy buena",0.288,0.512,0.074
"P49","Buena",0.072,0.186,0.358
"P49","Ni buena ni mala",0.198,0.168,0.213
"P49","Mala",0.222,0.091,0.292
"P49","Muy mala",0.216,0.043,0.008
"P49","No sabe",0.004,0,0.055
"P50","Muy buena",0.204,0.021,0.093
"P50","Buena",0.145,0.048,0.053
"P50","Ni buena ni mala",0.163,0.066,0.292
"P50","Mala",0.269,0.274,0.423
"P50","Muy mala",0.219,0.591,0.133
"P50","No sabe",0,0,0.006
"P51","Muy buena",0.187,0.208,0.106
"P51","Buena",0.06,0.28,0.108
"P51","Ni buena ni mala",0.258,0.279,0.422
"P51","Mala",0.333,0.112,0.297
"P51","Muy mala",0.162,0.121,0.067
"P51","No sabe",0,0,0
"P52","Muy buena",0.258,0.53,0.102
"P52","Buena",0.075,0.166,0.238
"P52","Ni buena ni mala",0.167,0.117,0.133
"P52","Mala",0.248,0.081,0.436
"P52","Muy mala",0.242,0.084,0.091
"P52","No sabe",0.01,0.022,0
"P53","Muy buena",0.277,0.025,0
"P53","Buena",0.177,0.006,0.229
"P53","Ni buena ni mala",0.146,0.036,0.11
"P53","Mala",0.142,0.231,0.29
"P53","Muy mala",0.239,0.69,0.316
"P53","No sabe",0.019,0.012,0.055
"P54","Muy buena",0.318,0.024,0.171
"P54","Buena",0.16,0.017,0.178
"P54","Ni buena ni mala",0.162,0.058,0.112
"P54","Mala",0.093,0.22,0.206
"P54","Muy mala",0.247,0.68,0.333
"P54","No sabe",0.02,0.001,0
"P55","Muy buena",0.233,0.004,0.095
"P55","Buena",0.19,0.028,0.156
"P55","Ni buena ni mala",0.258,0.115,0.41
"P55","Mala",0.118,0.19,0.174
"P55","Muy mala",0.181,0.637,0.161
"P55","No sabe",0.02,0.026,0.004
"P56","Muy buena",0.196,0.027,0.131
"P56","Buena",0.108,0.086,0.098
"P56","Ni buena ni mala",0.351,0.305,0.602
"P56","Mala",0.15,0.256,0.136
"P56","Muy mala",0.14,0.303,0.017
"P56","No sabe",0.055,0.023,0.016
