"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P20","Ni buena ni mala",0.264,0.335,0.291,0.208,0.323,0.332,0.371,0.419,0.352
"P20","Mala",0.203,0.247,0.201,0.462,0.208,0.304,0.255,0.231,0.231
"P20","Muy mala",0.14,0.109,0.136,0.111,0.077,0.122,0.113,0.039,0.163
"P20","No sabe",0.014,0.015,0.018,0.005,0.039,0.022,0.031,0.028,0.049
"P21","Gobierno nacional",0.395,0.272,0.365,0.269,0.242,0.258,0.192,0.237,0.38
"P21","Gobierno provincial",0.476,0.598,0.356,0.595,0.408,0.604,0.722,0.441,0.345
"P21","No sabe",0.129,0.13,0.279,0.136,0.35,0.138,0.086,0.322,0.275
"P22","El anterior gobierno de Anabela Carreras",0.353,0.393,0.42,0.302,0.375,0.267,0.394,0.336,0.34
"P22","El actual gobierno de Alberto Weretilneck",0.504,0.528,0.516,0.458,0.498,0.551,0.485,0.425,0.467
"P22","No sabe",0.143,0.079,0.064,0.24,0.127,0.182,0.121,0.239,0.193
"P23","El anterior gobierno de Alberto Fernández",0.332,0.29,0.363,0.592,0.254,0.151,0.429,0.126,0.16
"P23","El actual gobierno de Javier Milei",0.617,0.641,0.508,0.383,0.612,0.786,0.544,0.846,0.792
"P23","No sabe",0.051,0.069,0.129,0.025,0.134,0.063,0.027,0.028,0.048
"P24","Si",0.384,0.41,0.347,0.401,0.357,0.353,0.432,0.373,0.292
"P24","No",0.423,0.385,0.387,0.342,0.303,0.421,0.379,0.424,0.301
"P24","No sabe",0.193,0.205,0.266,0.257,0.34,0.226,0.189,0.203,0.407
"P25","Si",0.324,0.219,0.243,0.247,0.143,0.169,0.159,0.242,0.16
"P25","No",0.404,0.537,0.439,0.416,0.447,0.537,0.516,0.329,0.421
"P25","No sabe",0.272,0.244,0.318,0.337,0.41,0.294,0.325,0.429,0.419
"P26","Si",0.84,0.789,0.769,0.785,0.723,0.863,0.878,0.712,0.685
"P26","No",0.16,0.211,0.231,0.215,0.277,0.137,0.122,0.288,0.315
"P27","Estoy totalmente en desacuerdo, las universidades públicas son garantía de promoción social y contribuyen a igualar las oportunidades de todos los argentinos",0.589,0.391,0.515,0.523,0.375,0.407,0.315,0.425,0.435
"P27","Estoy en desacuerdo, sin universidades publicas no puede haber crecimiento sostenible ni mejora de la situación económica del país",0.118,0.165,0.179,0.15,0.208,0.138,0.101,0.115,0.23
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.145,0.249,0.124,0.265,0.233,0.284,0.394,0.307,0.174
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.079,0.09,0.104,0.023,0.1,0.107,0.12,0.087,0.065
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.059,0.1,0.057,0.036,0.057,0.058,0.07,0.04,0.076
"P27","No sabe",0.01,0.005,0.021,0.003,0.027,0.006,0,0.026,0.02
"P28","1-Excelente",0.202,0.133,0.208,0.042,0.296,0.135,0.097,0.187,0.171
"P28","2",0.09,0.149,0.103,0.152,0.125,0.078,0.128,0.025,0.09
"P28","3",0.06,0.065,0.037,0.004,0.082,0.062,0.085,0.009,0.054
"P28","4",0.061,0.065,0.057,0.076,0.044,0.052,0.046,0.042,0.033
"P28","5",0.21,0.206,0.148,0.143,0.134,0.176,0.267,0.259,0.218
"P28","6",0.077,0.074,0.041,0.038,0.02,0.08,0.075,0.032,0.053
"P28","7",0.041,0.05,0.067,0.127,0.015,0.061,0.056,0.146,0.028
"P28","8",0.075,0.061,0.015,0.189,0.021,0.071,0.037,0.035,0.051
"P28","9-Pésimo",0.131,0.134,0.229,0.152,0.177,0.244,0.178,0.239,0.216
"P28","No sabe",0.053,0.063,0.095,0.077,0.086,0.041,0.031,0.026,0.086
"P29","1-Excelente",0.197,0.142,0.163,0.102,0.243,0.108,0.138,0.156,0.114
"P29","2",0.104,0.139,0.131,0.123,0.174,0.099,0.148,0.172,0.119
"P29","3",0.077,0.118,0.077,0.043,0.093,0.088,0.051,0.034,0.048
"P29","4",0.06,0.073,0.03,0.134,0.017,0.043,0.058,0,0.098
"P29","5",0.132,0.14,0.133,0.187,0.118,0.141,0.184,0.141,0.093
"P29","6",0.081,0.045,0.036,0.053,0.033,0.052,0.06,0.039,0.071
"P29","7",0.068,0.035,0.053,0.045,0.015,0.037,0.062,0.118,0.039
"P29","8",0.054,0.07,0.046,0.126,0.017,0.083,0.078,0.143,0.023
"P29","9-Pésimo",0.19,0.191,0.244,0.17,0.225,0.325,0.181,0.178,0.24
"P29","No sabe",0.037,0.047,0.087,0.017,0.065,0.024,0.04,0.019,0.155
"P30","1-Excelente",0.187,0.128,0.175,0.138,0.244,0.071,0.15,0.167,0.124
"P30","2",0.088,0.112,0.115,0.059,0.101,0.08,0.113,0.087,0.138
"P30","3",0.075,0.122,0.066,0.14,0.121,0.086,0.054,0.034,0.099
"P30","4",0.085,0.068,0.074,0.098,0.047,0.064,0.082,0.125,0.061
"P30","5",0.134,0.118,0.098,0.145,0.103,0.178,0.201,0.079,0.107
"P30","6",0.094,0.072,0.056,0.061,0.039,0.05,0.083,0.039,0.043
"P30","7",0.039,0.078,0.053,0.055,0.026,0.091,0.068,0.13,0.019
"P30","8",0.069,0.082,0.046,0.152,0.076,0.08,0.048,0.015,0.097
"P30","9-Pésimo",0.177,0.161,0.253,0.139,0.174,0.272,0.19,0.25,0.167
"P30","No sabe",0.052,0.059,0.064,0.013,0.069,0.028,0.011,0.074,0.145
"P31","1-Excelente",0.181,0.152,0.182,0.045,0.145,0.077,0.047,0.181,0.156
"P31","2",0.086,0.1,0.1,0.066,0.111,0.092,0.111,0.1,0.138
"P31","3",0.086,0.09,0.075,0.172,0.134,0.063,0.105,0.043,0.086
"P31","4",0.06,0.103,0.056,0.088,0.099,0.062,0.107,0.032,0.077
"P31","5",0.13,0.17,0.134,0.202,0.091,0.177,0.244,0.129,0.124
"P31","6",0.097,0.03,0.042,0.141,0.025,0.067,0.1,0.124,0.031
"P31","7",0.05,0.072,0.03,0.025,0.037,0.065,0.024,0.119,0.058
"P31","8",0.077,0.061,0.036,0.079,0.032,0.146,0.078,0.042,0.028
"P31","9-Pésimo",0.157,0.141,0.262,0.133,0.203,0.196,0.142,0.185,0.202
"P31","No sabe",0.076,0.081,0.083,0.049,0.123,0.055,0.042,0.045,0.1
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.588,0.366,0.53,0.475,0.353,0.406,0.239,0.563,0.464
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.125,0.199,0.162,0.146,0.17,0.143,0.209,0.156,0.147
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.114,0.181,0.118,0.172,0.143,0.228,0.273,0.106,0.197
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.125,0.22,0.155,0.184,0.191,0.21,0.264,0.175,0.078
"P32","No sabe",0.048,0.034,0.035,0.023,0.143,0.013,0.015,0,0.114
"P28","1-Excelente",0.202,0.133,0.208,0.042,0.296,0.135,0.097,0.187,0.171
"P28","2",0.09,0.149,0.103,0.152,0.125,0.078,0.128,0.025,0.09
"P28","3",0.06,0.065,0.037,0.004,0.082,0.062,0.085,0.009,0.054
"P28","4",0.061,0.065,0.057,0.076,0.044,0.052,0.046,0.042,0.033
"P28","5",0.21,0.206,0.148,0.143,0.134,0.176,0.267,0.259,0.218
"P28","6",0.077,0.074,0.041,0.038,0.02,0.08,0.075,0.032,0.053
"P28","7",0.041,0.05,0.067,0.127,0.015,0.061,0.056,0.146,0.028
"P28","8",0.075,0.061,0.015,0.189,0.021,0.071,0.037,0.035,0.051
"P28","9-Pésimo",0.131,0.134,0.229,0.152,0.177,0.244,0.178,0.239,0.216
"P28","No sabe",0.053,0.063,0.095,0.077,0.086,0.041,0.031,0.026,0.086
"P29","1-Excelente",0.197,0.142,0.163,0.102,0.243,0.108,0.138,0.156,0.114
"P29","2",0.104,0.139,0.131,0.123,0.174,0.099,0.148,0.172,0.119
"P29","3",0.077,0.118,0.077,0.043,0.093,0.088,0.051,0.034,0.048
"P29","4",0.06,0.073,0.03,0.134,0.017,0.043,0.058,0,0.098
"P29","5",0.132,0.14,0.133,0.187,0.118,0.141,0.184,0.141,0.093
"P29","6",0.081,0.045,0.036,0.053,0.033,0.052,0.06,0.039,0.071
"P29","7",0.068,0.035,0.053,0.045,0.015,0.037,0.062,0.118,0.039
"P29","8",0.054,0.07,0.046,0.126,0.017,0.083,0.078,0.143,0.023
"P29","9-Pésimo",0.19,0.191,0.244,0.17,0.225,0.325,0.181,0.178,0.24
"P29","No sabe",0.037,0.047,0.087,0.017,0.065,0.024,0.04,0.019,0.155
"P30","1-Excelente",0.187,0.128,0.175,0.138,0.244,0.071,0.15,0.167,0.124
"P30","2",0.088,0.112,0.115,0.059,0.101,0.08,0.113,0.087,0.138
"P30","3",0.075,0.122,0.066,0.14,0.121,0.086,0.054,0.034,0.099
"P30","4",0.085,0.068,0.074,0.098,0.047,0.064,0.082,0.125,0.061
"P30","5",0.134,0.118,0.098,0.145,0.103,0.178,0.201,0.079,0.107
"P30","6",0.094,0.072,0.056,0.061,0.039,0.05,0.083,0.039,0.043
"P30","7",0.039,0.078,0.053,0.055,0.026,0.091,0.068,0.13,0.019
"P30","8",0.069,0.082,0.046,0.152,0.076,0.08,0.048,0.015,0.097
"P30","9-Pésimo",0.177,0.161,0.253,0.139,0.174,0.272,0.19,0.25,0.167
"P30","No sabe",0.052,0.059,0.064,0.013,0.069,0.028,0.011,0.074,0.145
"P31","1-Excelente",0.181,0.152,0.182,0.045,0.145,0.077,0.047,0.181,0.156
"P31","2",0.086,0.1,0.1,0.066,0.111,0.092,0.111,0.1,0.138
"P31","3",0.086,0.09,0.075,0.172,0.134,0.063,0.105,0.043,0.086
"P31","4",0.06,0.103,0.056,0.088,0.099,0.062,0.107,0.032,0.077
"P31","5",0.13,0.17,0.134,0.202,0.091,0.177,0.244,0.129,0.124
"P31","6",0.097,0.03,0.042,0.141,0.025,0.067,0.1,0.124,0.031
"P31","7",0.05,0.072,0.03,0.025,0.037,0.065,0.024,0.119,0.058
"P31","8",0.077,0.061,0.036,0.079,0.032,0.146,0.078,0.042,0.028
"P31","9-Pésimo",0.157,0.141,0.262,0.133,0.203,0.196,0.142,0.185,0.202
"P31","No sabe",0.076,0.081,0.083,0.049,0.123,0.055,0.042,0.045,0.1
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.588,0.366,0.53,0.475,0.353,0.406,0.239,0.563,0.464
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.125,0.199,0.162,0.146,0.17,0.143,0.209,0.156,0.147
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.114,0.181,0.118,0.172,0.143,0.228,0.273,0.106,0.197
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.125,0.22,0.155,0.184,0.191,0.21,0.264,0.175,0.078
"P32","No sabe",0.048,0.034,0.035,0.023,0.143,0.013,0.015,0,0.114
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.468,0.264,0.429,0.437,0.332,0.294,0.129,0.33,0.367
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.175,0.246,0.198,0.165,0.145,0.133,0.195,0.269,0.172
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.233,0.269,0.176,0.168,0.254,0.384,0.394,0.148,0.286
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.096,0.202,0.141,0.21,0.153,0.188,0.258,0.225,0.081
"P33","No sabe",0.028,0.019,0.056,0.02,0.116,0.001,0.024,0.028,0.094
"P34","Oponerse totalmente",0.48,0.343,0.459,0.479,0.357,0.299,0.134,0.444,0.377
"P34","Oponerse parcialmente",0.131,0.14,0.123,0.098,0.093,0.099,0.164,0.146,0.113
"P34","Apoyar parcialmente",0.242,0.246,0.215,0.141,0.308,0.266,0.356,0.203,0.275
"P34","Apoyar totalmente",0.119,0.243,0.143,0.252,0.201,0.313,0.304,0.207,0.127
"P34","No sabe",0.028,0.028,0.06,0.03,0.041,0.023,0.042,0,0.108
"P35","Inseguridad y narcotráfico",0.409,0.306,0.396,0.313,0.306,0.377,0.253,0.346,0.259
"P35","Altos impuestos y tarifas",0.128,0.244,0.176,0.164,0.204,0.221,0.257,0.119,0.2
"P35","Educación y estado de las escuelas",0.138,0.144,0.201,0.121,0.26,0.131,0.3,0.049,0.198
"P35","Inflación",0.171,0.177,0.107,0.122,0.133,0.137,0.077,0.168,0.203
"P35","Estado de la salud",0.101,0.061,0.053,0.193,0.044,0.042,0.042,0.121,0.071
"P35","Corrupción",0.017,0.044,0.027,0.086,0.049,0.074,0.033,0.119,0.049
"P35","Pobreza",0.019,0.004,0.001,0.001,0.002,0.008,0.013,0,0.004
"P35","Medio ambiente, incendios y contaminación",0,0.008,0.002,0,0,0,0,0,0
"P35","Falta de trabajo",0.011,0.01,0.035,0,0.002,0.009,0.025,0.078,0.011
"P35","No sabe",0.006,0.002,0.002,0,0,0.001,0,0,0.005
"P39","Muy buena",0.078,0.052,0.072,0.067,0.093,0.011,0.007,0,0.013
"P39","Buena",0.089,0.14,0.149,0.063,0.131,0.058,0.147,0.115,0.102
"P39","Ni buena ni mala",0.275,0.263,0.363,0.263,0.362,0.268,0.4,0.305,0.33
"P39","Mala",0.344,0.397,0.293,0.362,0.237,0.453,0.284,0.309,0.269
"P39","Muy mala",0.19,0.114,0.101,0.222,0.133,0.14,0.14,0.141,0.199
"P39","No sabe",0.024,0.034,0.022,0.023,0.044,0.07,0.022,0.13,0.087
"P40","Peor",0.63,0.582,0.559,0.662,0.441,0.598,0.406,0.511,0.602
"P40","Igual",0.193,0.304,0.268,0.199,0.334,0.29,0.421,0.36,0.251
"P40","Mejor",0.109,0.052,0.11,0.065,0.13,0.067,0.119,0.043,0.043
"P40","No sabe",0.068,0.062,0.063,0.074,0.095,0.045,0.054,0.086,0.104
"P41","Peor",0.562,0.459,0.563,0.468,0.353,0.535,0.3,0.412,0.481
"P41","Igual",0.231,0.294,0.191,0.311,0.296,0.249,0.377,0.267,0.223
"P41","Mejor",0.133,0.179,0.197,0.16,0.184,0.169,0.24,0.041,0.184
"P41","No sabe",0.074,0.068,0.049,0.061,0.167,0.047,0.083,0.28,0.112
"P42","Javier Milei",0.306,0.474,0.378,0.341,0.361,0.51,0.623,0.368,0.341
"P42","Los gobernadores",0.586,0.448,0.479,0.59,0.426,0.408,0.234,0.474,0.51
"P42","No sabe",0.108,0.078,0.143,0.069,0.213,0.082,0.143,0.158,0.149
"P43","Muy buena",0.146,0.107,0.206,0.123,0.206,0.053,0.071,0,0.081
"P43","Buena",0.244,0.216,0.174,0.064,0.129,0.206,0.19,0.274,0.123
"P43","Ni buena ni mala",0.246,0.273,0.347,0.297,0.344,0.298,0.305,0.419,0.453
"P43","Mala",0.236,0.244,0.152,0.359,0.18,0.283,0.246,0.244,0.142
"P43","Muy mala",0.126,0.152,0.085,0.157,0.141,0.154,0.175,0.063,0.148
"P43","No sabe",0.002,0.008,0.036,0,0,0.006,0.013,0,0.053
"P45","Muy buena",0.186,0.148,0.114,0.114,0.079,0.099,0.065,0.158,0.141
"P45","Buena",0.198,0.179,0.141,0.105,0.151,0.153,0.168,0.138,0.143
"P45","Ni buena ni mala",0.241,0.255,0.334,0.295,0.346,0.274,0.25,0.287,0.285
"P45","Mala",0.178,0.234,0.21,0.288,0.136,0.236,0.257,0.215,0.183
"P45","Muy mala",0.158,0.16,0.141,0.174,0.233,0.213,0.232,0.166,0.157
"P45","No sabe",0.039,0.024,0.06,0.024,0.055,0.025,0.028,0.036,0.091
"P46","Muy buena",0.153,0.159,0.133,0.08,0.08,0.085,0.133,0.047,0.1
"P46","Buena",0.128,0.216,0.109,0.122,0.132,0.23,0.233,0.14,0.12
"P46","Ni buena ni mala",0.323,0.359,0.382,0.179,0.561,0.272,0.404,0.399,0.316
"P46","Mala",0.194,0.159,0.193,0.304,0.067,0.246,0.074,0.133,0.126
"P46","Muy mala",0.172,0.072,0.133,0.176,0.096,0.135,0.103,0.087,0.136
"P46","No sabe",0.03,0.035,0.05,0.139,0.064,0.032,0.053,0.194,0.202
"P49","Muy buena",0.301,0.211,0.28,0.249,0.224,0.274,0.082,0.221,0.257
"P49","Buena",0.153,0.095,0.117,0.159,0.156,0.096,0.088,0.116,0.103
"P49","Ni buena ni mala",0.081,0.148,0.136,0.174,0.155,0.084,0.051,0.077,0.153
"P49","Mala",0.188,0.205,0.206,0.155,0.163,0.183,0.21,0.211,0.178
"P49","Muy mala",0.275,0.333,0.25,0.263,0.293,0.361,0.564,0.287,0.288
"P49","No sabe",0.002,0.008,0.011,0,0.009,0.002,0.005,0.088,0.021
"P50","Muy buena",0.091,0.113,0.065,0.137,0.093,0.089,0.161,0.043,0.048
"P50","Buena",0.124,0.142,0.133,0.126,0.161,0.185,0.264,0.248,0.109
"P50","Ni buena ni mala",0.158,0.227,0.225,0.133,0.216,0.181,0.171,0.151,0.2
"P50","Mala",0.243,0.257,0.295,0.23,0.256,0.23,0.21,0.292,0.208
"P50","Muy mala",0.379,0.254,0.282,0.374,0.274,0.3,0.194,0.266,0.435
"P50","No sabe",0.005,0.007,0,0,0,0.015,0,0,0
"P51","Muy buena",0.161,0.067,0.167,0.082,0.127,0.082,0.033,0.042,0.154
"P51","Buena",0.172,0.145,0.148,0.02,0.101,0.163,0.096,0.06,0.147
"P51","Ni buena ni mala",0.165,0.195,0.223,0.146,0.247,0.167,0.189,0.341,0.187
"P51","Mala",0.222,0.225,0.241,0.306,0.185,0.225,0.209,0.179,0.138
"P51","Muy mala",0.277,0.364,0.221,0.446,0.34,0.36,0.473,0.378,0.353
"P51","No sabe",0.003,0.004,0,0,0,0.003,0,0,0.021
"P52","Muy buena",0.298,0.189,0.272,0.201,0.243,0.328,0.077,0.196,0.257
"P52","Buena",0.162,0.128,0.079,0.158,0.089,0.05,0.113,0.137,0.053
"P52","Ni buena ni mala",0.086,0.123,0.148,0.104,0.139,0.056,0.048,0.12,0.157
"P52","Mala",0.171,0.185,0.222,0.082,0.176,0.173,0.187,0.197,0.128
"P52","Muy mala",0.28,0.353,0.274,0.455,0.336,0.391,0.575,0.35,0.3
"P52","No sabe",0.003,0.022,0.005,0,0.017,0.002,0,0,0.105
"P53","Muy buena",0.203,0.338,0.268,0.206,0.23,0.334,0.409,0.249,0.179
"P53","Buena",0.129,0.178,0.125,0.123,0.171,0.146,0.225,0.199,0.207
"P53","Ni buena ni mala",0.107,0.089,0.127,0.064,0.11,0.043,0.102,0.021,0.103
"P53","Mala",0.153,0.131,0.157,0.061,0.191,0.14,0.14,0.107,0.132
"P53","Muy mala",0.392,0.249,0.31,0.546,0.298,0.321,0.124,0.424,0.356
"P53","No sabe",0.016,0.015,0.013,0,0,0.016,0,0,0.023
"P54","Muy buena",0.139,0.223,0.191,0.154,0.249,0.241,0.354,0.116,0.164
"P54","Buena",0.174,0.254,0.204,0.168,0.132,0.185,0.218,0.236,0.215
"P54","Ni buena ni mala",0.135,0.127,0.154,0.044,0.161,0.102,0.125,0.056,0.109
"P54","Mala",0.151,0.13,0.154,0.05,0.196,0.095,0.135,0.243,0.118
"P54","Muy mala",0.394,0.261,0.285,0.584,0.256,0.353,0.168,0.342,0.392
"P54","No sabe",0.007,0.005,0.012,0,0.006,0.024,0,0.007,0.002
"P55","Muy buena",0.21,0.299,0.239,0.123,0.264,0.338,0.464,0.165,0.208
"P55","Buena",0.132,0.195,0.113,0.162,0.181,0.119,0.182,0.115,0.124
"P55","Ni buena ni mala",0.15,0.159,0.227,0.143,0.187,0.094,0.162,0.189,0.225
"P55","Mala",0.135,0.102,0.159,0.064,0.131,0.098,0.063,0.101,0.092
"P55","Muy mala",0.364,0.223,0.238,0.508,0.229,0.32,0.129,0.339,0.307
"P55","No sabe",0.009,0.022,0.024,0,0.008,0.031,0,0.091,0.044
"P56","Muy buena",0.084,0.093,0.106,0.077,0.04,0.042,0.106,0.044,0.021
"P56","Buena",0.125,0.207,0.171,0.246,0.12,0.189,0.204,0.127,0.125
"P56","Ni buena ni mala",0.347,0.408,0.38,0.293,0.528,0.387,0.417,0.459,0.33
"P56","Mala",0.189,0.144,0.185,0.17,0.129,0.175,0.117,0.068,0.17
"P56","Muy mala",0.22,0.112,0.142,0.159,0.082,0.173,0.114,0.251,0.221
"P56","No sabe",0.035,0.036,0.016,0.055,0.101,0.034,0.042,0.051,0.133
