"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P27","Estoy parcialmente de acuerdo, es necesario una reforma profunda del sistema universitario público, incorporando exámenes de ingreso, arancelamiento para dar becas de estudio y racionalización de la oferta de carreras priorizando aquellas orientadas al desarrollo científico, tecnológico, la salud y el desarrollo económico",0.06,0.291,0.22
"P27","Estoy de acuerdo, las universidades publicas son muy ineficientes y costosas. La mayor parte de alumnos nunca terminan sus estudios, hay gran cantidad de carreras innecesarias y están muy politizadas",0.009,0.155,0.054
"P27","Estoy totalmente de acuerdo, las universidades publicas son centros de adoctrinamiento político y sirven a los intereses de los partidos políticos. Sería mejor utilizar esa plata para becar a los alumnos de escasos recursos para que pudieran elegir en que universidad privada estudiar",0.019,0.114,0.024
"P27","No sabe",0.001,0.011,0.041
"P28","1-Excelente",0.184,0.151,0.236
"P28","2",0.126,0.103,0.093
"P28","3",0.057,0.054,0.054
"P28","4",0.054,0.057,0.059
"P28","5",0.223,0.173,0.17
"P28","6",0.091,0.048,0.038
"P28","7",0.063,0.054,0.041
"P28","8",0.035,0.078,0.03
"P28","9-Pésimo",0.126,0.21,0.182
"P28","No sabe",0.041,0.072,0.097
"P29","1-Excelente",0.17,0.144,0.188
"P29","2",0.129,0.127,0.124
"P29","3",0.084,0.079,0.087
"P29","4",0.064,0.055,0.041
"P29","5",0.151,0.126,0.136
"P29","6",0.084,0.037,0.046
"P29","7",0.081,0.032,0.04
"P29","8",0.049,0.067,0.062
"P29","9-Pésimo",0.154,0.274,0.183
"P29","No sabe",0.034,0.059,0.093
"P30","1-Excelente",0.146,0.16,0.166
"P30","2",0.124,0.093,0.088
"P30","3",0.1,0.078,0.104
"P30","4",0.078,0.066,0.089
"P30","5",0.131,0.117,0.138
"P30","6",0.098,0.052,0.05
"P30","7",0.06,0.061,0.04
"P30","8",0.083,0.067,0.062
"P30","9-Pésimo",0.124,0.253,0.186
"P30","No sabe",0.056,0.053,0.077
"P31","1-Excelente",0.176,0.135,0.136
"P31","2",0.104,0.099,0.086
"P31","3",0.083,0.089,0.102
"P31","4",0.084,0.068,0.075
"P31","5",0.139,0.145,0.179
"P31","6",0.107,0.04,0.037
"P31","7",0.059,0.048,0.045
"P31","8",0.058,0.083,0.024
"P31","9-Pésimo",0.129,0.209,0.223
"P31","No sabe",0.061,0.084,0.093
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.813,0.256,0.391
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.128,0.162,0.22
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.008,0.25,0.18
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.021,0.293,0.102
"P32","No sabe",0.03,0.039,0.107
"P28","1-Excelente",0.184,0.151,0.236
"P28","2",0.126,0.103,0.093
"P28","3",0.057,0.054,0.054
"P28","4",0.054,0.057,0.059
"P28","5",0.223,0.173,0.17
"P28","6",0.091,0.048,0.038
"P28","7",0.063,0.054,0.041
"P28","8",0.035,0.078,0.03
"P28","9-Pésimo",0.126,0.21,0.182
"P28","No sabe",0.041,0.072,0.097
"P29","1-Excelente",0.17,0.144,0.188
"P29","2",0.129,0.127,0.124
"P29","3",0.084,0.079,0.087
"P29","4",0.064,0.055,0.041
"P29","5",0.151,0.126,0.136
"P29","6",0.084,0.037,0.046
"P29","7",0.081,0.032,0.04
"P29","8",0.049,0.067,0.062
"P29","9-Pésimo",0.154,0.274,0.183
"P29","No sabe",0.034,0.059,0.093
"P30","1-Excelente",0.146,0.16,0.166
"P30","2",0.124,0.093,0.088
"P30","3",0.1,0.078,0.104
"P30","4",0.078,0.066,0.089
"P30","5",0.131,0.117,0.138
"P30","6",0.098,0.052,0.05
"P30","7",0.06,0.061,0.04
"P30","8",0.083,0.067,0.062
"P30","9-Pésimo",0.124,0.253,0.186
"P30","No sabe",0.056,0.053,0.077
"P31","1-Excelente",0.176,0.135,0.136
"P31","2",0.104,0.099,0.086
"P31","3",0.083,0.089,0.102
"P31","4",0.084,0.068,0.075
"P31","5",0.139,0.145,0.179
"P31","6",0.107,0.04,0.037
"P31","7",0.059,0.048,0.045
"P31","8",0.058,0.083,0.024
"P31","9-Pésimo",0.129,0.209,0.223
"P31","No sabe",0.061,0.084,0.093
"P32","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.813,0.256,0.391
"P32","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.128,0.162,0.22
"P32","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.008,0.25,0.18
"P32","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.021,0.293,0.102
"P32","No sabe",0.03,0.039,0.107
"P33","Oponerse totalmente y no concurrir a la convocatoria",0.651,0.194,0.28
"P33","Oponerse parcialmente y concurrir a la convocatoria",0.267,0.13,0.222
"P33","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.044,0.376,0.307
"P33","Apoyar totalmente la iniciativa del gobierno nacional",0.015,0.268,0.096
"P33","No sabe",0.023,0.032,0.095
"P34","Oponerse totalmente",0.712,0.214,0.295
"P34","Oponerse parcialmente",0.185,0.087,0.117
"P34","Apoyar parcialmente",0.065,0.323,0.396
"P34","Apoyar totalmente",0.015,0.343,0.094
"P34","No sabe",0.023,0.033,0.098
"P35","Inseguridad y narcotráfico",0.44,0.315,0.278
"P35","Altos impuestos y tarifas",0.163,0.208,0.182
"P35","Educación y estado de las escuelas",0.141,0.147,0.292
"P35","Inflación",0.139,0.163,0.129
"P35","Estado de la salud",0.073,0.088,0.021
"P35","Corrupción",0.004,0.057,0.071
"P35","Pobreza",0.007,0.009,0.003
"P35","Medio ambiente, incendios y contaminación",0.005,0,0.002
"P35","Falta de trabajo",0.026,0.012,0.013
"P35","No sabe",0.002,0.001,0.009
"P39","Muy buena",0.101,0.03,0.036
"P39","Buena",0.154,0.08,0.142
"P39","Ni buena ni mala",0.32,0.259,0.421
"P39","Mala",0.311,0.398,0.224
"P39","Muy mala",0.09,0.207,0.066
"P39","No sabe",0.024,0.026,0.111
"P40","Peor",0.712,0.524,0.44
"P40","Igual",0.165,0.338,0.283
"P40","Mejor",0.081,0.072,0.145
"P40","No sabe",0.042,0.066,0.132
"P41","Peor",0.664,0.424,0.374
"P41","Igual",0.199,0.298,0.228
"P41","Mejor",0.082,0.198,0.265
"P41","No sabe",0.055,0.08,0.133
"P42","Javier Milei",0.113,0.611,0.347
"P42","Los gobernadores",0.839,0.272,0.38
"P42","No sabe",0.048,0.117,0.273
"P43","Muy buena",0.195,0.058,0.225
"P43","Buena",0.344,0.113,0.146
"P43","Ni buena ni mala",0.311,0.26,0.455
"P43","Mala",0.109,0.329,0.111
"P43","Muy mala",0.039,0.229,0.009
"P43","No sabe",0.002,0.011,0.054
"P45","Muy buena",0.244,0.068,0.116
"P45","Buena",0.264,0.11,0.124
"P45","Ni buena ni mala",0.278,0.258,0.353
"P45","Mala",0.104,0.277,0.214
"P45","Muy mala",0.076,0.259,0.084
"P45","No sabe",0.034,0.028,0.109
"P46","Muy buena",0.113,0.146,0.101
"P46","Buena",0.083,0.212,0.152
"P46","Ni buena ni mala",0.318,0.356,0.422
"P46","Mala",0.24,0.139,0.148
"P46","Muy mala",0.172,0.108,0.082
"P46","No sabe",0.074,0.039,0.095
"P49","Muy buena",0.514,0.101,0.168
"P49","Buena",0.162,0.1,0.093
"P49","Ni buena ni mala",0.147,0.076,0.197
"P49","Mala",0.114,0.217,0.291
"P49","Muy mala",0.061,0.503,0.201
"P49","No sabe",0.002,0.003,0.05
"P50","Muy buena",0.078,0.113,0.048
"P50","Buena",0.051,0.208,0.16
"P50","Ni buena ni mala",0.082,0.233,0.327
"P50","Mala",0.291,0.222,0.269
"P50","Muy mala",0.498,0.221,0.178
"P50","No sabe",0,0.003,0.018
"P51","Muy buena",0.228,0.059,0.069
"P51","Buena",0.249,0.081,0.105
"P51","Ni buena ni mala",0.278,0.112,0.289
"P51","Mala",0.147,0.242,0.316
"P51","Muy mala",0.098,0.503,0.208
"P51","No sabe",0,0.003,0.013
"P52","Muy buena",0.505,0.104,0.153
"P52","Buena",0.153,0.083,0.112
"P52","Ni buena ni mala",0.118,0.08,0.203
"P52","Mala",0.123,0.189,0.281
"P52","Muy mala",0.081,0.532,0.236
"P52","No sabe",0.02,0.012,0.015
"P53","Muy buena",0.093,0.4,0.234
"P53","Buena",0.043,0.219,0.195
"P53","Ni buena ni mala",0.051,0.104,0.175
"P53","Mala",0.209,0.093,0.165
"P53","Muy mala",0.587,0.179,0.2
"P53","No sabe",0.017,0.005,0.031
"P54","Muy buena",0.086,0.275,0.185
"P54","Buena",0.046,0.296,0.24
"P54","Ni buena ni mala",0.081,0.137,0.203
"P54","Mala",0.183,0.106,0.156
"P54","Muy mala",0.601,0.178,0.193
"P54","No sabe",0.003,0.008,0.023
"P55","Muy buena",0.063,0.405,0.211
"P55","Buena",0.047,0.209,0.16
"P55","Ni buena ni mala",0.156,0.138,0.317
"P55","Mala",0.189,0.067,0.134
"P55","Muy mala",0.525,0.163,0.146
"P55","No sabe",0.02,0.018,0.032
"P56","Muy buena",0.081,0.082,0.059
"P56","Buena",0.08,0.217,0.192
"P56","Ni buena ni mala",0.312,0.423,0.427
"P56","Mala",0.23,0.124,0.153
"P56","Muy mala",0.266,0.12,0.061
"P56","No sabe",0.031,0.034,0.108
