"var","categoria","Estoy de acuerdo","Debería realizarse solo en caso de violación o riesgo de vida de la madre","No estoy de acuerdo","No sabe"
"P33","Muy mala",0.311,0.498,0.488,0.374
"P33","No sabe",0.016,0.023,0.055,0.053
"P34","Muy buena",0.328,0.082,0.095,0.077
"P34","Buena",0.153,0.093,0.082,0.16
"P34","Ni buena ni mala",0.104,0.091,0.092,0.172
"P34","Mala",0.068,0.109,0.125,0.127
"P34","Muy mala",0.344,0.615,0.569,0.384
"P34","No sabe",0.003,0.01,0.037,0.08
"P35","Muy buena",0.075,0.146,0.161,0.091
"P35","Buena",0.099,0.18,0.195,0.128
"P35","Ni buena ni mala",0.129,0.221,0.219,0.244
"P35","Mala",0.106,0.167,0.147,0.13
"P35","Muy mala",0.579,0.281,0.266,0.38
"P35","No sabe",0.012,0.005,0.012,0.027
"P36","Muy buena",0.085,0.18,0.171,0.083
"P36","Buena",0.163,0.245,0.188,0.137
"P36","Ni buena ni mala",0.174,0.269,0.241,0.197
"P36","Mala",0.171,0.124,0.158,0.274
"P36","Muy mala",0.395,0.162,0.172,0.232
"P36","No sabe",0.012,0.02,0.07,0.077
"P37","Muy buena",0.094,0.155,0.158,0.08
"P37","Buena",0.138,0.212,0.148,0.137
"P37","Ni buena ni mala",0.109,0.203,0.251,0.189
"P37","Mala",0.123,0.158,0.149,0.238
"P37","Muy mala",0.526,0.252,0.253,0.309
"P37","No sabe",0.01,0.02,0.041,0.047
"P38","Muy buena",0.087,0.204,0.229,0.168
"P38","Buena",0.108,0.179,0.154,0.086
"P38","Ni buena ni mala",0.181,0.275,0.242,0.275
"P38","Mala",0.093,0.108,0.068,0.163
"P38","Muy mala",0.495,0.189,0.209,0.194
"P38","No sabe",0.036,0.045,0.098,0.114
"P39","Muy buena",0.143,0.328,0.396,0.207
"P39","Buena",0.112,0.223,0.169,0.111
"P39","Ni buena ni mala",0.095,0.135,0.134,0.196
"P39","Mala",0.076,0.088,0.075,0.106
"P39","Muy mala",0.555,0.18,0.179,0.305
"P39","No sabe",0.019,0.046,0.047,0.075
"P40","Muy buena",0.082,0.024,0.039,0.037
"P40","Buena",0.193,0.096,0.146,0.145
"P40","Ni buena ni mala",0.278,0.233,0.281,0.328
"P40","Mala",0.238,0.327,0.21,0.202
"P40","Muy mala",0.177,0.29,0.275,0.189
"P40","No sabe",0.032,0.03,0.049,0.099
"P41","Muy buena",0.016,0.026,0.026,0.057
"P41","Buena",0.07,0.072,0.082,0.039
"P41","Ni buena ni mala",0.131,0.199,0.21,0.208
"P41","Mala",0.209,0.308,0.292,0.277
"P41","Muy mala",0.537,0.363,0.33,0.363
"P41","No sabe",0.037,0.032,0.06,0.056
