"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P15","No sabe",0.046,0.023,0.033,0.052,0.054,0.034,0.193
"P16","Sí, lo votaría",0.303,0.354,0.319,0.371,0.341,0.265,0.193
"P16","Puede que lo vote",0.091,0.148,0.141,0.162,0.117,0.149,0.095
"P16","Nunca lo votaría",0.567,0.469,0.485,0.425,0.504,0.486,0.525
"P16","No sabe",0.039,0.029,0.055,0.042,0.038,0.1,0.187
"P17","Sí, la votaría",0.396,0.329,0.254,0.196,0.316,0.3,0.407
"P17","Puede que la vote",0.062,0.092,0.11,0.068,0.076,0.101,0.047
"P17","Nunca la votaría",0.519,0.566,0.613,0.715,0.591,0.517,0.43
"P17","No sabe",0.023,0.013,0.023,0.021,0.017,0.082,0.116
"P18","Cristina Fernández de Kirchner por el Frente de Todos",0.409,0.347,0.283,0.198,0.307,0.334,0.448
"P18","Mauricio Macri por Cambiemos",0.245,0.3,0.267,0.274,0.227,0.156,0.17
"P18","Javier Milei por los liberales",0.179,0.202,0.188,0.315,0.21,0.34,0.251
"P18","Nicolás del Caño por la izquierda",0.022,0.02,0.024,0.021,0.018,0.016,0
"P18","Otro candidato",0.145,0.131,0.238,0.192,0.238,0.154,0.131
"P19","Horacio Rodríguez Larreta por Cambiemos",0.273,0.299,0.309,0.296,0.234,0.22,0.207
"P19","Alberto Fernández por el Frente de Todos",0.32,0.297,0.245,0.146,0.295,0.249,0.378
"P19","Javier Milei por los liberales",0.181,0.204,0.205,0.273,0.199,0.316,0.251
"P19","Nicolás del Caño por la izquierda",0.034,0.039,0.03,0.03,0.035,0.023,0
"P19","Otro candidato",0.192,0.161,0.211,0.255,0.237,0.192,0.164
"P20","Mauricio Macri presidente Javier Milei vice",0.351,0.389,0.344,0.501,0.293,0.356,0.362
"P20","Sergio Massa presidente Gerardo Morales vice",0.19,0.16,0.163,0.087,0.16,0.173,0.057
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.078,0.061,0.072,0.065,0.059,0.058,0.1
"P20","No sabe",0.381,0.39,0.421,0.347,0.488,0.413,0.481
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.283,0.306,0.31,0.371,0.283,0.232,0.219
"P21","Alberto Fernández presidente Sergio Massa vice",0.188,0.15,0.167,0.097,0.192,0.155,0.197
"P21","Javier Milei presidente José Luis Espert vice",0.139,0.166,0.156,0.209,0.153,0.244,0.245
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.105,0.136,0.147,0.105,0.128,0.081,0.091
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.221,0.172,0.115,0.102,0.143,0.186,0.182
"P21","Otros candidatos",0.064,0.07,0.105,0.116,0.101,0.102,0.066
"P22","Muy buena",0.088,0.068,0.08,0.054,0.076,0.084,0.092
"P22","Buena",0.178,0.195,0.159,0.093,0.19,0.121,0.234
"P22","Ni buena ni mala",0.148,0.121,0.131,0.09,0.102,0.15,0.226
"P22","Mala",0.163,0.151,0.132,0.177,0.173,0.183,0.071
"P22","Muy mala",0.417,0.45,0.482,0.57,0.454,0.452,0.363
"P22","No sabe",0.006,0.015,0.016,0.016,0.005,0.01,0.014
"P23","Si",0.698,0.684,0.67,0.617,0.657,0.598,0.623
"P23","No",0.137,0.171,0.154,0.202,0.185,0.268,0.128
"P23","No sabe",0.165,0.145,0.176,0.181,0.158,0.134,0.249
"P24","El kirchnerismo",0.428,0.503,0.488,0.554,0.438,0.407,0.396
"P24","Cambiemos",0.216,0.197,0.168,0.145,0.156,0.176,0.068
"P24","Los medios de comunicación",0.205,0.166,0.157,0.1,0.225,0.143,0.246
"P24","Otros",0.062,0.06,0.078,0.114,0.113,0.116,0.057
"P24","No sabe",0.089,0.074,0.109,0.087,0.068,0.158,0.233
"P26","Gran excedente habitual",0.012,0.002,0,0,0,0.01,0
"P26","Gran excedente excepcional",0.012,0,0,0.002,0,0.008,0.077
"P26","Pequeño excedente habitual",0.112,0.042,0.031,0.055,0.007,0.063,0.054
"P26","Pequeño excedente excepcional",0.102,0.078,0.052,0.035,0.061,0.01,0.022
"P26","Alcanza gastos familia",0.21,0.186,0.141,0.135,0.128,0.043,0.152
"P26","No alcanza gastos familia",0.088,0.075,0.242,0.259,0.228,0.242,0.131
"P26","Solo NBFamiliares",0.234,0.411,0.267,0.236,0.195,0.246,0.289
"P26","No alcanza NBFamiliares",0.215,0.2,0.265,0.275,0.375,0.378,0.21
"P26","No sabe",0.015,0.006,0.002,0.003,0.006,0,0.065
"P27","Muy buena",0.063,0.019,0.029,0.048,0.038,0.035,0
"P27","Buena",0.281,0.179,0.12,0.061,0.034,0.02,0.116
"P27","Ni buena ni mala",0.43,0.564,0.417,0.356,0.271,0.244,0.363
"P27","Mala",0.174,0.174,0.347,0.432,0.47,0.384,0.371
"P27","Muy mala",0.037,0.057,0.086,0.095,0.169,0.3,0.078
"P27","No sabe",0.015,0.007,0.001,0.008,0.018,0.017,0.072
"P28","Mejor",0.17,0.11,0.102,0.091,0.076,0.055,0.004
"P28","Igual",0.341,0.325,0.261,0.24,0.209,0.203,0.351
"P28","Peor",0.463,0.538,0.594,0.635,0.692,0.693,0.515
"P28","No sabe",0.026,0.027,0.043,0.034,0.023,0.049,0.13
"P29","Mejor",0.188,0.143,0.131,0.085,0.149,0.074,0.065
"P29","Igual",0.274,0.261,0.228,0.231,0.169,0.195,0.18
"P29","Peor",0.437,0.518,0.525,0.608,0.639,0.652,0.499
"P29","No sabe",0.101,0.078,0.116,0.076,0.043,0.079,0.256
"P30","Muy buena",0.058,0.036,0.05,0.032,0.025,0.055,0.029
"P30","Buena",0.089,0.104,0.058,0.063,0.035,0.036,0.026
"P30","Ni buena ni mala",0.21,0.14,0.163,0.096,0.133,0.1,0.145
"P30","Mala",0.283,0.279,0.281,0.269,0.282,0.258,0.424
"P30","Muy mala",0.351,0.438,0.439,0.538,0.523,0.544,0.337
"P30","No sabe",0.009,0.003,0.009,0.002,0.002,0.007,0.039
"P31","Muy buena",0.325,0.229,0.159,0.129,0.206,0.237,0.218
"P31","Buena",0.073,0.097,0.115,0.106,0.104,0.053,0.06
"P31","Ni buena ni mala",0.068,0.054,0.096,0.037,0.065,0.123,0.247
"P31","Mala",0.059,0.072,0.055,0.098,0.119,0.052,0.043
"P31","Muy mala",0.471,0.548,0.57,0.623,0.505,0.512,0.411
"P31","No sabe",0.004,0,0.005,0.007,0.001,0.023,0.021
"P32","Muy buena",0.105,0.072,0.086,0.048,0.066,0.087,0.112
"P32","Buena",0.188,0.19,0.118,0.102,0.145,0.132,0.216
"P32","Ni buena ni mala",0.162,0.128,0.154,0.109,0.159,0.164,0.244
"P32","Mala",0.141,0.168,0.144,0.145,0.166,0.146,0.1
"P32","Muy mala",0.402,0.442,0.489,0.589,0.463,0.443,0.324
"P32","No sabe",0.002,0,0.009,0.007,0.001,0.028,0.004
"P33","Muy buena",0.094,0.046,0.052,0.039,0.021,0.057,0.027
"P33","Buena",0.141,0.107,0.121,0.077,0.094,0.107,0.102
"P33","Ni buena ni mala",0.205,0.235,0.187,0.153,0.213,0.216,0.288
"P33","Mala",0.17,0.203,0.212,0.23,0.198,0.138,0.144
"P33","Muy mala",0.364,0.403,0.379,0.493,0.45,0.439,0.31
"P33","No sabe",0.026,0.006,0.049,0.008,0.024,0.043,0.129
"P34","Muy buena",0.27,0.197,0.151,0.15,0.16,0.124,0.091
"P34","Buena",0.123,0.113,0.095,0.086,0.13,0.135,0.223
"P34","Ni buena ni mala",0.079,0.086,0.137,0.093,0.109,0.135,0.263
"P34","Mala",0.084,0.122,0.1,0.089,0.107,0.095,0.034
"P34","Muy mala",0.431,0.474,0.498,0.581,0.493,0.487,0.354
"P34","No sabe",0.013,0.008,0.019,0.001,0.001,0.024,0.035
"P35","Muy buena",0.128,0.112,0.112,0.129,0.101,0.117,0.05
"P35","Buena",0.138,0.162,0.179,0.187,0.108,0.104,0.087
"P35","Ni buena ni mala",0.161,0.193,0.194,0.161,0.195,0.209,0.162
"P35","Mala",0.095,0.131,0.162,0.16,0.129,0.172,0.182
"P35","Muy mala",0.475,0.401,0.335,0.348,0.462,0.372,0.49
"P35","No sabe",0.003,0.001,0.018,0.015,0.005,0.026,0.029
"P36","Muy buena",0.145,0.146,0.152,0.161,0.097,0.108,0.067
"P36","Buena",0.185,0.236,0.221,0.19,0.233,0.148,0.119
"P36","Ni buena ni mala",0.178,0.204,0.205,0.255,0.266,0.286,0.244
"P36","Mala",0.135,0.169,0.18,0.19,0.105,0.142,0.205
"P36","Muy mala",0.329,0.238,0.216,0.191,0.27,0.268,0.287
"P36","No sabe",0.028,0.007,0.026,0.013,0.029,0.048,0.078
"P37","Muy buena",0.129,0.129,0.128,0.123,0.139,0.143,0.094
"P37","Buena",0.168,0.203,0.175,0.221,0.127,0.128,0.106
"P37","Ni buena ni mala",0.138,0.182,0.202,0.149,0.196,0.162,0.178
"P37","Mala",0.116,0.163,0.163,0.146,0.142,0.165,0.129
"P37","Muy mala",0.434,0.312,0.311,0.346,0.391,0.363,0.419
"P37","No sabe",0.015,0.011,0.021,0.015,0.005,0.039,0.074
"P38","Muy buena",0.125,0.139,0.135,0.176,0.163,0.22,0.138
"P38","Buena",0.149,0.131,0.166,0.115,0.125,0.128,0.143
"P38","Ni buena ni mala",0.189,0.232,0.267,0.279,0.248,0.236,0.16
"P38","Mala",0.106,0.108,0.137,0.087,0.097,0.068,0.091
"P38","Muy mala",0.381,0.367,0.249,0.295,0.285,0.285,0.317
"P38","No sabe",0.05,0.023,0.046,0.048,0.082,0.063,0.151
"P39","Muy buena",0.234,0.294,0.241,0.293,0.293,0.227,0.158
"P39","Buena",0.142,0.186,0.174,0.198,0.165,0.128,0.126
"P39","Ni buena ni mala",0.091,0.107,0.116,0.132,0.123,0.173,0.174
"P39","Mala",0.076,0.065,0.136,0.068,0.061,0.086,0.125
"P39","Muy mala",0.426,0.342,0.284,0.294,0.324,0.327,0.338
"P39","No sabe",0.031,0.006,0.049,0.015,0.034,0.059,0.079
"P40","Muy buena",0.045,0.051,0.039,0.051,0.102,0.042,0.034
"P40","Buena",0.194,0.148,0.121,0.135,0.119,0.118,0.084
"P40","Ni buena ni mala",0.294,0.268,0.292,0.197,0.205,0.229,0.334
"P40","Mala",0.236,0.292,0.302,0.286,0.261,0.254,0.204
"P40","Muy mala",0.186,0.228,0.18,0.307,0.296,0.32,0.176
"P40","No sabe",0.045,0.013,0.066,0.024,0.017,0.037,0.168
"P41","Muy buena",0.012,0.02,0.034,0.037,0.022,0.019,0.047
"P41","Buena",0.075,0.07,0.068,0.088,0.094,0.037,0.028
"P41","Ni buena ni mala",0.15,0.206,0.209,0.14,0.179,0.192,0.13
"P41","Mala",0.247,0.276,0.281,0.262,0.266,0.261,0.225
"P41","Muy mala",0.472,0.415,0.359,0.428,0.39,0.476,0.292
"P41","No sabe",0.044,0.013,0.049,0.045,0.049,0.015,0.278
