"var","categoria","El gobierno de Javier Milei","El gobierno de Alberto Fernández","Ambos","No sabe"
"P57","Ni buena ni mala",0.098,0.293,0.281,0.542
"P57","Mala",0.22,0.065,0.212,0.057
"P57","Muy mala",0.598,0.039,0.299,0.079
"P57","No sabe",0.009,0.025,0.058,0.322
"P58","Muy buena",0.054,0.221,0.037,0
"P58","Buena",0.029,0.294,0.066,0.034
"P58","Ni buena ni mala",0.224,0.327,0.466,0.606
"P58","Mala",0.244,0.056,0.115,0.038
"P58","Muy mala",0.41,0.026,0.179,0
"P58","No sabe",0.039,0.076,0.137,0.322
