"var","categoria","Excesiva","Adecuada","Insuficiente","Inaceptable","No sabe"
"P22","Ambos de forma coordinada",0.351,0.268,0.273,0.256,0.347
"P22","No sabe",0.087,0.057,0.028,0.023,0.248
"P23","Si",0.577,0.578,0.468,0.691,0.152
"P23","No",0.357,0.351,0.391,0.233,0.569
"P23","No sabe",0.066,0.071,0.141,0.076,0.279
"P26","Si",0.716,0.665,0.596,0.761,0.388
"P26","No",0.228,0.236,0.247,0.208,0.202
"P26","No sabe",0.056,0.099,0.157,0.031,0.41
"P27","Correcta",0.248,0.097,0.476,0.71,0.084
"P27","Incorrecta",0.668,0.766,0.323,0.242,0.254
"P27","No sabe",0.084,0.137,0.201,0.048,0.662
"P28","Si",0.619,0.56,0.59,0.702,0.223
"P28","No",0.343,0.347,0.325,0.23,0.379
"P28","No sabe",0.038,0.093,0.085,0.068,0.398
"P29","Correcta",0.663,0.651,0.274,0.366,0.199
"P29","Incorrecta",0.21,0.197,0.495,0.59,0.144
"P29","No sabe",0.127,0.152,0.231,0.044,0.657
"P30","Si",0.719,0.695,0.656,0.702,0.484
"P30","No",0.236,0.253,0.232,0.269,0.224
"P30","No sabe",0.045,0.052,0.112,0.029,0.292
"P31","Adecuada",0.161,0.083,0.351,0.559,0.063
"P31","Insuficiente",0.109,0.088,0.127,0.128,0.056
"P31","Excesiva",0.185,0.296,0.248,0.072,0.243
"P31","Inaceptable",0.541,0.499,0.204,0.216,0.351
"P31","No sabe",0.004,0.034,0.07,0.025,0.287
"P33","Si",0.21,0.323,0.69,0.731,0.298
"P33","No",0.674,0.554,0.189,0.258,0.28
"P33","No sabe",0.116,0.123,0.121,0.011,0.422
"P34","Si",0.67,0.649,0.353,0.398,0.326
"P34","No",0.221,0.243,0.512,0.555,0.344
"P34","No sabe",0.109,0.108,0.135,0.047,0.33
"P35","Inseguridad y narcotráfico",0.569,0.535,0.424,0.552,0.197
"P35","Altos impuestos y tarifas",0.26,0.272,0.355,0.231,0.255
"P35","Educación y estado de las escuelas",0.039,0.11,0.115,0.088,0.381
"P35","Inflación",0.009,0.04,0.048,0.05,0.056
"P35","Estado de la salud",0.051,0.017,0.013,0.026,0.003
"P35","Corrupción",0.07,0.018,0.033,0.053,0.049
"P35","Pobreza",0,0.006,0.004,0,0.01
"P35","Medio ambiente, incendios y contaminación",0.002,0,0,0,0
"P35","Falta de trabajo",0,0.001,0.006,0,0
"P35","No sabe",0,0.001,0.002,0,0.049
"P39","Muy buena",0.122,0.079,0.063,0.172,0.011
"P39","Buena",0.188,0.382,0.248,0.158,0.267
"P39","Ni buena ni mala",0.311,0.363,0.392,0.231,0.5
"P39","Mala",0.204,0.14,0.252,0.257,0.156
"P39","Muy mala",0.156,0.015,0.029,0.182,0.014
"P39","No sabe",0.019,0.021,0.016,0,0.052
"P40","Peor",0.359,0.2,0.412,0.622,0.356
"P40","Igual",0.476,0.535,0.378,0.246,0.433
"P40","Mejor",0.138,0.176,0.11,0.045,0.123
"P40","No sabe",0.027,0.089,0.1,0.087,0.088
"P41","Peor",0.452,0.188,0.385,0.568,0.234
"P41","Igual",0.302,0.336,0.326,0.237,0.271
"P41","Mejor",0.19,0.375,0.152,0.107,0.239
"P41","No sabe",0.056,0.101,0.137,0.088,0.256
"P42","El gobierno de Javier Milei",0.205,0.236,0.476,0.521,0.181
"P42","El gobierno de Alberto Fernández",0.709,0.601,0.37,0.387,0.442
"P42","Ambos",0.086,0.14,0.132,0.074,0.325
"P42","No sabe",0,0.023,0.022,0.018,0.052
"P43","Javier Milei",0.675,0.469,0.325,0.504,0.355
"P43","Los gobernadores",0.273,0.44,0.588,0.447,0.338
"P43","No sabe",0.052,0.091,0.087,0.049,0.307
"P44","Muy buena",0.148,0.234,0.176,0.191,0.084
"P44","Buena",0.251,0.371,0.273,0.149,0.174
"P44","Ni buena ni mala",0.303,0.287,0.339,0.299,0.533
"P44","Mala",0.204,0.081,0.156,0.172,0.042
"P44","Muy mala",0.088,0.02,0.047,0.189,0.021
"P44","No sabe",0.006,0.007,0.009,0,0.146
"P45","Muy buena",0.094,0.102,0.111,0.225,0.088
"P45","Buena",0.217,0.249,0.235,0.158,0.055
"P45","Ni buena ni mala",0.23,0.335,0.387,0.267,0.494
"P45","Mala",0.176,0.212,0.143,0.168,0.136
"P45","Muy mala",0.272,0.074,0.078,0.174,0.076
"P45","No sabe",0.011,0.028,0.046,0.008,0.151
"P46","Muy buena",0.131,0.057,0.064,0.191,0.058
"P46","Buena",0.101,0.193,0.158,0.129,0.084
"P46","Ni buena ni mala",0.238,0.231,0.259,0.126,0.323
"P46","Mala",0.213,0.37,0.341,0.281,0.296
"P46","Muy mala",0.317,0.137,0.169,0.268,0.115
"P46","No sabe",0,0.012,0.009,0.005,0.124
"P47","Muy buena",0.084,0.063,0.059,0.174,0.059
"P47","Buena",0.088,0.153,0.17,0.07,0.052
"P47","Ni buena ni mala",0.382,0.433,0.414,0.336,0.498
"P47","Mala",0.192,0.186,0.187,0.164,0.181
"P47","Muy mala",0.247,0.103,0.129,0.239,0.042
"P47","No sabe",0.007,0.062,0.041,0.017,0.168
"P48","Muy buena",0.137,0.09,0.201,0.227,0.053
"P48","Buena",0.098,0.221,0.198,0.149,0.083
"P48","Ni buena ni mala",0.232,0.311,0.356,0.309,0.348
"P48","Mala",0.245,0.22,0.152,0.133,0.267
"P48","Muy mala",0.282,0.112,0.09,0.182,0.118
"P48","No sabe",0.006,0.046,0.003,0,0.131
"P49","Muy buena",0.221,0.16,0.315,0.358,0.106
"P49","Buena",0.028,0.135,0.163,0.089,0.054
"P49","Ni buena ni mala",0.101,0.082,0.125,0.104,0.215
"P49","Mala",0.168,0.274,0.191,0.172,0.244
"P49","Muy mala",0.434,0.346,0.206,0.277,0.357
"P49","No sabe",0.048,0.003,0,0,0.024
"P50","Muy buena",0.214,0.091,0.078,0.229,0.049
"P50","Buena",0.232,0.212,0.14,0.181,0.138
"P50","Ni buena ni mala",0.232,0.229,0.184,0.085,0.357
"P50","Mala",0.148,0.259,0.249,0.178,0.261
"P50","Muy mala",0.121,0.196,0.349,0.327,0.125
"P50","No sabe",0.053,0.013,0,0,0.07
"P51","Muy buena",0.145,0.096,0.093,0.314,0.081
"P51","Buena",0.111,0.156,0.241,0.119,0.135
"P51","Ni buena ni mala",0.054,0.138,0.204,0.14,0.201
"P51","Mala",0.213,0.235,0.22,0.106,0.294
"P51","Muy mala",0.459,0.369,0.242,0.321,0.258
"P51","No sabe",0.018,0.006,0,0,0.031
"P52","Muy buena",0.588,0.34,0.245,0.302,0.255
"P52","Buena",0.091,0.19,0.122,0.121,0.21
"P52","Ni buena ni mala",0.134,0.118,0.092,0.044,0.225
"P52","Mala",0.097,0.146,0.168,0.103,0.172
"P52","Muy mala",0.09,0.203,0.373,0.43,0.118
"P52","No sabe",0,0.003,0,0,0.02
"P53","Muy buena",0.365,0.316,0.211,0.315,0.132
"P53","Buena",0.28,0.228,0.166,0.084,0.113
"P53","Ni buena ni mala",0.149,0.118,0.097,0.063,0.428
"P53","Mala",0.146,0.167,0.153,0.098,0.116
"P53","Muy mala",0.06,0.167,0.373,0.431,0.191
"P53","No sabe",0,0.004,0,0.009,0.02
"P54","Muy buena",0.26,0.179,0.139,0.203,0.077
"P54","Buena",0.144,0.194,0.125,0.107,0.119
"P54","Ni buena ni mala",0.337,0.317,0.209,0.099,0.354
"P54","Mala",0.115,0.164,0.13,0.083,0.216
"P54","Muy mala",0.104,0.129,0.379,0.494,0.186
"P54","No sabe",0.04,0.017,0.018,0.014,0.048
"P55","Muy buena",0.478,0.398,0.191,0.282,0.34
"P55","Buena",0.114,0.184,0.176,0.112,0.034
"P55","Ni buena ni mala",0.161,0.155,0.138,0.085,0.36
"P55","Mala",0.135,0.123,0.106,0.097,0.075
"P55","Muy mala",0.094,0.118,0.38,0.424,0.111
"P55","No sabe",0.018,0.022,0.009,0,0.08
"P56","Muy buena",0.162,0.111,0.062,0.131,0.074
"P56","Buena",0.17,0.232,0.197,0.172,0.054
"P56","Ni buena ni mala",0.382,0.437,0.326,0.258,0.578
"P56","Mala",0.149,0.14,0.202,0.149,0.14
"P56","Muy mala",0.107,0.054,0.19,0.281,0.043
"P56","No sabe",0.03,0.026,0.023,0.009,0.111
"P57","Muy buena",0.24,0.177,0.051,0.244,0.033
"P57","Buena",0.289,0.263,0.134,0.097,0.157
"P57","Ni buena ni mala",0.244,0.197,0.274,0.079,0.419
"P57","Mala",0.108,0.159,0.119,0.131,0.134
"P57","Muy mala",0.1,0.171,0.402,0.44,0.16
"P57","No sabe",0.019,0.033,0.02,0.009,0.097
"P58","Muy buena",0.223,0.166,0.07,0.185,0.057
"P58","Buena",0.202,0.235,0.105,0.116,0.112
"P58","Ni buena ni mala",0.364,0.277,0.375,0.209,0.391
"P58","Mala",0.114,0.133,0.13,0.08,0.145
"P58","Muy mala",0.043,0.105,0.269,0.379,0.075
"P58","No sabe",0.054,0.084,0.051,0.031,0.22
