"var","categoria","Correcta","Incorrecta","No sabe"
"P28","No sabe",0.062,0.023,0.34
"P30","Si",0.758,0.664,0.464
"P30","No",0.209,0.307,0.222
"P30","No sabe",0.033,0.029,0.314
"P31","Adecuada",0.089,0.473,0.088
"P31","Insuficiente",0.076,0.118,0.138
"P31","Excesiva",0.286,0.171,0.256
"P31","Inaceptable",0.513,0.226,0.304
"P31","No sabe",0.036,0.012,0.214
"P33","Si",0.293,0.703,0.426
"P33","No",0.594,0.237,0.252
"P33","No sabe",0.113,0.06,0.322
"P34","Si",0.707,0.302,0.394
"P34","No",0.218,0.617,0.27
"P34","No sabe",0.075,0.081,0.336
"P35","Inseguridad y narcotráfico",0.674,0.357,0.216
"P35","Altos impuestos y tarifas",0.161,0.494,0.259
"P35","Educación y estado de las escuelas",0.058,0.049,0.403
"P35","Inflación",0.04,0.032,0.061
"P35","Estado de la salud",0.029,0.013,0.006
"P35","Corrupción",0.029,0.046,0.027
"P35","Pobreza",0.004,0.005,0.007
"P35","Medio ambiente, incendios y contaminación",0.001,0,0
"P35","Falta de trabajo",0.003,0.002,0
"P35","No sabe",0.001,0.002,0.021
"P39","Muy buena",0.13,0.062,0.006
"P39","Buena",0.331,0.256,0.245
"P39","Ni buena ni mala",0.309,0.325,0.557
"P39","Mala",0.176,0.267,0.114
"P39","Muy mala",0.048,0.074,0.021
"P39","No sabe",0.006,0.016,0.057
"P40","Peor",0.241,0.479,0.321
"P40","Igual",0.495,0.399,0.398
"P40","Mejor",0.176,0.061,0.16
"P40","No sabe",0.088,0.061,0.121
"P41","Peor",0.231,0.458,0.286
"P41","Igual",0.33,0.331,0.247
"P41","Mejor",0.357,0.104,0.243
"P41","No sabe",0.082,0.107,0.224
"P42","El gobierno de Javier Milei",0.234,0.466,0.327
"P42","El gobierno de Alberto Fernández",0.628,0.382,0.432
"P42","Ambos",0.117,0.147,0.188
"P42","No sabe",0.021,0.005,0.053
"P43","Javier Milei",0.544,0.351,0.344
"P43","Los gobernadores",0.38,0.583,0.446
"P43","No sabe",0.076,0.066,0.21
"P44","Muy buena",0.267,0.109,0.143
"P44","Buena",0.333,0.253,0.247
"P44","Ni buena ni mala",0.26,0.369,0.414
"P44","Mala",0.092,0.19,0.084
"P44","Muy mala",0.045,0.076,0.033
"P44","No sabe",0.003,0.003,0.079
"P45","Muy buena",0.125,0.117,0.088
"P45","Buena",0.195,0.269,0.179
"P45","Ni buena ni mala",0.347,0.281,0.449
"P45","Mala",0.193,0.177,0.139
"P45","Muy mala",0.117,0.127,0.047
"P45","No sabe",0.023,0.029,0.098
"P46","Muy buena",0.082,0.075,0.085
"P46","Buena",0.128,0.196,0.165
"P46","Ni buena ni mala",0.249,0.169,0.317
"P46","Mala",0.35,0.344,0.259
"P46","Muy mala",0.183,0.214,0.103
"P46","No sabe",0.008,0.002,0.071
"P47","Muy buena",0.088,0.057,0.075
"P47","Buena",0.104,0.152,0.178
"P47","Ni buena ni mala",0.428,0.385,0.444
"P47","Mala",0.194,0.2,0.134
"P47","Muy mala",0.137,0.167,0.076
"P47","No sabe",0.049,0.039,0.093
"P48","Muy buena",0.134,0.179,0.087
"P48","Buena",0.151,0.25,0.145
"P48","Ni buena ni mala",0.313,0.255,0.443
"P48","Mala",0.232,0.187,0.13
"P48","Muy mala",0.156,0.112,0.101
"P48","No sabe",0.014,0.017,0.094
"P49","Muy buena",0.162,0.347,0.191
"P49","Buena",0.098,0.16,0.112
"P49","Ni buena ni mala",0.088,0.128,0.134
"P49","Mala",0.28,0.137,0.242
"P49","Muy mala",0.369,0.228,0.287
"P49","No sabe",0.003,0,0.034
"P50","Muy buena",0.149,0.084,0.065
"P50","Buena",0.189,0.188,0.16
"P50","Ni buena ni mala",0.238,0.169,0.218
"P50","Mala",0.215,0.231,0.295
"P50","Muy mala",0.198,0.328,0.207
"P50","No sabe",0.011,0,0.055
"P51","Muy buena",0.126,0.13,0.097
"P51","Buena",0.098,0.287,0.154
"P51","Ni buena ni mala",0.12,0.173,0.206
"P51","Mala",0.247,0.165,0.247
"P51","Muy mala",0.402,0.245,0.278
"P51","No sabe",0.007,0,0.018
"P52","Muy buena",0.422,0.248,0.227
"P52","Buena",0.153,0.131,0.194
"P52","Ni buena ni mala",0.087,0.097,0.201
"P52","Mala",0.136,0.166,0.13
"P52","Muy mala",0.201,0.358,0.234
"P52","No sabe",0.001,0,0.014
"P53","Muy buena",0.364,0.192,0.197
"P53","Buena",0.197,0.184,0.182
"P53","Ni buena ni mala",0.129,0.086,0.234
"P53","Mala",0.141,0.16,0.15
"P53","Muy mala",0.168,0.375,0.224
"P53","No sabe",0.001,0.003,0.013
"P54","Muy buena",0.208,0.152,0.106
"P54","Buena",0.164,0.135,0.155
"P54","Ni buena ni mala",0.307,0.189,0.306
"P54","Mala",0.132,0.147,0.17
"P54","Muy mala",0.165,0.375,0.212
"P54","No sabe",0.024,0.002,0.051
"P55","Muy buena",0.444,0.227,0.22
"P55","Buena",0.148,0.176,0.13
"P55","Ni buena ni mala",0.131,0.117,0.304
"P55","Mala",0.109,0.145,0.068
"P55","Muy mala",0.153,0.335,0.21
"P55","No sabe",0.015,0,0.068
"P56","Muy buena",0.148,0.054,0.066
"P56","Buena",0.218,0.217,0.099
"P56","Ni buena ni mala",0.385,0.32,0.53
"P56","Mala",0.143,0.198,0.139
"P56","Muy mala",0.079,0.203,0.088
"P56","No sabe",0.027,0.008,0.078
"P57","Muy buena",0.203,0.112,0.036
"P57","Buena",0.236,0.178,0.155
"P57","Ni buena ni mala",0.211,0.185,0.364
"P57","Mala",0.129,0.161,0.112
"P57","Muy mala",0.193,0.354,0.259
"P57","No sabe",0.028,0.01,0.074
"P58","Muy buena",0.164,0.15,0.042
"P58","Buena",0.223,0.129,0.113
"P58","Ni buena ni mala",0.301,0.275,0.434
"P58","Mala",0.133,0.122,0.114
"P58","Muy mala",0.1,0.29,0.148
"P58","No sabe",0.079,0.034,0.149
