"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P10","Mala",0.036,0.072,0.107,0.407,0.234
"P10","Muy mala",0.033,0.021,0.027,0.07,0.415
"P11","Ha aumentado significativamente",0.444,0.102,0.042,0.035,0.021
"P11","Ha aumentado ligeramente",0.311,0.347,0.181,0.091,0.066
"P11","Se mantiene igual",0.141,0.367,0.421,0.26,0.138
"P11","Ha disminuido ligeramente",0.044,0.128,0.259,0.37,0.198
"P11","Ha disminuido significativamente",0.06,0.056,0.097,0.244,0.577
"P12","Muy baja",0.243,0.055,0.068,0.091,0.035
"P12","Baja",0.078,0.094,0.073,0.04,0.028
"P12","Moderada",0.149,0.173,0.154,0.048,0.046
"P12","Alta",0.313,0.361,0.27,0.225,0.047
"P12","Muy alta",0.217,0.317,0.435,0.596,0.844
"P13","Muy bajas",0.243,0.044,0.035,0.044,0.054
"P13","Bajas",0.081,0.108,0.122,0.085,0.084
"P13","Adecuadas",0.367,0.437,0.282,0.211,0.139
"P13","Altas",0.223,0.284,0.313,0.378,0.262
"P13","Muy altas",0.086,0.127,0.248,0.282,0.461
"P14","No, ninguna dificultad",0.694,0.484,0.279,0.156,0.126
"P14","Alguna dificultad ocasional",0.166,0.292,0.389,0.346,0.246
"P14","Sí, dificultades frecuentes",0.14,0.224,0.332,0.498,0.628
"P15","Sí, absolutamente",0.756,0.613,0.462,0.373,0.339
"P15","Sí, en cierta medida",0.151,0.275,0.356,0.355,0.298
"P15","No, en absoluto",0.093,0.112,0.182,0.272,0.363
"P16","Reducir la inflación",0.453,0.454,0.462,0.416,0.369
"P16","Implementar reformas fiscales",0.101,0.122,0.095,0.081,0.053
"P16","Establecer políticas de control de precios",0.301,0.236,0.183,0.115,0.09
"P16","Reducir el gasto público",0.075,0.135,0.199,0.326,0.423
"P16","Estimular la inversión extranjera",0.029,0.035,0.046,0.047,0.047
"P16","Aumentar los subsidios a los servicios públicos",0.041,0.018,0.015,0.015,0.018
"P17","Fomentar la competencia entre proveedores",0.282,0.228,0.314,0.368,0.379
"P17","Incrementar la inversión en infraestructura",0.248,0.228,0.207,0.187,0.183
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.195,0.235,0.192,0.129,0.085
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.275,0.309,0.287,0.316,0.353
"P18","Muy positiva",0.458,0.274,0.166,0.112,0.074
"P18","Positiva",0.198,0.306,0.225,0.15,0.12
"P18","Neutral",0.171,0.248,0.367,0.395,0.372
"P18","Algo negativa",0.09,0.069,0.094,0.117,0.153
"P18","Negativa",0.044,0.037,0.053,0.105,0.192
"P18","No sabe",0.039,0.066,0.095,0.121,0.089
"P19","Muy positivo",0.464,0.216,0.116,0.064,0.055
"P19","Positivo",0.246,0.306,0.216,0.141,0.088
"P19","Neutral",0.141,0.298,0.39,0.422,0.377
"P19","Algo negativo",0.045,0.039,0.101,0.136,0.141
"P19","Negativo",0.054,0.049,0.063,0.098,0.199
"P19","No sabe",0.05,0.092,0.114,0.139,0.14
"P20","Muy positivo",0.401,0.151,0.078,0.051,0.031
"P20","Positivo",0.159,0.286,0.184,0.107,0.079
"P20","Neutral",0.289,0.404,0.482,0.504,0.458
"P20","Algo negativo",0.029,0.038,0.101,0.116,0.092
"P20","Negativo",0.061,0.032,0.051,0.081,0.207
"P20","No sabe",0.061,0.089,0.104,0.141,0.133
"P21","Muy positiva",0.655,0.528,0.326,0.199,0.159
"P21","Positiva",0.149,0.236,0.242,0.227,0.179
"P21","Neutral",0.097,0.134,0.257,0.308,0.322
"P21","Algo negativa",0.01,0.047,0.075,0.103,0.081
"P21","Negativa",0.055,0.025,0.055,0.114,0.214
"P21","No sabe",0.034,0.03,0.045,0.049,0.045
"P22","Muy positivo",0.632,0.552,0.337,0.208,0.151
"P22","Positivo",0.136,0.238,0.28,0.241,0.195
"P22","Neutral",0.097,0.102,0.199,0.283,0.297
"P22","Algo negativo",0.055,0.043,0.077,0.11,0.104
"P22","Negativo",0.058,0.032,0.065,0.112,0.209
"P22","No sabe",0.022,0.033,0.042,0.046,0.044
"P23","Muy positivo",0.602,0.451,0.301,0.194,0.145
"P23","Positivo",0.132,0.265,0.301,0.266,0.205
"P23","Neutral",0.139,0.197,0.238,0.323,0.345
"P23","Algo negativo",0.047,0.024,0.065,0.077,0.076
"P23","Negativo",0.045,0.028,0.043,0.097,0.189
"P23","No sabe",0.035,0.035,0.052,0.043,0.04
"P24","Muy positiva",0.547,0.346,0.186,0.116,0.075
"P24","Positiva",0.237,0.335,0.282,0.182,0.151
"P24","Neutral",0.123,0.177,0.288,0.342,0.329
"P24","Algo negativa",0.023,0.032,0.082,0.14,0.128
"P24","Negativa",0.046,0.049,0.067,0.147,0.245
"P24","No sabe",0.024,0.061,0.095,0.073,0.072
"P25","Muy positivo",0.495,0.311,0.146,0.098,0.058
"P25","Positivo",0.221,0.344,0.269,0.161,0.122
"P25","Neutral",0.132,0.159,0.329,0.324,0.34
"P25","Algo negativo",0.079,0.062,0.095,0.15,0.133
"P25","Negativo",0.052,0.055,0.071,0.164,0.261
"P25","No sabe",0.021,0.069,0.09,0.103,0.086
"P26","Muy positivo",0.41,0.273,0.138,0.077,0.056
"P26","Positivo",0.226,0.286,0.241,0.163,0.122
"P26","Neutral",0.245,0.27,0.383,0.396,0.397
"P26","Algo negativo",0.034,0.045,0.073,0.123,0.133
"P26","Negativo",0.053,0.054,0.074,0.106,0.221
"P26","No sabe",0.032,0.072,0.091,0.135,0.071
"P27","Muy positiva",0.691,0.563,0.326,0.213,0.234
"P27","Positiva",0.125,0.186,0.27,0.288,0.171
"P27","Neutral",0.1,0.14,0.233,0.249,0.263
"P27","Algo negativa",0.041,0.046,0.063,0.069,0.098
"P27","Negativa",0.032,0.038,0.048,0.112,0.191
"P27","No sabe",0.011,0.027,0.06,0.069,0.043
"P28","Muy positivo",0.617,0.537,0.313,0.225,0.22
"P28","Positivo",0.177,0.214,0.282,0.287,0.163
"P28","Neutral",0.116,0.135,0.222,0.225,0.262
"P28","Algo negativo",0.031,0.042,0.083,0.096,0.112
"P28","Negativo",0.046,0.042,0.046,0.107,0.191
"P28","No sabe",0.013,0.03,0.054,0.06,0.052
"P29","Muy positivo",0.605,0.46,0.288,0.241,0.187
"P29","Positivo",0.138,0.206,0.224,0.222,0.164
"P29","Neutral",0.185,0.229,0.33,0.328,0.354
"P29","Algo negativo",0.023,0.032,0.056,0.067,0.063
"P29","Negativo",0.029,0.045,0.036,0.088,0.177
"P29","No sabe",0.02,0.028,0.066,0.054,0.055
