"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P19","Algo negativo",0.096,0.072,0.074,0.133,0.185,0.048
"P19","Negativo",0.072,0.083,0.069,0.167,0.099,0.023
"P19","No sabe",0.111,0.129,0.077,0.138,0.138,0.227
"P20","Muy positivo",0.111,0.093,0.164,0.028,0.105,0.242
"P20","Positivo",0.179,0.27,0.198,0.079,0.102,0.076
"P20","Neutral",0.451,0.403,0.388,0.53,0.416,0.335
"P20","Algo negativo",0.086,0.06,0.056,0.098,0.166,0.155
"P20","Negativo",0.066,0.064,0.098,0.133,0.107,0
"P20","No sabe",0.107,0.11,0.096,0.132,0.104,0.192
"P21","Muy positiva",0.367,0.336,0.498,0.122,0.291,0.498
"P21","Positiva",0.228,0.269,0.184,0.194,0.303,0.105
"P21","Neutral",0.243,0.218,0.167,0.333,0.219,0.163
"P21","Algo negativa",0.069,0.05,0.036,0.123,0.033,0
"P21","Negativa",0.056,0.084,0.063,0.18,0.137,0.185
"P21","No sabe",0.037,0.043,0.052,0.048,0.017,0.049
"P22","Muy positivo",0.382,0.325,0.513,0.119,0.229,0.534
"P22","Positivo",0.236,0.282,0.217,0.213,0.318,0.192
"P22","Neutral",0.212,0.209,0.119,0.292,0.231,0.082
"P22","Algo negativo",0.068,0.074,0.053,0.137,0.044,0.082
"P22","Negativo",0.06,0.086,0.048,0.2,0.16,0.062
"P22","No sabe",0.042,0.024,0.05,0.039,0.018,0.048
"P23","Muy positivo",0.35,0.293,0.438,0.106,0.168,0.504
"P23","Positivo",0.251,0.298,0.242,0.232,0.37,0.127
"P23","Neutral",0.248,0.27,0.156,0.379,0.25,0.175
"P23","Algo negativo",0.051,0.063,0.049,0.079,0.066,0.137
"P23","Negativo",0.061,0.05,0.051,0.166,0.088,0.007
"P23","No sabe",0.039,0.026,0.064,0.038,0.058,0.05
"P24","Muy positiva",0.239,0.197,0.351,0.052,0.087,0.329
"P24","Positiva",0.269,0.318,0.262,0.129,0.286,0.174
"P24","Neutral",0.261,0.264,0.202,0.351,0.344,0.213
"P24","Algo negativa",0.08,0.101,0.064,0.128,0.085,0.121
"P24","Negativa",0.076,0.068,0.064,0.256,0.133,0.018
"P24","No sabe",0.075,0.052,0.057,0.084,0.065,0.145
"P25","Muy positivo",0.215,0.185,0.282,0.045,0.111,0.147
"P25","Positivo",0.272,0.273,0.282,0.094,0.174,0.193
"P25","Neutral",0.27,0.284,0.231,0.319,0.339,0.385
"P25","Algo negativo",0.096,0.113,0.058,0.162,0.131,0.064
"P25","Negativo",0.078,0.099,0.064,0.266,0.142,0.121
"P25","No sabe",0.069,0.046,0.083,0.114,0.103,0.09
"P26","Muy positivo",0.204,0.145,0.228,0.04,0.056,0.133
"P26","Positivo",0.239,0.208,0.257,0.102,0.198,0.353
"P26","Neutral",0.325,0.398,0.295,0.42,0.425,0.396
"P26","Algo negativo",0.076,0.104,0.073,0.118,0.126,0
"P26","Negativo",0.063,0.08,0.066,0.221,0.114,0.049
"P26","No sabe",0.093,0.065,0.081,0.099,0.081,0.069
"P27","Muy positiva",0.405,0.363,0.453,0.187,0.395,0.504
"P27","Positiva",0.224,0.283,0.213,0.227,0.214,0.075
"P27","Neutral",0.198,0.161,0.184,0.281,0.186,0.305
"P27","Algo negativa",0.061,0.047,0.065,0.093,0.049,0.01
"P27","Negativa",0.065,0.092,0.04,0.163,0.108,0.054
"P27","No sabe",0.047,0.054,0.045,0.049,0.048,0.052
"P28","Muy positivo",0.398,0.34,0.414,0.187,0.379,0.422
"P28","Positivo",0.233,0.306,0.225,0.229,0.243,0.117
"P28","Neutral",0.189,0.129,0.221,0.25,0.194,0.246
"P28","Algo negativo",0.06,0.102,0.055,0.123,0.056,0.11
"P28","Negativo",0.071,0.081,0.038,0.165,0.082,0.057
"P28","No sabe",0.049,0.042,0.047,0.046,0.046,0.048
"P29","Muy positivo",0.364,0.33,0.371,0.172,0.442,0.292
"P29","Positivo",0.201,0.202,0.209,0.213,0.126,0.095
"P29","Neutral",0.284,0.297,0.293,0.357,0.176,0.415
"P29","Algo negativo",0.042,0.056,0.039,0.077,0.066,0.019
"P29","Negativo",0.061,0.078,0.039,0.138,0.068,0.103
"P29","No sabe",0.048,0.037,0.049,0.043,0.122,0.076
