"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.218,0.174,0.188,0.154,0.106
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.237,0.283,0.305,0.333,0.345
"P18","Muy positiva",0.424,0.262,0.17,0.123,0.075
"P18","Positiva",0.202,0.285,0.234,0.151,0.124
"P18","Neutral",0.192,0.261,0.357,0.381,0.384
"P18","Algo negativa",0.057,0.08,0.1,0.137,0.127
"P18","Negativa",0.08,0.048,0.057,0.078,0.192
"P18","No sabe",0.045,0.064,0.082,0.13,0.098
"P19","Muy positivo",0.396,0.234,0.099,0.086,0.056
"P19","Positivo",0.28,0.304,0.215,0.133,0.087
"P19","Neutral",0.141,0.288,0.396,0.437,0.368
"P19","Algo negativo",0.062,0.054,0.109,0.125,0.126
"P19","Negativo",0.081,0.038,0.067,0.08,0.21
"P19","No sabe",0.04,0.082,0.114,0.139,0.153
"P20","Muy positivo",0.342,0.167,0.076,0.05,0.037
"P20","Positivo",0.22,0.252,0.196,0.098,0.08
"P20","Neutral",0.295,0.417,0.481,0.503,0.452
"P20","Algo negativo",0.044,0.038,0.092,0.112,0.105
"P20","Negativo",0.052,0.042,0.049,0.086,0.196
"P20","No sabe",0.047,0.084,0.106,0.151,0.13
"P21","Muy positiva",0.61,0.469,0.329,0.229,0.179
"P21","Positiva",0.179,0.259,0.246,0.234,0.14
"P21","Neutral",0.132,0.156,0.264,0.301,0.292
"P21","Algo negativa",0.015,0.043,0.061,0.077,0.132
"P21","Negativa",0.047,0.046,0.056,0.095,0.217
"P21","No sabe",0.017,0.027,0.044,0.064,0.04
"P22","Muy positivo",0.652,0.489,0.339,0.232,0.161
"P22","Positivo",0.177,0.267,0.271,0.239,0.172
"P22","Neutral",0.082,0.116,0.231,0.265,0.27
"P22","Algo negativo",0.02,0.047,0.06,0.111,0.137
"P22","Negativo",0.044,0.055,0.055,0.102,0.219
"P22","No sabe",0.025,0.026,0.044,0.051,0.041
"P23","Muy positivo",0.579,0.414,0.309,0.207,0.154
"P23","Positivo",0.212,0.32,0.269,0.261,0.179
"P23","Neutral",0.091,0.178,0.262,0.329,0.344
"P23","Algo negativo",0.047,0.03,0.056,0.067,0.093
"P23","Negativo",0.027,0.039,0.05,0.088,0.189
"P23","No sabe",0.044,0.019,0.054,0.048,0.041
"P24","Muy positiva",0.523,0.311,0.182,0.14,0.089
"P24","Positiva",0.234,0.345,0.275,0.191,0.139
"P24","Neutral",0.101,0.215,0.287,0.324,0.328
"P24","Algo negativa",0.045,0.038,0.094,0.095,0.148
"P24","Negativa",0.048,0.042,0.093,0.133,0.235
"P24","No sabe",0.049,0.049,0.069,0.117,0.061
"P25","Muy positivo",0.441,0.274,0.181,0.102,0.058
"P25","Positivo",0.278,0.343,0.246,0.183,0.109
"P25","Neutral",0.102,0.213,0.309,0.319,0.331
"P25","Algo negativo",0.085,0.058,0.09,0.128,0.167
"P25","Negativo",0.044,0.064,0.097,0.141,0.249
"P25","No sabe",0.05,0.048,0.077,0.127,0.086
"P26","Muy positivo",0.412,0.248,0.143,0.086,0.056
"P26","Positivo",0.299,0.294,0.219,0.178,0.1
"P26","Neutral",0.185,0.295,0.393,0.372,0.41
"P26","Algo negativo",0.032,0.04,0.085,0.119,0.13
"P26","Negativo",0.036,0.061,0.064,0.122,0.217
"P26","No sabe",0.036,0.062,0.096,0.123,0.087
"P27","Muy positiva",0.724,0.499,0.341,0.243,0.222
"P27","Positiva",0.115,0.244,0.239,0.247,0.212
"P27","Neutral",0.083,0.144,0.237,0.262,0.246
"P27","Algo negativa",0.021,0.04,0.064,0.076,0.103
"P27","Negativa",0.043,0.045,0.065,0.104,0.167
"P27","No sabe",0.014,0.028,0.054,0.068,0.05
"P28","Muy positivo",0.672,0.464,0.327,0.243,0.226
"P28","Positivo",0.163,0.247,0.249,0.277,0.198
"P28","Neutral",0.075,0.168,0.224,0.212,0.254
"P28","Algo negativo",0.025,0.056,0.071,0.106,0.107
"P28","Negativo",0.047,0.047,0.07,0.1,0.163
"P28","No sabe",0.018,0.018,0.059,0.062,0.052
"P29","Muy positivo",0.663,0.443,0.296,0.201,0.209
"P29","Positivo",0.138,0.206,0.218,0.224,0.173
"P29","Neutral",0.115,0.266,0.321,0.358,0.329
"P29","Algo negativo",0.02,0.028,0.044,0.078,0.072
"P29","Negativo",0.04,0.042,0.053,0.073,0.169
"P29","No sabe",0.024,0.015,0.068,0.066,0.048
