"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerable","Realizar auditorías periódicas a las empresas de servicios públicos"
"P15","Sí, absolutamente",0.383,0.422,0.569,0.496
"P15","Sí, en cierta medida",0.295,0.38,0.287,0.305
"P15","No, en absoluto",0.322,0.198,0.144,0.199
"P16","Reducir la inflación",0.544,0.388,0.385,0.342
"P16","Implementar reformas fiscales",0.066,0.179,0.069,0.063
"P16","Establecer políticas de control de precios",0.066,0.154,0.364,0.177
"P16","Reducir el gasto público",0.277,0.222,0.11,0.354
"P16","Estimular la inversión extranjera",0.038,0.051,0.032,0.048
"P16","Aumentar los subsidios a los servicios públicos",0.009,0.006,0.04,0.016
"P18","Muy positiva",0.225,0.135,0.176,0.142
"P18","Positiva",0.141,0.352,0.191,0.157
"P18","Neutral",0.339,0.284,0.462,0.312
"P18","Algo negativa",0.073,0.075,0.056,0.19
"P18","Negativa",0.126,0.081,0.04,0.093
"P18","No sabe",0.096,0.073,0.075,0.106
"P19","Muy positivo",0.122,0.127,0.155,0.136
"P19","Positivo",0.139,0.221,0.233,0.194
"P19","Neutral",0.39,0.365,0.37,0.323
"P19","Algo negativo",0.098,0.098,0.103,0.112
"P19","Negativo",0.128,0.097,0.041,0.098
"P19","No sabe",0.123,0.092,0.098,0.137
"P20","Muy positivo",0.085,0.099,0.126,0.096
"P20","Positivo",0.135,0.19,0.193,0.146
"P20","Neutral",0.471,0.453,0.448,0.439
"P20","Algo negativo",0.078,0.081,0.09,0.095
"P20","Negativo",0.112,0.092,0.045,0.09
"P20","No sabe",0.119,0.085,0.098,0.134
"P21","Muy positiva",0.234,0.307,0.436,0.351
"P21","Positiva",0.212,0.252,0.222,0.197
"P21","Neutral",0.315,0.208,0.189,0.243
"P21","Algo negativa",0.082,0.097,0.051,0.062
"P21","Negativa",0.12,0.108,0.057,0.093
"P21","No sabe",0.037,0.028,0.045,0.054
"P22","Muy positivo",0.261,0.291,0.475,0.333
"P22","Positivo",0.212,0.255,0.251,0.232
"P22","Neutral",0.263,0.223,0.147,0.201
"P22","Algo negativo",0.085,0.096,0.052,0.09
"P22","Negativo",0.131,0.116,0.036,0.098
"P22","No sabe",0.048,0.019,0.039,0.046
"P23","Muy positivo",0.234,0.271,0.439,0.283
"P23","Positivo",0.227,0.258,0.273,0.262
"P23","Neutral",0.333,0.262,0.181,0.251
"P23","Algo negativo",0.065,0.083,0.035,0.058
"P23","Negativo",0.093,0.098,0.027,0.101
"P23","No sabe",0.048,0.028,0.045,0.045
"P24","Muy positiva",0.153,0.206,0.31,0.189
"P24","Positiva",0.189,0.255,0.304,0.232
"P24","Neutral",0.321,0.245,0.226,0.281
"P24","Algo negativa",0.097,0.108,0.059,0.096
"P24","Negativa",0.156,0.133,0.043,0.12
"P24","No sabe",0.084,0.053,0.058,0.082
"P25","Muy positivo",0.138,0.158,0.244,0.183
"P25","Positivo",0.154,0.258,0.331,0.209
"P25","Neutral",0.321,0.262,0.226,0.287
"P25","Algo negativo",0.12,0.124,0.068,0.11
"P25","Negativo",0.176,0.132,0.055,0.122
"P25","No sabe",0.091,0.066,0.076,0.089
"P26","Muy positivo",0.138,0.148,0.198,0.145
"P26","Positivo",0.157,0.202,0.318,0.19
"P26","Neutral",0.365,0.371,0.294,0.375
"P26","Algo negativo",0.093,0.107,0.055,0.094
"P26","Negativo",0.154,0.107,0.031,0.104
"P26","No sabe",0.093,0.065,0.104,0.092
"P27","Muy positiva",0.307,0.352,0.452,0.348
"P27","Positiva",0.212,0.227,0.23,0.235
"P27","Neutral",0.252,0.233,0.142,0.206
"P27","Algo negativa",0.075,0.064,0.056,0.067
"P27","Negativa",0.104,0.097,0.056,0.092
"P27","No sabe",0.05,0.027,0.064,0.052
"P28","Muy positivo",0.324,0.325,0.405,0.329
"P28","Positivo",0.213,0.258,0.25,0.238
"P28","Neutral",0.225,0.22,0.145,0.211
"P28","Algo negativo",0.08,0.066,0.079,0.09
"P28","Negativo",0.106,0.099,0.064,0.086
"P28","No sabe",0.052,0.032,0.057,0.046
"P29","Muy positivo",0.297,0.322,0.384,0.289
"P29","Positivo",0.192,0.185,0.211,0.213
"P29","Neutral",0.319,0.302,0.239,0.324
"P29","Algo negativo",0.055,0.054,0.05,0.05
"P29","Negativo",0.083,0.086,0.079,0.073
"P29","No sabe",0.054,0.051,0.037,0.051
