"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P12","Moderada",0.077,0.098,0.212,0.092,0.033
"P12","Alta",0.097,0.203,0.286,0.343,0.066
"P12","Muy alta",0.365,0.524,0.386,0.453,0.809
"P14","No, ninguna dificultad",0.668,0.44,0.419,0.18,0.11
"P14","Alguna dificultad ocasional",0.132,0.441,0.292,0.396,0.231
"P14","Sí, dificultades frecuentes",0.2,0.119,0.289,0.424,0.659
"P15","Sí, absolutamente",0.476,0.292,0.462,0.489,0.48
"P15","Sí, en cierta medida",0.163,0.436,0.358,0.332,0.238
"P15","No, en absoluto",0.361,0.272,0.18,0.179,0.282
"P16","Reducir la inflación",0.501,0.405,0.429,0.434,0.412
"P16","Implementar reformas fiscales",0.115,0.16,0.11,0.061,0.062
"P16","Establecer políticas de control de precios",0.138,0.121,0.211,0.177,0.12
"P16","Reducir el gasto público",0.173,0.277,0.187,0.275,0.331
"P16","Estimular la inversión extranjera",0.04,0.028,0.047,0.041,0.048
"P16","Aumentar los subsidios a los servicios públicos",0.033,0.009,0.016,0.012,0.027
"P17","Fomentar la competencia entre proveedores",0.482,0.352,0.293,0.297,0.342
"P17","Incrementar la inversión en infraestructura",0.192,0.298,0.234,0.185,0.16
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.131,0.166,0.196,0.176,0.111
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.195,0.184,0.277,0.342,0.387
"P18","Muy positiva",0.231,0.195,0.225,0.175,0.096
"P18","Positiva",0.169,0.253,0.256,0.185,0.133
"P18","Neutral",0.272,0.287,0.335,0.349,0.367
"P18","Algo negativa",0.131,0.087,0.08,0.124,0.12
"P18","Negativa",0.147,0.111,0.039,0.067,0.16
"P18","No sabe",0.05,0.067,0.065,0.1,0.124
"P19","Muy positivo",0.249,0.106,0.179,0.131,0.072
"P19","Positivo",0.141,0.165,0.265,0.207,0.104
"P19","Neutral",0.298,0.363,0.364,0.353,0.379
"P19","Algo negativo",0.074,0.118,0.057,0.123,0.129
"P19","Negativo",0.171,0.162,0.04,0.068,0.154
"P19","No sabe",0.067,0.086,0.095,0.118,0.162
"P20","Muy positivo",0.223,0.078,0.135,0.093,0.045
"P20","Positivo",0.133,0.146,0.223,0.179,0.079
"P20","Neutral",0.353,0.474,0.444,0.456,0.475
"P20","Algo negativo",0.07,0.1,0.055,0.093,0.109
"P20","Negativo",0.154,0.112,0.034,0.069,0.15
"P20","No sabe",0.067,0.09,0.109,0.11,0.142
"P21","Muy positiva",0.355,0.198,0.454,0.305,0.235
"P21","Positiva",0.127,0.247,0.244,0.247,0.159
"P21","Neutral",0.288,0.259,0.175,0.257,0.308
"P21","Algo negativa",0.062,0.15,0.038,0.077,0.078
"P21","Negativa",0.139,0.122,0.057,0.068,0.161
"P21","No sabe",0.029,0.024,0.032,0.046,0.059
"P22","Muy positivo",0.321,0.2,0.447,0.326,0.248
"P22","Positivo",0.134,0.212,0.256,0.258,0.211
"P22","Neutral",0.235,0.284,0.156,0.215,0.248
"P22","Algo negativo",0.108,0.125,0.051,0.094,0.083
"P22","Negativo",0.175,0.148,0.06,0.062,0.158
"P22","No sabe",0.027,0.031,0.03,0.045,0.052
"P23","Muy positivo",0.295,0.201,0.387,0.272,0.246
"P23","Positivo",0.119,0.208,0.282,0.289,0.224
"P23","Neutral",0.292,0.377,0.238,0.247,0.271
"P23","Algo negativo",0.086,0.101,0.02,0.074,0.07
"P23","Negativo",0.145,0.086,0.045,0.065,0.14
"P23","No sabe",0.063,0.027,0.028,0.053,0.049
"P24","Muy positiva",0.231,0.152,0.283,0.188,0.142
"P24","Positiva",0.212,0.214,0.289,0.243,0.183
"P24","Neutral",0.223,0.291,0.216,0.312,0.31
"P24","Algo negativa",0.104,0.112,0.064,0.092,0.114
"P24","Negativa",0.176,0.163,0.069,0.091,0.181
"P24","No sabe",0.054,0.068,0.079,0.074,0.07
"P25","Muy positivo",0.259,0.115,0.245,0.166,0.11
"P25","Positivo",0.163,0.222,0.278,0.237,0.156
"P25","Neutral",0.197,0.303,0.234,0.31,0.316
"P25","Algo negativo",0.128,0.131,0.082,0.109,0.125
"P25","Negativo",0.2,0.17,0.075,0.093,0.2
"P25","No sabe",0.053,0.059,0.086,0.085,0.093
"P26","Muy positivo",0.25,0.122,0.208,0.152,0.082
"P26","Positivo",0.137,0.201,0.255,0.202,0.167
"P26","Neutral",0.227,0.379,0.335,0.372,0.386
"P26","Algo negativo",0.128,0.089,0.067,0.099,0.095
"P26","Negativo",0.166,0.144,0.053,0.078,0.174
"P26","No sabe",0.092,0.065,0.082,0.097,0.096
"P27","Muy positiva",0.369,0.335,0.467,0.346,0.24
"P27","Positiva",0.117,0.213,0.236,0.238,0.23
"P27","Neutral",0.196,0.226,0.152,0.227,0.272
"P27","Algo negativa",0.12,0.057,0.067,0.064,0.062
"P27","Negativa",0.123,0.134,0.048,0.073,0.132
"P27","No sabe",0.075,0.035,0.03,0.052,0.064
"P28","Muy positivo",0.345,0.287,0.405,0.347,0.28
"P28","Positivo",0.168,0.209,0.279,0.234,0.217
"P28","Neutral",0.206,0.219,0.155,0.214,0.248
"P28","Algo negativo",0.094,0.085,0.074,0.087,0.074
"P28","Negativo",0.131,0.167,0.057,0.064,0.119
"P28","No sabe",0.056,0.033,0.03,0.054,0.062
"P29","Muy positivo",0.386,0.271,0.376,0.321,0.239
"P29","Positivo",0.133,0.189,0.232,0.19,0.196
"P29","Neutral",0.292,0.334,0.268,0.302,0.335
"P29","Algo negativo",0.041,0.052,0.036,0.068,0.057
"P29","Negativo",0.104,0.126,0.048,0.064,0.107
"P29","No sabe",0.044,0.028,0.04,0.055,0.066
