"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P11","Se mantiene igual",0.147,0.293,0.451,0.318,0.212
"P11","Ha disminuido ligeramente",0.099,0.12,0.215,0.328,0.245
"P11","Ha disminuido significativamente",0.077,0.063,0.047,0.176,0.422
"P12","Muy baja",0.341,0.076,0.072,0.097,0.029
"P12","Baja",0.037,0.124,0.105,0.05,0.028
"P12","Moderada",0.155,0.259,0.181,0.073,0.041
"P12","Alta",0.329,0.381,0.384,0.284,0.071
"P12","Muy alta",0.138,0.16,0.258,0.496,0.831
"P13","Muy bajas",0.294,0.06,0.022,0.042,0.047
"P13","Bajas",0.092,0.092,0.103,0.063,0.118
"P13","Adecuadas",0.285,0.47,0.374,0.26,0.162
"P13","Altas",0.206,0.272,0.331,0.403,0.267
"P13","Muy altas",0.123,0.106,0.17,0.232,0.406
"P14","No, ninguna dificultad",0.572,0.489,0.332,0.207,0.195
"P14","Alguna dificultad ocasional",0.19,0.289,0.339,0.336,0.314
"P14","Sí, dificultades frecuentes",0.238,0.222,0.329,0.457,0.491
"P15","Sí, absolutamente",0.693,0.694,0.637,0.442,0.292
"P15","Sí, en cierta medida",0.191,0.245,0.256,0.332,0.367
"P15","No, en absoluto",0.116,0.061,0.107,0.226,0.341
"P16","Reducir la inflación",0.452,0.437,0.477,0.5,0.361
"P16","Implementar reformas fiscales",0.109,0.116,0.096,0.078,0.078
"P16","Establecer políticas de control de precios",0.25,0.348,0.267,0.135,0.069
"P16","Reducir el gasto público",0.056,0.051,0.082,0.253,0.431
"P16","Estimular la inversión extranjera",0.049,0.03,0.051,0.024,0.053
"P16","Aumentar los subsidios a los servicios públicos",0.084,0.018,0.027,0.01,0.008
"P17","Fomentar la competencia entre proveedores",0.267,0.209,0.223,0.338,0.401
"P17","Incrementar la inversión en infraestructura",0.253,0.186,0.212,0.174,0.212
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.206,0.31,0.247,0.174,0.07
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.274,0.295,0.318,0.314,0.317
"P18","Muy positiva",0.437,0.344,0.251,0.136,0.074
"P18","Positiva",0.195,0.326,0.271,0.192,0.13
"P18","Neutral",0.185,0.211,0.308,0.379,0.388
"P18","Algo negativa",0.081,0.064,0.074,0.115,0.135
"P18","Negativa",0.043,0.01,0.019,0.059,0.174
"P18","No sabe",0.059,0.045,0.077,0.119,0.099
"P19","Muy positivo",0.488,0.298,0.195,0.073,0.041
"P19","Positivo",0.22,0.387,0.294,0.185,0.085
"P19","Neutral",0.127,0.215,0.331,0.414,0.418
"P19","Algo negativo",0.047,0.02,0.074,0.124,0.136
"P19","Negativo",0.048,0.031,0.015,0.058,0.181
"P19","No sabe",0.07,0.049,0.091,0.146,0.139
"P20","Muy positivo",0.431,0.215,0.126,0.055,0.025
"P20","Positivo",0.152,0.319,0.257,0.149,0.076
"P20","Neutral",0.245,0.377,0.437,0.494,0.493
"P20","Algo negativo",0.037,0.016,0.078,0.098,0.11
"P20","Negativo",0.074,0.007,0.012,0.057,0.169
"P20","No sabe",0.061,0.066,0.09,0.147,0.127
"P21","Muy positiva",0.641,0.674,0.505,0.239,0.13
"P21","Positiva",0.142,0.173,0.234,0.289,0.194
"P21","Neutral",0.127,0.088,0.168,0.278,0.335
"P21","Algo negativa",0.004,0.024,0.03,0.092,0.108
"P21","Negativa",0.05,0.02,0.018,0.061,0.185
"P21","No sabe",0.036,0.021,0.045,0.041,0.048
"P22","Muy positivo",0.69,0.668,0.518,0.264,0.118
"P22","Positivo",0.119,0.212,0.286,0.296,0.199
"P22","Neutral",0.08,0.068,0.127,0.232,0.31
"P22","Algo negativo",0.027,0.029,0.024,0.097,0.128
"P22","Negativo",0.045,0.009,0.012,0.058,0.201
"P22","No sabe",0.039,0.014,0.033,0.053,0.044
"P23","Muy positivo",0.626,0.568,0.452,0.256,0.105
"P23","Positivo",0.132,0.255,0.298,0.296,0.225
"P23","Neutral",0.077,0.12,0.167,0.269,0.384
"P23","Algo negativo",0.07,0.009,0.029,0.073,0.083
"P23","Negativo",0.037,0.021,0.007,0.061,0.162
"P23","No sabe",0.058,0.027,0.047,0.045,0.041
"P24","Muy positiva",0.491,0.445,0.312,0.159,0.059
"P24","Positiva",0.288,0.335,0.359,0.233,0.142
"P24","Neutral",0.088,0.114,0.222,0.352,0.338
"P24","Algo negativa",0.036,0.033,0.034,0.097,0.143
"P24","Negativa",0.048,0.015,0.009,0.076,0.238
"P24","No sabe",0.049,0.058,0.064,0.083,0.08
"P25","Muy positivo",0.431,0.411,0.258,0.139,0.044
"P25","Positivo",0.292,0.341,0.388,0.204,0.107
"P25","Neutral",0.14,0.135,0.224,0.335,0.347
"P25","Algo negativo",0.061,0.031,0.059,0.131,0.151
"P25","Negativo",0.035,0.019,0.008,0.099,0.252
"P25","No sabe",0.041,0.063,0.063,0.092,0.099
"P26","Muy positivo",0.407,0.327,0.227,0.134,0.035
"P26","Positivo",0.253,0.336,0.333,0.16,0.118
"P26","Neutral",0.198,0.246,0.308,0.405,0.413
"P26","Algo negativo",0.039,0.017,0.059,0.096,0.131
"P26","Negativo",0.038,0.018,0.004,0.081,0.21
"P26","No sabe",0.065,0.056,0.069,0.124,0.093
"P27","Muy positiva",0.681,0.64,0.46,0.303,0.192
"P27","Positiva",0.147,0.198,0.259,0.238,0.223
"P27","Neutral",0.088,0.084,0.188,0.244,0.271
"P27","Algo negativa",0.041,0.021,0.033,0.085,0.092
"P27","Negativa",0.018,0.017,0.02,0.078,0.165
"P27","No sabe",0.025,0.04,0.04,0.052,0.057
"P28","Muy positivo",0.628,0.598,0.455,0.29,0.187
"P28","Positivo",0.213,0.249,0.262,0.249,0.217
"P28","Neutral",0.09,0.076,0.183,0.238,0.257
"P28","Algo negativo",0.011,0.039,0.036,0.088,0.121
"P28","Negativo",0.021,0.018,0.012,0.075,0.171
"P28","No sabe",0.037,0.02,0.052,0.06,0.047
"P29","Muy positivo",0.629,0.514,0.443,0.251,0.174
"P29","Positivo",0.174,0.231,0.209,0.206,0.189
"P29","Neutral",0.143,0.213,0.269,0.339,0.354
"P29","Algo negativo",0,0.023,0.024,0.068,0.077
"P29","Negativo",0.021,0.009,0.005,0.081,0.146
"P29","No sabe",0.033,0.01,0.05,0.055,0.06
