"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P18","Neutral",0.27,0.359,0.301,0.279,0.38
"P18","Algo negativa",0.085,0.131,0.089,0.095,0.118
"P18","Negativa",0.105,0.058,0.009,0.021,0.142
"P18","No sabe",0.108,0.082,0.037,0.074,0.107
"P19","Muy positivo",0.19,0.17,0.214,0.221,0.068
"P19","Positivo",0.162,0.258,0.304,0.276,0.124
"P19","Neutral",0.319,0.352,0.323,0.287,0.405
"P19","Algo negativo",0.117,0.06,0.063,0.084,0.122
"P19","Negativo",0.116,0.035,0.033,0.031,0.144
"P19","No sabe",0.096,0.125,0.063,0.101,0.137
"P20","Muy positivo",0.213,0.137,0.142,0.157,0.045
"P20","Positivo",0.136,0.227,0.279,0.243,0.095
"P20","Neutral",0.363,0.424,0.428,0.399,0.497
"P20","Algo negativo",0.105,0.076,0.052,0.077,0.095
"P20","Negativo",0.093,0.029,0.036,0.032,0.131
"P20","No sabe",0.09,0.107,0.063,0.092,0.137
"P21","Muy positiva",0.388,0.444,0.469,0.471,0.202
"P21","Positiva",0.18,0.23,0.225,0.245,0.206
"P21","Neutral",0.24,0.167,0.207,0.177,0.299
"P21","Algo negativa",0.076,0.044,0.051,0.039,0.096
"P21","Negativa",0.082,0.027,0.033,0.038,0.147
"P21","No sabe",0.034,0.088,0.015,0.03,0.05
"P22","Muy positivo",0.425,0.445,0.525,0.463,0.198
"P22","Positivo",0.209,0.282,0.216,0.266,0.222
"P22","Neutral",0.228,0.13,0.187,0.143,0.26
"P22","Algo negativo",0.058,0.044,0.037,0.061,0.11
"P22","Negativo",0.037,0.017,0.02,0.032,0.166
"P22","No sabe",0.043,0.082,0.015,0.035,0.044
"P23","Muy positivo",0.369,0.349,0.48,0.4,0.188
"P23","Positivo",0.232,0.32,0.232,0.294,0.234
"P23","Neutral",0.155,0.225,0.182,0.19,0.338
"P23","Algo negativo",0.083,0.036,0.036,0.045,0.073
"P23","Negativo",0.059,0.003,0.045,0.045,0.123
"P23","No sabe",0.102,0.067,0.025,0.026,0.044
"P24","Muy positiva",0.324,0.227,0.304,0.317,0.111
"P24","Positiva",0.199,0.357,0.316,0.307,0.18
"P24","Neutral",0.187,0.292,0.236,0.214,0.324
"P24","Algo negativa",0.125,0.06,0.036,0.048,0.122
"P24","Negativa",0.084,0.026,0.045,0.046,0.184
"P24","No sabe",0.081,0.038,0.063,0.068,0.079
"P25","Muy positivo",0.277,0.204,0.283,0.277,0.089
"P25","Positivo",0.192,0.378,0.293,0.307,0.158
"P25","Neutral",0.193,0.249,0.236,0.232,0.329
"P25","Algo negativo",0.205,0.055,0.065,0.069,0.129
"P25","Negativo",0.057,0.033,0.043,0.05,0.203
"P25","No sabe",0.076,0.081,0.08,0.065,0.092
"P26","Muy positivo",0.287,0.177,0.243,0.229,0.079
"P26","Positivo",0.226,0.399,0.271,0.264,0.141
"P26","Neutral",0.178,0.244,0.289,0.328,0.42
"P26","Algo negativo",0.157,0.019,0.068,0.06,0.105
"P26","Negativo",0.047,0.044,0.059,0.042,0.162
"P26","No sabe",0.105,0.117,0.07,0.077,0.093
"P27","Muy positiva",0.396,0.42,0.456,0.491,0.26
"P27","Positiva",0.154,0.248,0.259,0.23,0.224
"P27","Neutral",0.278,0.15,0.183,0.138,0.253
"P27","Algo negativa",0.05,0.025,0.048,0.049,0.085
"P27","Negativa",0.053,0.046,0.033,0.046,0.132
"P27","No sabe",0.069,0.111,0.021,0.046,0.046
"P28","Muy positivo",0.46,0.373,0.427,0.486,0.238
"P28","Positivo",0.154,0.227,0.28,0.246,0.234
"P28","Neutral",0.195,0.191,0.174,0.134,0.247
"P28","Algo negativo",0.023,0.026,0.054,0.068,0.104
"P28","Negativo",0.068,0.052,0.032,0.03,0.137
"P28","No sabe",0.1,0.131,0.033,0.036,0.04
"P29","Muy positivo",0.435,0.354,0.423,0.41,0.23
"P29","Positivo",0.195,0.173,0.225,0.201,0.198
"P29","Neutral",0.255,0.275,0.271,0.265,0.337
"P29","Algo negativo",0.007,0.03,0.02,0.052,0.068
"P29","Negativo",0.072,0.029,0.036,0.028,0.117
"P29","No sabe",0.036,0.139,0.025,0.044,0.05
