"var","categoria","A Santiago López Medrano por Juntos por el Cambio","A Fernando Moreira por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P26","No sabe",0.047,0.053,0.041,0.136,0.204
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.253,0.092,0.074,0,0.09
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.252,0.06,0.049,0.083,0.181
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.271,0.02,0.185,0,0.075
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.059,0.215,0.029,0.098,0.198
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.106,0.563,0.086,0.176,0.147
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.009,0.01,0.432,0.223,0.067
"P27","Solo como gobernador a José Luis Espert",0.014,0,0.127,0.014,0.023
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.003,0.013,0.018,0.406,0.061
"P27","No sabe",0.033,0.027,0,0,0.158
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.457,0.102,0.036,0.214,0.162
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.169,0.657,0.017,0.178,0.217
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.115,0.042,0.593,0,0.093
"P28","Solo como gobernador a José Luis Espert",0.089,0.03,0.175,0,0.121
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.044,0.076,0.021,0.492,0.053
"P28","No sabe",0.126,0.093,0.158,0.116,0.354
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.713,0.077,0.08,0.305,0.197
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.153,0.783,0,0.209,0.244
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.04,0.041,0.639,0.024,0.078
"P29","Solo como gobernador a José Luis Espert",0.011,0.001,0.158,0,0.048
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.011,0.009,0.012,0.447,0.03
"P29","No sabe",0.072,0.089,0.111,0.015,0.403
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.646,0.071,0.057,0.027,0.228
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.148,0.772,0,0.172,0.248
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.043,0.049,0.653,0.124,0.077
"P30","Solo como gobernador a José Luis Espert",0.074,0.02,0.206,0,0.091
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.011,0.009,0,0.631,0.022
"P30","No sabe",0.078,0.079,0.084,0.046,0.334
"P31","Muy buena",0.191,0.096,0,0,0.095
"P31","Buena",0.233,0.07,0.026,0.032,0.061
"P31","Ni buena ni mala",0.355,0.298,0.384,0.198,0.293
"P31","Mala",0.064,0.095,0.127,0.051,0.095
"P31","Muy mala",0.026,0.129,0.088,0.532,0.052
"P31","No sabe",0.131,0.312,0.375,0.187,0.404
"P32","Muy buena",0.082,0.27,0,0,0.08
"P32","Buena",0.091,0.211,0.014,0.256,0.043
"P32","Ni buena ni mala",0.318,0.263,0.264,0.402,0.31
"P32","Mala",0.232,0.056,0.165,0.223,0.089
"P32","Muy mala",0.154,0.042,0.273,0.029,0.138
"P32","No sabe",0.123,0.158,0.284,0.09,0.34
"P33","Muy buena",0.098,0.086,0.005,0.208,0.052
"P33","Buena",0.223,0.061,0.026,0.284,0.042
"P33","Ni buena ni mala",0.287,0.291,0.361,0.124,0.28
"P33","Mala",0.131,0.13,0.09,0.101,0.089
"P33","Muy mala",0.074,0.183,0.23,0.018,0.148
"P33","No sabe",0.187,0.249,0.288,0.265,0.389
"P34","Muy buena",0.115,0.576,0.005,0.057,0.177
"P34","Buena",0.083,0.159,0.083,0.394,0.121
"P34","Ni buena ni mala",0.273,0.092,0.216,0.105,0.284
"P34","Mala",0.184,0.067,0.254,0.152,0.083
"P34","Muy mala",0.294,0.05,0.364,0.265,0.171
"P34","No sabe",0.051,0.056,0.078,0.027,0.164
"P35","Muy buena",0.204,0.132,0.046,0.025,0.086
"P35","Buena",0.174,0.067,0.163,0.372,0.105
"P35","Ni buena ni mala",0.336,0.278,0.246,0.264,0.245
"P35","Mala",0.088,0.173,0.118,0.076,0.12
"P35","Muy mala",0.121,0.22,0.215,0.12,0.183
"P35","No sabe",0.077,0.13,0.212,0.143,0.261
"P36","Muy buena",0.136,0.089,0.03,0,0.072
"P36","Buena",0.056,0.11,0.135,0.285,0.039
"P36","Ni buena ni mala",0.357,0.431,0.257,0.209,0.289
"P36","Mala",0.186,0.083,0.145,0.068,0.066
"P36","Muy mala",0.085,0.072,0.21,0.056,0.12
"P36","No sabe",0.18,0.215,0.223,0.382,0.414
"P37","Muy buena",0.1,0.167,0,0.292,0.065
"P37","Buena",0.062,0.143,0.006,0.317,0.068
"P37","Ni buena ni mala",0.369,0.376,0.297,0.16,0.263
"P37","Mala",0.153,0.089,0.18,0.029,0.07
"P37","Muy mala",0.097,0.046,0.245,0.028,0.138
"P37","No sabe",0.219,0.179,0.272,0.174,0.396
"P38","Muy buena",0.097,0.282,0.005,0,0.121
"P38","Buena",0.073,0.258,0.042,0.3,0.061
"P38","Ni buena ni mala",0.229,0.272,0.194,0.221,0.216
"P38","Mala",0.298,0.088,0.203,0.317,0.143
"P38","Muy mala",0.224,0.022,0.429,0.135,0.211
"P38","No sabe",0.079,0.078,0.127,0.027,0.248
"P39","Que continúe el intendente Fernando Moreira",0.149,0.213,0.006,0.155,0.144
"P39","Que continúe Fernando Moreira pero con mejoras",0.026,0.409,0.06,0.32,0.142
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.151,0.234,0.08,0.039,0.231
"P39","Que cambie el intendente Fernando Moreira",0.674,0.144,0.854,0.486,0.483
"P40","La seguridad",0.145,0.08,0.023,0.019,0.094
"P40","El tránsito",0.018,0.091,0.031,0.255,0.054
"P40","El arreglo de las calles",0.109,0.218,0.05,0.046,0.089
"P40","Los parques y espacios públicos",0.231,0.209,0.307,0.129,0.199
"P40","El sistema de salud",0.021,0.088,0.001,0.053,0.03
"P40","La limpieza de las calles",0.018,0.021,0.038,0,0.051
"P40","El deporte y la cultura",0.049,0.154,0.082,0.084,0.066
"P40","La luminaria",0.086,0.025,0.083,0.248,0.063
"P40","No sabe",0.323,0.114,0.385,0.166,0.354
"P41","La seguridad",0.613,0.452,0.62,0.316,0.616
"P41","El tránsito",0.056,0.06,0.061,0.286,0.029
"P41","El arreglo de las calles",0.097,0.116,0.059,0.026,0.031
"P41","Los parques y espacios públicos",0.039,0.026,0.047,0.039,0.043
"P41","El sistema de salud",0.07,0.067,0.083,0.102,0.06
"P41","La limpieza de las calles",0.029,0.067,0.016,0.033,0.022
"P41","El deporte y la cultura",0.025,0.037,0,0.16,0.048
"P41","La luminaria",0.004,0.013,0,0,0.01
"P41","No sabe",0.067,0.162,0.114,0.038,0.141
"P42","Agua corriente y cloacas",0.345,0.425,0.409,0.068,0.355
"P42","Energía eléctrica",0.199,0.113,0.183,0.355,0.189
"P42","Red de gas natural",0.038,0.064,0,0.054,0.038
"P42","Recolección de residuos",0.214,0.1,0.146,0.377,0.154
"P42","Ninguno",0.204,0.298,0.262,0.146,0.264
"P43","Los robos",0.311,0.3,0.264,0.276,0.461
"P43","El narcotráfico",0.309,0.325,0.402,0.263,0.269
"P43","La ausencia de patrulleros y personal policial",0.238,0.183,0.197,0.198,0.159
"P43","Otro",0.078,0.086,0.112,0.23,0.048
"P43","Ninguno",0.064,0.106,0.025,0.033,0.063
