"var","categoria","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P16","No sabe",0.174,0.073,0.099,0.132,0.198,0.418
"P17","A Andrés Petrillo por Juntos por el Cambio",0.667,0.058,0.263,0.439,0.173,0.176
"P17","A Fernando Moreira por el Frente de Todos",0.147,0.781,0.09,0.122,0.566,0.238
"P17","Al candidato de los liberales libertarios",0.026,0.003,0.537,0.253,0.021,0.144
"P17","Al candidato del Frente de Izquierda",0.014,0.029,0,0,0.136,0.022
"P17","No sabe",0.146,0.129,0.11,0.186,0.104,0.42
"P18","A Andrés Petrillo por Juntos por el Cambio",0.708,0.071,0.263,0.395,0.143,0.138
"P18","A Juan Esleiman por el Frente de Todos",0.099,0.66,0.089,0.095,0.478,0.173
"P18","Al candidato de los liberales libertarios",0.006,0.012,0.532,0.321,0.068,0.11
"P18","Al candidato del Frente de Izquierda",0.014,0.039,0,0,0.13,0.034
"P18","No sabe",0.173,0.218,0.116,0.189,0.181,0.545
"P19","Lo votaría",0.32,0.082,0.089,0.077,0.118,0.116
"P19","Puede que lo vote",0.151,0.126,0.15,0.211,0.11,0.112
"P19","Nunca lo votaría",0.342,0.518,0.425,0.339,0.479,0.332
"P19","No sabe",0.187,0.274,0.336,0.373,0.293,0.44
"P20","Lo votaría",0.079,0.417,0.042,0.106,0.18,0.2
"P20","Puede que lo vote",0.168,0.214,0.092,0.085,0.218,0.087
"P20","Nunca lo votaría",0.566,0.158,0.61,0.539,0.404,0.383
"P20","No sabe",0.187,0.211,0.256,0.27,0.198,0.33
"P21","Lo votaría",0.263,0.122,0.164,0.191,0.029,0.091
"P21","Puede que lo vote",0.207,0.096,0.198,0.206,0.14,0.176
"P21","Nunca lo votaría",0.27,0.558,0.448,0.3,0.524,0.327
"P21","No sabe",0.26,0.224,0.19,0.303,0.307,0.406
"P22","Lo votaría",0.126,0.692,0.102,0.163,0.339,0.261
"P22","Puede que lo vote",0.149,0.15,0.152,0.097,0.208,0.123
"P22","Nunca lo votaría",0.612,0.113,0.647,0.544,0.326,0.392
"P22","No sabe",0.113,0.045,0.099,0.196,0.127,0.224
"P23","Lo votaría",0.253,0.087,0.155,0.152,0.173,0.058
"P23","Puede que lo vote",0.323,0.138,0.142,0.204,0.221,0.146
"P23","Nunca lo votaría",0.187,0.601,0.471,0.404,0.496,0.332
"P23","No sabe",0.237,0.174,0.232,0.24,0.11,0.464
"P24","Lo votaría",0.05,0.179,0.061,0.039,0.228,0.041
"P24","Puede que lo vote",0.226,0.226,0.145,0.078,0.229,0.084
"P24","Nunca lo votaría",0.469,0.348,0.571,0.499,0.356,0.424
"P24","No sabe",0.255,0.247,0.223,0.384,0.187,0.451
"P25","Lo votaría",0.06,0.226,0.029,0.018,0.205,0.036
"P25","Puede que lo vote",0.161,0.178,0.087,0.053,0.297,0.069
"P25","Nunca lo votaría",0.569,0.337,0.575,0.516,0.35,0.415
"P25","No sabe",0.21,0.259,0.309,0.413,0.148,0.48
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.434,0.08,0.166,0.147,0.208,0.139
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.293,0.094,0.134,0.376,0.148,0.284
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.113,0.198,0.08,0.131,0.311,0.178
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.099,0.595,0.087,0.07,0.144,0.115
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.003,0.001,0.5,0.048,0,0.022
"P26","Solo como gobernador a José Luis Espert",0,0.004,0.027,0.131,0,0.003
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0.022,0,0,0,0.081,0.006
"P26","No sabe",0.036,0.028,0.006,0.097,0.108,0.253
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.336,0.014,0.215,0.151,0,0.092
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.356,0.095,0.044,0.075,0,0.095
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.111,0.04,0.218,0.291,0.116,0.167
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.038,0.217,0.016,0.181,0.101,0.174
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.092,0.603,0.098,0.026,0.538,0.087
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.012,0,0.361,0.105,0.096,0.067
"P27","Solo como gobernador a José Luis Espert",0.015,0,0.042,0.171,0,0.002
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.04,0,0,0,0.087,0.091
"P27","No sabe",0,0.031,0.006,0,0.062,0.225
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.779,0.043,0.239,0.413,0.085,0.245
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.048,0.914,0.013,0.085,0.538,0.103
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.019,0.01,0.667,0.095,0.018,0.05
"P29","Solo como gobernador a José Luis Espert",0.013,0.007,0,0.271,0,0.027
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.016,0,0,0.009,0.338,0.002
"P29","No sabe",0.125,0.026,0.081,0.127,0.021,0.573
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.702,0.056,0.248,0.301,0.065,0.222
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.068,0.874,0.008,0.058,0.458,0.18
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.039,0.01,0.665,0.089,0.091,0.049
"P30","Solo como gobernador a José Luis Espert",0.053,0.027,0.032,0.466,0.007,0.046
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.033,0,0,0,0.273,0.017
"P30","No sabe",0.105,0.033,0.047,0.086,0.106,0.486
"P31","Muy buena",0.219,0.11,0.003,0.075,0.012,0.117
"P31","Buena",0.162,0.113,0.071,0.163,0.056,0.058
"P31","Ni buena ni mala",0.371,0.245,0.53,0.321,0.206,0.278
"P31","Mala",0.017,0.136,0.082,0.187,0.095,0.033
"P31","Muy mala",0.039,0.122,0.08,0.027,0.315,0.028
"P31","No sabe",0.192,0.274,0.234,0.227,0.316,0.486
"P32","Muy buena",0.11,0.256,0.001,0.05,0.114,0.1
"P32","Buena",0.109,0.235,0.032,0.019,0.025,0.053
"P32","Ni buena ni mala",0.312,0.275,0.33,0.428,0.276,0.2
"P32","Mala",0.165,0.03,0.173,0.217,0.24,0.18
"P32","Muy mala",0.131,0.056,0.238,0.121,0.155,0.133
"P32","No sabe",0.173,0.148,0.226,0.165,0.19,0.334
"P33","Muy buena",0.123,0.07,0.025,0.033,0.147,0.061
"P33","Buena",0.271,0.058,0.048,0.128,0,0.068
"P33","Ni buena ni mala",0.237,0.31,0.35,0.454,0.146,0.249
"P33","Mala",0.076,0.165,0.146,0.116,0.085,0.056
"P33","Muy mala",0.075,0.187,0.214,0.052,0.202,0.115
"P33","No sabe",0.218,0.21,0.217,0.217,0.42,0.451
"P34","Muy buena",0.125,0.561,0.032,0.078,0.206,0.217
"P34","Buena",0.125,0.174,0.074,0.075,0.128,0.088
"P34","Ni buena ni mala",0.272,0.14,0.253,0.301,0.16,0.148
"P34","Mala",0.189,0.054,0.286,0.168,0.052,0.088
"P34","Muy mala",0.237,0.047,0.311,0.304,0.243,0.248
"P34","No sabe",0.052,0.024,0.044,0.074,0.211,0.211
"P35","Muy buena",0.167,0.135,0.075,0.14,0.236,0.072
"P35","Buena",0.264,0.071,0.09,0.096,0.11,0.105
"P35","Ni buena ni mala",0.264,0.246,0.326,0.394,0.144,0.361
"P35","Mala",0.075,0.193,0.175,0.124,0.077,0.042
"P35","Muy mala",0.109,0.233,0.178,0.114,0.306,0.148
"P35","No sabe",0.121,0.122,0.156,0.132,0.127,0.272
"P36","Muy buena",0.091,0.127,0.055,0.041,0.082,0.067
"P36","Buena",0.1,0.104,0.066,0.021,0.186,0.043
"P36","Ni buena ni mala",0.405,0.376,0.315,0.341,0.25,0.317
"P36","Mala",0.116,0.084,0.212,0.205,0.102,0.078
"P36","Muy mala",0.053,0.087,0.187,0.129,0.108,0.112
"P36","No sabe",0.235,0.222,0.165,0.263,0.272,0.383
"P37","Muy buena",0.066,0.217,0,0,0.19,0.058
"P37","Buena",0.091,0.159,0.015,0,0.202,0.013
"P37","Ni buena ni mala",0.427,0.323,0.276,0.367,0.217,0.327
"P37","Mala",0.151,0.077,0.222,0.149,0.052,0.062
"P37","Muy mala",0.055,0.04,0.253,0.139,0.142,0.141
"P37","No sabe",0.21,0.184,0.234,0.345,0.197,0.399
"P38","Muy buena",0.076,0.272,0.001,0.059,0.2,0.173
"P38","Buena",0.103,0.271,0.014,0.052,0.161,0.045
"P38","Ni buena ni mala",0.244,0.254,0.276,0.205,0.244,0.175
"P38","Mala",0.334,0.052,0.251,0.282,0.242,0.112
"P38","Muy mala",0.134,0.067,0.352,0.315,0.066,0.265
"P38","No sabe",0.109,0.084,0.106,0.087,0.087,0.23
"P39","Que continúe el intendente Fernando Moreira",0.117,0.219,0.019,0.068,0.332,0.157
"P39","Que continúe Fernando Moreira pero con mejoras",0.078,0.398,0.027,0.051,0.215,0.14
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.225,0.226,0.157,0.054,0.129,0.15
"P39","Que cambie el intendente Fernando Moreira",0.58,0.157,0.797,0.827,0.324,0.553
"P40","La seguridad",0.106,0.093,0.059,0.127,0.122,0.085
"P40","El tránsito",0.074,0.081,0.028,0,0.066,0.037
"P40","El arreglo de las calles",0.114,0.208,0.054,0.13,0.072,0.103
"P40","Los parques y espacios públicos",0.233,0.198,0.326,0.187,0.158,0.224
"P40","El sistema de salud",0.021,0.091,0.011,0,0.071,0.02
"P40","La limpieza de las calles",0.025,0.016,0.029,0.048,0.045,0.039
"P40","El deporte y la cultura",0.061,0.109,0.047,0.08,0.218,0.115
"P40","La luminaria",0.112,0.019,0.068,0.132,0.147,0.016
"P40","No sabe",0.254,0.185,0.378,0.296,0.101,0.361
"P41","La seguridad",0.677,0.477,0.58,0.623,0.296,0.553
"P41","El tránsito",0.073,0.072,0.054,0.026,0.068,0.026
"P41","El arreglo de las calles",0.055,0.116,0.12,0.028,0.038,0.075
"P41","Los parques y espacios públicos",0.039,0.026,0.047,0.023,0.051,0.047
"P41","El sistema de salud",0.037,0.086,0.06,0.054,0.136,0.07
"P41","La limpieza de las calles",0.045,0.045,0.012,0.014,0.093,0.04
"P41","El deporte y la cultura",0.004,0.014,0.008,0.073,0.191,0.065
"P41","La luminaria",0,0.004,0,0.036,0,0.022
"P41","No sabe",0.07,0.16,0.119,0.123,0.127,0.102
"P42","Agua corriente y cloacas",0.351,0.421,0.422,0.274,0.282,0.363
"P42","Energía eléctrica",0.22,0.151,0.199,0.096,0.198,0.132
"P42","Red de gas natural",0.046,0.035,0.027,0.082,0.074,0.037
"P42","Recolección de residuos",0.14,0.136,0.16,0.23,0.147,0.196
"P42","Ninguno",0.243,0.257,0.192,0.318,0.299,0.272
"P43","Los robos",0.405,0.316,0.334,0.201,0.333,0.313
"P43","El narcotráfico",0.263,0.294,0.318,0.461,0.234,0.402
"P43","La ausencia de patrulleros y personal policial",0.227,0.22,0.176,0.217,0.166,0.125
"P43","Otro",0.038,0.095,0.1,0.062,0.083,0.117
"P43","Ninguno",0.067,0.075,0.072,0.059,0.184,0.043
