codigo	texto	paleta	color
P27	No	politica	#1f78b4
P28	Muy seguro	politica	#ffff5c
P28	Bastante seguro	politica	#33a02c
P28	Seguro	politica	#e31a1c
P28	Poco seguro	politica	#b15928
P28	Nada seguro	politica	#ffff5c
P28	No hago operaciones online	politica	#1f78b4
P29	Si, he sido víctima	politica	#33a02c
P29	No, no he sido víctima	politica	#e31a1c
P29	No sabe	politica	#b15928
P30	Estafa por redes sociales	politica	#1f78b4
P30	Estafa telefónica	politica	#ffff5c
P30	Correos electrónicos falsos que dirigían a un sitio web fraudulento	politica	#33a02c
P30	Virus	politica	#e31a1c
P30	Otros	politica	#b15928
P31	Informar y asesorar a los usuarios/as sobre esta temática	politica	#1f78b4
P31	Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual	politica	#ffff5c
P31	Generar productos bancarios que aseguren a los clientes ante estas situaciones	politica	#33a02c
P31	No sabe	politica	#e31a1c
P32	Si, he limitado las operaciones	politica	#b15928
P32	He limitado parcialmente	politica	#1f78b4
P32	No, continúo operando igual que siempre	politica	#ffff5c
P33	1	politica	#33a02c
P33	2	politica	#e31a1c
P33	3	politica	#b15928
P33	4	politica	#1f78b4
P33	5	politica	#ffff5c
P33	6	politica	#33a02c
P33	7	politica	#e31a1c
P33	8	politica	#b15928
P33	9	politica	#1f78b4
P34	1	politica	#ffff5c
P34	2	politica	#c9bebd
P34	3	politica	#1f78b4
P34	4	politica	#ffff5c
P34	5	politica	#c9bebd
P34	6	politica	#1f78b4
P34	7	politica	#ffff5c
P34	8	politica	#c9bebd
P34	9	politica	#1f78b4
P35	1	politica	#c9bebd
P35	2	politica	#1f78b4
P35	3	politica	#ffff5c
P35	4	politica	#c9bebd
P35	5	politica	#ffff5c
P35	6	politica	#1f78b4
P35	7	politica	#c9bebd
P35	8	politica	#1f78b4
P35	9	politica	#33a02c
P36	La falta de visión de largo plazo para el desarrollo productivo regional	opinion	#c9bebd
P36	Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional	opinion	#ffff5c
P36	La ausencia de evaluaciones de impacto productivo de los programas a implementar.	opinion	#33a02c
P36	No sabe	opinion	#c9bebd
