"var","categoria","Mayor presencia de policía en las calles","Presencia de Gendarmería en las calles","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares","Más iluminación en espacios públicos","Capacitación a las fuerzas de seguridad para la prevención del delito","Mayor inversión en equipamiento y tecnología ara las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc","Todas las anteriores","No sabe"
"P11","Muy seguro",0.141,0.104,0.115,0.135,0.153,0.103,0.035,0.117
"P11","Algo seguro",0.285,0.303,0.317,0.365,0.334,0.258,0.191,0.283
"P11","Seguro",0.105,0.131,0.185,0.187,0.132,0.149,0.101,0.177
"P11","Algo inseguro",0.219,0.211,0.219,0.192,0.259,0.309,0.254,0.222
"P11","Inseguro",0.15,0.167,0.13,0.097,0.089,0.134,0.276,0.139
"P11","Muy inseguro",0.1,0.084,0.034,0.024,0.033,0.047,0.143,0.062
"P12","Han aumentado en el último mes",0.497,0.476,0.33,0.222,0.249,0.281,0.441,0.237
"P12","Han disminuido en el último mes",0.069,0.08,0.116,0.082,0.052,0.057,0.039,0.057
"P12","Se mantienen igual que el mes anterior",0.322,0.316,0.392,0.485,0.481,0.447,0.366,0.401
"P12","No sabe",0.112,0.128,0.162,0.211,0.218,0.215,0.154,0.305
"P13","Mayor presencia de policía en las calles",0.474,0.189,0.231,0.207,0.162,0.178,0.095,0.114
"P13","Presencia de Gendarmería en las calles",0.171,0.439,0.158,0.084,0.113,0.161,0.093,0.015
"P13","Cámaras de seguridad en el espacio público como calles, plazas, parques, y similares",0.106,0.079,0.257,0.123,0.127,0.1,0.04,0.151
"P13","Más iluminación en espacios públicos",0.067,0.047,0.105,0.35,0.051,0.056,0.039,0.095
"P13","Capacitación a las fuerzas de seguridad para la prevención del delito",0.038,0.049,0.076,0.051,0.419,0.081,0.042,0.066
"P13","Mayor inversión en equipamiento y tecnología para las fuerzas de seguridad, como mejores patrulleros, armas, uniformes, chalecos, elementos de comunicación, etc",0.035,0.04,0.032,0.063,0.051,0.277,0.056,0.056
"P13","Todas las anteriores",0.084,0.144,0.102,0.054,0.045,0.114,0.604,0.168
"P13","No sabe",0.025,0.013,0.039,0.068,0.032,0.033,0.031,0.335
"P15","El Gobierno Nacional",0.203,0.145,0.084,0.076,0.077,0.134,0.087,0.04
"P15","El Gobierno Provincial",0.293,0.386,0.221,0.185,0.249,0.278,0.178,0.193
"P15","El Municipio",0.173,0.115,0.307,0.249,0.196,0.132,0.14,0.192
"P15","Todos los niveles de gobierno son igualmente responsables",0.305,0.328,0.334,0.473,0.328,0.433,0.579,0.465
"P15","No sabe",0.026,0.026,0.054,0.017,0.15,0.023,0.016,0.11
