"var","categoria","En un Centro de Salud","En un hospital","En un sanatorio","En un Consultorio Privado","En un vacunatorio"
"P27","Si, la Polio y la quíntuple",0.154,0.193,0.214,0.146,0.17
"P27","Si, la triple viral y la BCG",0.262,0.248,0.236,0.196,0.203
"P27","Otras",0.039,0.031,0.056,0.111,0.03
"P27","No recuerdo",0.545,0.528,0.494,0.547,0.597
"P28","Si",0.286,0.338,0.432,0.41,0.419
"P28","No",0.714,0.662,0.568,0.59,0.581
"P29","Si",0.18,0.165,0.236,0.539,0.259
"P29","No",0.82,0.835,0.764,0.461,0.741
"P30","Si, Infanrix",0.096,0.093,0.19,0.015,0.215
"P30","Si, Hexaxim",0.048,0.145,0.318,0.573,0.16
"P30","No recuerdo",0.856,0.762,0.492,0.412,0.625
"P31","Si",0.954,0.912,0.935,0.788,0.918
"P31","No",0.046,0.088,0.065,0.212,0.082
"P32","Si",0.498,0.479,0.422,0.324,0.627
"P32","No",0.502,0.521,0.578,0.676,0.373
"P33","Miedo al contagio",0.432,0.408,0.376,0.454,0.462
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.344,0.297,0.409,0.228,0.411
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.169,0.226,0.121,0.226,0.089
"P33","Porque era costoso el viaje",0.055,0.069,0.094,0.092,0.038
"P34","Si, una dosis",0.543,0.592,0.407,0.322,0.508
"P34","Si, dos dosis",0.334,0.32,0.466,0.433,0.425
"P34","Ninguna",0.123,0.088,0.127,0.245,0.067
"P35","Sputnik V",0.275,0.326,0.399,0.178,0.369
"P35","Sinopharm",0.357,0.285,0.287,0.225,0.224
"P35","AstraZeneca",0.313,0.345,0.288,0.317,0.375
"P35","Johnson",0,0.013,0,0.044,0
"P35","Phizer",0.005,0.016,0,0.133,0.002
"P35","Moderna",0.008,0.011,0.011,0,0.008
"P35","Otra",0.042,0.004,0.015,0.103,0.022
