"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.262,0.483,0.479,0,0.342,0.337
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.039,0.325,0.168,0,0.061,0.139
"P33","Porque era costoso el viaje",0.296,0.031,0,0,0.014,0.044
"P34","Si, una dosis",0.883,0.486,0.462,0.316,0.366,0.543
"P34","Si, dos dosis",0.088,0.311,0.141,0,0.276,0.36
"P34","Ninguna",0.029,0.203,0.397,0.684,0.358,0.097
"P35","Sputnik V",0.371,0.065,0.482,1,0.194,0.397
"P35","Sinopharm",0.045,0.445,0.092,0,0.197,0.261
"P35","AstraZeneca",0.584,0.49,0.321,0,0.548,0.222
"P35","Johnson",0,0,0,0,0.011,0.007
"P35","Phizer",0,0,0,0,0.024,0.053
"P35","Moderna",0,0,0,0,0,0.053
"P35","Otra",0,0,0.105,0,0.026,0.007
