"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.366,0.249,0.101,0.137,0.115
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.115,0.283,0.156,0.22,0.369
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.002,0.025,0.045,0.056,0
"P19","No sabe",0.079,0.065,0.166,0.203,0.297
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.1,0.23,0.556,0.242,0.287
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.629,0.326,0.062,0.192,0.103
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.111,0.282,0.171,0.254,0.274
"P20","Al candidato del Frente de Izquierda",0.059,0.031,0.048,0.098,0.034
"P20","No sabe",0.101,0.131,0.163,0.214,0.302
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.107,0.251,0.573,0.372,0.277
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.659,0.342,0.114,0.16,0.15
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.094,0.306,0.171,0.251,0.339
"P21","Al candidato del Frente de Izquierda",0.027,0.011,0.036,0.033,0
"P21","No sabe",0.113,0.09,0.106,0.184,0.234
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.125,0.218,0.462,0.266,0.26
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.574,0.216,0.07,0.144,0.087
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.142,0.381,0.203,0.267,0.382
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.043,0.012,0.06,0.048,0.011
"P22","No sabe",0.116,0.173,0.205,0.275,0.26
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.098,0.198,0.469,0.263,0.261
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.609,0.308,0.109,0.175,0.211
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.162,0.349,0.191,0.246,0.294
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.034,0.006,0.051,0.033,0.015
"P23","No sabe",0.097,0.139,0.18,0.283,0.219
"P24","Positiva",0.284,0.254,0.521,0.273,0.279
"P24","Neutra",0.199,0.368,0.126,0.259,0.104
"P24","Negativa",0.493,0.319,0.334,0.173,0.121
"P24","No sabe",0.009,0.019,0.011,0.197,0.153
"P24","No lo conozco",0.015,0.04,0.008,0.098,0.343
"P25","Positiva",0.177,0.057,0.137,0.036,0.011
"P25","Neutra",0.251,0.553,0.28,0.172,0.09
"P25","Negativa",0.305,0.235,0.391,0.05,0.006
"P25","No sabe",0.148,0.07,0.115,0.592,0.179
"P25","No lo conozco",0.119,0.085,0.077,0.15,0.714
"P27","Positiva",0.414,0.121,0.062,0.052,0.018
"P27","Neutra",0.243,0.553,0.16,0.179,0.012
"P27","Negativa",0.05,0.068,0.526,0.062,0.047
"P27","No sabe",0.168,0.113,0.106,0.423,0.145
"P27","No lo conozco",0.125,0.145,0.146,0.284,0.778
"P28","Positiva",0.196,0.057,0.042,0.114,0.018
"P28","Neutra",0.243,0.457,0.182,0.24,0.012
"P28","Negativa",0.093,0.101,0.364,0.034,0.009
"P28","No sabe",0.2,0.181,0.178,0.308,0.116
"P28","No lo conozco",0.268,0.204,0.234,0.304,0.845
"P29","Positiva",0.2,0.138,0.069,0.052,0.032
"P29","Neutra",0.25,0.395,0.163,0.15,0.095
"P29","Negativa",0.157,0.145,0.441,0.095,0.017
"P29","No sabe",0.142,0.128,0.14,0.436,0.059
"P29","No lo conozco",0.251,0.194,0.187,0.267,0.797
"P30","Positiva",0.2,0.197,0.486,0.22,0.181
"P30","Neutra",0.236,0.269,0.099,0.249,0.205
"P30","Negativa",0.532,0.486,0.406,0.344,0.277
"P30","No sabe",0.032,0.048,0.009,0.187,0.337
"P31","Que continúe el intendente Lucas Gui",0.079,0.069,0.292,0.138,0.133
"P31","Que continúe Lucas Gui pero con mejoras",0.185,0.207,0.298,0.27,0.146
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.099,0.19,0.072,0.137,0.025
"P31","Que cambie el intendente Lucas Gui",0.637,0.534,0.338,0.455,0.696
"P32","La seguridad",0.137,0.036,0.073,0.117,0.087
"P32","El tránsito",0.052,0.059,0.045,0.11,0.082
"P32","El arreglo de las calles",0.093,0.158,0.112,0.083,0.061
"P32","Los parques y espacios públicos",0.075,0.169,0.206,0.118,0.141
"P32","El sistema de salud",0.027,0.024,0.102,0.021,0.059
"P32","La limpieza de las calles",0.089,0.04,0.067,0.052,0.066
"P32","El deporte y la cultura",0.045,0.063,0.153,0.04,0.073
"P32","La luminaria",0.082,0.074,0.044,0.078,0.027
"P32","No sabe",0.4,0.377,0.198,0.381,0.404
"P33","La seguridad",0.571,0.506,0.368,0.454,0.532
"P33","El tránsito",0.059,0.042,0.072,0.022,0.066
"P33","El arreglo de las calles",0.166,0.171,0.223,0.216,0.083
"P33","Los parques y espacios públicos",0.008,0.043,0.054,0.011,0
"P33","El sistema de salud",0.037,0.056,0.054,0.083,0.036
"P33","La limpieza de las calles",0.009,0.011,0.063,0.021,0.041
"P33","El deporte y la cultura",0.017,0.051,0.017,0,0
"P33","La luminaria",0.009,0.017,0.023,0.041,0.014
"P33","No sabe",0.124,0.103,0.126,0.152,0.228
"P34","Agua corriente y cloacas",0.269,0.253,0.218,0.158,0.488
"P34","Energía eléctrica",0.176,0.161,0.111,0.422,0.097
"P34","Red de gas natural",0.073,0.117,0.044,0.032,0.014
"P34","Recolección de residuos",0.221,0.199,0.288,0.114,0.229
"P34","Ninguno",0.261,0.27,0.339,0.274,0.172
"P35","Los robos",0.457,0.45,0.45,0.391,0.409
"P35","El narcotráfico",0.146,0.107,0.082,0.292,0.069
"P35","La ausencia de patrulleros y personal policial",0.257,0.212,0.227,0.181,0.209
"P35","Otro",0.104,0.142,0.154,0.078,0.191
"P35","Ninguno",0.036,0.089,0.087,0.058,0.122
"P36","Positiva",0.235,0.175,0.317,0.345,0.259
"P36","Neutra",0.346,0.343,0.24,0.124,0.215
"P36","Negativa",0.245,0.353,0.264,0.205,0.202
"P36","No sabe",0.174,0.129,0.179,0.326,0.324
"P37","Lo votaria",0.132,0.067,0.099,0.068,0.166
"P37","Puede que lo vote",0.047,0.074,0.281,0.26,0.04
"P37","Nunca lo votaría",0.761,0.777,0.49,0.545,0.616
"P37","No sabe",0.06,0.082,0.13,0.127,0.178
"P38","Lo votaria",0.115,0.079,0.118,0.151,0.044
"P38","Puede que lo vote",0.101,0.121,0.278,0.212,0.225
"P38","Nunca lo votaría",0.747,0.722,0.466,0.515,0.553
"P38","No sabe",0.037,0.078,0.138,0.122,0.178
"P39","Lo votaria",0.11,0.062,0.138,0.136,0.089
"P39","Puede que lo vote",0.087,0.11,0.315,0.098,0.103
"P39","Nunca lo votaría",0.768,0.761,0.441,0.609,0.609
"P39","No sabe",0.035,0.067,0.106,0.157,0.199
"P40","Lo votaria",0.28,0.085,0.056,0.191,0.065
"P40","Puede que lo vote",0.409,0.331,0.14,0.247,0.039
"P40","Nunca lo votaría",0.254,0.502,0.734,0.44,0.784
"P40","No sabe",0.057,0.082,0.07,0.122,0.112
"P41","Lo votaria",0.562,0.369,0.117,0.182,0.181
"P41","Puede que lo vote",0.261,0.226,0.096,0.21,0.236
"P41","Nunca lo votaría",0.161,0.364,0.718,0.462,0.485
"P41","No sabe",0.016,0.041,0.069,0.146,0.098
"P42","Lo votaria",0.162,0.091,0.064,0.07,0.097
"P42","Puede que lo vote",0.291,0.273,0.144,0.268,0.292
"P42","Nunca lo votaría",0.44,0.517,0.658,0.456,0.442
"P42","No sabe",0.107,0.119,0.134,0.206,0.169
"P43","Lo votaria",0.164,0.06,0.04,0.07,0.048
"P43","Puede que lo vote",0.264,0.217,0.122,0.097,0.079
"P43","Nunca lo votaría",0.453,0.557,0.732,0.647,0.578
"P43","No sabe",0.119,0.166,0.106,0.186,0.295
"P44","Lo votaria",0.24,0.392,0.166,0.292,0.344
"P44","Puede que lo vote",0.271,0.155,0.096,0.083,0.268
"P44","Nunca lo votaría",0.441,0.404,0.672,0.484,0.318
"P44","No sabe",0.048,0.049,0.066,0.141,0.07
"P45","Lo votaria",0.15,0.234,0.072,0.172,0.229
"P45","Puede que lo vote",0.414,0.254,0.108,0.112,0.233
"P45","Nunca lo votaría",0.37,0.417,0.736,0.543,0.463
"P45","No sabe",0.066,0.095,0.084,0.173,0.075
"P46","Positiva",0.175,0.131,0.226,0.067,0.25
"P46","Neutra",0.048,0.144,0.287,0.347,0.169
"P46","Negativa",0.777,0.721,0.486,0.586,0.532
"P46","No sabe",0,0.004,0.001,0,0.049
"P47","Positiva",0.717,0.368,0.135,0.192,0.209
"P47","Neutra",0.104,0.2,0.104,0.196,0.137
"P47","Negativa",0.179,0.429,0.753,0.491,0.623
"P47","No sabe",0,0.003,0.008,0.121,0.031
"P48","Positiva",0.16,0.217,0.555,0.25,0.329
"P48","Neutra",0.026,0.03,0.042,0.042,0.063
"P48","Negativa",0.812,0.745,0.4,0.642,0.542
"P48","No sabe",0.002,0.008,0.003,0.066,0.066
"P49","Positiva",0.593,0.253,0.166,0.222,0.161
"P49","Neutra",0.166,0.343,0.161,0.186,0.25
"P49","Negativa",0.219,0.392,0.672,0.377,0.508
"P49","No sabe",0.022,0.012,0.001,0.215,0.081
"P50","Positiva",0.152,0.16,0.291,0.363,0.174
"P50","Neutra",0.148,0.137,0.247,0.066,0.284
"P50","Negativa",0.694,0.689,0.459,0.421,0.493
"P50","No sabe",0.006,0.014,0.003,0.15,0.049
"P51","Positiva",0.811,0.444,0.193,0.369,0.25
"P51","Neutra",0.085,0.172,0.096,0.036,0.353
"P51","Negativa",0.098,0.374,0.711,0.399,0.317
"P51","No sabe",0.006,0.01,0,0.196,0.08
"P52","Positiva",0.466,0.45,0.213,0.423,0.423
"P52","Neutra",0.247,0.235,0.088,0.074,0.28
"P52","Negativa",0.265,0.285,0.695,0.378,0.168
"P52","No sabe",0.022,0.03,0.004,0.125,0.129
