"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P42","Puede que lo vote",0.132,0.244,0.306,0.599,0.07
"P42","Nunca lo votaría",0.677,0.506,0.478,0.078,0.536
"P42","No sabe",0.114,0.139,0.112,0.215,0.327
"P43","Lo votaria",0.048,0.068,0.109,0,0.067
"P43","Puede que lo vote",0.118,0.204,0.224,0.332,0.035
"P43","Nunca lo votaría",0.746,0.569,0.52,0.359,0.555
"P43","No sabe",0.088,0.159,0.147,0.309,0.343
"P44","Lo votaria",0.123,0.277,0.342,0.46,0.534
"P44","Puede que lo vote",0.089,0.147,0.253,0,0.134
"P44","Nunca lo votaría",0.729,0.512,0.344,0.492,0.262
"P44","No sabe",0.059,0.064,0.061,0.048,0.07
"P45","Lo votaria",0.076,0.128,0.214,0.209,0.184
"P45","Puede que lo vote",0.096,0.26,0.335,0.108,0.22
"P45","Nunca lo votaría",0.759,0.534,0.354,0.433,0.477
"P45","No sabe",0.069,0.078,0.097,0.25,0.119
"P46","Positiva",0.352,0.091,0.062,0,0.176
"P46","Neutra",0.326,0.179,0.052,0.166,0.224
"P46","Negativa",0.319,0.728,0.886,0.834,0.534
"P46","No sabe",0.003,0.002,0,0,0.066
"P47","Positiva",0.221,0.307,0.478,0.153,0.146
"P47","Neutra",0.079,0.176,0.145,0.465,0.181
"P47","Negativa",0.699,0.495,0.368,0.382,0.63
"P47","No sabe",0.001,0.022,0.009,0,0.043
"P48","Positiva",0.687,0.223,0.09,0.261,0.298
"P48","Neutra",0.029,0.101,0.004,0.048,0.043
"P48","Negativa",0.277,0.664,0.901,0.691,0.592
"P48","No sabe",0.007,0.012,0.005,0,0.067
"P49","Positiva",0.234,0.284,0.338,0.237,0.223
"P49","Neutra",0.129,0.267,0.262,0.332,0.269
"P49","Negativa",0.631,0.413,0.386,0.324,0.442
"P49","No sabe",0.006,0.036,0.014,0.107,0.066
"P50","Positiva",0.421,0.116,0.066,0.309,0.14
"P50","Neutra",0.273,0.219,0.077,0.107,0.327
"P50","Negativa",0.299,0.64,0.852,0.584,0.443
"P50","No sabe",0.007,0.025,0.005,0,0.09
"P51","Positiva",0.219,0.427,0.589,0.439,0.281
"P51","Neutra",0.089,0.137,0.134,0.131,0.326
"P51","Negativa",0.687,0.416,0.273,0.322,0.267
"P51","No sabe",0.005,0.02,0.004,0.108,0.126
"P52","Positiva",0.179,0.403,0.469,0.321,0.592
"P52","Neutra",0.091,0.194,0.243,0.221,0.131
"P52","Negativa",0.713,0.366,0.274,0.399,0.168
"P52","No sabe",0.017,0.037,0.014,0.059,0.109
