"var","categoria","Positiva","Neutra","Negativa","No sabe","No lo conozco"
"P31","Que continúe el intendente Lucas Gui",0.095,0.13,0.295,0.169,0.137
"P31","Que continúe Lucas Gui pero con mejoras",0.258,0.191,0.251,0.198,0.296
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.025,0.181,0.08,0.1,0.1
"P31","Que cambie el intendente Lucas Gui",0.622,0.498,0.374,0.533,0.467
"P32","La seguridad",0.163,0.043,0.096,0.103,0.052
"P32","El tránsito",0.082,0.053,0.075,0.006,0.051
"P32","El arreglo de las calles",0.109,0.118,0.129,0.146,0.08
"P32","Los parques y espacios públicos",0.076,0.241,0.182,0.128,0.123
"P32","El sistema de salud",0.003,0.05,0.094,0.059,0.064
"P32","La limpieza de las calles",0.046,0.094,0.023,0.088,0.077
"P32","El deporte y la cultura",0.084,0.03,0.11,0.127,0.14
"P32","La luminaria",0.071,0.048,0.046,0.071,0.074
"P32","No sabe",0.366,0.323,0.245,0.272,0.339
"P33","La seguridad",0.524,0.503,0.366,0.507,0.454
"P33","El tránsito",0.106,0.036,0.095,0.024,0.047
"P33","El arreglo de las calles",0.1,0.24,0.237,0.123,0.169
"P33","Los parques y espacios públicos",0.031,0.028,0.07,0.027,0.017
"P33","El sistema de salud",0.006,0.044,0.047,0.081,0.062
"P33","La limpieza de las calles",0.066,0.043,0.036,0.031,0.022
"P33","El deporte y la cultura",0.035,0.015,0.015,0.039,0.026
"P33","La luminaria",0.008,0.013,0.024,0.027,0.017
"P33","No sabe",0.124,0.078,0.11,0.141,0.186
"P34","Agua corriente y cloacas",0.27,0.278,0.201,0.251,0.273
"P34","Energía eléctrica",0.229,0.163,0.122,0.16,0.118
"P34","Red de gas natural",0.082,0.081,0.08,0.062,0.03
"P34","Recolección de residuos",0.243,0.218,0.243,0.258,0.258
"P34","Ninguno",0.176,0.26,0.354,0.269,0.321
"P35","Los robos",0.43,0.467,0.466,0.451,0.413
"P35","El narcotráfico",0.198,0.151,0.06,0.114,0.082
"P35","La ausencia de patrulleros y personal policial",0.18,0.256,0.19,0.293,0.219
"P35","Otro",0.143,0.089,0.166,0.085,0.191
"P35","Ninguno",0.049,0.037,0.118,0.057,0.095
"P36","Positiva",0.305,0.245,0.339,0.238,0.203
"P36","Neutra",0.168,0.395,0.277,0.25,0.243
"P36","Negativa",0.445,0.243,0.254,0.248,0.281
"P36","No sabe",0.082,0.117,0.13,0.264,0.273
"P37","Lo votaria",0.227,0.074,0.103,0.053,0.106
"P37","Puede que lo vote",0.074,0.116,0.249,0.179,0.158
"P37","Nunca lo votaría",0.686,0.763,0.501,0.678,0.575
"P37","No sabe",0.013,0.047,0.147,0.09,0.161
"P38","Lo votaria",0.161,0.078,0.124,0.101,0.088
"P38","Puede que lo vote",0.095,0.138,0.304,0.167,0.199
"P38","Nunca lo votaría",0.72,0.718,0.467,0.637,0.541
"P38","No sabe",0.024,0.066,0.105,0.095,0.172
"P39","Lo votaria",0.125,0.084,0.166,0.095,0.082
"P39","Puede que lo vote",0.078,0.116,0.313,0.175,0.212
"P39","Nunca lo votaría",0.732,0.751,0.444,0.649,0.557
"P39","No sabe",0.065,0.049,0.077,0.081,0.149
"P40","Lo votaria",0.255,0.112,0.114,0.097,0.078
"P40","Puede que lo vote",0.347,0.266,0.135,0.317,0.242
"P40","Nunca lo votaría",0.324,0.575,0.685,0.469,0.6
"P40","No sabe",0.074,0.047,0.066,0.117,0.08
"P41","Lo votaria",0.443,0.373,0.178,0.272,0.239
"P41","Puede que lo vote",0.265,0.172,0.073,0.199,0.228
"P41","Nunca lo votaría",0.259,0.408,0.704,0.461,0.46
"P41","No sabe",0.033,0.047,0.045,0.068,0.073
"P42","Lo votaria",0.142,0.11,0.088,0.104,0.058
"P42","Puede que lo vote",0.339,0.269,0.128,0.218,0.219
"P42","Nunca lo votaría",0.353,0.516,0.712,0.482,0.57
"P42","No sabe",0.166,0.105,0.072,0.196,0.153
"P43","Lo votaria",0.164,0.064,0.071,0.069,0.048
"P43","Puede que lo vote",0.237,0.255,0.118,0.144,0.142
"P43","Nunca lo votaría",0.501,0.54,0.746,0.595,0.623
"P43","No sabe",0.098,0.141,0.065,0.192,0.187
"P44","Lo votaria",0.651,0.301,0.107,0.197,0.227
"P44","Puede que lo vote",0.21,0.185,0.066,0.252,0.144
"P44","Nunca lo votaría",0.134,0.448,0.776,0.456,0.561
"P44","No sabe",0.005,0.066,0.051,0.095,0.068
"P45","Lo votaria",0.268,0.169,0.064,0.094,0.169
"P45","Puede que lo vote",0.429,0.288,0.111,0.2,0.185
"P45","Nunca lo votaría",0.229,0.428,0.77,0.59,0.57
"P45","No sabe",0.074,0.115,0.055,0.116,0.076
"P46","Positiva",0.327,0.189,0.209,0.125,0.151
"P46","Neutra",0.081,0.115,0.299,0.2,0.208
"P46","Negativa",0.592,0.696,0.488,0.675,0.629
"P46","No sabe",0,0,0.004,0,0.012
"P47","Positiva",0.501,0.435,0.219,0.279,0.281
"P47","Neutra",0.184,0.143,0.078,0.174,0.131
"P47","Negativa",0.315,0.413,0.703,0.523,0.573
"P47","No sabe",0,0.009,0,0.024,0.015
"P48","Positiva",0.267,0.232,0.549,0.316,0.372
"P48","Neutra",0.064,0.031,0.048,0.035,0.02
"P48","Negativa",0.664,0.735,0.401,0.626,0.59
"P48","No sabe",0.005,0.002,0.002,0.023,0.018
"P49","Positiva",0.491,0.306,0.205,0.366,0.195
"P49","Neutra",0.155,0.289,0.162,0.239,0.198
"P49","Negativa",0.349,0.397,0.631,0.341,0.576
"P49","No sabe",0.005,0.008,0.002,0.054,0.031
"P50","Positiva",0.311,0.177,0.301,0.201,0.173
"P50","Neutra",0.066,0.156,0.229,0.175,0.26
"P50","Negativa",0.618,0.663,0.47,0.57,0.553
"P50","No sabe",0.005,0.004,0,0.054,0.014
"P51","Positiva",0.632,0.501,0.232,0.393,0.37
"P51","Neutra",0.102,0.123,0.093,0.092,0.188
"P51","Negativa",0.261,0.376,0.675,0.461,0.421
"P51","No sabe",0.005,0,0,0.054,0.021
"P52","Positiva",0.762,0.431,0.157,0.311,0.31
"P52","Neutra",0.108,0.258,0.082,0.223,0.162
"P52","Negativa",0.125,0.297,0.761,0.4,0.485
"P52","No sabe",0.005,0.014,0,0.066,0.043
