"var","categoria","La quíntuple","La triple viral (Sarampión, rubeola y paperas)","La Neumococo","La BCG","Otra","No recuerda"
"P24","Sí, una vez",0.357,0.168,0.554,0.202,0.389,0.127
"P24","Si varias veces",0.117,0.196,0.187,0.113,0.067,0.074
"P24","No",0.457,0.536,0.098,0.52,0.53,0.699
"P24","No recuerdo",0.069,0.1,0.161,0.165,0.014,0.1
"P25","Si",0.819,0.494,0.57,0.829,0.347,0.565
"P25","No",0.181,0.506,0.43,0.171,0.653,0.435
"P26","Si",0.62,0.588,0.351,0.195,0.315,0.287
"P26","No",0.38,0.412,0.649,0.805,0.685,0.713
"P27","Si, la Polio y la quíntuple",0.322,0.088,0.304,0.27,0.261,0.053
"P27","Si, la triple viral y la BCG",0.389,0.469,0.408,0.249,0.194,0.119
"P27","Otras",0.034,0.071,0,0.041,0.017,0.007
"P27","No recuerdo",0.255,0.372,0.288,0.44,0.528,0.821
"P28","Si",0.212,0.224,0.26,0.316,0.228,0.21
"P28","No",0.788,0.776,0.74,0.684,0.772,0.79
"P29","Si",0.357,0.19,0.116,0.084,0.045,0.128
"P29","No",0.643,0.81,0.884,0.916,0.955,0.872
"P30","Si, Infanrix",0.271,0.061,0,0.37,0,0.035
"P30","Si, Hexaxim",0.182,0.376,0.667,0,0.232,0.16
"P30","No recuerdo",0.547,0.563,0.333,0.63,0.768,0.805
"P31","Si",0.879,0.839,0.818,0.959,0.906,0.924
"P31","No",0.121,0.161,0.182,0.041,0.094,0.076
"P32","Si",0.379,0.604,0.614,0.267,0.912,0.48
"P32","No",0.621,0.396,0.386,0.733,0.088,0.52
"P33","Miedo al contagio",0.529,0.381,0.102,0.456,0.778,0.317
"P33","Porque el lugar donde vacuno a mis hijos se encontraba cerrado",0.371,0.372,0.898,0.485,0,0.341
"P33","Porque el lugar donde vacuno a mi hijo atendía en horario reducido",0.1,0.247,0,0.059,0.222,0.238
"P33","Porque era costoso el viaje",0,0,0,0,0,0.104
"P34","Si, una dosis",0.772,0.524,0.336,0.374,0.23,0.56
"P34","Si, dos dosis",0.187,0.344,0.255,0.219,0.273,0.159
"P34","Ninguna",0.041,0.132,0.409,0.407,0.497,0.281
"P35","Sputnik V",0.286,0.312,0.451,0.265,0.553,0.45
"P35","Sinopharm",0.329,0.361,0.285,0.062,0.356,0.23
"P35","AstraZeneca",0.374,0.215,0.198,0.673,0.069,0.32
"P35","Johnson",0,0,0,0,0.022,0
"P35","Phizer",0.011,0.098,0,0,0,0
"P35","Moderna",0,0,0,0,0,0
"P35","Otra",0,0.014,0.066,0,0,0
