"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"CFK","Ni buena ni mala",0.089,0.09,0.088,0.09,0.096,0.097,0.054,0.145,0.077,0.043,0.12,0.003,0.169
"CFK","Mala",0.082,0.092,0.071,0.203,0.047,0.03,0.064,0.061,0.098,0.08,0.066,0.058,0.261
"CFK","Muy mala",0.441,0.457,0.423,0.359,0.453,0.499,0.456,0.383,0.402,0.576,0.106,0.846,0.57
"CFK","No sabe",0.008,0.007,0.009,0,0.002,0.021,0.017,0.009,0.006,0.008,0.007,0,0
"Axel Kicillof","Muy buena",0.267,0.229,0.308,0.216,0.276,0.225,0.398,0.35,0.245,0.206,0.485,0.06,0.09
"Axel Kicillof","Buena",0.096,0.141,0.049,0.167,0.07,0.11,0.039,0.055,0.136,0.081,0.157,0.039,0
"Axel Kicillof","Ni buena ni mala",0.101,0.093,0.108,0.091,0.093,0.13,0.097,0.127,0.111,0.052,0.149,0.012,0
"Axel Kicillof","Mala",0.113,0.124,0.101,0.165,0.11,0.08,0.085,0.093,0.119,0.125,0.076,0.101,0.429
"Axel Kicillof","Muy mala",0.408,0.398,0.42,0.361,0.435,0.447,0.335,0.352,0.373,0.534,0.118,0.787,0.394
"Axel Kicillof","No sabe",0.015,0.015,0.014,0,0.016,0.008,0.046,0.023,0.016,0.002,0.015,0.001,0.087
"Malena Galmarini","Muy buena",0.11,0.102,0.118,0.014,0.131,0.115,0.187,0.108,0.131,0.077,0.168,0.033,0.146
"Malena Galmarini","Buena",0.136,0.161,0.109,0.069,0.141,0.19,0.135,0.225,0.082,0.124,0.235,0.045,0.008
"Malena Galmarini","Ni buena ni mala",0.215,0.217,0.213,0.233,0.252,0.146,0.183,0.132,0.286,0.194,0.303,0.092,0.053
"Malena Galmarini","Mala",0.125,0.161,0.087,0.201,0.096,0.121,0.109,0.124,0.092,0.18,0.06,0.198,0.342
"Malena Galmarini","Muy mala",0.329,0.28,0.381,0.387,0.302,0.355,0.274,0.25,0.339,0.398,0.141,0.574,0.349
"Malena Galmarini","No sabe",0.085,0.079,0.092,0.096,0.078,0.073,0.112,0.161,0.07,0.027,0.093,0.058,0.102
"Mauricio Macri","Muy buena",0.133,0.13,0.135,0.161,0.131,0.12,0.108,0.129,0.157,0.096,0.065,0.245,0
"Mauricio Macri","Buena",0.131,0.131,0.13,0.124,0.151,0.098,0.128,0.134,0.114,0.155,0.045,0.272,0.04
"Mauricio Macri","Ni buena ni mala",0.174,0.178,0.171,0.181,0.129,0.229,0.223,0.19,0.153,0.192,0.111,0.215,0.248
"Mauricio Macri","Mala",0.2,0.178,0.224,0.253,0.197,0.162,0.179,0.164,0.244,0.17,0.189,0.183,0.407
"Mauricio Macri","Muy mala",0.343,0.36,0.324,0.281,0.365,0.37,0.336,0.341,0.321,0.382,0.573,0.063,0.305
"Mauricio Macri","No sabe",0.019,0.023,0.016,0,0.027,0.021,0.026,0.042,0.011,0.005,0.017,0.022,0
"Sergio Massa","Muy buena",0.12,0.092,0.149,0.017,0.155,0.111,0.181,0.157,0.129,0.063,0.216,0.003,0.124
"Sergio Massa","Buena",0.132,0.154,0.109,0.095,0.137,0.119,0.202,0.159,0.116,0.13,0.217,0.022,0.11
"Sergio Massa","Ni buena ni mala",0.183,0.172,0.196,0.227,0.188,0.171,0.119,0.203,0.171,0.181,0.287,0.058,0.227
"Sergio Massa","Mala",0.112,0.169,0.05,0.152,0.099,0.117,0.081,0.126,0.112,0.097,0.075,0.156,0.023
"Sergio Massa","Muy mala",0.44,0.403,0.48,0.509,0.407,0.471,0.385,0.334,0.459,0.525,0.181,0.761,0.516
"Sergio Massa","No sabe",0.013,0.01,0.016,0,0.014,0.011,0.032,0.021,0.013,0.004,0.024,0,0
