"var","categoria","A Segundo cernadas por Juntos","A Gisela Zamora por el frente de todos","A Juan José Cervetto por avanza libertad","A Paula Yamila Akerfeld por el Frente de Izquierda","A Matias Orfo por Vamos con vos","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco","En blanco o anularía"
"P19","José Luis Espert por “Avanza Libertad”",0.002,0.028,0.015,0.161,0.022,0.074,0.015
"P19","Florencio Randazzo por “Vamos con vos”",0.007,0.022,0.035,0.122,0.282,0,0
"P19","Cynthia Hotton por “+Valores”",0.002,0.005,0,0.131,0.022,0,0.099
"P19","Ninguna en particular",0.058,0.04,0.048,0.033,0.207,0.379,0.374
"P19","No sabe",0.016,0.035,0.005,0,0,0,0.179
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.301,0.263,0.267,0.355,0.326,0.344,0.32
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.356,0.164,0.196,0.269,0.15,0.181,0.137
"P20","No alcanzan para cubrir los gastos totales de la familia",0.157,0.176,0.062,0.161,0.118,0.14,0.34
"P20","Alcanzan para cubrir los gastos totales de la familia",0.083,0.249,0.032,0.014,0.093,0.014,0.015
"P20","Tenemos un pequeño excedente, pero es excepcional",0.026,0.09,0.095,0.047,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.028,0.047,0.116,0.031,0,0.068,0
"P20","Tenemos un gran excedente pero es excepcional",0.001,0,0,0,0.022,0.222,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.012,0,0.122,0.123,0.291,0.031,0
"P20","No sabe",0.036,0.011,0.11,0,0,0,0.188
"P21","La inflación",0.308,0.285,0.31,0.161,0.16,0.174,0.318
"P21","El desempleo",0.138,0.184,0.039,0.439,0.2,0.031,0.088
"P21","La corrupción",0.417,0.204,0.312,0.345,0.315,0.613,0.369
"P21","La inseguridad",0.061,0.089,0,0,0,0.095,0.038
"P21","El precio del dólar",0.02,0.04,0.005,0,0.325,0.024,0.024
"P21","La pobreza",0.036,0.09,0.132,0.055,0,0,0
"P21","El narcotráfico",0.005,0.014,0,0,0,0.025,0
"P21","Las tarifas",0.001,0.014,0.065,0,0,0,0
"P21","Otro",0.014,0.071,0.008,0,0,0.038,0.048
"P21","No sabe",0,0.009,0.129,0,0,0,0.115
"P22","Muy buena",0.078,0.37,0,0.15,0.318,0.009,0.061
"P22","Buena",0.047,0.343,0,0.121,0.032,0.034,0.087
"P22","Ni buena ni mala",0.085,0.234,0.341,0.072,0.348,0.1,0.22
"P22","Mala",0.193,0.031,0.335,0.14,0.115,0.211,0.301
"P22","Muy mala",0.596,0.006,0.324,0.495,0.187,0.646,0.331
"P22","No sabe",0.001,0.016,0,0.022,0,0,0
"P23","Muy buena",0.068,0.595,0.005,0.224,0.434,0.036,0.157
"P23","Buena",0.025,0.214,0.172,0.104,0.111,0.039,0
"P23","Ni buena ni mala",0.099,0.095,0.005,0.015,0.169,0.184,0.163
"P23","Mala",0.067,0.032,0.268,0.142,0.096,0.009,0.263
"P23","Muy mala",0.738,0.064,0.546,0.493,0.19,0.634,0.305
"P23","No sabe",0.003,0,0.004,0.022,0,0.098,0.112
"P24","Muy buena",0.035,0.217,0,0.076,0,0,0.081
"P24","Buena",0.045,0.328,0,0.307,0.183,0.119,0.099
"P24","Ni buena ni mala",0.133,0.272,0.238,0.079,0.533,0.4,0.167
"P24","Mala",0.166,0.111,0.124,0.168,0,0.035,0.009
"P24","Muy mala",0.619,0.063,0.638,0.37,0.284,0.349,0.483
"P24","No sabe",0.002,0.009,0,0,0,0.097,0.161
"P25","Muy buena",0.222,0.013,0.24,0.141,0,0.001,0.032
"P25","Buena",0.214,0.048,0.035,0.032,0,0.093,0
"P25","Ni buena ni mala",0.336,0.06,0.119,0.158,0.483,0.362,0.242
"P25","Mala",0.12,0.18,0.479,0.259,0.273,0.009,0.083
"P25","Muy mala",0.091,0.681,0.127,0.388,0.244,0.535,0.461
"P25","No sabe",0.017,0.018,0,0.022,0,0,0.182
"P26","Muy buena",0.42,0.021,0.06,0.037,0,0.177,0.029
"P26","Buena",0.262,0.126,0.436,0.333,0.124,0.27,0.093
"P26","Ni buena ni mala",0.203,0.145,0.381,0.388,0.414,0.08,0.435
"P26","Mala",0.073,0.2,0.023,0.061,0.162,0.175,0.033
"P26","Muy mala",0.034,0.495,0.1,0.163,0.3,0.298,0.289
"P26","No sabe",0.008,0.013,0,0.018,0,0,0.121
"P27","Muy buena",0.059,0.23,0,0.062,0.131,0,0.075
"P27","Buena",0.03,0.318,0,0,0.048,0.276,0.057
"P27","Ni buena ni mala",0.237,0.25,0.144,0.426,0.448,0.309,0.222
"P27","Mala",0.151,0.097,0.29,0.031,0.183,0.048,0.007
"P27","Muy mala",0.467,0.095,0.371,0.481,0.19,0.277,0.328
"P27","No sabe",0.056,0.01,0.195,0,0,0.09,0.311
