"var","categoria","Vegetariano","Vegano","Dieta baja en carnes rojas","Dieta baja en carbohidratos","Dieta baja en azúcares","Kosher o Alal","Ninguna restricción alimentaria"
"P12","Entre 4 y 6 días a la semana",0.21,0.196,0.211,0.217,0.176,0.095,0.173
"P12","Entre 1 y 3 días a la semana",0.141,0.238,0.231,0.211,0.248,0.302,0.251
"P12","Raramente",0.212,0.096,0.198,0.202,0.189,0.221,0.256
"P12","Nunca",0.113,0.082,0.041,0.029,0.099,0.072,0.072
"P13","Todos los días",0.125,0.27,0.08,0.108,0.059,0.142,0.051
"P13","Entre 4 y 6 días a la semana",0.216,0.153,0.149,0.102,0.093,0.067,0.074
"P13","Entre 1 y 3 días a la semana",0.24,0.16,0.306,0.305,0.334,0.276,0.293
"P13","Raramente",0.239,0.224,0.358,0.376,0.411,0.366,0.426
"P13","Nunca",0.18,0.193,0.107,0.109,0.103,0.149,0.156
"P14","Todos los días",0.384,0.367,0.265,0.177,0.226,0.382,0.265
"P14","Entre 4 y 6 días a la semana",0.217,0.266,0.223,0.198,0.235,0.18,0.262
"P14","Entre 1 y 3 días a la semana",0.227,0.145,0.263,0.283,0.277,0.236,0.27
"P14","Raramente",0.097,0.093,0.204,0.28,0.21,0.079,0.165
"P14","Nunca",0.075,0.129,0.045,0.062,0.052,0.123,0.038
"P15","Todos los días",0.315,0.272,0.118,0.113,0.065,0.204,0.104
"P15","Entre 4 y 6 días a la semana",0.209,0.243,0.219,0.168,0.251,0.2,0.191
"P15","Entre 1 y 3 días a la semana",0.283,0.235,0.414,0.409,0.369,0.252,0.427
"P15","Raramente",0.114,0.129,0.209,0.27,0.245,0.253,0.228
"P15","Nunca",0.079,0.121,0.04,0.04,0.07,0.091,0.05
"P16","Menos de un vaso al día",0.202,0.096,0.062,0.078,0.064,0.086,0.081
"P16","De 1 a 4 vasos al día",0.208,0.341,0.372,0.266,0.292,0.423,0.325
"P16","Más de 4 vasos al día",0.549,0.438,0.496,0.602,0.593,0.441,0.539
"P16","No consume agua",0.041,0.125,0.07,0.054,0.051,0.05,0.055
"P17","Agua embotellada/mineral",0.29,0.241,0.17,0.27,0.164,0.181,0.132
"P17","Agua de la canilla filtrada",0.282,0.29,0.344,0.325,0.369,0.257,0.27
"P17","Agua de la canilla directamente",0.284,0.328,0.336,0.278,0.33,0.376,0.435
"P17","Agua de bidón",0.129,0.088,0.134,0.123,0.132,0.102,0.156
"P17","No consume agua",0.015,0.053,0.016,0.004,0.005,0.084,0.007
"P18","Todos los días",0.152,0.197,0.044,0.085,0.058,0.173,0.045
"P18","Entre 4 y 6 días a la semana",0.064,0.129,0.083,0.092,0.092,0.078,0.059
"P18","Entre 1 y 3 días a la semana",0.201,0.213,0.186,0.207,0.175,0.189,0.203
"P18","Raramente",0.292,0.19,0.357,0.365,0.32,0.255,0.329
"P18","Nunca",0.291,0.271,0.33,0.251,0.355,0.305,0.364
"P19","Vino",0.314,0.303,0.316,0.305,0.28,0.193,0.215
"P19","Cerveza",0.175,0.158,0.128,0.163,0.177,0.252,0.202
"P19","Destilados (whisky, vodka, ron, etc.)",0.097,0.157,0.042,0.038,0.017,0.139,0.052
"P19","Espumantes",0.039,0.01,0.047,0.098,0.022,0,0.038
"P19","Otros",0.083,0.039,0.102,0.091,0.13,0.111,0.113
"P19","No consume bebidas alcohólicas",0.292,0.333,0.365,0.305,0.374,0.305,0.38
"P20","Todos los días",0.267,0.311,0.133,0.081,0.106,0.191,0.119
"P20","Entre 4 y 6 días a la semana",0.119,0.202,0.118,0.095,0.088,0.146,0.104
"P20","Entre 1 y 3 días a la semana",0.171,0.124,0.152,0.138,0.101,0.236,0.173
"P20","Raramente",0.21,0.245,0.377,0.411,0.349,0.289,0.381
"P20","Nunca",0.233,0.118,0.22,0.275,0.356,0.138,0.223
"P21","Todos los días",0.792,0.763,0.798,0.82,0.746,0.662,0.765
"P21","Entre 4 y 6 días a la semana",0.03,0.158,0.074,0.06,0.048,0.034,0.097
"P21","Entre 1 y 3 días a la semana",0.057,0.026,0.064,0.016,0.051,0.043,0.048
"P21","Raramente",0.064,0.017,0.033,0.072,0.072,0.184,0.059
"P21","Nunca",0.057,0.036,0.031,0.032,0.083,0.077,0.031
"P22","Asado",0.459,0.513,0.389,0.414,0.409,0.46,0.433
"P22","Pizza",0.076,0.238,0.054,0.065,0.053,0.022,0.077
"P22","Milanesa",0.094,0.035,0.202,0.163,0.177,0.223,0.158
"P22","Pastas",0.104,0.06,0.082,0.11,0.06,0.16,0.093
"P22","Empanadas",0.065,0.048,0.046,0.046,0.028,0.021,0.031
"P22","Hamburguesa",0.004,0.009,0.005,0.006,0.007,0.009,0.023
"P22","Ensaladas (de cualquier tipo)",0.11,0.084,0.106,0.11,0.119,0.043,0.044
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.054,0.007,0.069,0.058,0.078,0.037,0.083
"P22","Polenta o similares (de cualquier tipo)",0.023,0.006,0.021,0.003,0.035,0.014,0.027
"P22","Ninguno de los anteriores",0.011,0,0.026,0.025,0.034,0.011,0.031
"P23","Asado",0.249,0.235,0.105,0.124,0.089,0.221,0.098
"P23","Pizza",0.096,0.215,0.081,0.048,0.066,0.062,0.063
"P23","Milanesa",0.162,0.249,0.256,0.2,0.226,0.392,0.215
"P23","Pastas",0.107,0.094,0.135,0.151,0.133,0.054,0.178
"P23","Empanadas",0.031,0.074,0.055,0.075,0.057,0.068,0.037
"P23","Hamburguesa",0.034,0.003,0.009,0.021,0.016,0.02,0.021
"P23","Ensaladas (de cualquier tipo)",0.141,0.049,0.141,0.203,0.133,0.037,0.09
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.057,0.028,0.087,0.083,0.144,0.02,0.132
"P23","Polenta o similares (de cualquier tipo)",0.056,0.045,0.086,0.035,0.053,0.099,0.091
"P23","Ninguno de los anteriores",0.067,0.008,0.045,0.06,0.083,0.027,0.075
"P24","Helado",0.488,0.333,0.297,0.34,0.259,0.258,0.288
"P24","Tortas, tartas dulces y masas",0.058,0.335,0.139,0.137,0.126,0.072,0.148
"P24","Ensalada de frutas",0.178,0.134,0.245,0.164,0.196,0.255,0.155
"P24","Flan, budín de pan y similares",0.054,0.082,0.07,0.124,0.097,0.06,0.117
"P24","Dulce de batata, membrillo o similares",0.088,0.015,0.055,0.064,0.098,0.082,0.061
"P24","Facturas de todo tipo",0.011,0,0.048,0.025,0.015,0.147,0.055
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.014,0.055,0.041,0.051,0.031,0.006,0.027
"P24","Gelatina",0.019,0,0.034,0.026,0.027,0.056,0.037
"P24","Panqueques, wafles y similares",0.01,0.012,0.028,0.009,0.027,0.033,0.022
"P24","Ninguno de los anteriores",0.08,0.034,0.043,0.06,0.124,0.031,0.09
"P25","Helado",0.437,0.115,0.145,0.146,0.109,0.035,0.126
"P25","Tortas, tartas dulces y masas",0.091,0.636,0.121,0.135,0.067,0.052,0.137
"P25","Ensalada de frutas",0.092,0.053,0.208,0.123,0.123,0.091,0.071
"P25","Flan, budín de pan y similares",0.04,0.048,0.058,0.122,0.051,0.027,0.043
"P25","Dulce de batata, membrillo o similares",0.104,0.005,0.091,0.068,0.196,0.048,0.107
"P25","Facturas de todo tipo",0.012,0.002,0.07,0.044,0.054,0.437,0.09
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.01,0.023,0.019,0.045,0.027,0.039,0.024
"P25","Gelatina",0.019,0,0.052,0.072,0.041,0.119,0.044
"P25","Panqueques, wafles y similares",0.023,0.014,0.017,0.016,0.014,0.007,0.013
"P25","Ninguno de los anteriores",0.172,0.104,0.219,0.229,0.318,0.145,0.345
"P27","Bajo peso",0.319,0.242,0.055,0.064,0.058,0.019,0.056
"P27","Sobrepeso",0.193,0.468,0.229,0.263,0.271,0.306,0.247
"P27","Obesidad",0.037,0.014,0.179,0.049,0.062,0.165,0.046
"P27","Normal",0.416,0.242,0.473,0.592,0.461,0.345,0.513
"P27","No sabe",0.035,0.034,0.064,0.032,0.148,0.165,0.138
"P28","Diabetes",0.187,0.224,0.085,0.114,0.298,0.269,0.034
"P28","Hipertensión",0.131,0.267,0.22,0.146,0.208,0.111,0.172
"P28","Enfermedades cardiovasculares",0.056,0.039,0.109,0.028,0.039,0.037,0.026
"P28","Celiaquía",0.081,0.1,0.064,0.118,0.071,0.124,0.067
"P28","Ninguna",0.484,0.302,0.488,0.577,0.308,0.34,0.584
"P28","No sabe",0.061,0.068,0.034,0.017,0.076,0.119,0.117
"P29","Todos los días",0.153,0.218,0.05,0.047,0.05,0.098,0.019
"P29","Entre 4 y 6 días a la semana",0.127,0.11,0.031,0.045,0.053,0.026,0.034
"P29","Entre 1 y 3 días a la semana",0.086,0.108,0.121,0.156,0.071,0.118,0.131
"P29","Raramente",0.251,0.195,0.329,0.348,0.32,0.266,0.293
"P29","Nunca",0.383,0.369,0.469,0.404,0.506,0.492,0.523
"P30","Todos los días",0.196,0.235,0.031,0.008,0.018,0.025,0.012
"P30","Entre 4 y 6 días a la semana",0.067,0.112,0.012,0.024,0.039,0.01,0.013
"P30","Entre 1 y 3 días a la semana",0.114,0.121,0.113,0.119,0.09,0.062,0.113
"P30","Raramente",0.237,0.252,0.295,0.4,0.303,0.342,0.347
"P30","Nunca",0.386,0.28,0.549,0.449,0.55,0.561,0.515
"P31","Todos los días",0.569,0.557,0.631,0.592,0.64,0.521,0.623
"P31","Entre 4 y 6 días a la semana",0.169,0.188,0.145,0.168,0.151,0.237,0.189
"P31","Entre 1 y 3 días a la semana",0.114,0.083,0.06,0.071,0.043,0.088,0.075
"P31","Raramente",0.039,0.049,0.079,0.109,0.082,0.034,0.056
"P31","Nunca",0.109,0.123,0.085,0.06,0.084,0.12,0.057
"P32","Menos de 1 comida al día",0.263,0.203,0.177,0.088,0.125,0.21,0.177
"P32","1 comida",0.263,0.349,0.305,0.266,0.357,0.46,0.31
"P32","2 comidas",0.168,0.242,0.25,0.322,0.261,0.173,0.232
"P32","3 comidas",0.157,0.059,0.123,0.199,0.141,0.086,0.143
"P32","4 comidas",0.114,0.098,0.117,0.111,0.097,0.066,0.11
"P32","Más de 4 comidas",0.035,0.049,0.028,0.014,0.019,0.005,0.028
"P33","Precio",0.303,0.232,0.222,0.209,0.188,0.339,0.374
"P33","Calidad",0.229,0.253,0.208,0.174,0.214,0.176,0.107
"P33","Ambas",0.366,0.337,0.489,0.529,0.512,0.374,0.462
"P33","Compra sin ningún tipo de consideración",0.102,0.178,0.081,0.088,0.086,0.111,0.057
"P34","Menos de 1 vez a la semana",0.297,0.198,0.206,0.123,0.184,0.352,0.22
"P34","1 vez a la semana",0.294,0.256,0.31,0.283,0.29,0.246,0.267
"P34","Entre 1 a 4 veces a la semana",0.311,0.301,0.342,0.373,0.293,0.224,0.276
"P34","Más de 4 veces a la semana",0.089,0.102,0.095,0.186,0.148,0.086,0.142
"P34","No sabe",0.009,0.143,0.047,0.035,0.085,0.092,0.095
"P35","Hipermercado/Supermercado",0.507,0.386,0.505,0.458,0.485,0.653,0.469
"P35","Almacenes",0.247,0.291,0.202,0.24,0.251,0.175,0.264
"P35","Productores locales/mercados de cercanía/Ferias",0.157,0.178,0.225,0.238,0.196,0.144,0.175
"P35","Vía pública",0.038,0.034,0.034,0.031,0.031,0.015,0.025
"P35","No sabe",0.051,0.111,0.034,0.033,0.037,0.013,0.067
